"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","second_chance_pts","second_chance_fgm","second_chance_fga","second_change_fg_pct","pts_in_paint","pts_in_paint_fgm","pts_in_paint_fga","pts_in_paint_fg_pct","fast_brk_pts","fast_brk_fgm","fast_brk_fga","fast_brk_fg_pct","bench_pts","pts_tov","biggest_lead_score","biggest_lead","biggest_run_score","biggest_run","lead_changes","time_leading","quad_game","game_id","year"
"2022-04-04","post","N",false,"North Carolina","ACC","Kansas","B12",200,73,23,73,5,23,18,22,24,31,55,9,2,6,13,13,69,28,18,25,0.72,30,15,34,0.44118,2,1,1,1,11,9,"22 - 38",16,"22-38",16,6,18.533333,"quad1","North CarolinaKansas4-4",2022
"2022-04-04","post","N",true,"Kansas","B12","North Carolina","ACC",200,73,29,66,6,17,8,14,8,27,35,11,6,5,9,16,72,8,4,8,0.5,38,19,41,0.46341,10,5,5,1,16,18,"7 - 0",7,"56-50",9,6,18.533333,"quad1","North CarolinaKansas4-4",2022
"2022-04-02","post","N",false,"Villanova","BE","Kansas","B12",200,57,22,57,13,31,8,10,12,17,29,12,3,0,9,11,65,18,9,14,0.64286,16,8,22,0.36364,0,0,0,,3,10,,0,"38-29",10,0,0,"quad1","VillanovaKansas4-2",2022
"2022-04-02","post","N",true,"Kansas","B12","Villanova","BE",200,57,29,54,13,24,10,13,10,25,35,18,4,4,7,8,81,15,8,11,0.72727,32,16,27,0.59259,0,0,0,,5,8,"38 - 19",19,"10-0",10,0,39.683333,"quad1","VillanovaKansas4-2",2022
"2022-04-02","post","N",true,"North Carolina","ACC","Duke","ACC",200,69,27,64,10,26,17,24,17,33,50,7,2,5,10,19,81,22,12,19,0.63158,26,13,27,0.48148,2,1,1,1,2,6,"41 - 47",6,"41-47",13,18,16.35,"quad1","North CarolinaDuke4-2",2022
"2022-04-02","post","N",false,"Duke","ACC","North Carolina","ACC",200,69,30,72,5,22,12,20,15,26,41,12,7,4,4,18,77,17,10,19,0.52632,48,24,45,0.53333,6,3,3,1,25,14,"41 - 34",7,"41-34",7,18,17.143333,"quad1","North CarolinaDuke4-2",2022
"2022-04-01","post","A",true,"Fresno St.","MWC","Coastal Carolina","SB",200,66,31,59,12,20,11,18,10,27,37,13,5,6,9,17,85,14,7,10,0.7,30,15,30,0.5,4,2,4,0.5,9,11,"39 - 63",24,"15-29",11,0,39.3,"quad3","Fresno St.Coastal Carolina4-1",2022
"2022-04-01","post","H",false,"Coastal Carolina","SB","Fresno St.","MWC",200,66,25,63,8,28,16,21,15,23,38,9,6,2,9,16,74,15,10,16,0.625,32,16,28,0.57143,22,13,17,0.76471,16,10,,0,"12-15",8,0,0,"quad3","Fresno St.Coastal Carolina4-1",2022
"2022-03-31","post","N",true,"Xavier","BE","Texas A&M","SEC",200,67,29,60,7,18,8,15,11,20,31,16,8,3,11,20,73,16,10,14,0.71429,40,20,35,0.57143,4,2,5,0.4,8,17,"6 - 15",9,"52-53",8,17,18.543333,"quad1","XavierTexas A&M3-31",2022
"2022-03-31","post","N",false,"Texas A&M","SEC","Xavier","BE",200,67,23,51,5,14,21,25,9,23,32,6,5,3,13,17,72,7,5,10,0.5,32,16,34,0.47059,11,6,7,0.85714,17,13,"40 - 30",10,"31-26",7,17,16.956667,"quad1","XavierTexas A&M3-31",2022
"2022-03-29","post","N",false,"St. Bonaventure","A10","Xavier","BE",200,65,29,62,9,22,10,13,10,18,28,18,6,4,7,14,77,5,4,12,0.33333,30,15,28,0.53571,0,0,0,,6,17,"0 - 2",2,"19-14",7,3,0.666667,"quad1","St. BonaventureXavier3-29",2022
"2022-03-29","post","N",true,"Xavier","BE","St. Bonaventure","A10",200,65,34,64,8,23,8,12,14,24,38,18,4,2,10,10,84,15,7,12,0.58333,38,19,30,0.63333,6,6,8,0.75,18,8,"33 - 14",19,"33-14",14,3,38.133333,"quad2","St. BonaventureXavier3-29",2022
"2022-03-29","post","N",false,"Washington St.","P12","Texas A&M","SEC",200,68,19,55,7,29,11,20,13,28,41,11,4,1,17,16,56,9,6,16,0.375,16,8,17,0.47059,1,1,2,0.5,18,5,"8 - 10",2,"70-52",7,2,0.833333,"quad1","Washington St.Texas A&M3-29",2022
"2022-03-29","post","N",true,"Texas A&M","SEC","Washington St.","P12",200,68,32,66,2,14,6,13,12,27,39,15,5,3,8,19,72,10,5,13,0.38462,58,29,45,0.64444,6,4,5,0.8,13,25,"66 - 39",27,"66-39",12,2,35.55,"quad2","Washington St.Texas A&M3-29",2022
