"","date","type","did_win","game_id","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts"
"1",2023-03-30,"post",FALSE,"UABNorth Texas3-30","UAB","CUSA","North Texas","CUSA",200,59.975,16,45,5,16,24,31,12,18,30,8,7,2,13,14,61
"2",2023-03-30,"post",TRUE,"UABNorth Texas3-30","North Texas","CUSA","UAB","CUSA",200,59.975,26,57,6,22,10,11,14,22,36,11,8,2,11,20,68
"3",2023-03-28,"post",TRUE,"North TexasWisconsin3-28","North Texas","CUSA","Wisconsin","CUSA",200,60.775,21,48,7,23,7,10,7,29,36,8,9,2,13,13,56
"4",2023-03-28,"post",FALSE,"North TexasWisconsin3-28","Wisconsin","B10","North Texas","B10",200,60.775,21,56,8,25,4,8,9,23,32,12,5,0,12,13,54
"5",2023-03-28,"post",FALSE,"Utah ValleyUAB3-28","Utah Valley","WAC","UAB","WAC",225,86.6625,31,74,5,20,19,25,14,36,50,13,8,5,15,15,86
"6",2023-03-28,"post",TRUE,"Utah ValleyUAB3-28","UAB","CUSA","Utah Valley","CUSA",225,86.6625,32,79,7,16,17,22,14,34,48,14,9,4,11,23,88
"7",2023-03-26,"post",FALSE,"CreightonSan Diego St.3-26","Creighton","BE","San Diego St.","BE",200,62.0375,22,55,2,17,10,11,9,28,37,9,3,2,10,11,56
"8",2023-03-26,"post",TRUE,"CreightonSan Diego St.3-26","San Diego St.","MWC","Creighton","MWC",200,62.0375,25,66,3,13,4,6,13,24,37,6,1,3,7,11,57
"9",2023-03-26,"post",TRUE,"Miami FLTexas3-26","Miami FL","ACC","Texas","ACC",200,72.1625,29,49,2,8,28,32,4,19,23,11,9,1,12,14,88
"10",2023-03-26,"post",FALSE,"Miami FLTexas3-26","Texas","B12","Miami FL","B12",200,72.1625,30,60,10,25,11,15,9,16,25,20,6,1,14,23,81
"11",2023-03-25,"post",TRUE,"Florida AtlanticKansas St.3-25","Florida Atlantic","CUSA","Kansas St.","CUSA",200,73,26,54,9,23,18,22,14,30,44,17,4,5,22,18,79
"12",2023-03-25,"post",FALSE,"Florida AtlanticKansas St.3-25","Kansas St.","B12","Florida Atlantic","B12",200,73,27,58,10,22,12,18,5,17,22,14,13,1,12,21,76
"13",2023-03-25,"post",TRUE,"ConnecticutGonzaga3-25","Connecticut","BE","Gonzaga","BE",200,72.05,30,72,11,31,11,14,13,35,48,21,3,5,8,18,82
"14",2023-03-25,"post",FALSE,"ConnecticutGonzaga3-25","Gonzaga","WCC","Connecticut","WCC",200,72.05,20,60,2,20,12,22,9,31,40,13,2,1,9,12,54
"15",2023-03-24,"post",TRUE,"San Diego St.Alabama3-24","San Diego St.","MWC","Alabama","MWC",200,74.475,26,69,6,17,13,22,17,31,48,10,9,8,12,18,71
"16",2023-03-24,"post",FALSE,"San Diego St.Alabama3-24","Alabama","SEC","San Diego St.","SEC",200,74.475,23,71,3,27,15,20,20,32,52,10,5,5,14,22,64
"17",2023-03-24,"post",TRUE,"Miami FLHouston3-24","Miami FL","ACC","Houston","ACC",200,69.7625,31,60,11,25,16,19,6,29,35,16,4,4,6,16,89
"18",2023-03-24,"post",FALSE,"Miami FLHouston3-24","Houston","Amer","Miami FL","Amer",200,69.7625,24,64,9,31,18,20,11,24,35,16,3,4,8,16,75
"19",2023-03-24,"post",FALSE,"PrincetonCreighton3-24","Princeton","Ivy","Creighton","Ivy",200,70.175,30,65,9,21,6,10,5,21,26,13,3,0,5,17,75
"20",2023-03-24,"post",TRUE,"PrincetonCreighton3-24","Creighton","BE","Princeton","BE",200,70.175,32,55,9,24,13,16,5,32,37,18,2,4,13,11,86
"21",2023-03-24,"post",FALSE,"XavierTexas3-24","Xavier","BE","Texas","BE",200,72.3625,28,64,7,17,8,12,10,26,36,12,2,4,12,15,71
"22",2023-03-24,"post",TRUE,"XavierTexas3-24","Texas","B12","Xavier","B12",200,72.3625,32,61,7,12,12,19,6,26,32,16,8,3,9,16,83
"23",2023-03-23,"post",FALSE,"ArkansasConnecticut3-23","Arkansas","SEC","Connecticut","SEC",200,69.9,20,63,5,16,20,27,16,15,31,7,8,2,10,19,65
"24",2023-03-23,"post",TRUE,"ArkansasConnecticut3-23","Connecticut","BE","Arkansas","BE",200,69.9,31,54,9,20,17,21,11,32,43,22,7,3,17,19,88
"25",2023-03-23,"post",TRUE,"Florida AtlanticTennessee3-23","Florida Atlantic","CUSA","Tennessee","CUSA",200,57.65,21,50,8,27,12,16,12,28,40,12,1,2,12,14,62
"26",2023-03-23,"post",FALSE,"Florida AtlanticTennessee3-23","Tennessee","SEC","Florida Atlantic","SEC",200,57.65,21,63,6,23,7,12,17,19,36,12,7,1,6,18,55
"27",2023-03-23,"post",TRUE,"GonzagaUCLA3-23","Gonzaga","WCC","UCLA","WCC",200,72.8375,32,64,6,16,9,17,16,34,50,14,2,3,16,15,79
"28",2023-03-23,"post",FALSE,"GonzagaUCLA3-23","UCLA","P12","Gonzaga","P12",200,72.8375,28,67,7,18,13,16,7,19,26,14,8,4,6,15,76
"29",2023-03-23,"post",FALSE,"Michigan St.Kansas St.3-23","Michigan St.","B10","Kansas St.","B10",225,73.025,31,63,13,25,18,22,13,24,37,18,2,6,13,16,93
"30",2023-03-23,"post",TRUE,"Michigan St.Kansas St.3-23","Kansas St.","B12","Michigan St.","B12",225,73.025,38,68,11,24,11,16,8,23,31,26,10,3,5,24,98
"31",2023-03-22,"post",TRUE,"CharlotteEastern Kentucky3-22","Charlotte","CUSA","Eastern Kentucky","CUSA",200,58.0625,29,45,10,22,3,6,2,20,22,17,4,2,10,10,71
"32",2023-03-22,"post",FALSE,"CharlotteEastern Kentucky3-22","Eastern Kentucky","ASun","Charlotte","ASun",200,58.0625,25,54,12,30,6,9,8,15,23,12,4,0,10,10,68
"33",2023-03-22,"post",TRUE,"UABVanderbilt3-22","UAB","CUSA","Vanderbilt","CUSA",200,65.225,24,64,2,15,17,17,16,31,47,8,8,3,10,15,67
"34",2023-03-22,"post",FALSE,"UABVanderbilt3-22","Vanderbilt","SEC","UAB","SEC",200,65.225,25,75,8,31,1,5,22,24,46,9,7,8,9,15,59
"35",2023-03-22,"post",FALSE,"CincinnatiUtah Valley3-22","Cincinnati","Amer","Utah Valley","Amer",200,72.7625,27,79,6,25,8,10,18,22,40,11,5,2,8,21,68
"36",2023-03-22,"post",TRUE,"CincinnatiUtah Valley3-22","Utah Valley","WAC","Cincinnati","WAC",200,72.7625,25,55,5,17,19,29,11,35,46,17,3,5,14,15,74
"37",2023-03-21,"post",TRUE,"North TexasOklahoma St.3-21","North Texas","CUSA","Oklahoma St.","CUSA",225,66.55,23,65,9,30,10,11,13,25,38,8,8,4,12,15,65
