"date","type","team","conf","opp","opp_conf","loc","result","avg_marg","opp_avg_marg","adj_o","adj_d","off_ppp","off_efg","off_to","off_or","off_ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","season","tempo","game_id","coach","opp_coach"
2011-04-04,"post","Butler","Horz","Connecticut","BE","N","L, 53-41",-4.10928,0.926246,82.8,80.7,72.4,25.8,10.6,35.7,21.9,93.6,35.5,19.4,44.7,29.1,57.4,2011,56.6,"310940041","Brad Stevens","Jim Calhoun"
2011-04-04,"post","Connecticut","BE","Butler","Horz","N","W, 53-41",4.10928,0.863562,97.9,68.7,93.6,35.5,19.4,44.7,29.1,72.4,25.8,10.6,35.7,21.9,98.3,2011,56.6,"310940041","Jim Calhoun","Brad Stevens"
2011-04-02,"post","Connecticut","BE","Kentucky","SEC","N","W, 56-55",2.98999,0.94792,100.4,73.7,88.9,48,23.8,21.4,22.4,87.4,41.1,15.9,31.9,19.4,97.2,2011,63,"310920041","Jim Calhoun","John Calipari"
2011-04-02,"post","Kentucky","SEC","Connecticut","BE","N","L, 56-55",-2.98999,0.926246,94.6,80.4,87.4,41.1,15.9,31.9,19.4,88.9,48,23.8,21.4,22.4,86.8,2011,63,"310920041","John Calipari","Jim Calhoun"
2011-04-02,"post","Butler","Horz","VCU","CAA","N","W, 70-62",1.00846,0.800117,106.3,88,105.6,42.4,13.6,38.1,44.1,93.6,46.6,15.1,15.8,22.4,89.8,2011,66.3,"310922086","Brad Stevens","Shaka Smart"
2011-04-02,"post","VCU","CAA","Butler","Horz","N","L, 70-62",-1.00846,0.863562,103.5,94.4,93.6,46.6,15.1,15.8,22.4,105.6,42.4,13.6,38.1,44.1,74.3,2011,66.3,"310922086","Shaka Smart","Brad Stevens"
2011-04-01,"post","Creighton","MVC","Oregon","P10","A","L, 71-69",-1.92122,0.812418,115.3,105.4,108.1,54.6,21.9,42.9,31.5,111.3,51.8,9.4,25.9,32.1,73.8,2011,63.8,"310912483","Greg McDermott","Dana Altman"
2011-04-01,"post","Oregon","P10","Creighton","MVC","H","W, 71-69",1.92122,0.655491,111.1,101.2,111.3,51.8,9.4,25.9,32.1,108.1,54.6,21.9,42.9,31.5,74.6,2011,63.8,"310912483","Dana Altman","Greg McDermott"
2011-03-31,"post","Alabama","SEC","Wichita St.","MVC","N","L, 66-57",-2.51522,0.878017,96.2,89.8,87.6,39.3,18.4,27,26.8,101.4,57.6,29.2,32,37,68.8,2011,65.1,"310900333","Anthony Grant","Gregg Marshall"
2011-03-31,"post","Wichita St.","MVC","Alabama","SEC","N","W, 66-57",2.51522,0.847599,112.7,87.6,101.4,57.6,29.2,32,37,87.6,39.3,18.4,27,26.8,94.8,2011,65.1,"310900333","Gregg Marshall","Anthony Grant"
