"date","conf","line","ttq","type","team1","team1_wp","team1_pts","team2","team2_wp","team2_pts","game_id","year"
2021-11-09,"ACC vs. SEC","Duke -1.7, 78-76 (56%)",91.51418285228668,"nc","Duke",0.561321685289851,77.87718129621683,"Kentucky",0.43867831471014895,76.22547990522062,"DukeKentucky11-9",2022
2021-11-09,"B12 vs. B10","Kansas -9.4, 79-69 (81%)",70.74172314309482,"nc","Kansas",0.8124086727738338,78.71099618734779,"Michigan St.",0.18759132722616623,69.29185843170139,"KansasMichigan St.11-9",2022
2021-11-09,"OVC at MAC","Belmont -0.8, 71-70 (53%)",66.91116559905878,"nc","Belmont",0.5313573467189266,70.967027925853,"Ohio",0.46864265328107335,70.19619710608578,"BelmontOhio11-9",2022
2021-11-09,"WAC at P12","Utah -3.2, 74-71 (63%)",60.1769900595007,"nc","Abilene Christian",0.37369019553751553,70.58482208448244,"Utah",0.6263098044624844,73.82674420927297,"Abilene ChristianUtah11-9",2022
2021-11-09,"MVC at Sum","South Dakota St. -6.1, 77-71 (72%)",59.48235947221858,"nc","Bradley",0.2792352567151528,70.70811500129086,"South Dakota St.",0.7207647432848472,76.78563494258657,"BradleySouth Dakota St.11-9",2022
2021-11-09,"CUSA at SEC","Alabama -11.0, 83-71 (84%)",58.04953091047631,"nc","Louisiana Tech",0.16103536078994682,71.49662410382501,"Alabama",0.8389646392100532,82.53115425895759,"Louisiana TechAlabama11-9",2022
2021-11-09,"CAA at MVC","Illinois St. -1.4, 71-70 (55%)",55.38869040977781,"nc","UNC Wilmington",0.44508945724837606,69.93987851763238,"Illinois St.",0.5549105427516239,71.29403461298763,"UNC WilmingtonIllinois St.11-9",2022
2021-11-09,"MAC at MVC","Toledo -3.6, 73-70 (64%)",53.91400447044512,"nc","Toledo",0.640683280155452,73.31447334003687,"Valparaiso",0.35931671984454805,69.71868716095834,"ToledoValparaiso11-9",2022
2021-11-09,"MAAC at A10","VCU -6.7, 63-56 (79%)",53.621024933682776,"nc","Saint Peter's",0.214451421717804,56.35580150270568,"VCU",0.785548578282196,63.09116603685527,"Saint Peter'sVCU11-9",2022
2021-11-09,"CAA at Amer","Houston -19.2, 79-60 (96%)",50.952372954797475,"nc","Hofstra",0.03950213087461329,60.14019006963685,"Houston",0.9604978691253868,79.37353865898491,"HofstraHouston11-9",2022
2021-11-09,"MAAC at CUSA","Charlotte -2.7, 69-66 (61%)",50.16673182961555,"nc","Monmouth",0.3883610658994956,66.29022871728355,"Charlotte",0.6116389341005044,68.96083510466472,"MonmouthCharlotte11-9",2022
2021-11-09,"OVC at SEC","Auburn -14.8, 74-59 (93%)",49.77032103071508,"nc","Morehead St.",0.07202357334303941,59.3963280381064,"Auburn",0.9279764266569606,74.17998682838748,"Morehead St.Auburn11-9",2022
2021-11-09,"MAAC at A10","Rider -0.2, 67-66 (51%)",49.597229169182704,"nc","Rider",0.509249050057223,66.67394734705935,"Duquesne",0.490750949942777,66.45977345777835,"RiderDuquesne11-9",2022
2021-11-09,"WAC at WCC","Gonzaga -33.7, 96-63 (99%)",49.26851032458562,"nc","Dixie St.",0.00694225182590541,62.51605679288984,"Gonzaga",0.9930577481740944,96.25518011925564,"Dixie St.Gonzaga11-9",2022
2021-11-09,"BSth at B10","Iowa -19.3, 86-67 (95%)",48.94513491002533,"nc","Longwood",0.0513976895596277,66.93767785595173,"Iowa",0.9486023104403722,86.25212886534983,"LongwoodIowa11-9",2022
