"","rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
"1",1,"Houston","Amer","26-2",0.961808572910265,121.127702761205,3,91.4969714694884,6,63.3522286336002,346,"28.6-2.4","16.6-1.4",6.88722946478359,3,2023-02-24
"2",2,"Alabama","SEC","24-4",0.953874456198409,118.344172348527,13,90.9392250369591,5,73.3501674142505,3,"26.2-4.8","16.2-1.8",7.92843631702601,2,2023-02-24
"3",3,"UCLA","P12","24-4",0.946873280980892,114.741570932218,27,89.3182119863217,2,66.7260881505118,227,"26.4-4.6","17.4-2.6",6.22256031010147,5,2023-02-24
"4",4,"Purdue","B10","24-4",0.939543812928252,119.116328207173,8,93.8349580813554,15,64.2820878428018,329,"26.4-4.6","15.4-4.6",6.85664590174604,4,2023-02-24
"5",5,"Tennessee","SEC","20-8",0.939229167766831,111.05788632922,67,87.5288972461843,1,66.3289364148437,252,"22.3-8.7","11.3-6.7",2.82787256023239,22,2023-02-24
"6",6,"Saint Mary's","WCC","25-5",0.937781805279497,113.809345070987,35,89.8932551468514,3,62.5005433987519,356,"25.5-5.5","14.5-1.5",3.72923092396399,15,2023-02-24
"7",7,"Connecticut","BE","21-7",0.926706940802654,118.915748676373,10,95.3726302327135,25,67.4826400697786,181,"23.4-7.6","12.4-7.6",3.75198504796819,14,2023-02-24
"8",8,"Arizona","P12","24-4",0.922779282378333,120.046345421983,5,96.7531508424025,35,72.8335675828724,7,"25.7-5.3","14.7-5.3",6.08427439741325,6,2023-02-24
"9",9,"San Diego St.","MWC","22-5",0.922114118976972,115.02202407812,24,92.7787070048836,9,67.1392539044487,204,"24-6","15-3",4.59571628408443,11,2023-02-24
"10",10,"Kansas","B12","23-5",0.914718308973408,115.844708980293,22,94.2482853288204,18,69.5226231917176,87,"24.9-6.1","12.9-5.1",8.73781228149791,1,2023-02-24
"11",11,"Texas","B12","22-6",0.912160922503377,118.106667974042,15,96.3592090141441,30,69.2041859249476,104,"23.4-7.6","12.4-5.6",6.0428263183344,7,2023-02-24
"12",12,"Creighton","BE","18-10",0.911895807383773,114.866175442843,26,93.7423329163612,13,67.9544801380424,164,"20.5-10.5","14.5-5.5",1.73830086788141,34,2023-02-24
"13",13,"Baylor","B12","20-8",0.909419056615799,123.191104579246,2,100.802809194672,90,67.2511979334549,197,"21.8-9.2","10.8-7.2",5.22824565368553,9,2023-02-24
"14",14,"Gonzaga","WCC","24-5",0.90682732929233,123.575126121062,1,101.390553124974,104,70.7145903421398,39,"25.5-5.5","13.5-2.5",5.36917998800359,8,2023-02-24
"15",15,"Marquette","BE","22-6",0.898372190660554,120.238443381731,4,99.4818584659366,72,69.6267326157106,83,"24.6-6.4","16.6-3.4",5.04395699572524,10,2023-02-24
"16",16,"Texas A&M","SEC","21-7",0.895233425617756,116.325582242704,19,96.5287463284801,32,66.4330856501556,245,"22.7-8.3","14.7-3.3",2.39548176241546,26,2023-02-24
"17",17,"Arkansas","SEC","19-9",0.894814100298506,112.206083207967,52,93.1464649015059,10,69.7374050520392,78,"20.2-10.8","9.2-8.8",1.40840006388087,39,2023-02-24
"18",18,"Iowa St.","B12","17-10",0.890206740878478,110.209215637893,82,91.871711500353,8,64.6480848916618,320,"18.8-11.2","9.8-8.2",2.46737227221334,25,2023-02-24
"19",19,"Xavier","BE","21-8",0.885851156219303,119.5777694035,6,100.061906852308,80,71.3015528401833,27,"22.4-8.6","14.4-5.6",3.55557661283865,17,2023-02-24
"20",20,"Auburn","SEC","19-9",0.884988146921991,112.119428650956,54,93.8902410308117,16,68.2256424165546,153,"20.1-10.9","10.1-7.9",1.52236558655552,37,2023-02-24
"21",21,"West Virginia","B12","16-12",0.883121803301229,117.381419590542,16,98.4524585442984,57,68.8637480348755,120,"17.3-13.7","6.3-11.7",0.761120246737253,45,2023-02-24
"22",22,"Kansas St.","B12","21-7",0.881804980705896,111.728852251239,58,93.8149390562998,14,69.9229782518875,64,"22.6-8.4","10.6-7.4",4.40084474356731,12,2023-02-24
"23",23,"TCU","B12","18-10",0.880769995785666,112.454317046252,51,94.5053505507205,19,70.4287081406895,45,"19.6-11.4","8.6-9.4",1.51936478122275,38,2023-02-24
"24",24,"Michigan St.","B10","17-10",0.863109915355839,111.753490256036,57,95.2187502846426,24,65.0668331621333,309,"19.8-11.2","10.9-8.1",2.22392793403819,28,2023-02-24
"25",25,"Boise St.","MWC","22-6",0.861816077909243,109.796370655385,90,93.6399735421357,12,67.3763106855717,187,"23.5-7.5","13.5-4.5",2.89969163945931,21,2023-02-24
