"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
45,"Alabama","SEC","0-0",0.807424338969094,104.067275651053,104,91.8721145782627,16,65.59529706,321,"19.9-13.1","9.9-8.1",0,175,2014-11-13
41,"Alabama","SEC","1-0",0.82021964404434,104.549838590049,93,91.6226137890679,22,65.7094085055853,319,"20.3-12.7","10.1-7.9",0.0465754257728401,73,2014-11-14
41,"Alabama","SEC","1-0",0.820051466704215,104.56960815327,94,91.649024334681,22,65.7076428882359,317,"20.3-12.7","10.1-7.9",0.046633090585247,90,2014-11-15
40,"Alabama","SEC","1-0",0.819818703693029,104.519065149548,93,91.6172854123322,21,65.7034194382857,317,"20.3-12.7","10.2-7.8",0.0474024266914689,102,2014-11-16
50,"Alabama","SEC","2-0",0.799293619311028,104.777988576622,85,92.9145056993661,31,66.28319904045,299,"19.6-13.4","9.7-8.3",0.121689375885764,61,2014-11-17
49,"Alabama","SEC","2-0",0.798908600748885,104.77115554222,81,92.9278241652611,32,66.2411711815271,297,"19.5-13.5","9.6-8.4",0.117506294029511,69,2014-11-18
49,"Alabama","SEC","2-0",0.798465917147878,104.735373174936,83,92.9183298295059,34,66.1911672780428,292,"19.5-13.5","9.6-8.4",0.113967462882784,71,2014-11-19
49,"Alabama","SEC","3-0",0.808650609856713,106.15472392867,58,93.6505421746687,41,66.0995869025513,296,"19.8-13.2","9.7-8.3",0.132347295523868,71,2014-11-20
48,"Alabama","SEC","3-0",0.810480397687091,106.407584935342,56,93.7767842531833,45,66.1050001256439,289,"19.8-13.2","9.8-8.2",0.134494929451312,76,2014-11-21
47,"Alabama","SEC","3-0",0.812353848315177,106.613073722066,55,93.8579034340773,45,66.1415981656017,281,"19.9-13.1","9.9-8.1",0.136122920513187,79,2014-11-22
48,"Alabama","SEC","3-0",0.81197727554693,106.468207296021,56,93.750490209601,46,66.2113069033927,269,"19.8-13.2","9.8-8.2",0.136990249289719,78,2014-11-23
47,"Alabama","SEC","3-1",0.810406730915761,106.741674339741,56,94.0751391920952,51,66.7367452721344,243,"19.5-13.5","9.9-8.1",-0.166405128690964,113,2014-11-24
48,"Alabama","SEC","4-1",0.807085162617646,107.33482524953,51,94.7747184515122,68,66.9517528422836,213,"19.7-13.3","9.7-8.3",0.263875012434953,57,2014-11-25
50,"Alabama","SEC","4-1",0.807019285172291,107.403138107528,52,94.8385262611476,69,66.9658923524544,214,"19.7-13.3","9.8-8.2",0.247030419497829,61,2014-11-26
48,"Alabama","SEC","4-1",0.806903924627494,107.389925077072,52,94.8329656872926,69,66.9478974072818,210,"19.8-13.2","9.8-8.2",0.255932833221799,62,2014-11-27
51,"Alabama","SEC","4-1",0.807194086531203,107.508746606601,51,94.9225120254234,66,66.8657564229322,201,"19.9-13.1","9.9-8.1",0.236951972769467,64,2014-11-28
52,"Alabama","SEC","4-1",0.80566410814368,107.387507529033,53,94.8963105259762,67,66.8289922587924,193,"19.7-13.3","9.7-8.3",0.239735058095237,62,2014-11-29
57,"Alabama","SEC","4-1",0.800266660569127,107.322830376504,53,95.1209334712189,73,66.9009023241983,185,"19.5-13.5","9.6-8.4",0.232591106510744,59,2014-11-30
59,"Alabama","SEC","4-1",0.79959274718332,107.292048612735,53,95.1284773568716,73,66.9342292147947,178,"19.4-13.6","9.5-8.5",0.232767769003906,60,2014-12-01
60,"Alabama","SEC","5-1",0.79890635194741,107.60993797223,51,95.4458268069177,80,67.8734936660651,124,"19.4-13.6","9.4-8.6",0.274070858678339,56,2014-12-02
58,"Alabama","SEC","5-1",0.802036155758417,107.559353854553,52,95.2385337181461,76,67.8296477708177,124,"19.5-13.5","9.5-8.5",0.279830360420665,57,2014-12-03
54,"Alabama","SEC","5-1",0.804425342867311,107.517887690446,51,95.0767573130826,72,67.8823778962231,120,"19.6-13.4","9.6-8.4",0.286880386958964,56,2014-12-04
53,"Alabama","SEC","5-1",0.805436855705324,107.496770499939,51,95.0048489123044,70,67.9104158759207,113,"19.6-13.4","9.6-8.4",0.294725875453177,57,2014-12-05
60,"Alabama","SEC","5-2",0.792521871649972,108.353263078403,48,96.4339405165587,89,68.6107036402284,77,"18.9-14.1","9.2-8.8",0.078252773571405,64,2014-12-06
64,"Alabama","SEC","5-2",0.789160446140687,108.260486468423,49,96.5217853377443,93,68.6972563293817,73,"18.7-14.3","9.1-8.9",0.0921532527062459,67,2014-12-07
62,"Alabama","SEC","5-2",0.7887455423702,108.241792102655,50,96.5260310237484,93,68.7185201040151,70,"18.5-14.5","9-9",0.0824684004614161,64,2014-12-08
61,"Alabama","SEC","5-2",0.788726190828216,108.335983525769,48,96.6110030839815,96,68.8375643060596,68,"18.6-14.4","9-9",0.0912761543212275,65,2014-12-09
61,"Alabama","SEC","5-2",0.787794907262987,108.23209618099,49,96.5652004922437,96,68.8795277465379,66,"18.6-14.4","9-9",0.079469865745115,64,2014-12-10
62,"Alabama","SEC","5-2",0.788107631807468,108.247827050269,49,96.563518363205,95,68.877431351082,66,"18.6-14.4","9-9",0.0689852373980601,64,2014-12-11
60,"Alabama","SEC","5-2",0.790675058216795,108.258246196156,48,96.4432145859616,93,68.8662217093375,66,"18.7-14.3","9-9",0.0699119995760088,63,2014-12-12
66,"Alabama","SEC","6-2",0.771783505314788,108.129043612548,49,97.2589220825146,107,67.7812682827321,108,"18.1-14.9","8.5-9.5",0.108831645298184,58,2014-12-13
67,"Alabama","SEC","6-2",0.768451216675217,107.938911199525,51,97.2469442241245,108,67.7297186952934,111,"18-15","8.4-9.6",0.103585490350976,58,2014-12-14
69,"Alabama","SEC","6-2",0.767793214930731,107.8959401251,52,97.2394626129547,108,67.6886224530488,113,"18-15","8.4-9.6",0.117234229633637,58,2014-12-15
59,"Alabama","SEC","6-3",0.790590907286943,108.23160741744,49,96.4237454774882,97,66.5295756141042,171,"18.5-14.5","8.9-9.1",-0.0236048878762004,64,2014-12-16
59,"Alabama","SEC","6-3",0.79020288371224,108.267480758199,50,96.4753518037375,96,66.45971135422,176,"18.5-14.5","8.9-9.1",-0.0506770521979308,64,2014-12-17
59,"Alabama","SEC","6-3",0.783321434457696,107.992591713439,55,96.5742706808833,95,66.4749708605383,172,"18.3-14.7","8.8-9.2",-0.050807047297029,64,2014-12-18
59,"Alabama","SEC","6-3",0.784412859479901,108.014627303188,52,96.5398807912757,93,66.5475253087387,166,"18.4-14.6","8.8-9.2",-0.0264104982742755,63,2014-12-19
66,"Alabama","SEC","6-3",0.778802486156094,107.992074129806,52,96.7959871146625,95,66.6628871400338,157,"18.3-14.7","8.6-9.4",-0.0587478728662326,59,2014-12-20
82,"Alabama","SEC","7-3",0.73828940780322,107.079617950424,66,97.8455618678868,117,66.3817674765421,170,"17.3-15.7","7.8-10.2",-0.0426433192321053,57,2014-12-21
78,"Alabama","SEC","7-3",0.740292027809774,106.993171928633,66,97.6782778521541,117,66.5494612714209,159,"17.3-15.7","7.7-10.3",-0.0341452844179259,55,2014-12-22
78,"Alabama","SEC","7-3",0.74331662902481,106.987123454437,65,97.5387231623523,115,66.5470897488655,161,"17.4-15.6","7.8-10.2",-0.03954744564177,58,2014-12-23
78,"Alabama","SEC","7-3",0.74331662902449,106.98712345443,65,97.5387231623602,115,66.5469306614384,161,"17.4-15.6","7.8-10.2",-0.0395474456393221,58,2014-12-24
79,"Alabama","SEC","7-3",0.742499896704876,106.983583500834,65,97.5717704081214,115,66.5542574444791,159,"17.4-15.6","7.7-10.3",-0.0356595859150487,58,2014-12-25
