"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
208,"Albany","AE","0-0",0.427847097786272,99.5490274227202,215,102.096999569379,203,65.75067286,316,"18-15","10.3-5.7",0,268,2014-11-13
208,"Albany","AE","0-0",0.42687070479443,99.5317813859962,211,102.114733440234,207,65.75067286,316,"18.2-14.8","10.5-5.5",0,204,2014-11-14
198,"Albany","AE","0-1",0.443890259304702,99.1740419409211,219,101.136924526495,183,65.9655128332477,311,"18.6-14.4","10.7-5.3",-0.230278225678109,238,2014-11-15
199,"Albany","AE","0-1",0.443522444305137,99.1267918622901,220,101.101839003401,186,65.961220089812,312,"18.5-14.5","10.7-5.3",-0.227248885950678,215,2014-11-16
197,"Albany","AE","0-1",0.443903130964517,99.1886765546633,211,101.151390152681,188,65.9460500067834,313,"18.6-14.4","10.7-5.3",-0.225156247927926,188,2014-11-17
198,"Albany","AE","0-1",0.443378090970269,99.1813121542142,209,101.162590625034,188,65.9259551355655,310,"18.6-14.4","10.7-5.3",-0.231732275096851,170,2014-11-18
175,"Albany","AE","1-1",0.485325140273583,98.1501447958888,225,98.6525579212867,135,66.1870474844108,293,"19.7-13.3","11.1-4.9",-0.144541239017225,143,2014-11-19
171,"Albany","AE","1-1",0.488245270079628,98.1918502419784,224,98.5942137393371,135,66.1353551907302,292,"19.7-13.3","11.2-4.8",-0.153356833910521,130,2014-11-20
173,"Albany","AE","1-1",0.487206215580104,98.192085745073,222,98.6301112003817,137,66.1030273932575,290,"19.9-13.1","11.2-4.8",-0.148836130628064,124,2014-11-21
168,"Albany","AE","1-2",0.497963763855555,98.558893902187,213,98.6287239470013,135,65.5961784227298,303,"19.6-13.4","11.3-4.7",-1.03890194086135,244,2014-11-22
170,"Albany","AE","1-2",0.49811993429991,98.4832709527296,213,98.5476940643452,135,65.6142401442183,299,"19.5-13.5","11.3-4.7",-1.0364797999537,234,2014-11-23
169,"Albany","AE","1-2",0.499365989689156,98.5462104453884,214,98.5679447885719,136,65.7048253806598,298,"19.6-13.4","11.3-4.7",-1.03632972384594,227,2014-11-24
167,"Albany","AE","1-2",0.496255840836563,98.5975016816198,211,98.7259928600315,139,65.695921856073,291,"19.5-13.5","11.2-4.8",-1.03770500128789,206,2014-11-25
159,"Albany","AE","2-2",0.513078052980562,100.171322240622,168,99.7165854528636,164,65.4440781342625,297,"20.2-12.8","11.3-4.7",-0.788724376435325,172,2014-11-26
157,"Albany","AE","2-2",0.512940254230168,100.164523370847,168,99.7145998908642,164,65.4309768326864,296,"20.2-12.8","11.3-4.7",-0.780264403496606,166,2014-11-27
153,"Albany","AE","2-2",0.513907811088383,100.245494771633,168,99.7616037723456,163,65.3482817393409,294,"20.2-12.8","11.3-4.7",-0.798173637435694,153,2014-11-28
162,"Albany","AE","2-3",0.487971501342134,99.6558061265468,180,100.073702865427,168,65.5851141151252,268,"19.4-13.6","11-5",-1.31712325375705,196,2014-11-29
162,"Albany","AE","2-3",0.492715811617719,99.6958200647465,181,99.9487506351051,164,65.746624547378,252,"19.4-13.6","11-5",-1.32718308488573,190,2014-11-30
163,"Albany","AE","2-3",0.492750913645548,99.6894777276829,180,99.9411717203097,163,65.7286621941397,250,"19.5-13.5","11-5",-1.32691788661159,186,2014-12-01
163,"Albany","AE","2-3",0.491827807374554,99.7123313796556,182,99.9961923845021,162,65.7038804769378,252,"19.6-13.4","11.2-4.8",-1.32775641779351,182,2014-12-02
196,"Albany","AE","2-4",0.431439725589626,99.2969486363189,198,101.708721920213,194,65.1823647175283,271,"17.8-15.2","10.3-5.7",-2.26708418780072,241,2014-12-03
196,"Albany","AE","2-4",0.430642112099343,99.260437222643,199,101.700081462877,195,65.1749626598784,270,"17.8-15.2","10.3-5.7",-2.25753557826173,241,2014-12-04
198,"Albany","AE","2-4",0.427361440377339,99.1554921401127,201,101.710939546136,198,65.2080153711077,266,"17.6-15.4","10.3-5.7",-2.24691791619901,240,2014-12-05
219,"Albany","AE","2-5",0.380910260900511,98.9459838140536,202,103.214328487974,231,64.7901822587195,274,"16.5-16.5","9.9-6.1",-3.05704993186878,276,2014-12-06
221,"Albany","AE","2-5",0.377929263550403,98.9873670430489,202,103.371235605765,236,64.8850532435534,270,"16.4-16.6","9.9-6.1",-3.03898746226934,271,2014-12-07
