"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
124,"American","Pat","0-0",0.598680613403085,100.065662276214,203,96.6451994456038,84,64.07906334,345,"18.5-14.5","11.3-6.7",0,74,2014-11-13
131,"American","Pat","0-1",0.572691063960441,97.2724661057667,248,94.8267644576218,49,63.2145107274596,349,"17.1-15.9","10.7-7.3",-0.354912059916156,280,2014-11-14
131,"American","Pat","0-1",0.572286450804525,97.2837066161068,250,94.8513568751948,49,63.2130254457351,349,"17.1-15.9","10.6-7.4",-0.354614982266626,264,2014-11-15
131,"American","Pat","0-1",0.572147752434813,97.2497772299595,247,94.8229476970275,52,63.2094726070479,349,"17.1-15.9","10.7-7.3",-0.350695207119766,238,2014-11-16
143,"American","Pat","1-1",0.553855358178304,96.1046121343279,270,94.3142280904365,50,62.5570930401104,350,"16.9-16.1","10.5-7.5",-0.273197026163373,199,2014-11-17
143,"American","Pat","1-1",0.553284878668527,96.0981049851214,266,94.3267746574957,50,62.5231465508112,350,"17-16","10.5-7.5",-0.284250747520284,182,2014-11-18
143,"American","Pat","1-1",0.55267795742457,96.0707210974748,264,94.3200307270165,50,62.4813214797415,350,"16.9-16.1","10.4-7.6",-0.293902882781521,165,2014-11-19
142,"American","Pat","1-1",0.552440125548819,96.0620822861407,263,94.3194386833255,54,62.4605532054971,350,"16.9-16.1","10.4-7.6",-0.303740282976011,153,2014-11-20
133,"American","Pat","2-1",0.572930345661538,95.6376347387571,271,93.2251099061139,38,61.6707853712788,351,"17.6-15.4","10.7-7.3",-0.26522306677843,139,2014-11-21
156,"American","Pat","2-2",0.524716698867613,95.1433671633442,279,94.3282533679781,54,60.2513421720536,351,"16.3-16.7","10-8",-0.759745313697165,204,2014-11-22
155,"American","Pat","3-2",0.524724305247317,93.7531596495965,296,92.9497095428306,35,59.8935850224121,351,"16.8-16.2","10.1-7.9",-0.545627500756957,170,2014-11-23
154,"American","Pat","3-2",0.524203663987538,93.7744472082298,297,92.9876929334609,35,59.8890311254447,351,"17.1-15.9","10.2-7.8",-0.545312614611319,167,2014-11-24
153,"American","Pat","3-2",0.522381038473652,93.7554238328544,294,93.0279143893241,35,59.8461169618514,351,"17.1-15.9","10.3-7.7",-0.548089313471128,157,2014-11-25
158,"American","Pat","4-2",0.514855550064797,94.4179268098682,287,93.9311708143082,53,58.9288334086137,351,"17.4-15.6","10.2-7.8",-0.421491793693388,133,2014-11-26
156,"American","Pat","4-2",0.514686741069649,94.4051451057795,286,93.9239745155888,53,58.9129861064125,351,"17.5-15.5","10.2-7.8",-0.40820587005526,128,2014-11-27
155,"American","Pat","4-2",0.51292832612784,94.4897208677355,284,94.0656782492082,54,58.836223096995,351,"17.5-15.5","10.3-7.7",-0.436381383334533,123,2014-11-28
155,"American","Pat","4-3",0.506162635324091,93.383851817137,303,93.1838854322233,37,58.3038312570019,351,"17.3-15.7","10.2-7.8",-1.12565564305071,182,2014-11-29
158,"American","Pat","4-3",0.504229110205374,93.4617682676138,304,93.3243842815033,39,58.2715563142776,351,"17.2-15.8","10.2-7.8",-1.13912584237185,178,2014-11-30
158,"American","Pat","4-3",0.503275811189936,93.4694406833027,303,93.3629995547414,41,58.3456182699496,351,"17.2-15.8","10.2-7.8",-1.13877581966621,176,2014-12-01
159,"American","Pat","4-3",0.498708383617227,93.3961672542236,305,93.4381357375855,40,58.4027256079313,351,"17.1-15.9","10.1-7.9",-1.13993937261891,170,2014-12-02
155,"American","Pat","5-3",0.522163567828121,93.97583407111,292,93.2536819690864,38,57.4797116462287,351,"18.1-14.9","10.4-7.6",-0.969456577439396,146,2014-12-03
155,"American","Pat","5-3",0.518653713705456,93.9589200642085,291,93.3509834656889,42,57.541775656598,351,"18.1-14.9","10.4-7.6",-0.955813692208807,143,2014-12-04
154,"American","Pat","5-3",0.518470620289644,93.9564160968344,291,93.3544489618981,43,57.5330241453621,351,"18.1-14.9","10.3-7.7",-0.940622112570372,143,2014-12-05
156,"American","Pat","5-4",0.504001553465048,93.8069808130896,298,93.676504102579,48,57.7811071828606,351,"18.1-14.9","10.5-7.5",-1.32865672228867,168,2014-12-06
157,"American","Pat","5-4",0.502521876623027,93.7745689023094,297,93.6923476130769,50,57.773268814791,351,"18-15","10.5-7.5",-1.30299174777865,162,2014-12-07
156,"American","Pat","5-4",0.504977681539608,93.7893965626634,297,93.6271477867565,49,57.8392816925237,351,"18.1-14.9","10.6-7.4",-1.32078955900917,160,2014-12-08
156,"American","Pat","5-4",0.503974251553379,93.7551051618452,297,93.6255897561287,49,57.8196347300873,351,"18.4-14.6","10.8-7.2",-1.30465089226622,159,2014-12-09
156,"American","Pat","5-4",0.504607450161458,93.6746195597029,299,93.5246134090945,50,57.9734326493549,351,"18.3-14.7","10.8-7.2",-1.32634915429996,157,2014-12-10
158,"American","Pat","5-4",0.504349009523925,93.6854650107258,300,93.5438506703461,50,57.9717361670638,351,"18.3-14.7","10.8-7.2",-1.34564654997624,156,2014-12-11
158,"American","Pat","5-4",0.503772823293278,93.6790407880708,300,93.5561853570418,50,57.9783339834658,351,"18.3-14.7","10.8-7.2",-1.34394326656849,157,2014-12-12
155,"American","Pat","5-4",0.5040149687378,93.5744516056204,300,93.4438622663322,45,57.912134165838,351,"18.2-14.8","10.7-7.3",-1.3543613987257,154,2014-12-13
154,"American","Pat","5-4",0.50486700438636,93.5489117728206,297,93.3906745021005,43,57.9458236175532,351,"18.3-14.7","10.8-7.2",-1.36338712527717,153,2014-12-14
155,"American","Pat","5-4",0.505249446656911,93.5517740913402,298,93.3811080082634,44,57.9523892007548,351,"18.3-14.7","10.8-7.2",-1.340033712087,152,2014-12-15
145,"American","Pat","6-4",0.5358951665788,94.0339535252488,291,92.8652143452356,42,57.659847717752,351,"19.7-13.3","11.3-6.7",-0.848883454542165,119,2014-12-16
143,"American","Pat","6-4",0.537734326010459,94.230523397508,287,92.9995049810335,41,57.8008133889488,351,"19.7-13.3","11.3-6.7",-0.896207593044517,115,2014-12-17
142,"American","Pat","6-4",0.539806600552406,94.2870926583281,287,92.9878804007864,41,57.7650131345017,351,"19.8-13.2","11.4-6.6",-0.895856350437531,113,2014-12-18
145,"American","Pat","6-4",0.529564448796193,94.1548913796778,288,93.1905117107435,45,57.7015621135971,351,"19.6-13.4","11.2-6.8",-0.853685328949587,114,2014-12-19
155,"American","Pat","7-4",0.502725835413724,92.8907448091801,303,92.8027144119646,45,57.2582537118183,351,"19.1-13.9","10.7-7.3",-0.857756601330294,108,2014-12-20
153,"American","Pat","7-4",0.505729217782414,92.8576303374751,304,92.6727624770296,44,57.1432797216325,351,"19.3-13.7","10.9-7.1",-0.885527115716335,106,2014-12-21
154,"American","Pat","7-4",0.514982358510342,92.9016390880278,304,92.4186200059441,42,57.2674716229876,351,"19.7-13.3","11.2-6.8",-0.871379951113097,103,2014-12-22
161,"American","Pat","7-5",0.4863019013569,93.0574692594461,302,93.5020162216107,58,56.6643300279567,351,"18.9-14.1","10.8-7.2",-1.55246828545089,136,2014-12-23
161,"American","Pat","7-5",0.48630190135926,93.0574692594828,302,93.5020162215707,58,56.6641914428796,351,"18.9-14.1","10.8-7.2",-1.55246828544608,136,2014-12-24
161,"American","Pat","7-5",0.486539520588873,93.0808156119821,300,93.5177388204928,58,56.6601905953713,351,"18.9-14.1","10.8-7.2",-1.54483643491189,135,2014-12-25
161,"American","Pat","7-5",0.486896432350027,93.1057671303636,300,93.531187277392,58,56.6604350849856,351,"18.9-14.1","10.8-7.2",-1.54426581851641,135,2014-12-26
160,"American","Pat","7-5",0.489111642718872,93.1575146741584,300,93.5110508455111,59,56.6303654361189,351,"19-14","10.9-7.1",-1.63174965741447,134,2014-12-27
