"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
308,"Appalachian St.","SB","0-0",0.201757781558407,93.2737409730868,315,105.123281336967,275,67.95695383,174,"9-20","6.9-13.1",0,141,2014-11-13
307,"Appalachian St.","SB","0-0",0.201115984856778,93.257582077276,314,105.141540861761,277,67.95695383,187,"8.8-20.2","6.7-13.3",0,160,2014-11-14
317,"Appalachian St.","SB","0-1",0.179252427791073,91.7573962054803,324,104.736276424713,272,68.1678368273362,162,"8-21","6.1-13.9",-0.806083329046867,318,2014-11-15
314,"Appalachian St.","SB","0-1",0.179179426064062,91.7204643053894,325,104.698638747519,274,68.1634065092442,166,"7.9-21.1","6.1-13.9",-0.803385269957981,304,2014-11-16
314,"Appalachian St.","SB","0-1",0.178872808055613,91.698802516256,324,104.692902187792,275,68.1588240601915,164,"8-21","6.1-13.9",-0.801489941005117,284,2014-11-17
313,"Appalachian St.","SB","0-1",0.178548322598691,91.6912432367319,324,104.704398503072,275,68.135900188706,167,"8-21","6.1-13.9",-0.807359594539197,274,2014-11-18
330,"Appalachian St.","SB","0-2",0.14104824123028,91.0712430581149,328,106.563247446085,312,68.2055930158391,155,"6.4-22.6","5.1-14.9",-1.71005283641762,340,2014-11-19
331,"Appalachian St.","SB","0-2",0.140953793761491,91.0633537127765,330,106.561241459236,312,68.1750183647031,151,"6.4-22.6","5.1-14.9",-1.71805759773452,336,2014-11-20
330,"Appalachian St.","SB","0-2",0.140460680214205,91.0673240047797,329,106.603687038671,310,68.1430032655679,149,"6.3-22.7","5-15",-1.71397900843945,321,2014-11-21
318,"Appalachian St.","SB","1-2",0.16232640451417,91.5424574580272,327,105.583300237773,292,68.3158762988528,132,"8-21","5.6-14.4",-1.39399323350444,281,2014-11-22
321,"Appalachian St.","SB","1-2",0.161925344668985,91.5032097424728,325,105.565131175975,293,68.2919512495737,129,"7.9-21.1","5.6-14.4",-1.39089991850306,269,2014-11-23
308,"Appalachian St.","SB","2-2",0.18753164600303,92.8393614500999,307,105.463003377014,294,68.5555442347308,118,"9.3-19.7","6.3-13.7",-1.34360371508909,255,2014-11-24
311,"Appalachian St.","SB","2-2",0.184275039247867,92.7471810351656,307,105.555616844456,299,68.4726041871572,117,"9.2-19.8","6.2-13.8",-1.34553206999269,244,2014-11-25
309,"Appalachian St.","SB","2-2",0.184705203075213,92.6507405678077,307,105.419645338362,293,68.4853929783417,116,"9.3-19.7","6.3-13.7",-1.3598413210378,234,2014-11-26
309,"Appalachian St.","SB","2-2",0.184633549446021,92.6424232300283,308,105.4145439017,293,68.4703534785753,121,"9.3-19.7","6.3-13.7",-1.35219263144087,227,2014-11-27
309,"Appalachian St.","SB","2-2",0.184483550911437,92.7023794325089,310,105.491908398089,291,68.4320331983633,115,"9.4-19.6","6.4-13.6",-1.36833948713874,219,2014-11-28
310,"Appalachian St.","SB","2-2",0.184864654595599,92.6551007236597,314,105.414903220235,289,68.3773989767373,110,"9.5-19.5","6.5-13.5",-1.36602133882228,204,2014-11-29
310,"Appalachian St.","SB","2-2",0.185853581187716,92.6521121422371,314,105.351489254536,286,68.3008041462865,110,"9.5-19.5","6.6-13.4",-1.37222135362781,196,2014-11-30
311,"Appalachian St.","SB","2-2",0.184734040706047,92.713377786824,313,105.48915854972,289,68.2522235821119,113,"9.4-19.6","6.5-13.5",-1.37205830362881,193,2014-12-01
310,"Appalachian St.","SB","2-2",0.184229808075127,92.781238099098,311,105.597140440169,290,68.2793142581744,98,"9.3-19.7","6.3-13.7",-1.37257377866405,187,2014-12-02
307,"Appalachian St.","SB","2-2",0.185088870800275,92.9420124738158,311,105.727652320589,293,68.1825751272408,99,"9.2-19.8","6.3-13.7",-1.36794681209107,177,2014-12-03
303,"Appalachian St.","SB","3-2",0.201175669601021,93.0717014810078,308,104.928584085314,276,67.6750120333614,130,"10.1-18.9","6.7-13.3",-1.31521752085004,171,2014-12-04
303,"Appalachian St.","SB","3-2",0.201143968031599,93.0768393867918,310,104.936176662963,275,67.6672317820949,125,"10.1-18.9","6.7-13.3",-1.30845493273144,169,2014-12-05
299,"Appalachian St.","SB","3-2",0.199860185792046,93.2161487400314,306,105.166448422271,279,67.708572802563,119,"10.1-18.9","6.7-13.3",-1.31973404238947,167,2014-12-06
301,"Appalachian St.","SB","3-3",0.188141077227614,92.1665388649908,316,104.662331274101,267,67.1752446294115,154,"9.5-19.5","6.4-13.6",-2.1575061335072,222,2014-12-07
303,"Appalachian St.","SB","3-3",0.187030396574827,92.1440978431023,318,104.703181908594,268,67.2501647961665,145,"9.5-19.5","6.3-13.7",-2.16575163129209,221,2014-12-08
305,"Appalachian St.","SB","3-3",0.189171925934885,92.0586628192557,318,104.478626092979,262,67.2780622144354,140,"9.5-19.5","6.3-13.7",-2.1582828686568,218,2014-12-09
305,"Appalachian St.","SB","3-3",0.19224599263634,92.1193082103577,316,104.366534135983,255,67.2434553762136,140,"9.6-19.4","6.5-13.5",-2.16832706936103,213,2014-12-10
305,"Appalachian St.","SB","3-3",0.191880736260628,92.1171001835202,315,104.385396108519,255,67.2254871388445,140,"9.6-19.4","6.5-13.5",-2.17722085833312,211,2014-12-11
305,"Appalachian St.","SB","3-3",0.192026514242027,92.1170018189025,315,104.376753975606,255,67.2265853091136,140,"9.6-19.4","6.5-13.5",-2.17643781529428,211,2014-12-12
304,"Appalachian St.","SB","3-3",0.191332187482498,92.142197707578,313,104.445995681839,253,67.1708592276604,140,"9.5-19.5","6.3-13.7",-2.18118972584441,202,2014-12-13
307,"Appalachian St.","SB","3-3",0.18952056300467,92.0365593420025,315,104.432912229639,257,67.3946246049246,124,"9.4-19.6","6.3-13.7",-2.18530880540123,199,2014-12-14
306,"Appalachian St.","SB","3-4",0.194797100239619,92.0123451924688,314,104.097282136042,251,67.2268318681781,136,"9.4-19.6","6.3-13.7",-2.6291629414331,222,2014-12-15
305,"Appalachian St.","SB","3-4",0.195523872921428,92.073706426093,316,104.124799923572,249,67.180816742253,141,"9.5-19.5","6.4-13.6",-2.61063690564175,218,2014-12-16
304,"Appalachian St.","SB","3-4",0.196463161689473,92.143978866596,316,104.15027248962,248,67.299216258779,131,"9.3-19.7","6.2-13.8",-2.63615335779295,214,2014-12-17
297,"Appalachian St.","SB","3-5",0.218113039444633,92.9144204853315,304,103.82387623246,240,66.987990660541,143,"9.8-19.2","6.7-13.3",-3.3513302314156,255,2014-12-18
297,"Appalachian St.","SB","3-5",0.219660339992645,92.9122370921121,304,103.739766760897,239,66.859756672329,146,"9.8-19.2","6.8-13.2",-3.32359578726205,249,2014-12-19
294,"Appalachian St.","SB","3-5",0.220376026719133,92.807493275799,306,103.585245079297,236,66.8237357727787,147,"9.9-19.1","6.9-13.1",-3.36110679768588,239,2014-12-20
273,"Appalachian St.","SB","3-6",0.263754641876236,93.3177081311723,296,102.030786477663,204,66.0966915877624,187,"10.9-18.1","7.9-12.1",-3.78358106233843,253,2014-12-21
275,"Appalachian St.","SB","3-6",0.26621825030267,93.2525043360935,299,101.847409963676,200,66.1426965481793,185,"11-18","8-12",-3.7727410730773,244,2014-12-22
276,"Appalachian St.","SB","3-6",0.26539072256135,93.09270622383,300,101.710380533462,197,66.0831002048136,181,"11.1-17.9","8.1-11.9",-3.77985699789317,242,2014-12-23
276,"Appalachian St.","SB","3-6",0.265390722561743,93.0927062238391,300,101.710380533454,197,66.0829557362444,181,"11.1-17.9","8.1-11.9",-3.77985699788986,242,2014-12-24
278,"Appalachian St.","SB","3-6",0.264351735510337,93.0695459441455,301,101.732268732905,197,66.0388143540526,185,"11-18","8-12",-3.77459765891908,241,2014-12-25
277,"Appalachian St.","SB","3-6",0.264703974483256,93.088594602099,301,101.737072138756,197,66.0390728111076,185,"11.1-17.9","8.1-11.9",-3.77420437190823,241,2014-12-26
277,"Appalachian St.","SB","3-6",0.267403965414032,93.1268257613446,301,101.656554210682,195,65.9208792217124,190,"11.1-17.9","8.1-11.9",-3.83430372799735,239,2014-12-27
275,"Appalachian St.","SB","3-6",0.273664431656144,93.4166062758034,295,101.69195666878,199,65.9489705354366,187,"11.3-17.7","8.3-11.7",-3.84157105102026,231,2014-12-28
276,"Appalachian St.","SB","3-6",0.268088373364781,93.3045057126293,299,101.819596142619,200,65.8789656215376,185,"11.2-17.8","8.2-11.8",-3.88067818257343,229,2014-12-29
277,"Appalachian St.","SB","3-6",0.264714566957555,93.3109327310955,298,101.979584188564,209,65.9140038687031,182,"11.1-17.9","8.1-11.9",-3.89626460245956,226,2014-12-30
276,"Appalachian St.","SB","3-6",0.26953384827479,93.3973953289547,294,101.855805940578,203,65.8399505810034,185,"11.2-17.8","8.2-11.8",-3.90738338909373,223,2014-12-31
275,"Appalachian St.","SB","3-6",0.26959367513285,93.4066958407069,293,101.863257343345,202,65.8535066965394,181,"11.2-17.8","8.2-11.8",-3.92262255803961,223,2015-01-01
276,"Appalachian St.","SB","3-6",0.269901099160661,93.42063722223,292,101.864635988417,202,65.8969310442179,176,"11.2-17.8","8.2-11.8",-3.9095949366731,218,2015-01-02
268,"Appalachian St.","SB","4-6",0.283190512426587,94.6565002033648,276,102.617678642105,215,66.0179226134157,166,"12.1-16.9","9.1-10.9",-3.84970668880287,201,2015-01-03
269,"Appalachian St.","SB","4-6",0.280613614555005,94.6146146850293,277,102.685873377383,216,66.099846374505,167,"12.1-16.9","9.1-10.9",-3.87275804741208,198,2015-01-04
281,"Appalachian St.","SB","4-7",0.252596592031051,94.3149065280907,279,103.644904311558,228,65.9620968105342,173,"11.1-17.9","8.1-11.9",-4.71474774094921,244,2015-01-05
282,"Appalachian St.","SB","4-7",0.254973795331795,94.3006888410997,280,103.516226064844,225,65.9946052595629,169,"11.1-17.9","8.1-11.9",-4.71645785821472,242,2015-01-06
280,"Appalachian St.","SB","4-7",0.254810968660925,94.3388609234725,277,103.565849135997,225,66.0376138026376,165,"11.1-17.9","8.1-11.9",-4.76552195564652,236,2015-01-07
286,"Appalachian St.","SB","4-8",0.230945217916837,96.2341181051641,258,106.846268138809,285,66.2396663874971,149,"10.2-18.8","7.2-12.8",-5.69969347003867,267,2015-01-08
286,"Appalachian St.","SB","4-8",0.231388546198888,96.2542454819783,258,106.845437201294,284,66.4087323017825,149,"10.2-18.8","7.2-12.8",-5.69269726598752,267,2015-01-09
300,"Appalachian St.","SB","4-9",0.197737491203183,94.7046873264575,279,106.969710499098,288,65.7852861406607,160,"9.2-19.8","6.2-13.8",-6.53148444429823,283,2015-01-10
300,"Appalachian St.","SB","4-9",0.198429343640861,94.6971243525153,281,106.920665489158,286,65.7963744310926,162,"9.2-19.8","6.2-13.8",-6.50758033587119,282,2015-01-11
300,"Appalachian St.","SB","4-9",0.198798272402469,94.7542963360389,281,106.963656026425,285,65.9172514170495,161,"9.2-19.8","6.2-13.8",-6.51734065669334,279,2015-01-12
299,"Appalachian St.","SB","4-9",0.198911160597173,94.7206428100233,281,106.919077867318,288,65.816634783472,159,"9.2-19.8","6.2-13.8",-6.55407248892251,279,2015-01-13
