"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
96,"Arizona St.","P12","0-0",0.674688117879374,105.102796331731,87,98.6429773534829,124,69.58086421,67,"16.4-17.6","7.1-10.9",0,238,2014-11-13
91,"Arizona St.","P12","1-0",0.691531938865641,105.415462657328,80,98.2691467796841,117,69.1988069028747,87,"16.6-17.4","7.2-10.8",0.0139106919156916,104,2014-11-14
90,"Arizona St.","P12","1-0",0.69130359842714,105.429507160081,80,98.2913859707619,117,69.1970567345391,88,"16.7-17.3","7.3-10.7",0.0139285054917563,120,2014-11-15
90,"Arizona St.","P12","1-0",0.691305072563046,105.406217065529,77,98.2696137075252,120,69.1507676385768,95,"16.8-17.2","7.3-10.7",0.0141663102939882,133,2014-11-16
86,"Arizona St.","P12","2-0",0.710074099813914,104.195971055607,98,96.3880936589763,89,68.2463400692272,154,"17.4-16.6","7.7-10.3",0.0282485043581122,127,2014-11-17
86,"Arizona St.","P12","2-0",0.709647601618711,104.188583591491,98,96.3986166470229,89,68.2060937816548,160,"17.4-16.6","7.6-10.4",0.0272280256099939,119,2014-11-18
86,"Arizona St.","P12","2-0",0.709099219792296,104.158767138611,99,96.393322677067,86,68.1566051099221,161,"17.4-16.6","7.6-10.4",0.0263675887574527,112,2014-11-19
74,"Arizona St.","P12","3-0",0.735921008084294,103.703478672009,108,94.8613296200485,63,67.527441448857,199,"18.3-15.7","8-10",0.0723704109319333,91,2014-11-20
77,"Arizona St.","P12","3-0",0.733310148774742,103.751521827507,104,95.0158613845512,66,67.5265972704656,194,"18-16","7.8-10.2",0.0735661665581078,92,2014-11-21
78,"Arizona St.","P12","3-0",0.731405436124287,103.848282272315,106,95.1848717535763,72,67.5349056186825,188,"18.1-15.9","7.9-10.1",0.0744730589939693,93,2014-11-22
79,"Arizona St.","P12","3-0",0.731416754580672,103.826712083501,105,95.1646242520751,74,67.5325138303746,189,"18.1-15.9","7.9-10.1",0.0749563781283451,94,2014-11-23
76,"Arizona St.","P12","3-1",0.74183449107097,105.324072697962,73,96.0873042262054,88,66.9534275676794,223,"18.2-15.8","8-10",-0.339842235766275,138,2014-11-24
74,"Arizona St.","P12","3-2",0.748666400756915,106.209236269786,63,96.5921000450284,95,66.7488398214857,232,"17.9-16.1","8.1-9.9",-0.885007372725018,190,2014-11-25
75,"Arizona St.","P12","3-2",0.746437524124109,106.267992657291,63,96.7448435521018,99,66.7218593502734,229,"17.8-16.2","8.1-9.9",-0.901206812476797,181,2014-11-26
77,"Arizona St.","P12","3-2",0.746304227412954,106.254641250166,63,96.7386117962385,99,66.7088223954594,225,"17.8-16.2","8.1-9.9",-0.892658362771562,173,2014-11-27
76,"Arizona St.","P12","3-2",0.746171620344969,106.306200390944,63,96.7914470737887,100,66.758619499013,212,"17.8-16.2","8.1-9.9",-0.910900838602437,163,2014-11-28
75,"Arizona St.","P12","4-2",0.741710351533179,106.805684612077,60,97.4444723346412,119,66.5685506899919,209,"17.7-16.3","8-10",-0.821184954960653,150,2014-11-29
76,"Arizona St.","P12","4-2",0.739763702355492,106.753141698274,61,97.4824205415218,117,66.5590147288521,202,"17.7-16.3","7.9-10.1",-0.829027361781925,146,2014-11-30
76,"Arizona St.","P12","4-2",0.739953588419472,106.75745455074,61,97.4779958500042,115,66.5349731048566,201,"17.7-16.3","7.9-10.1",-0.828833190422489,147,2014-12-01
78,"Arizona St.","P12","4-2",0.739213870787582,106.757822471463,65,97.5108924735751,110,66.3857194877881,209,"17.7-16.3","8-10",-0.82959288297786,141,2014-12-02
74,"Arizona St.","P12","5-2",0.752202809030882,107.028539754656,60,97.1775199446255,107,66.1216069054883,216,"18.2-15.8","8.2-9.8",-0.622387614941073,125,2014-12-03
77,"Arizona St.","P12","5-2",0.751433272298934,106.997996309306,59,97.1846350047962,107,66.0877039282844,217,"18.2-15.8","8.2-9.8",-0.613341562904283,123,2014-12-04
79,"Arizona St.","P12","5-2",0.751298709559422,106.996103936998,60,97.1890034044362,107,66.0795672629141,216,"18.2-15.8","8.2-9.8",-0.603265543751117,124,2014-12-05
74,"Arizona St.","P12","5-3",0.769807813820668,109.146822976171,40,98.2698997489964,129,65.180331599648,254,"18.4-15.6","8.5-9.5",-0.99002540301555,141,2014-12-06
74,"Arizona St.","P12","5-3",0.769532256592737,109.140444364302,39,98.2774394031437,129,65.1594833837825,254,"18.5-15.5","8.6-9.4",-0.971697183021333,139,2014-12-07
73,"Arizona St.","P12","5-3",0.767891769116119,109.153114879575,42,98.3677417537058,129,65.141019603967,258,"18.5-15.5","8.6-9.4",-0.984455406921106,138,2014-12-08
72,"Arizona St.","P12","5-3",0.766845268341428,109.065086676596,42,98.3385283236134,131,65.0460789019722,259,"18.4-15.6","8.6-9.4",-0.972861388971855,137,2014-12-09
71,"Arizona St.","P12","5-3",0.769052022636986,109.128015205351,42,98.2893710262816,129,64.9788512402978,262,"18.5-15.5","8.6-9.4",-0.988411294320864,133,2014-12-10
70,"Arizona St.","P12","5-3",0.769965532607765,109.283726446752,42,98.3855435641365,130,65.0041098865787,260,"18.5-15.5","8.6-9.4",-1.00220844711939,131,2014-12-11
70,"Arizona St.","P12","5-3",0.770280770606106,109.307019307541,42,98.3912774114603,130,65.0091235089725,260,"18.6-15.4","8.6-9.4",-1.00098995983664,130,2014-12-12
71,"Arizona St.","P12","6-3",0.766403367344257,109.497055800217,39,98.7492201021864,135,65.1281544107604,244,"18.6-15.4","8.5-9.5",-0.862626942580826,122,2014-12-13
72,"Arizona St.","P12","6-3",0.764605660228827,109.432251440341,38,98.7767584406158,139,65.2134220871938,235,"18.5-15.5","8.5-9.5",-0.869925639918342,123,2014-12-14
73,"Arizona St.","P12","6-3",0.763890471152246,109.406690686294,38,98.7877792983283,138,65.3106830577438,232,"18.4-15.6","8.4-9.6",-0.850959050530755,121,2014-12-15
76,"Arizona St.","P12","6-4",0.747243029223278,108.706737401962,46,98.9283850999796,136,66.1571361422627,187,"17.5-16.5","8-10",-1.30573442669728,148,2014-12-16
76,"Arizona St.","P12","6-4",0.749546835224469,108.673674032866,44,98.7931340373767,135,66.4728259646634,174,"17.7-16.3","8.1-9.9",-1.34528940601417,144,2014-12-17
75,"Arizona St.","P12","6-4",0.748199821737837,108.642422308234,44,98.8262570856724,136,66.4765595254895,171,"17.6-16.4","8-10",-1.34531019678618,143,2014-12-18
78,"Arizona St.","P12","6-4",0.746346382731165,108.660719586421,43,98.9272893969236,136,66.4311735748161,173,"17.5-16.5","7.9-10.1",-1.30980963554101,144,2014-12-19
89,"Arizona St.","P12","6-5",0.723562710162479,107.235920848598,64,98.6286147123032,131,66.1661463029929,183,"16.2-17.8","7.6-10.4",-2.27251581937071,184,2014-12-20
89,"Arizona St.","P12","6-5",0.723978971910431,107.144316222596,63,98.5265229192084,126,66.1951430000345,181,"16.3-17.7","7.6-10.4",-2.29664438524036,181,2014-12-21
92,"Arizona St.","P12","6-5",0.712077333487673,106.993641482694,65,98.8922374698461,135,66.232918335698,181,"16-18","7.3-10.7",-2.28422096092565,176,2014-12-22
66,"Arizona St.","P12","7-5",0.775463557796061,108.345971965044,46,97.2761305252963,109,67.0763475540385,127,"17.7-16.3","8.6-9.4",-2.21592206008082,166,2014-12-23
66,"Arizona St.","P12","7-5",0.775463557796246,108.345971965056,46,97.2761305252979,109,67.0761847075375,127,"17.7-16.3","8.6-9.4",-2.21592206007701,166,2014-12-24
66,"Arizona St.","P12","7-5",0.775905098021586,108.346475410867,45,97.2551196384077,109,67.0930880025887,126,"17.8-16.2","8.6-9.4",-2.20986871762509,166,2014-12-25
66,"Arizona St.","P12","7-5",0.775754704013099,108.341686461594,45,97.2581339734431,109,67.0933755758059,126,"17.8-16.2","8.6-9.4",-2.20941610221932,166,2014-12-26
66,"Arizona St.","P12","7-5",0.776310031843144,108.606146900726,44,97.4684557328585,111,67.1586809321688,125,"17.8-16.2","8.7-9.3",-2.27905858650598,164,2014-12-27
55,"Arizona St.","P12","8-5",0.797644172073969,108.338857682555,46,96.1578665493223,87,66.8185066660381,140,"18.8-15.2","9.3-8.7",-2.08644945353384,154,2014-12-28
57,"Arizona St.","P12","8-5",0.797592270360423,108.457096172088,46,96.2655024138951,94,66.9219304381707,136,"18.8-15.2","9.2-8.8",-2.13686981880204,155,2014-12-29
58,"Arizona St.","P12","8-5",0.795973782192929,108.59804639051,46,96.4744264450111,97,66.901579435795,135,"18.7-15.3","9.1-8.9",-2.15726592125518,150,2014-12-30
