"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
202,"Arkansas Little Rock","SB","0-0",0.432885618632255,98.53587343711,233,100.877463453386,176,69.19853066,86,"16.7-13.3","11.9-8.1",0,66,2014-11-13
203,"Arkansas Little Rock","SB","0-0",0.431906407133979,98.5188029208436,231,100.894985495331,181,69.19853066,88,"16.5-13.5","11.7-8.3",0,139,2014-11-14
203,"Arkansas Little Rock","SB","0-0",0.431595999272593,98.5133899829312,233,100.900542243548,179,69.19853066,87,"16.5-13.5","11.6-8.4",0,146,2014-11-15
202,"Arkansas Little Rock","SB","0-0",0.431338086341089,98.5088918596187,232,100.905160105031,183,69.19853066,91,"16.5-13.5","11.6-8.4",0,153,2014-11-16
203,"Arkansas Little Rock","SB","0-0",0.430816781317774,98.4997983808064,229,100.91449629325,183,69.19853066,93,"16.4-13.6","11.6-8.4",0,152,2014-11-17
214,"Arkansas Little Rock","SB","0-1",0.414537728002721,97.9249347592037,232,100.909279202193,184,69.349860000648,82,"16-14","11.4-8.6",-0.252292917907895,174,2014-11-18
211,"Arkansas Little Rock","SB","0-1",0.41395392812329,97.905160633275,231,100.910012116529,188,69.3248988694556,78,"16.1-13.9","11.5-8.5",-0.258482049940596,158,2014-11-19
215,"Arkansas Little Rock","SB","0-1",0.41374813491898,97.8988018262141,230,100.910902094532,188,69.3119623205085,75,"16-14","11.4-8.6",-0.264885936247726,147,2014-11-20
215,"Arkansas Little Rock","SB","0-1",0.413252629802173,97.900161244978,228,100.930233715129,186,69.2964588655531,73,"16-14","11.4-8.6",-0.261592007098056,137,2014-11-21
220,"Arkansas Little Rock","SB","1-1",0.404679607357084,97.5008133604029,237,100.829028147009,184,69.3791092859485,68,"15.9-14.1","11.2-8.8",-0.22502916443907,125,2014-11-22
214,"Arkansas Little Rock","SB","2-1",0.416966166071823,97.8097214739562,230,100.702969706842,184,69.0588985633527,85,"16.8-13.2","11.4-8.6",-0.140570444946791,111,2014-11-23
213,"Arkansas Little Rock","SB","2-1",0.41659804645812,97.775275332146,229,100.680762364145,183,69.0933730411136,82,"16.7-13.3","11.4-8.6",-0.14044360801094,105,2014-11-24
211,"Arkansas Little Rock","SB","2-1",0.416451809620451,97.786369464856,225,100.697454861354,181,69.0408306004352,81,"16.6-13.4","11.4-8.6",-0.141564612232228,102,2014-11-25
210,"Arkansas Little Rock","SB","2-1",0.410847101477841,97.8691567362918,222,100.98542504922,185,69.124943844876,73,"16.6-13.4","11.3-8.7",-0.150163616233831,102,2014-11-26
209,"Arkansas Little Rock","SB","2-1",0.410878477762817,97.8571632470121,220,100.97191153911,187,69.1219699417572,72,"16.7-13.3","11.4-8.6",-0.145571128528845,100,2014-11-27
207,"Arkansas Little Rock","SB","2-1",0.411458641627443,97.9260294279711,224,101.021917238474,184,69.0938002862787,69,"16.8-13.2","11.5-8.5",-0.155332371947941,97,2014-11-28
216,"Arkansas Little Rock","SB","3-1",0.396119532361357,98.5846344678824,209,102.266435681075,212,68.6891562645586,96,"16.7-13.3","11.3-8.7",-0.148623048462553,93,2014-11-29
215,"Arkansas Little Rock","SB","3-1",0.395542671316569,98.5974598886474,210,102.301195670499,209,68.6635374207883,93,"16.7-13.3","11.4-8.6",-0.152443724476369,92,2014-11-30
216,"Arkansas Little Rock","SB","3-1",0.393762442349687,98.6122185994527,208,102.382828913211,211,68.7109093134627,83,"16.6-13.4","11.3-8.7",-0.152344742513766,94,2014-12-01
219,"Arkansas Little Rock","SB","3-1",0.38971874753824,98.558044154542,209,102.47769713347,213,68.6937292452117,80,"16.3-13.7","11.1-8.9",-0.152679230190315,96,2014-12-02
219,"Arkansas Little Rock","SB","3-1",0.388246836925871,98.6378445181178,209,102.615916791026,209,68.6958639998706,77,"16.2-13.8","11-9",-0.149817552706229,92,2014-12-03
215,"Arkansas Little Rock","SB","3-2",0.390086669646887,99.3564890693018,197,103.294002847117,233,68.2155387924146,98,"15.9-14.1","10.9-9.1",-1.00251480733169,146,2014-12-04
216,"Arkansas Little Rock","SB","3-2",0.389139107291507,99.3558491406102,197,103.329132280607,234,68.192321318462,98,"15.9-14.1","10.9-9.1",-0.997155835764667,146,2014-12-05
213,"Arkansas Little Rock","SB","3-2",0.387830290044832,99.1910546658106,197,103.207179369428,230,68.2781091570765,91,"15.9-14.1","10.9-9.1",-1.00609391761958,144,2014-12-06
215,"Arkansas Little Rock","SB","3-3",0.382503066780324,100.115013820116,181,104.372517287879,258,68.328475995547,87,"15.5-14.5","10.8-9.2",-1.77299026123189,200,2014-12-07
213,"Arkansas Little Rock","SB","3-3",0.382353708252462,100.113833283362,182,104.377026227989,256,68.3184149141045,88,"15.5-14.5","10.8-9.2",-1.78041012514286,197,2014-12-08
216,"Arkansas Little Rock","SB","3-3",0.382022890414605,100.137085512459,182,104.413988696521,259,68.3842093736831,80,"15.4-14.6","10.8-9.2",-1.77368281729517,195,2014-12-09
219,"Arkansas Little Rock","SB","3-3",0.380604204181804,100.159069930006,181,104.49153861153,259,68.3854763397435,81,"15.5-14.5","10.8-9.2",-1.78272684969926,189,2014-12-10
217,"Arkansas Little Rock","SB","3-3",0.380472972891764,100.168359129689,182,104.506288551885,259,68.3785791327938,78,"15.5-14.5","10.8-9.2",-1.79076086316869,186,2014-12-11
217,"Arkansas Little Rock","SB","3-3",0.380090366550262,100.162709045095,182,104.51514755906,259,68.3787360287944,78,"15.4-14.6","10.8-9.2",-1.79005212504732,186,2014-12-12
217,"Arkansas Little Rock","SB","3-3",0.381444875503128,100.178236509506,177,104.479145144421,256,68.3840774694688,77,"15.3-14.7","10.7-9.3",-1.79438334416302,177,2014-12-13
221,"Arkansas Little Rock","SB","3-4",0.376608321109684,99.463889946751,194,103.919657990345,243,67.2441943774729,134,"14.8-15.2","10.6-9.4",-2.65216802065767,226,2014-12-14
227,"Arkansas Little Rock","SB","3-4",0.373826833552481,99.4266810423787,193,103.988015115348,249,67.2236952353195,137,"14.6-15.4","10.4-9.6",-2.64043304825986,223,2014-12-15
224,"Arkansas Little Rock","SB","3-4",0.373477053986748,99.4418715532031,192,104.017419859492,248,67.1873219561107,138,"14.6-15.4","10.4-9.6",-2.62567240194735,220,2014-12-16
222,"Arkansas Little Rock","SB","3-4",0.374301894407617,99.3360512996695,195,103.874899218104,243,67.3214172285209,129,"14.4-15.6","10.2-9.8",-2.64602699212673,215,2014-12-17
222,"Arkansas Little Rock","SB","3-4",0.373059971448853,99.2837210472766,193,103.868094116002,241,67.2974470772608,125,"14.4-15.6","10.2-9.8",-2.64586699549671,209,2014-12-18
219,"Arkansas Little Rock","SB","3-4",0.372573369878929,99.2953748453349,193,103.899086042147,243,67.238951218657,129,"14.4-15.6","10.2-9.8",-2.62774043765838,207,2014-12-19
224,"Arkansas Little Rock","SB","3-4",0.365536319892635,99.0148465054927,198,103.878181594348,240,67.2781327809892,126,"14.3-15.7","10.1-9.9",-2.65214790790863,200,2014-12-20
242,"Arkansas Little Rock","SB","3-5",0.345145286256427,98.1472997459318,214,103.768300622725,241,66.7516881450628,153,"13.8-16.2","9.7-10.3",-3.2834011870476,230,2014-12-21
215,"Arkansas Little Rock","SB","4-5",0.372728174523761,99.230813696466,190,103.825553102779,243,65.9398226733607,196,"14.9-15.1","10.2-9.8",-3.18502226443307,216,2014-12-22
218,"Arkansas Little Rock","SB","4-5",0.371050217613647,99.2554331769141,188,103.916203084605,242,66.0329107207038,186,"15-15","10.3-9.7",-3.19061970742347,215,2014-12-23
218,"Arkansas Little Rock","SB","4-5",0.371050217611884,99.2554331768832,188,103.916203084641,242,66.0327696695467,186,"15-15","10.3-9.7",-3.19061970742092,215,2014-12-24
