"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
315,"Arkansas Pine Bluff","SWAC","0-0",0.188841273299945,90.567359872124,336,102.805408272163,219,68.53217216,120,"12.9-19.1","9.9-8.1",0,2,2014-11-13
319,"Arkansas Pine Bluff","SWAC","0-1",0.177188600315735,90.0370131375956,338,102.898560385332,227,68.7684692635638,110,"12.4-19.6","9.8-8.2",-0.526314992525619,305,2014-11-14
319,"Arkansas Pine Bluff","SWAC","0-2",0.176443952478273,90.4248819668403,336,103.387819310401,238,68.4509932186791,136,"12.2-19.8","9.7-8.3",-1.34213760530633,348,2014-11-15
316,"Arkansas Pine Bluff","SWAC","0-2",0.176315785997207,90.3454807780982,336,103.304960603317,237,68.4430691210991,144,"12.2-19.8","9.7-8.3",-1.33523359191458,345,2014-11-16
304,"Arkansas Pine Bluff","SWAC","1-2",0.203936704192253,91.3428848746214,326,102.826570230447,230,66.9318295870977,256,"13.8-18.2","10.4-7.6",-1.23262003646098,338,2014-11-17
304,"Arkansas Pine Bluff","SWAC","1-2",0.203468803438918,91.4774324616343,325,103.003866710869,234,66.9948308289963,251,"13.7-18.3","10.4-7.6",-1.25034136502186,332,2014-11-18
305,"Arkansas Pine Bluff","SWAC","1-2",0.202962953836787,91.4364787054177,325,102.985725943291,234,66.931401661832,249,"13.7-18.3","10.3-7.7",-1.26653111238245,317,2014-11-19
305,"Arkansas Pine Bluff","SWAC","1-2",0.202120505511525,91.5203839402777,325,103.126991618917,240,66.8999798505438,245,"13.8-18.2","10.4-7.6",-1.28221325597274,307,2014-11-20
311,"Arkansas Pine Bluff","SWAC","1-3",0.179387309189168,90.5872157828491,333,103.392336000399,247,65.8336466966113,303,"12.8-19.2","9.9-8.1",-1.99310862247665,340,2014-11-21
312,"Arkansas Pine Bluff","SWAC","1-3",0.175942699311481,90.523095784302,333,103.531197650027,249,65.8526423619983,294,"12.8-19.2","10-8",-1.98448533931511,327,2014-11-22
328,"Arkansas Pine Bluff","SWAC","1-4",0.145173277198446,89.0344943113023,340,103.875725753527,258,65.2563552822458,312,"11.6-20.4","9.2-8.8",-2.63445324369922,342,2014-11-23
327,"Arkansas Pine Bluff","SWAC","1-4",0.144397360129929,89.0594987981296,340,103.961531710505,262,65.1851655545681,311,"11.8-20.2","9.3-8.7",-2.63406404852139,339,2014-11-24
324,"Arkansas Pine Bluff","SWAC","1-5",0.154652904306831,88.9019337208914,340,103.052144126191,239,65.4082560791515,303,"12.1-19.9","9.6-8.4",-3.44977244115853,348,2014-11-25
324,"Arkansas Pine Bluff","SWAC","1-5",0.154664971027568,88.902634266897,339,103.052129103988,237,65.4253596559035,298,"12.1-19.9","9.7-8.3",-3.47998232291505,346,2014-11-26
323,"Arkansas Pine Bluff","SWAC","1-5",0.154577741174227,88.8902772413138,339,103.043784743345,238,65.4076598110385,297,"12.1-19.9","9.7-8.3",-3.4639450545566,345,2014-11-27
322,"Arkansas Pine Bluff","SWAC","1-5",0.156549562695284,89.0927647327721,340,103.143795012683,237,65.4633292132615,283,"12.2-19.8","9.7-8.3",-3.49795723527719,338,2014-11-28
321,"Arkansas Pine Bluff","SWAC","1-5",0.159217213424591,89.0328373074101,341,102.894734823646,227,65.4405910856457,279,"12.5-19.5","10-8",-3.49302402581402,334,2014-11-29
319,"Arkansas Pine Bluff","SWAC","1-5",0.162925747600748,89.1750200147861,340,102.813388551099,224,65.4406179668764,269,"12.7-19.3","10.1-7.9",-3.50592403974194,331,2014-11-30
318,"Arkansas Pine Bluff","SWAC","1-5",0.163189195074498,89.1949991432924,339,102.819162095541,227,65.4278396539058,268,"12.7-19.3","10.1-7.9",-3.50559576363698,329,2014-12-01
318,"Arkansas Pine Bluff","SWAC","1-6",0.165783800301606,89.4902860509547,337,102.99033338102,225,65.6179917707746,256,"12.8-19.2","10.3-7.7",-4.05170824858596,338,2014-12-02
318,"Arkansas Pine Bluff","SWAC","1-6",0.167662597564836,89.6451054408834,336,103.04725505134,224,65.5864729672473,245,"13-19","10.4-7.6",-4.03970169125726,331,2014-12-03
317,"Arkansas Pine Bluff","SWAC","1-6",0.169491839082334,89.6639968707392,336,102.952064604908,220,65.6436104994669,241,"13-19","10.5-7.5",-4.02516459750364,329,2014-12-04
318,"Arkansas Pine Bluff","SWAC","1-6",0.169245051948608,89.6666194566074,336,102.970781821639,221,65.6303587696713,239,"13-19","10.5-7.5",-4.00896391279826,327,2014-12-05
317,"Arkansas Pine Bluff","SWAC","1-7",0.164099555428772,89.4758629971153,339,103.083286645568,221,65.9323759997834,217,"12.7-19.3","10.3-7.7",-4.18524293159871,320,2014-12-06
317,"Arkansas Pine Bluff","SWAC","1-7",0.163032479077863,89.4227979122033,340,103.092047426076,225,65.8986732583084,217,"12.7-19.3","10.3-7.7",-4.16007867573255,317,2014-12-07
316,"Arkansas Pine Bluff","SWAC","1-7",0.162923019461521,89.4252958040099,339,103.10212069716,228,65.8925188071845,218,"12.7-19.3","10.2-7.8",-4.17756789858843,318,2014-12-08
318,"Arkansas Pine Bluff","SWAC","1-7",0.162699792184739,89.4079932621712,338,103.096852887918,226,65.8534755637165,215,"12.7-19.3","10.2-7.8",-4.16169133798172,316,2014-12-09
319,"Arkansas Pine Bluff","SWAC","1-7",0.159367653998782,89.3251417430725,338,103.222465608177,231,65.8160906860821,217,"12.6-19.4","10.2-7.8",-4.18300628847867,315,2014-12-10
318,"Arkansas Pine Bluff","SWAC","1-7",0.159194346694855,89.347448427072,337,103.259862934859,232,65.81362597630999,217,"12.5-19.5","10.2-7.8",-4.20191886519714,314,2014-12-11
318,"Arkansas Pine Bluff","SWAC","1-7",0.15912103220419,89.3488010291598,337,103.266345395396,232,65.8174946267701,217,"12.6-19.4","10.2-7.8",-4.20024982293305,314,2014-12-12
331,"Arkansas Pine Bluff","SWAC","1-8",0.123060039333248,89.0042568132894,338,105.577625969309,286,65.0227483833197,249,"11.3-20.7","9.2-8.8",-5.02145574907047,333,2014-12-13
331,"Arkansas Pine Bluff","SWAC","1-8",0.122913510540198,88.9975241911388,338,105.582111364325,284,64.9889214887652,246,"11.2-20.8","9.1-8.9",-5.03129682817709,328,2014-12-14
330,"Arkansas Pine Bluff","SWAC","1-8",0.122796051803941,88.9867177010151,337,105.579297595631,283,64.9971199085096,244,"11.3-20.7","9.2-8.8",-5.00576622634916,325,2014-12-15
331,"Arkansas Pine Bluff","SWAC","1-8",0.121467332285326,89.0023303209142,337,105.711681184377,286,65.0670790362631,237,"11.3-20.7","9.2-8.8",-4.97389125574043,323,2014-12-16
323,"Arkansas Pine Bluff","SWAC","2-8",0.146727054674672,88.4911930773795,339,103.130013471921,226,64.5205784435581,266,"13.2-18.8","10-8",-4.76201432376972,307,2014-12-17
324,"Arkansas Pine Bluff","SWAC","2-8",0.146464126449091,88.4943018395327,339,103.152486174449,228,64.5813216448979,262,"13-19","9.8-8.2",-4.76187821203486,307,2014-12-18
324,"Arkansas Pine Bluff","SWAC","2-9",0.143965161043913,88.235655786073,338,103.03121381398,222,65.0253970146994,238,"12.9-19.1","9.8-8.2",-5.34776352731146,324,2014-12-19
321,"Arkansas Pine Bluff","SWAC","2-9",0.141137972051653,88.003696004948,338,102.967254295793,225,65.176694753171,227,"12.9-19.1","9.7-8.3",-5.41468509343874,316,2014-12-20
322,"Arkansas Pine Bluff","SWAC","2-9",0.140914191014566,87.905244905156,339,102.868586424956,226,65.1213499500695,229,"12.9-19.1","9.7-8.3",-5.44666114614764,314,2014-12-21
321,"Arkansas Pine Bluff","SWAC","3-9",0.144266279644484,88.3776409245731,334,103.175102790308,229,64.7859060137796,242,"13.4-18.6","9.7-8.3",-5.38168542900789,307,2014-12-22
327,"Arkansas Pine Bluff","SWAC","3-10",0.130053493107564,87.8428537512294,337,103.628159874568,237,64.9137429654314,232,"12.2-19.8","9.2-8.8",-6.37347354253382,330,2014-12-23
327,"Arkansas Pine Bluff","SWAC","3-10",0.130053493107013,87.8428537512099,337,103.628159874589,237,64.9135976162446,232,"12.2-19.8","9.2-8.8",-6.3734735425288,330,2014-12-24
327,"Arkansas Pine Bluff","SWAC","3-10",0.13116766192971,87.8782523618086,337,103.581503716961,237,64.8905029740962,233,"12.2-19.8","9.2-8.8",-6.36550103333282,330,2014-12-25
326,"Arkansas Pine Bluff","SWAC","3-10",0.131205016715802,87.8779168184826,337,103.578156274302,237,64.8907623909046,233,"12.2-19.8","9.2-8.8",-6.36490480626119,330,2014-12-26
326,"Arkansas Pine Bluff","SWAC","3-10",0.129496874133836,87.8350663953622,337,103.663392259221,239,64.9016085241549,233,"12.2-19.8","9.2-8.8",-6.45633160628277,330,2014-12-27
324,"Arkansas Pine Bluff","SWAC","3-10",0.132748264777554,87.988525686947,336,103.587111066827,234,64.8984063496029,233,"12.3-19.7","9.3-8.7",-6.46645808489128,327,2014-12-28
328,"Arkansas Pine Bluff","SWAC","3-11",0.123090249383804,87.3950666072044,337,103.666267237684,234,64.8975385783518,232,"12-20","9-9",-6.86866876797863,329,2014-12-29
328,"Arkansas Pine Bluff","SWAC","3-11",0.122222908203996,87.4554888419213,337,103.810670461774,239,64.8715495008745,233,"11.9-20.1","8.9-9.1",-6.89540494251886,329,2014-12-30
328,"Arkansas Pine Bluff","SWAC","3-11",0.12060132692769,87.3922541923118,338,103.872829212176,242,64.8412736131319,232,"11.9-20.1","8.9-9.1",-6.91407562164073,325,2014-12-31
328,"Arkansas Pine Bluff","SWAC","3-11",0.12089692176604,87.3851616029584,338,103.839256122861,240,64.8745608497746,232,"11.9-20.1","8.9-9.1",-6.93986540376347,325,2015-01-01
328,"Arkansas Pine Bluff","SWAC","3-11",0.119551137739509,87.353124564767,337,103.916097478712,238,64.9050256055878,230,"11.8-20.2","8.8-9.2",-6.91779077646853,325,2015-01-02
336,"Arkansas Pine Bluff","SWAC","3-12",0.100630078967064,86.2023130595146,340,104.287649657188,244,64.5266182284843,243,"10.4-21.6","7.4-10.6",-7.94002618064224,332,2015-01-03
