"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
148,"Army","Pat","0-0",0.541852314966652,104.426653573601,95,102.913978205819,223,69.98564062,46,"16.9-12.1","10.3-7.7",0,285,2014-11-13
142,"Army","Pat","1-0",0.558926701253566,105.552514520391,75,103.401209645217,241,70.1050928274433,46,"17.3-11.7","10.4-7.6",0.0663237366790941,56,2014-11-14
145,"Army","Pat","2-0",0.554804126389139,105.638012255139,74,103.635410662551,245,70.6554182566559,30,"17.5-11.5","10.3-7.7",0.136474364883139,33,2014-11-15
144,"Army","Pat","2-0",0.554430641586909,105.539254670624,72,103.552139031341,246,70.6468369458261,32,"17.5-11.5","10.3-7.7",0.138687333135643,40,2014-11-16
145,"Army","Pat","2-0",0.553781473251537,105.492926604582,72,103.530334434955,248,70.637960330184,36,"17.6-11.4","10.5-7.5",0.140242942249457,52,2014-11-17
144,"Army","Pat","2-0",0.553199569196066,105.486314921689,73,103.545043887446,249,70.5935450299733,33,"17.7-11.3","10.5-7.5",0.135583124838127,63,2014-11-18
139,"Army","Pat","3-0",0.557578804883764,104.673828992147,86,102.589180457756,227,71.2565099069146,22,"18.1-10.9","10.4-7.6",0.383178524636302,29,2014-11-19
138,"Army","Pat","3-0",0.557307625197277,104.658888995826,85,102.584343055886,231,71.2147087457533,19,"18.2-10.8","10.5-7.5",0.372994179592293,34,2014-11-20
140,"Army","Pat","3-0",0.556370043933654,104.686743635395,85,102.645552486035,232,71.1660553662494,21,"18.2-10.8","10.4-7.6",0.378177035454024,38,2014-11-21
138,"Army","Pat","4-0",0.563705523151858,104.102616947018,100,101.808906053143,211,71.2210097775013,19,"19.1-9.9","10.7-7.3",0.47463530163889,28,2014-11-22
138,"Army","Pat","4-0",0.562903860308631,104.01990592011,99,101.756849377281,209,71.1686349420661,18,"19.2-9.8","10.7-7.3",0.477288372928279,30,2014-11-23
