"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
41,"BYU","WCC","0-0",0.815644220515153,109.74059984721,27,96.4288486547743,80,72.45573325,5,"22.8-10.2","12.5-5.5",0,14,2014-11-13
46,"BYU","WCC","1-0",0.80867281168585,110.565592000973,20,97.5406280319132,103,72.9380457125119,5,"22.5-10.5","12.2-5.8",0.149537523999527,25,2014-11-14
46,"BYU","WCC","1-0",0.808440948023029,110.589814194349,21,97.5747052543827,104,72.936009289055,5,"22.5-10.5","12.2-5.8",0.149702649819444,30,2014-11-15
45,"BYU","WCC","1-0",0.808293552120233,110.530800220736,22,97.5307057636508,107,72.9311380425048,6,"22.5-10.5","12.2-5.8",0.151901462572,36,2014-11-16
44,"BYU","WCC","1-0",0.807944733880464,110.499709222634,22,97.5223461648024,110,72.9260995091842,6,"22.4-10.6","12.2-5.8",0.153448091105723,48,2014-11-17
44,"BYU","WCC","2-0",0.816760693208125,110.380815237993,23,96.9286557014192,99,73.121556753754,5,"22.8-10.2","12.3-5.7",0.214183841037023,44,2014-11-18
45,"BYU","WCC","2-0",0.816343588268424,110.34285780722,23,96.9187883989495,98,73.064492438019,5,"22.5-10.5","12.1-5.9",0.208146649184312,50,2014-11-19
48,"BYU","WCC","2-0",0.816251868212091,110.333016678622,23,96.9152989920674,99,73.0361281760534,5,"22.4-10.6","12.1-5.9",0.202150551634789,59,2014-11-20
45,"BYU","WCC","2-0",0.818040116353848,110.483597491308,24,96.9466219189504,100,73.0077373700208,5,"22.4-10.6","12.1-5.9",0.205203855273259,57,2014-11-21
43,"BYU","WCC","2-0",0.817368926875252,110.541771916969,24,97.0356543769759,101,72.9655267551643,5,"22.3-10.7","12-6",0.207513971069971,62,2014-11-22
41,"BYU","WCC","2-0",0.81736770172742,110.532155408402,23,97.0272820695221,105,73.031125708223,5,"22.3-10.7","12-6",0.208743161064006,67,2014-11-23
43,"BYU","WCC","2-1",0.816836232145314,111.39673381453,18,97.8164699385088,122,72.5741398538235,7,"22-11","12-6",-0.191079451262676,117,2014-11-24
44,"BYU","WCC","2-1",0.819227878275021,111.416643363277,17,97.6973603263384,123,72.5436593838052,7,"22.1-10.9","12.2-5.8",-0.192616787180187,114,2014-11-25
48,"BYU","WCC","2-2",0.815756631178601,111.614729053774,15,98.0692655084665,129,72.1577438795353,10,"21.4-11.6","12.2-5.8",-0.620044425069281,150,2014-11-26
46,"BYU","WCC","2-2",0.816581189013552,111.780676136095,14,98.1681489449334,134,72.0713309360662,11,"21.5-11.5","12.2-5.8",-0.609934252625171,145,2014-11-27
49,"BYU","WCC","2-2",0.817003339968256,111.813480122232,16,98.1728723886897,128,72.0821002677403,10,"21.5-11.5","12.2-5.8",-0.631488444059643,137,2014-11-28
49,"BYU","WCC","3-2",0.816671607028796,112.509000979088,15,98.8025914721688,139,71.8274647941803,11,"21.4-11.6","12.1-5.9",-0.509074091025537,127,2014-11-29
49,"BYU","WCC","3-2",0.817953184983032,112.664912077894,15,98.8656912262957,137,71.7779485177853,12,"21.6-11.4","12.2-5.8",-0.518524876674032,125,2014-11-30
48,"BYU","WCC","3-2",0.817859139990063,112.651317728278,15,98.8591899703518,137,71.755258653512,12,"21.6-11.4","12.2-5.8",-0.518288157288701,125,2014-12-01
50,"BYU","WCC","4-2",0.813562414426935,113.284722346156,12,99.6624524949479,154,72.4306594875431,9,"21.9-11.1","12.1-5.9",-0.126800311236517,92,2014-12-02
46,"BYU","WCC","4-2",0.813765297442052,113.408321787392,12,99.7595805864145,153,72.328303436892,8,"21.9-11.1","12.2-5.8",-0.117449440168721,87,2014-12-03
47,"BYU","WCC","4-2",0.814410181278668,113.466379487192,13,99.7736766111782,152,72.4242342233369,8,"21.9-11.1","12.2-5.8",-0.10609681759145,86,2014-12-04
47,"BYU","WCC","4-2",0.810860184777625,113.354154962015,13,99.8772892362693,155,72.5247309896021,8,"21.8-11.2","12.1-5.9",-0.0934682075863709,87,2014-12-05
51,"BYU","WCC","5-2",0.811445847572016,113.188013496688,14,99.6977497492206,157,72.8247110899994,7,"22-11","12.2-5.8",0.0717025736962517,65,2014-12-06
53,"BYU","WCC","5-2",0.807505005789231,113.049818064719,14,99.7975316285676,160,72.8016491608389,6,"21.9-11.1","12-6",0.0922527008500786,66,2014-12-07
53,"BYU","WCC","5-2",0.808970134418778,113.25747371942,14,99.8986933274394,160,72.8885404280148,7,"21.9-11.1","12.1-5.9",0.0779537566246944,65,2014-12-08
53,"BYU","WCC","5-2",0.808443292070952,113.203307945393,13,99.8804903389148,159,72.8476328346867,7,"21.9-11.1","12-6",0.0909425566809387,66,2014-12-09
54,"BYU","WCC","5-3",0.802552925467602,112.103565660724,18,99.2340934262562,147,72.6787700301188,9,"21.3-11.7","12-6",-0.237224596890651,83,2014-12-10
54,"BYU","WCC","5-3",0.802759912843716,112.132536173424,16,99.2484598759892,147,72.6793576879226,9,"21.2-11.8","11.9-6.1",-0.255550957336716,83,2014-12-11
54,"BYU","WCC","5-3",0.802853612487694,112.13676443228,16,99.2470941278424,147,72.6800161362944,9,"21.2-11.8","11.9-6.1",-0.253932485509943,83,2014-12-12
50,"BYU","WCC","6-3",0.816784034560983,113.108214377136,14,99.3223184253425,146,71.8373529247015,11,"21.8-11.2","12.1-5.9",-0.111157756631189,69,2014-12-13
48,"BYU","WCC","6-3",0.816322808710333,113.118467500368,15,99.3579209237901,147,71.972119972955,9,"21.8-11.2","12.1-5.9",-0.120600284611086,69,2014-12-14
48,"BYU","WCC","6-3",0.816172476200134,113.097290940667,15,99.3479788873248,148,72.0029223147703,9,"21.8-11.2","12.1-5.9",-0.0961023967630052,68,2014-12-15
48,"BYU","WCC","6-3",0.814482167048102,113.178000517602,14,99.5159760506711,147,72.0952619086976,8,"21.9-11.1","12.2-5.8",-0.0656194801904952,67,2014-12-16
50,"BYU","WCC","6-3",0.814291881378587,113.166312850239,14,99.5165920658205,147,72.0665076809899,8,"21.9-11.1","12.2-5.8",-0.107780827322603,66,2014-12-17
51,"BYU","WCC","6-3",0.813438895204894,113.163442378215,15,99.5628044914148,146,72.0671938526387,8,"21.8-11.2","12-6",-0.107767732749173,66,2014-12-18
46,"BYU","WCC","6-3",0.819774150435523,113.389165659183,15,99.3950718511982,145,72.1856950417305,8,"21.9-11.1","12.2-5.8",-0.0699568996471547,65,2014-12-19
45,"BYU","WCC","7-3",0.824812268115058,114.148860084024,13,99.7614515478554,151,72.001548643223,9,"22.4-10.6","12.2-5.8",0.246221501526696,51,2014-12-20
46,"BYU","WCC","7-3",0.823597715607502,114.105017489101,14,99.7958512996055,155,72.052369100396,10,"22.4-10.6","12.3-5.7",0.218170450293835,51,2014-12-21
47,"BYU","WCC","7-3",0.822297372579417,113.970474311272,15,99.7555652060603,149,72.2777288553245,9,"22.4-10.6","12.3-5.7",0.232580700979218,49,2014-12-22
47,"BYU","WCC","8-3",0.820708632194504,113.541016942998,16,99.4733457953491,146,71.1071253925358,18,"22.6-10.4","12.3-5.7",0.366519836438819,46,2014-12-23
47,"BYU","WCC","8-3",0.820708632193573,113.541016942967,16,99.4733457953763,146,71.106956517083,18,"22.6-10.4","12.3-5.7",0.366519836443366,46,2014-12-24
47,"BYU","WCC","8-3",0.822542229816116,113.5730930976,16,99.3932555843038,145,71.1121496764161,18,"22.6-10.4","12.3-5.7",0.373743676408508,46,2014-12-25
47,"BYU","WCC","8-3",0.822539127396983,113.560797759559,16,99.3826790226813,145,71.1124478368732,18,"22.6-10.4","12.3-5.7",0.374283808177498,46,2014-12-26
46,"BYU","WCC","8-4",0.827979875583338,113.847547358472,15,99.3072657937206,145,71.5944492566798,13,"22.5-10.5","12.2-5.8",-0.0437851252693534,55,2014-12-27
47,"BYU","WCC","8-4",0.829018792799499,113.720043715377,15,99.1329969189955,142,71.5991602302411,12,"22.5-10.5","12.2-5.8",-0.054142308253366,56,2014-12-28
47,"BYU","WCC","9-4",0.833964253552903,115.432159339763,13,100.317109022742,162,72.0745486351291,10,"22.7-10.3","12.4-5.6",0.0332677848369792,53,2014-12-29
48,"BYU","WCC","9-4",0.831074617377772,115.344543975878,14,100.421780355389,162,72.3060993221013,8,"22.6-10.4","12.3-5.7",0.00705240730607276,52,2014-12-30
47,"BYU","WCC","9-4",0.834050899668585,115.65241424355,13,100.503053096993,168,72.2984599749355,8,"22.7-10.3","12.4-5.6",-0.0112450711799764,54,2014-12-31
36,"BYU","WCC","10-4",0.871883204351514,115.814416280474,12,98.0258661480849,124,72.2481526254742,8,"23.8-9.2","13.2-4.8",0.242790341650201,45,2015-01-01
36,"BYU","WCC","10-4",0.872678406944887,115.803619802975,12,97.9559096811438,121,72.3271842449841,8,"23.8-9.2","13.3-4.7",0.266479184046286,45,2015-01-02
26,"BYU","WCC","11-4",0.896497904760397,118.349179685147,7,98.0922746189749,117,71.7991016948266,10,"24.7-8.3","14-4",0.609527986901374,33,2015-01-03
24,"BYU","WCC","11-4",0.898741065413696,118.622037120291,5,98.1099596067853,116,71.9289461939464,10,"24.8-8.2","14.1-3.9",0.565445575993251,34,2015-01-04
25,"BYU","WCC","11-4",0.897533250003013,118.557677086581,5,98.1693642557435,119,71.9358577544481,10,"24.7-8.3","14.1-3.9",0.625088060770095,33,2015-01-05
25,"BYU","WCC","11-4",0.89819402615504,118.649770193083,5,98.1840820248476,121,71.953620851082,10,"24.7-8.3","14.1-3.9",0.621772355140434,34,2015-01-06
25,"BYU","WCC","11-4",0.899745077063869,118.861817091414,5,98.2135937035765,123,71.985879737686,9,"24.8-8.2","14.1-3.9",0.536175346078176,34,2015-01-07
34,"BYU","WCC","11-5",0.877371022090548,117.347518969956,9,98.8921280525068,137,71.2031387683709,13,"23.3-9.7","12.8-5.2",-0.399241748438534,59,2015-01-08
34,"BYU","WCC","11-5",0.87738628254114,117.334727256985,9,98.8801284782979,136,71.3848404516448,13,"23.3-9.7","12.8-5.2",-0.38718674482654,59,2015-01-09
39,"BYU","WCC","12-5",0.872016789834648,117.464786876134,9,99.4124044102178,143,71.0101414958655,13,"23.1-9.9","12.7-5.3",-0.351041794040472,56,2015-01-10
37,"BYU","WCC","12-5",0.872697751878684,117.49727056488,9,99.3870293806931,143,71.0150144134433,13,"23.1-9.9","12.7-5.3",-0.313013871646959,55,2015-01-11
38,"BYU","WCC","12-5",0.872643121661153,117.477342829237,10,99.374421528659,142,71.1763760555163,12,"23.1-9.9","12.7-5.3",-0.328792157775769,55,2015-01-12
37,"BYU","WCC","12-5",0.872416962424456,117.469712948188,9,99.385539065291,140,71.0129896730061,12,"23.1-9.9","12.7-5.3",-0.38813088735799,57,2015-01-13
38,"BYU","WCC","12-5",0.873170783122057,117.56881849193,10,99.4106774491295,141,71.0405336766783,12,"23.2-9.8","12.7-5.3",-0.366696436541515,56,2015-01-14
37,"BYU","WCC","13-5",0.870674020141676,117.610251615233,10,99.6392415786286,148,71.4699342513042,11,"23.3-9.7","12.8-5.2",-0.106453545060357,50,2015-01-15
37,"BYU","WCC","13-5",0.87093529279618,117.598729256415,10,99.6093624150208,145,71.4281692638578,11,"23.3-9.7","12.8-5.2",-0.108562553356293,50,2015-01-16
40,"BYU","WCC","13-6",0.865590809977668,117.714577689446,8,100.113475447708,153,71.4481693196291,11,"22.7-10.3","12.3-5.7",-0.681086127543892,65,2015-01-17
39,"BYU","WCC","13-6",0.865859166528865,117.776084211722,7,100.145679783688,152,71.4403346512017,11,"22.7-10.3","12.3-5.7",-0.670716702027575,63,2015-01-18
40,"BYU","WCC","13-6",0.866374535090003,117.798866516,7,100.12634818977,152,71.3447921488483,11,"22.7-10.3","12.3-5.7",-0.56300412067677,60,2015-01-19
38,"BYU","WCC","13-6",0.869185453039827,117.907992160398,7,100.005824648028,149,71.4044327646686,11,"22.7-10.3","12.3-5.7",-0.525061915352729,61,2015-01-20
37,"BYU","WCC","13-6",0.868786619837921,117.922457477696,7,100.048566172768,153,71.4516791765172,11,"22.7-10.3","12.3-5.7",-0.507945738200351,61,2015-01-21
38,"BYU","WCC","13-6",0.869052552016637,117.704602835945,8,99.8434594003005,145,71.5384248955935,11,"22.7-10.3","12.3-5.7",-0.553821554043632,61,2015-01-22
37,"BYU","WCC","13-6",0.869175934891666,117.694214382662,8,99.8252317344504,145,71.3289748434549,11,"22.7-10.3","12.3-5.7",-0.553354504357514,60,2015-01-23
41,"BYU","WCC","13-7",0.860298961231869,117.073253060302,10,99.9562329646588,141,71.5027052523866,9,"21.9-11.1","11.6-6.4",-1.18071264941902,72,2015-01-24
39,"BYU","WCC","13-7",0.860726662659768,117.029650016573,9,99.8880499177738,140,71.5644715375294,9,"21.9-11.1","11.6-6.4",-1.13658360423488,71,2015-01-25
39,"BYU","WCC","13-7",0.861060053515283,117.058137958134,9,99.8881813136689,141,71.5649931490003,9,"21.9-11.1","11.6-6.4",-1.15989672898159,71,2015-01-26
39,"BYU","WCC","13-7",0.862238898888065,117.144168218388,9,99.8756723506593,143,71.507142440182,9,"21.9-11.1","11.6-6.4",-1.1355215357606,69,2015-01-27
37,"BYU","WCC","13-7",0.863916137603677,117.189867444271,8,99.7913987425109,141,71.5386973693611,8,"22-11","11.6-6.4",-1.00542890645451,68,2015-01-28
39,"BYU","WCC","14-7",0.858240722043021,116.382510663939,10,99.5136626456891,136,71.8235637646422,6,"22-11","11.6-6.4",-0.885547897831521,66,2015-01-29
39,"BYU","WCC","14-7",0.858387003476213,116.384409928618,10,99.5048782004213,136,71.7539237126784,6,"22-11","11.7-6.3",-0.877838402697631,66,2015-01-30
37,"BYU","WCC","15-7",0.861094604399524,116.143271545559,13,99.1050173549113,129,71.6774679264912,7,"22.1-10.9","11.7-6.3",-0.729049151260319,67,2015-01-31
36,"BYU","WCC","15-7",0.862005727968705,116.254411767428,12,99.1339852539001,129,71.6374713882989,7,"22.1-10.9","11.7-6.3",-0.708156448468184,64,2015-02-01
36,"BYU","WCC","15-7",0.861631181550905,116.241324453693,13,99.1499381240368,129,71.6854968742386,7,"22.1-10.9","11.7-6.3",-0.710964833892467,64,2015-02-02
34,"BYU","WCC","15-7",0.861569703099434,116.231741435851,13,99.1462089182117,128,71.6595592284814,7,"22.1-10.9","11.7-6.3",-0.644456562389768,62,2015-02-03
35,"BYU","WCC","15-7",0.860772290623914,116.156157967835,12,99.1392184425518,128,71.6852494356131,7,"22.1-10.9","11.7-6.3",-0.634063106562177,61,2015-02-04
37,"BYU","WCC","15-8",0.855720316579439,116.50082882138,12,99.7931220050247,140,71.577954130932,8,"21.4-11.6","11.1-6.9",-1.26779969744692,76,2015-02-05
37,"BYU","WCC","15-8",0.856013490740012,116.531006080281,12,99.7983449261297,140,71.5813837082797,7,"21.4-11.6","11.1-6.9",-1.27448742692085,76,2015-02-06
36,"BYU","WCC","16-8",0.85725845385176,116.619193358248,11,99.7858689480031,136,71.439288524179,7,"21.6-11.4","11.3-6.7",-1.2061109710429,73,2015-02-07
34,"BYU","WCC","16-8",0.856666939955042,116.618911585858,11,99.8275087020413,140,71.4540197270656,7,"21.6-11.4","11.3-6.7",-1.18558301547337,73,2015-02-08
34,"BYU","WCC","16-8",0.856826965293653,116.635549321236,11,99.8304314834492,140,71.5593918055888,7,"21.6-11.4","11.3-6.7",-1.17833320096066,73,2015-02-09
34,"BYU","WCC","16-8",0.857097095592477,116.593656064032,11,99.77545253817,137,71.4435834288445,7,"21.6-11.4","11.3-6.7",-1.09666899214702,72,2015-02-10
34,"BYU","WCC","16-8",0.858880130745312,116.755722810691,10,99.787080554499,135,71.4407959941643,7,"21.6-11.4","11.3-6.7",-1.09232033457057,72,2015-02-11
30,"BYU","WCC","17-8",0.873165327349772,117.544978567199,10,99.3909452998557,131,71.2602697945032,7,"21.9-11.1","11.6-6.4",-0.816231054766801,69,2015-02-12
30,"BYU","WCC","17-8",0.873113398384185,117.555709164155,9,99.4040708824759,131,71.3141600439903,6,"21.9-11.1","11.6-6.4",-0.820570749462656,70,2015-02-13
30,"BYU","WCC","18-8",0.87260362885312,117.942556044075,9,99.7710292101473,133,71.1362600629338,7,"22-11","11.6-6.4",-0.833485116361298,63,2015-02-14
31,"BYU","WCC","18-8",0.871419164632863,117.898141493959,9,99.8255396326874,134,70.95967491369,7,"22-11","11.6-6.4",-0.762833168087682,62,2015-02-15
31,"BYU","WCC","18-8",0.870861155847067,117.884216858101,9,99.8569036375158,135,71.1480840180979,6,"22-11","11.6-6.4",-0.75037423782968,62,2015-02-16
30,"BYU","WCC","18-8",0.871154057426286,117.89482323322,8,99.8432517189477,135,71.1649721909457,6,"22-11","11.6-6.4",-0.717977018880566,63,2015-02-17
31,"BYU","WCC","18-8",0.871261067601224,117.917168375885,9,99.8538941697736,135,70.925572595905,6,"22-11","11.6-6.4",-0.724199073410882,64,2015-02-18
31,"BYU","WCC","19-8",0.873353211884999,118.536558954895,7,100.214588366773,137,70.6174318945847,9,"22.2-10.8","11.8-6.2",-0.528699422012779,63,2015-02-19
31,"BYU","WCC","19-8",0.873400118039068,118.54904895258,7,100.221451354848,138,70.8049466140984,9,"22.2-10.8","11.8-6.2",-0.534488025823248,62,2015-02-20
31,"BYU","WCC","19-8",0.874290692584583,118.597188481581,10,100.191740741191,138,70.5551800634831,11,"22.2-10.8","11.8-6.2",-0.623180311091551,62,2015-02-21
31,"BYU","WCC","19-8",0.873889860870223,118.608928149889,10,100.233397454926,138,70.8013844495111,11,"22.2-10.8","11.8-6.2",-0.603014705941672,61,2015-02-22
31,"BYU","WCC","19-8",0.873592448279451,118.600681660802,10,100.249927602712,136,70.5586205410233,11,"22.2-10.8","11.8-6.2",-0.60994614317202,61,2015-02-23
31,"BYU","WCC","19-8",0.873886564704597,118.62673140602,9,100.248703257308,136,70.7779722048508,10,"22.2-10.8","11.8-6.2",-0.582804271280923,61,2015-02-24
30,"BYU","WCC","19-8",0.873939916448592,118.631442690142,8,100.248463805047,136,70.5251160409124,10,"22.2-10.8","11.8-6.2",-0.596025995041847,59,2015-02-25
30,"BYU","WCC","20-8",0.875119907711898,118.536628575869,8,100.074715996539,132,70.7586736910433,11,"22.6-10.4","12.1-5.9",-0.345272813101854,57,2015-02-26
30,"BYU","WCC","20-8",0.875065412066522,118.545152949966,8,100.086251684681,132,70.7577789783684,11,"22.6-10.4","12.1-5.9",-0.343668340872484,57,2015-02-27
26,"BYU","WCC","21-8",0.884701725120603,118.754438079029,8,99.4707935205381,123,70.3805204818721,11,"23.5-9.5","13-5",0.510353021928005,44,2015-02-28
26,"BYU","WCC","21-8",0.884572619273123,118.762855784933,8,99.4887881165246,123,70.6837593916163,10,"23.5-9.5","13-5",0.541626080265259,42,2015-03-01
26,"BYU","WCC","21-8",0.884551565922394,118.762276851884,8,99.490086841696,124,70.6875287548483,9,"23.5-9.5","13-5",0.529051631977467,44,2015-03-02
26,"BYU","WCC","21-8",0.884476761110829,118.768245400966,8,99.5014228202882,124,70.3778172578972,9,"23.5-9.5","13-5",0.542529693374929,44,2015-03-03
26,"BYU","WCC","21-8",0.883669621778562,118.706160840321,8,99.5175385901709,123,70.3784755985153,9,"23.5-9.5","13-5",0.537696295543856,43,2015-03-04
26,"BYU","WCC","21-8",0.883637723051,118.708069543661,9,99.5218238105194,122,70.6970973779284,9,"23.5-9.5","13-5",0.623930650870141,42,2015-03-05
26,"BYU","WCC","21-8",0.884076030478666,118.783364798726,8,99.5479820203746,121,70.3984122507327,9,"23.5-9.5","13-5",0.644225479263817,43,2015-03-06
29,"BYU","WCC","22-8",0.876352848769034,118.43848155902,9,99.8933904594257,127,70.7782403533331,6,"23.6-9.4","13-5",1.01201517760259,40,2015-03-07
29,"BYU","WCC","22-8",0.876356263326495,118.452579157051,9,99.9050068985343,126,70.7786100826782,6,"23.6-9.4","13-5",0.924373765611063,40,2015-03-08
26,"BYU","WCC","23-8",0.882875433232055,118.719111729014,9,99.595084641886,119,70.7286950708855,8,"23.9-9.1","13-5",1.17327418605464,37,2015-03-09
26,"BYU","WCC","23-9",0.880247444543937,118.769727405875,9,99.8558671067113,128,70.737533833383,7,"23.6-9.4","13-5",0.960104455235659,39,2015-03-10
26,"BYU","WCC","23-9",0.879951803211067,118.759104241681,9,99.8712634579936,128,70.7439428911413,7,"23.6-9.4","13-5",0.950567087305441,40,2015-03-11
27,"BYU","WCC","23-9",0.879522490777971,118.67670109422,10,99.8371874368106,128,70.7455354848651,7,"23.6-9.4","13-5",0.968895761010696,40,2015-03-12
28,"BYU","WCC","23-9",0.879758759166693,118.701807914351,9,99.8389326078902,128,70.409285714946,7,"23.6-9.4","13-5",0.840722731291437,41,2015-03-13
27,"BYU","WCC","23-9",0.879129677311655,118.659699998353,10,99.8550236999283,127,70.7856862816961,6,"23.6-9.4","13-5",0.953235546774116,41,2015-03-14
