"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
312,"Ball St.","MAC","0-0",0.190406667945275,93.1346016193476,316,105.625944740866,289,68.6254512,114,"7.8-21.2","3.8-14.2",0,265,2014-11-13
306,"Ball St.","MAC","0-1",0.202796244858978,94.2749895092459,302,106.192284701035,299,68.7539784466827,111,"8.1-20.9","4-14",-0.102962558620664,243,2014-11-14
306,"Ball St.","MAC","0-1",0.202618909867174,94.2903574081543,302,106.219729548444,300,68.7521290484575,112,"8-21","3.8-14.2",-0.102842752711578,221,2014-11-15
306,"Ball St.","MAC","0-1",0.202365361822506,94.2493161923486,300,106.187992468924,301,68.7477051898765,114,"7.9-21.1","3.8-14.2",-0.101269281706222,201,2014-11-16
306,"Ball St.","MAC","0-1",0.201971843184468,94.2263333646121,297,106.184623041548,304,68.7431294270473,114,"7.9-21.1","3.8-14.2",-0.100186331397661,177,2014-11-17
306,"Ball St.","MAC","0-1",0.201562389820946,94.2846624021546,297,106.273845828431,308,68.768944835764,111,"7.9-21.1","3.7-14.3",-0.103600438308895,154,2014-11-18
306,"Ball St.","MAC","0-1",0.201146505391609,94.2655713517894,295,106.276224366015,308,68.7441128410311,109,"7.8-21.2","3.7-14.3",-0.106662262799115,139,2014-11-19
306,"Ball St.","MAC","0-1",0.20101832534827,94.251786580619,294,106.268056066062,306,68.732006664069,111,"7.8-21.2","3.7-14.3",-0.109862090416221,125,2014-11-20
305,"Ball St.","MAC","0-1",0.20168039462482,94.2648181413697,294,106.244705238709,305,68.7330034136322,106,"7.7-21.3","3.6-14.4",-0.108212149572501,116,2014-11-21
305,"Ball St.","MAC","0-2",0.202458595198303,93.8710053224212,294,105.756449495376,294,68.5219656817732,119,"7.3-21.7","3.5-14.5",-0.9776012823983,236,2014-11-22
305,"Ball St.","MAC","0-2",0.201948597834029,93.8412798561178,293,105.75202856309,295,68.5126569807055,119,"7.1-21.9","3.4-14.6",-0.976204098883774,224,2014-11-23
287,"Ball St.","MAC","1-2",0.242448399012696,94.971549938776,277,104.862207332571,279,68.0877529189171,146,"8.1-20.9","4-14",-0.975191872589288,220,2014-11-24
287,"Ball St.","MAC","1-2",0.241150724080006,94.9390243598194,280,104.890835066958,282,68.0789852735528,140,"8.1-20.9","4-14",-0.975988563260727,200,2014-11-25
287,"Ball St.","MAC","1-2",0.241114328669726,94.9246410557967,276,104.876757914129,281,68.2046286218744,131,"8.1-20.9","4.1-13.9",-0.981951057899224,190,2014-11-26
285,"Ball St.","MAC","1-2",0.240775941449796,94.9091696368362,275,104.876536501106,282,68.2048310028262,130,"8.2-20.8","4.1-13.9",-0.978752676388275,181,2014-11-27
284,"Ball St.","MAC","1-2",0.240986165435522,94.9458091580845,274,104.906535821403,279,68.190694797448,128,"8.3-20.7","4.1-13.9",-0.985536090369573,172,2014-11-28
285,"Ball St.","MAC","1-2",0.243639065461038,95.036834481021,271,104.875252645712,279,68.1438204852016,126,"8.3-20.7","4.1-13.9",-0.984554804370323,161,2014-11-29
283,"Ball St.","MAC","1-2",0.243391536190032,95.0515392148356,271,104.903736186601,277,68.1210814862276,123,"8.3-20.7","4.2-13.8",-0.987185050656257,155,2014-11-30
282,"Ball St.","MAC","1-2",0.243588187414385,95.0538673545555,270,104.896567307327,276,68.1187632989606,121,"8.3-20.7","4.2-13.8",-0.987115643329549,156,2014-12-01
283,"Ball St.","MAC","1-2",0.243117371369862,95.065725599543,274,104.932981994547,275,68.0835774079677,111,"8.3-20.7","4.2-13.8",-0.987335115437961,150,2014-12-02
286,"Ball St.","MAC","1-3",0.247815327820116,94.6020803594853,279,104.191142725469,252,68.4019293809604,91,"8.2-20.8","4.3-13.7",-1.83326337837807,213,2014-12-03
286,"Ball St.","MAC","1-3",0.247583745426678,94.582480317953,278,104.180813833759,253,68.3964019225567,90,"8.1-20.9","4.3-13.7",-1.82946432580438,213,2014-12-04
286,"Ball St.","MAC","1-3",0.247286989095444,94.5789675143886,278,104.191382257282,252,68.3915214304739,90,"8.1-20.9","4.2-13.8",-1.82523702395091,212,2014-12-05
280,"Ball St.","MAC","2-3",0.263000704086239,95.2337405150163,273,104.160911008425,255,67.9389360833066,107,"8.9-20.1","4.4-13.6",-1.72930810913394,200,2014-12-06
282,"Ball St.","MAC","2-3",0.262458946500815,95.2091122006841,271,104.15930295579,253,67.8968424647749,106,"8.8-20.2","4.4-13.6",-1.72163560733741,196,2014-12-07
282,"Ball St.","MAC","2-3",0.263039657076431,95.223514345542,271,104.147906320753,251,67.8612025835069,105,"8.8-20.2","4.4-13.6",-1.72695042950883,192,2014-12-08
280,"Ball St.","MAC","2-3",0.263104460289147,95.2488349113126,271,104.172571922326,250,67.8855901182602,104,"8.7-20.3","4.4-13.6",-1.7221356408275,191,2014-12-09
277,"Ball St.","MAC","2-3",0.263841815521456,95.3142882401082,272,104.20971978278,248,67.9272839591526,100,"8.8-20.2","4.4-13.6",-1.72861354910565,184,2014-12-10
276,"Ball St.","MAC","2-3",0.263918411514997,95.3213605418612,272,104.213878687829,251,67.9282036883711,101,"8.7-20.3","4.4-13.6",-1.73436833938676,181,2014-12-11
276,"Ball St.","MAC","2-3",0.263824313806843,95.3210924391831,272,104.217975616355,249,67.9297467792491,101,"8.7-20.3","4.4-13.6",-1.73386093772598,181,2014-12-12
255,"Ball St.","MAC","2-4",0.310804242467304,96.4059153288739,251,103.318498812547,233,67.8862887283185,101,"9.6-19.4","5.2-12.8",-2.16118568743108,199,2014-12-13
256,"Ball St.","MAC","2-4",0.310709548610141,96.4085182780937,250,103.325260580822,233,67.860973425237,98,"9.6-19.4","5.2-12.8",-2.16539247359662,195,2014-12-14
261,"Ball St.","MAC","2-4",0.306329498742554,96.4368897336129,249,103.540358707038,241,67.8865650780345,99,"9.6-19.4","5.1-12.9",-2.15453196444065,196,2014-12-15
262,"Ball St.","MAC","2-4",0.305563723990636,96.4310125246856,251,103.566521118439,238,67.8417295599026,104,"9.6-19.4","5.1-12.9",-2.14087363795101,192,2014-12-16
274,"Ball St.","MAC","2-5",0.273262907876705,95.3203266074477,270,103.782555439279,240,67.4988402533843,119,"8.5-20.5","4.6-13.4",-3.09552922649722,244,2014-12-17
274,"Ball St.","MAC","2-5",0.273248630541481,95.3155778895654,270,103.778033933142,239,67.4708115895477,120,"8.5-20.5","4.6-13.4",-3.09529833729462,242,2014-12-18
274,"Ball St.","MAC","2-5",0.274311014415356,95.3309194067441,269,103.746521795315,241,67.4328072701223,119,"8.5-20.5","4.6-13.4",-3.07706904401315,240,2014-12-19
263,"Ball St.","MAC","2-6",0.293003634215408,95.8054189728128,263,103.431967329248,234,68.0122663339555,92,"8.8-20.2","4.9-13.1",-3.37463590628808,242,2014-12-20
262,"Ball St.","MAC","2-6",0.293127258684193,95.7548245285052,263,103.371981483169,233,67.9909241827027,93,"8.8-20.2","4.8-13.2",-3.3894165213275,234,2014-12-21
264,"Ball St.","MAC","2-6",0.292315898490247,95.8159566259241,261,103.473231892452,235,67.9337438496036,92,"8.8-20.2","4.9-13.1",-3.38192259877505,225,2014-12-22
261,"Ball St.","MAC","2-6",0.298037495279527,95.8754380477681,262,103.290154565102,230,67.858521213693,93,"8.9-20.1","5-13",-3.38684044345552,223,2014-12-23
261,"Ball St.","MAC","2-6",0.298037495278863,95.8754380477534,262,103.290154565114,230,67.8583952421357,93,"8.9-20.1","5-13",-3.38684044345323,223,2014-12-24
262,"Ball St.","MAC","2-6",0.297830217440136,95.8578538312072,263,103.280109723837,230,67.8555287313488,94,"8.9-20.1","5-13",-3.38320512374051,223,2014-12-25
262,"Ball St.","MAC","2-6",0.297548313492959,95.8404298866736,263,103.273444692525,230,67.8557511153017,94,"8.9-20.1","5-13",-3.38293340857328,223,2014-12-26
261,"Ball St.","MAC","2-6",0.301460316030157,96.0088783870409,260,103.287348667459,230,67.875699645093,94,"9-20","5.1-12.9",-3.42466916523959,222,2014-12-27
262,"Ball St.","MAC","3-6",0.296252349141753,95.5615794422799,266,103.028572012225,222,67.8339404980233,91,"9-20","5-13",-3.40685451737128,217,2014-12-28
264,"Ball St.","MAC","3-6",0.295825577704186,95.6452226239588,266,103.137115291007,221,67.734619966619,94,"8.9-20.1","4.8-13.2",-3.43494646218024,213,2014-12-29
261,"Ball St.","MAC","3-6",0.294118575577899,95.6020899798845,262,103.164211893182,224,67.7114403519494,91,"8.8-20.2","4.7-13.3",-3.44619548445288,208,2014-12-30
260,"Ball St.","MAC","3-6",0.296798118602629,95.7960359554614,258,103.257853582296,227,67.6149164295513,89,"8.8-20.2","4.8-13.2",-3.45423905862269,204,2014-12-31
259,"Ball St.","MAC","3-6",0.298861825392602,95.8767450430113,257,103.256206558909,229,67.5872955707002,94,"8.8-20.2","4.8-13.2",-3.46528949401482,202,2015-01-01
260,"Ball St.","MAC","3-6",0.298722111133625,95.8394009681053,259,103.221973487566,224,67.6262401611012,91,"8.8-20.2","4.7-13.3",-3.45584084425413,199,2015-01-02
271,"Ball St.","MAC","4-6",0.273575367971419,94.7123195954686,274,103.106468930342,218,67.1353678128429,109,"8.4-20.6","4.3-13.7",-3.45667884805653,191,2015-01-03
268,"Ball St.","MAC","4-6",0.280621229579119,94.906143765004,275,103.001933969012,217,67.3413177047669,100,"8.5-20.5","4.4-13.6",-3.47277903846997,187,2015-01-04
270,"Ball St.","MAC","4-6",0.277992380428237,94.7854900974023,274,102.987878303979,216,67.4975686258356,95,"8.5-20.5","4.4-13.6",-3.45090654675238,182,2015-01-05
270,"Ball St.","MAC","4-6",0.278557871708504,94.8194493941776,271,102.999554829375,218,67.5354126782678,95,"8.6-20.4","4.5-13.5",-3.45200758304324,179,2015-01-06
246,"Ball St.","MAC","5-6",0.320650947206195,95.100012150562,269,101.515803115395,194,66.9531350772545,118,"10-19","5.9-12.1",-3.17955122795902,166,2015-01-07
242,"Ball St.","MAC","5-6",0.325891644836093,95.1516881471312,270,101.359599924836,191,66.7410321116311,116,"10.1-18.9","6-12",-3.20691359850857,161,2015-01-08
243,"Ball St.","MAC","5-6",0.324766069287298,95.1216067540827,272,101.372750581444,191,66.9133408802721,116,"10-19","5.9-12.1",-3.20164897170483,161,2015-01-09
199,"Ball St.","MAC","6-6",0.402449547222626,97.6131533054681,232,101.026561501061,182,66.3867309142418,136,"11.7-17.3","7.6-10.4",-3.02377826119728,150,2015-01-10
197,"Ball St.","MAC","6-6",0.401494897441825,97.5929982111956,232,101.040587504121,180,66.3990127686801,134,"11.7-17.3","7.6-10.4",-3.00519133030283,147,2015-01-11
199,"Ball St.","MAC","6-6",0.39820924172119,97.422755692532,236,100.984492267974,175,66.4917573324729,134,"11.7-17.3","7.6-10.4",-3.0127732505132,146,2015-01-12
198,"Ball St.","MAC","6-6",0.396481709014135,97.3878951738186,236,101.011704511882,178,66.3279626889717,138,"11.7-17.3","7.6-10.4",-3.04139823387921,145,2015-01-13
179,"Ball St.","MAC","6-7",0.440710928286672,98.731523336708,209,100.798557544394,176,66.1584412093104,145,"12.1-16.9","7.9-10.1",-3.76968261607512,168,2015-01-14
