"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
314,"Binghamton","AE","0-0",0.189642192896315,92.8187648111504,318,105.313222563452,279,67.69424919,196,"9-21","6.2-9.8",0,320,2014-11-13
321,"Binghamton","AE","0-1",0.170255358028253,91.8127799651365,324,105.369672527774,283,67.6859451519279,204,"8.4-21.6","5.9-10.1",-0.124923411600171,246,2014-11-14
321,"Binghamton","AE","0-1",0.170017740774627,91.8173269461964,323,105.39031305441,286,67.6841536696142,204,"8.4-21.6","5.9-10.1",-0.124781606903572,224,2014-11-15
319,"Binghamton","AE","0-1",0.170776099019818,91.8330031043268,324,105.359145792461,286,67.6058047219982,205,"8.4-21.6","6-10",-0.12291846467992,204,2014-11-16
321,"Binghamton","AE","0-2",0.163605325322593,90.7336953545554,331,104.565204772222,268,67.6747534521386,209,"8.1-21.9","5.7-10.3",-0.346791583973307,214,2014-11-17
321,"Binghamton","AE","0-2",0.163298614646191,90.7262582768908,331,104.577029937281,271,67.6347672987517,211,"8.1-21.9","5.7-10.3",-0.357410557996288,198,2014-11-18
319,"Binghamton","AE","0-2",0.16387323225385,90.7248424254116,330,104.537215427842,273,67.5963266199556,205,"8.1-21.9","5.7-10.3",-0.366875769465778,181,2014-11-19
318,"Binghamton","AE","0-2",0.165096722166924,90.8219483666523,331,104.568122733453,274,67.5481964718947,198,"8.2-21.8","5.7-10.3",-0.376709653812652,170,2014-11-20
317,"Binghamton","AE","0-2",0.164633083159553,90.8214698870222,330,104.598195560552,275,67.5206331299447,196,"8.2-21.8","5.8-10.2",-0.371646318334598,162,2014-11-21
319,"Binghamton","AE","0-3",0.161604992534795,91.7132036031962,325,105.829135236406,295,67.0202128077943,227,"8-22","5.6-10.4",-1.16983363135621,260,2014-11-22
320,"Binghamton","AE","0-4",0.161943900085077,92.3586995421038,314,106.550823100322,308,66.9925008441668,225,"7.6-22.4","5.6-10.4",-2.07704620956814,321,2014-11-23
319,"Binghamton","AE","0-4",0.161773682583465,92.3691079249994,314,106.57445826076,308,66.9935919348957,218,"7.6-22.4","5.6-10.4",-2.07681808473259,311,2014-11-24
327,"Binghamton","AE","0-5",0.144003108088476,91.5796604182544,319,106.933085976687,313,66.5494182314689,247,"6.9-23.1","5.2-10.8",-2.93948950733328,337,2014-11-25
328,"Binghamton","AE","0-5",0.143244512058388,91.5511550110067,318,106.957149298447,316,66.6411202220234,236,"6.9-23.1","5.1-10.9",-2.9582026198634,330,2014-11-26
328,"Binghamton","AE","0-5",0.143357519189639,91.5421269057768,317,106.938041841531,315,66.6256240043444,234,"6.8-23.2","5.1-10.9",-2.94823652877468,327,2014-11-27
