"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
171,"Boston University","Pat","0-0",0.501780117324992,100.071001060314,202,100.009058890823,153,68.08078485,165,"15.2-13.8","9.6-8.4",0,278,2014-11-13
169,"Boston University","Pat","0-0",0.500782677853533,100.053664596021,195,100.026430094111,156,68.08078485,172,"14.9-14.1","9.4-8.6",0,209,2014-11-14
171,"Boston University","Pat","0-0",0.500466377292511,100.048167327903,194,100.03193900701,156,68.08078485,176,"14.9-14.1","9.4-8.6",0,194,2014-11-15
171,"Boston University","Pat","0-1",0.504627003313013,100.563872977009,178,100.402151793232,173,67.7215581516245,195,"14.6-14.4","9.5-8.5",-0.684662333579824,295,2014-11-16
169,"Boston University","Pat","0-1",0.504040417540189,100.536024308304,175,100.394830901358,176,67.7173089142049,203,"14.7-14.3","9.6-8.4",-0.682060470548787,268,2014-11-17
170,"Boston University","Pat","0-1",0.505878757923852,100.532892712998,173,100.327525099568,173,67.6891523886747,205,"14.8-14.2","9.7-8.3",-0.68967230878496,256,2014-11-18
168,"Boston University","Pat","1-1",0.505079597983471,100.830361736771,164,100.652364137839,180,67.5032487935544,209,"14.9-14.1","9.5-8.5",-0.501274509937885,208,2014-11-19
166,"Boston University","Pat","1-1",0.504826498515486,100.819197942681,166,100.650081220476,180,67.4787881772685,205,"15-14","9.6-8.4",-0.513328534386386,199,2014-11-20
156,"Boston University","Pat","1-2",0.523421570499615,101.260289373527,150,100.438110765196,179,68.1333477463005,152,"15.3-13.7","9.8-8.2",-0.54392261866584,190,2014-11-21
153,"Boston University","Pat","1-2",0.528569271560503,101.407656029735,149,100.403856521803,178,68.1771364788031,142,"15.6-13.4","10.1-7.9",-0.538819545825207,173,2014-11-22
150,"Boston University","Pat","1-2",0.5347478102963,101.600381138838,145,100.377851236966,178,68.1749186521693,138,"15.8-13.2","10.3-7.7",-0.536110847885955,167,2014-11-23
149,"Boston University","Pat","1-2",0.534265243340793,101.615462914946,144,100.409684469407,178,68.1702258801745,136,"15.9-13.1","10.4-7.6",-0.535937632315972,164,2014-11-24
168,"Boston University","Pat","1-3",0.491937758845275,101.806534578822,139,102.09245183336,219,68.2067995190485,129,"14.4-14.6","9.8-8.2",-1.2967987293395,238,2014-11-25
168,"Boston University","Pat","1-3",0.48639387500192,101.804069862411,137,102.28712566598,222,68.1780861468258,135,"14.3-14.7","9.7-8.3",-1.31349016677653,227,2014-11-26
