"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
147,"Brown","Ivy","0-0",0.542784070058268,99.3022699962239,223,97.8318838443122,104,70.10848548,41,"15.5-13.5","7-7",0,7,2014-11-13
135,"Brown","Ivy","1-0",0.568425007162857,100.044371207779,196,97.676747339376,106,69.7771724807161,60,"16.3-12.7","7.3-6.7",0.0839158081848811,44,2014-11-14
135,"Brown","Ivy","1-0",0.5681634512414,100.066276312544,192,97.7071916205128,107,69.7753958932583,59,"16.4-12.6","7.3-6.7",0.0840156300822786,59,2014-11-15
135,"Brown","Ivy","1-0",0.567944629791624,100.081686103581,187,97.7298166219331,114,69.8184433278428,59,"16.5-12.5","7.4-6.6",0.0853464801895251,69,2014-11-16
165,"Brown","Ivy","1-1",0.5168985710656,99.1108391866436,215,98.5297771191691,127,69.7909300986037,60,"14.9-14.1","6.9-7.1",-0.734710084429635,274,2014-11-17
165,"Brown","Ivy","1-1",0.516305599091577,99.1044804387393,212,98.543800755471,132,69.7494708056994,62,"14.9-14.1","6.9-7.1",-0.743024472627357,265,2014-11-18
181,"Brown","Ivy","1-2",0.479319716721676,98.6319362855934,217,99.344375515905,148,69.9449253729933,54,"14.1-14.9","6.6-7.4",-1.57454108392914,335,2014-11-19
182,"Brown","Ivy","1-2",0.474678843696464,98.499866801475,218,99.3719713446735,150,70.0090743823524,49,"14-15","6.5-7.5",-1.58632219484345,329,2014-11-20
182,"Brown","Ivy","1-2",0.473574302364772,98.5216210319439,215,99.4322140815829,152,69.9670467797152,47,"13.9-15.1","6.4-7.6",-1.58031968671771,314,2014-11-21
192,"Brown","Ivy","1-3",0.450039638085533,98.2980551778392,222,100.026979217698,168,70.2112551029536,38,"13.3-15.7","6.3-7.7",-2.27375224868709,336,2014-11-22
193,"Brown","Ivy","1-3",0.448983301667566,98.2402445762042,221,100.005267521673,169,70.181424824761,37,"13.2-15.8","6.1-7.9",-2.26992349238698,328,2014-11-23
195,"Brown","Ivy","1-4",0.443890625586,99.3893271750894,190,101.356457673302,199,69.945302058518,39,"13-16","6.1-7.9",-2.62186168756675,338,2014-11-24
192,"Brown","Ivy","1-4",0.449338994709898,99.5614324359621,182,101.337523191112,196,69.9586812230774,37,"13.1-15.9","6.2-7.8",-2.62490694649175,328,2014-11-25
