"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
169,"Bucknell","Pat","0-0",0.503237397639171,98.1382540352834,238,98.0278059748803,108,66.66948789,274,"16.2-16.8","9.7-8.3",0,270,2014-11-13
172,"Bucknell","Pat","1-0",0.492339711681733,99.0521603034244,223,99.3164522640477,138,66.5184248921883,290,"15.8-17.2","9.3-8.7",0.0285176431168053,87,2014-11-14
173,"Bucknell","Pat","1-0",0.491966363226002,99.0743436269797,222,99.3515989500351,140,66.5166953497096,288,"15.7-17.3","9.2-8.8",0.028553620240543,104,2014-11-15
172,"Bucknell","Pat","1-0",0.491725261429534,99.020609296977,221,99.3060440663694,142,66.5125582027415,286,"15.7-17.3","9.3-8.7",0.0290337711428459,116,2014-11-16
194,"Bucknell","Pat","1-1",0.450133266095676,97.7585740230136,240,99.4747371682015,145,66.8165254729935,261,"14.7-18.3","8.6-9.4",-0.289753392679907,203,2014-11-17
196,"Bucknell","Pat","1-1",0.449582955197147,97.7535428988274,237,99.4888527351481,147,66.7718387163764,262,"14.7-18.3","8.7-9.3",-0.298959950747347,186,2014-11-18
195,"Bucknell","Pat","1-1",0.449008946463882,97.7220905821699,234,99.4769075075561,151,66.7186983864813,262,"14.5-18.5","8.6-9.4",-0.307048038763201,170,2014-11-19
185,"Bucknell","Pat","1-2",0.466160464341966,97.8563834930133,232,99.0167693487249,142,66.8947356875164,246,"15-18","8.9-9.1",-0.392963092426423,174,2014-11-20
186,"Bucknell","Pat","1-2",0.465247157151716,97.8903039845703,229,99.0827116345862,146,66.8482383872514,249,"15-18","8.8-9.2",-0.387501605546469,166,2014-11-21
200,"Bucknell","Pat","1-3",0.440683365871562,98.3016019678209,221,100.360611253853,177,66.5334513581629,257,"13.8-19.2","8.6-9.4",-1.32749085654852,275,2014-11-22
200,"Bucknell","Pat","1-3",0.439692965991685,98.2337744533777,222,100.326419803797,177,66.5052997824367,253,"13.8-19.2","8.6-9.4",-1.3249953823259,263,2014-11-23
226,"Bucknell","Pat","1-4",0.382303362551274,98.1156312156378,225,102.295630183067,221,66.6578267369959,248,"12.3-20.7","7.8-10.2",-1.82742388001083,291,2014-11-24
234,"Bucknell","Pat","2-4",0.366603044909115,97.5420826585137,231,102.292183853097,224,66.613012346591,241,"12.2-20.8","7.6-10.4",-1.72779952549843,272,2014-11-25
235,"Bucknell","Pat","2-4",0.363503865122503,97.4636064540005,229,102.328791716778,225,66.7376800274974,227,"12.1-20.9","7.6-10.4",-1.74817565760428,264,2014-11-26
235,"Bucknell","Pat","2-4",0.363381546509048,97.4500671610841,227,102.319280585433,228,66.7223459033085,223,"12.2-20.8","7.6-10.4",-1.73726985299785,264,2014-11-27
242,"Bucknell","Pat","2-5",0.348622706032671,98.6006530170326,212,104.108570235181,258,67.0865977571808,189,"11.6-21.4","7.4-10.6",-2.49510782181512,299,2014-11-28
241,"Bucknell","Pat","2-5",0.349154535759564,98.6714175600275,208,104.162080387088,258,67.0339988784869,184,"11.7-21.3","7.5-10.5",-2.49083288835774,293,2014-11-29
239,"Bucknell","Pat","2-5",0.350189709474985,98.7532956677906,203,104.207256867931,258,67.0140566973252,176,"11.7-21.3","7.5-10.5",-2.50222736954308,289,2014-11-30
240,"Bucknell","Pat","3-5",0.346732983725556,98.7654745743974,201,104.358183061651,263,66.8466936274435,184,"12.3-20.7","7.4-10.6",-2.39884778656139,275,2014-12-01
239,"Bucknell","Pat","3-5",0.349345661766063,98.9019018113803,202,104.397755688639,261,66.9374289073367,179,"12.4-20.6","7.4-10.6",-2.39991409608597,264,2014-12-02
234,"Bucknell","Pat","3-5",0.352939399946266,99.081477645782,203,104.443959600175,256,66.9344960703445,176,"12.4-20.6","7.5-10.5",-2.39052050554832,252,2014-12-03
234,"Bucknell","Pat","3-5",0.351807958212685,99.1371156643449,201,104.547672617477,260,66.9645801398911,174,"12.4-20.6","7.5-10.5",-2.37926250546406,253,2014-12-04
233,"Bucknell","Pat","3-5",0.356661565315641,99.1726317066978,200,104.392341045365,256,67.0417943148168,170,"12.5-20.5","7.6-10.4",-2.36674863913799,253,2014-12-05
253,"Bucknell","Pat","3-6",0.310837774406385,97.7240824581044,223,104.729756764946,268,66.462418202691,186,"11.8-21.2","7.1-10.9",-3.08121654514261,279,2014-12-06
253,"Bucknell","Pat","3-6",0.307795592014133,97.9911825869928,219,105.146121279398,280,66.5157042900743,182,"11.8-21.2","7.1-10.9",-3.05962516735176,273,2014-12-07
262,"Bucknell","Pat","4-6",0.299550116241292,97.2748793330343,229,104.732053840534,269,66.4684850661868,182,"12-21","6.9-11.1",-2.94098588407361,266,2014-12-08
265,"Bucknell","Pat","4-6",0.291418522735971,97.4039209705018,230,105.22782225155,280,66.5773330004796,180,"12.1-20.9","7-11",-2.92612936406221,263,2014-12-09
260,"Bucknell","Pat","4-6",0.295056770123559,97.5499109660217,230,105.224787284012,280,66.7483154451768,173,"12.2-20.8","7-11",-2.94611256557781,262,2014-12-10
260,"Bucknell","Pat","4-6",0.2948183330791,97.558512199989,229,105.244558149463,280,66.7338744552162,172,"12.2-20.8","7-11",-2.96388673805783,261,2014-12-11
260,"Bucknell","Pat","4-6",0.294724085146199,97.5606527477129,229,105.251016655231,280,66.7387088638897,173,"12.2-20.8","7-11",-2.9623183037263,259,2014-12-12
265,"Bucknell","Pat","4-6",0.288291957796393,97.4960346766845,230,105.466545654072,282,67.0583906549451,149,"12-21","6.9-11.1",-2.97187845448354,250,2014-12-13
264,"Bucknell","Pat","4-6",0.290161277435249,97.4775924678922,231,105.363250988281,279,67.0516350232676,143,"12.2-20.8","7-11",-2.98017235790967,245,2014-12-14
265,"Bucknell","Pat","4-6",0.289794818169937,97.4663916036496,231,105.367450623363,277,67.0660184252171,144,"12.1-20.9","7-11",-2.95873070741586,241,2014-12-15
265,"Bucknell","Pat","4-6",0.290485202467877,97.52174601347,232,105.396566545949,279,67.0315438668117,145,"12.1-20.9","6.9-11.1",-2.93178909715147,240,2014-12-16
264,"Bucknell","Pat","4-6",0.293612514725827,97.5762568938834,230,105.316866988811,277,67.007502357392,144,"12.2-20.8","6.9-11.1",-2.96894523661122,234,2014-12-17
263,"Bucknell","Pat","4-6",0.292476532898452,97.5486534562267,227,105.337288041288,277,66.9699778614605,144,"12.2-20.8","7-11",-2.96861029856849,229,2014-12-18
263,"Bucknell","Pat","4-6",0.29313692476464,97.6089858883293,226,105.373211234345,275,67.011018939351,139,"12.2-20.8","7-11",-2.93554974689691,225,2014-12-19
266,"Bucknell","Pat","4-6",0.290590233688234,97.4178164117998,232,105.279579791568,269,67.1993470177793,130,"12.1-20.9","6.9-11.1",-2.98015912016414,218,2014-12-20
266,"Bucknell","Pat","4-6",0.290809723375374,97.3762847268685,233,105.224955961721,270,67.1396690771215,128,"12.3-20.7","7.1-10.9",-3.00124599927278,214,2014-12-21
268,"Bucknell","Pat","4-7",0.279611246927246,96.3711542245096,247,104.637476987862,257,66.6767813100565,152,"12-21","6.9-11.1",-3.52916968744443,233,2014-12-22
273,"Bucknell","Pat","4-7",0.27572340939608,96.2325188358737,253,104.663221389615,258,66.6806496499562,153,"12.1-20.9","7-11",-3.53748950302173,233,2014-12-23
