"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
237,"Canisius","MAAC","0-0",0.374628483238267,100.918879091391,183,105.517255809353,286,68.53013433,121,"13.8-19.2","8.2-11.8",0,18,2014-11-13
235,"Canisius","MAAC","0-0",0.37369421696507,100.901395739319,174,105.535583766055,289,68.53013433,128,"13.6-19.4","8.2-11.8",0,122,2014-11-14
222,"Canisius","MAAC","1-0",0.390653351436022,100.72260257776,178,104.692575641756,271,68.4036836454847,141,"14.6-18.4","8.5-11.5",0.149488863965165,31,2014-11-15
223,"Canisius","MAAC","1-0",0.390295490956934,100.673686235504,174,104.655413742212,273,68.3994131680078,146,"14.6-18.4","8.5-11.5",0.151685096816382,37,2014-11-16
223,"Canisius","MAAC","1-0",0.391512678942435,100.653489056167,170,104.587914613198,269,68.3103083600349,150,"14.7-18.3","8.6-11.4",0.153229920384327,49,2014-11-17
203,"Canisius","MAAC","2-0",0.427412185781768,99.6490862201478,198,102.21541154457,214,68.472754087951,139,"16.3-16.7","9.2-10.8",0.418432731021418,20,2014-11-18
201,"Canisius","MAAC","2-0",0.42686222090654,99.6212013532912,195,102.206782144524,218,68.4257561406899,136,"16.3-16.7","9.1-10.9",0.407998612479324,23,2014-11-19
203,"Canisius","MAAC","2-0",0.42648649933055,99.6078063705732,195,102.206689131981,221,68.4023883602426,134,"16.3-16.7","9.1-10.9",0.397567923630983,27,2014-11-20
207,"Canisius","MAAC","2-0",0.42539006683967,99.5474924071032,195,102.184637893429,219,68.3954473397687,132,"16.2-16.8","9.1-10.9",0.402887854835004,30,2014-11-21
201,"Canisius","MAAC","2-1",0.438003808706042,98.8630360808296,205,101.029327928033,189,67.5109672861316,189,"16.4-16.6","9.4-10.6",-0.194298570772946,121,2014-11-22
203,"Canisius","MAAC","2-1",0.435690769852107,98.8961459905028,203,101.145824321238,192,67.5202678004206,190,"16.4-16.6","9.4-10.6",-0.190557307511457,119,2014-11-23
201,"Canisius","MAAC","2-1",0.435249686421432,98.9127141011998,203,101.178553871393,193,67.5006196495247,180,"16.4-16.6","9.5-10.5",-0.190325272824825,116,2014-11-24
204,"Canisius","MAAC","2-1",0.432833174814043,98.8212570966761,204,101.171508295855,188,67.4338566685221,177,"16.3-16.7","9.4-10.6",-0.192450624880408,113,2014-11-25
206,"Canisius","MAAC","2-2",0.420690661222605,97.6858703217204,226,100.441723261638,177,67.5623320207926,168,"15.3-17.7","9-11",-1.00849244095951,194,2014-11-26
204,"Canisius","MAAC","2-2",0.420123327372964,97.6633096066751,223,100.438859273788,175,67.547679188245,166,"15.3-17.7","9.1-10.9",-0.997573525531534,186,2014-11-27
203,"Canisius","MAAC","2-2",0.419542305055645,97.7156559019193,226,100.513540298017,174,67.5095947986376,164,"15.3-17.7","9.1-10.9",-1.02064720265736,175,2014-11-28
218,"Canisius","MAAC","2-3",0.390210931788623,96.5000894308297,249,100.319847629241,172,67.3677249824194,166,"14.4-18.6","8.8-11.2",-1.59167571524973,219,2014-11-29
221,"Canisius","MAAC","2-3",0.386248173041741,96.3272023523693,255,100.2855119412,170,67.336159104087,161,"14.3-18.7","8.7-11.3",-1.6035243005701,209,2014-11-30
220,"Canisius","MAAC","2-3",0.386383034808798,96.3283664142189,253,100.281763212265,169,67.3229096003875,161,"14.4-18.6","8.8-11.2",-1.60321856135426,206,2014-12-01
221,"Canisius","MAAC","2-3",0.386063775140517,96.3562933049626,255,100.322584426372,171,67.29272757785,157,"14.5-18.5","8.8-11.2",-1.60425754000834,201,2014-12-02
214,"Canisius","MAAC","3-3",0.394033305293103,96.6993236189588,244,100.386886823697,167,66.5062067325512,194,"15.4-17.6","9.6-10.4",-1.36153642381722,175,2014-12-03
213,"Canisius","MAAC","3-3",0.393655601585025,96.6772681141012,244,100.37779893491,165,66.5106213408886,193,"15.3-17.7","9.6-10.4",-1.34880836240667,174,2014-12-04
214,"Canisius","MAAC","3-3",0.393690814101567,96.6861468763491,244,100.385729801474,165,66.505018467315,194,"15.4-17.6","9.6-10.4",-1.33461962792684,171,2014-12-05
192,"Canisius","MAAC","4-3",0.431213666008193,97.5591439381969,226,99.9367172928584,159,66.1134767639637,209,"16.6-16.4","10.5-9.5",-1.25135959115743,163,2014-12-06
