"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
121,"Charlotte","CUSA","0-0",0.606515179038488,101.029257085184,177,97.298655367185,97,70.2077951,38,"18.2-13.8","11.3-6.7",0,17,2014-11-13
121,"Charlotte","CUSA","0-0",0.605562595170618,101.011754611047,169,97.3155557834143,99,70.2077951,43,"18-14","11.3-6.7",0,121,2014-11-14
121,"Charlotte","CUSA","0-0",0.605260352533857,101.006204702401,167,97.3209153960691,99,70.2077951,46,"18-14","11.3-6.7",0,137,2014-11-15
113,"Charlotte","CUSA","1-0",0.628672405444507,100.590797748419,177,96.0891054536591,77,70.6615529650269,30,"18.8-13.2","11.6-6.4",0.140266802527424,39,2014-11-16
115,"Charlotte","CUSA","1-0",0.628094297802691,100.565811505401,174,96.0859199594779,82,70.6571808602351,34,"18.8-13.2","11.6-6.4",0.141714764007216,51,2014-11-17
115,"Charlotte","CUSA","1-0",0.627598327825151,100.558229820614,172,96.0964117427201,81,70.6353007924673,32,"18.9-13.1","11.7-6.3",0.13723691349316,62,2014-11-18
116,"Charlotte","CUSA","1-0",0.626983620250835,100.536920141647,172,96.0980158935337,81,70.609259654719,32,"18.9-13.1","11.7-6.3",0.133428507814817,65,2014-11-19
105,"Charlotte","CUSA","2-0",0.659482454255178,102.133857305939,133,96.4290013280672,88,70.8525022259558,26,"20.3-11.7","12.2-5.8",0.540235651604233,20,2014-11-20
101,"Charlotte","CUSA","3-0",0.666985854679094,101.48348911774,144,95.5354630122009,79,70.9786836673629,26,"21-11","12.2-5.8",1.02849033347408,5,2014-11-21
99,"Charlotte","CUSA","3-0",0.668564314650171,101.634956821267,146,95.6188762150728,80,70.8909783491859,24,"20.9-11.1","12.1-5.9",1.03619786573222,5,2014-11-22
108,"Charlotte","CUSA","3-1",0.648886627158919,101.269329632597,152,96.0029913213795,86,70.9075685572747,21,"20.3-11.7","12-6",0.591603494318126,19,2014-11-23
109,"Charlotte","CUSA","3-1",0.648433670074193,101.279232817826,150,96.0289745900653,87,70.9097398885538,22,"20.3-11.7","12-6",0.591978177599161,24,2014-11-24
103,"Charlotte","CUSA","3-2",0.664051763493254,102.305806469929,127,96.4200333281624,91,70.8083549259634,22,"20.4-11.6","12.3-5.7",-0.0196434206080833,92,2014-11-25
105,"Charlotte","CUSA","3-2",0.662470742149406,102.308589187751,128,96.482027112905,94,70.7356040452507,24,"20.4-11.6","12.3-5.7",-0.0510390602375141,92,2014-11-26
107,"Charlotte","CUSA","3-2",0.661993349697614,102.279904363081,125,96.4728784293476,93,70.68653323576,23,"20.3-11.7","12.3-5.7",-0.0344187546079617,88,2014-11-27
110,"Charlotte","CUSA","3-2",0.661467721066666,102.087656193217,131,96.3112092127262,86,70.4926068562184,27,"20.4-11.6","12.3-5.7",-0.0698145926855411,91,2014-11-28
109,"Charlotte","CUSA","3-2",0.661099269810971,102.112922815397,131,96.3488269408313,90,70.433280891792,27,"20.4-11.6","12.3-5.7",-0.0646377477798531,86,2014-11-29
111,"Charlotte","CUSA","4-2",0.658507982222433,101.545192295083,146,95.9093754950726,88,68.7338211762832,83,"20.8-11.2","12.3-5.7",0.078315659278572,74,2014-11-30
110,"Charlotte","CUSA","4-2",0.662935904857299,101.684437695831,142,95.8760705487787,87,68.6592911357417,88,"20.9-11.1","12.4-5.6",0.0786930067346993,76,2014-12-01
108,"Charlotte","CUSA","4-2",0.667190652005959,101.823361817174,141,95.8477292804452,86,68.6821430319273,82,"21-11","12.5-5.5",0.0772808302374589,75,2014-12-02
108,"Charlotte","CUSA","4-3",0.661516933550371,103.013146084301,122,97.1824746427161,108,68.8325151355352,70,"20.6-11.4","12.4-5.6",-0.222876905436391,101,2014-12-03
109,"Charlotte","CUSA","4-3",0.662310380566498,103.016193377669,123,97.1553906065154,106,68.810856088234,70,"20.6-11.4","12.4-5.6",-0.206698939479513,99,2014-12-04
107,"Charlotte","CUSA","4-3",0.662124545665253,103.007671359552,122,97.1543718262772,106,68.8049559902577,71,"20.6-11.4","12.4-5.6",-0.188712514618809,98,2014-12-05
109,"Charlotte","CUSA","4-3",0.662491212488286,103.275880518089,119,97.393455039941,104,68.5735480955215,78,"20.8-11.2","12.5-5.5",-0.218626487024087,91,2014-12-06
111,"Charlotte","CUSA","4-4",0.65874018859179,103.927707431333,102,98.1508447257533,128,68.3487469017567,84,"20.3-11.7","12.5-5.5",-0.761534678331765,122,2014-12-07
111,"Charlotte","CUSA","4-4",0.661796205870947,104.013884049514,102,98.1159256534199,124,68.472064717126,78,"20.4-11.6","12.5-5.5",-0.782251290835503,123,2014-12-08
111,"Charlotte","CUSA","4-4",0.661611999815944,104.013805324375,104,98.122872412537,123,68.4694358895194,76,"20.4-11.6","12.5-5.5",-0.763411731473457,120,2014-12-09
111,"Charlotte","CUSA","4-4",0.661840735890004,103.831050935572,108,97.9417653435776,120,68.4701059743248,74,"20.4-11.6","12.5-5.5",-0.788659048689466,117,2014-12-10
111,"Charlotte","CUSA","4-4",0.662795293327239,103.845291821827,108,97.918850792712,116,68.4203390914766,76,"20.4-11.6","12.6-5.4",-0.811042369820503,119,2014-12-11
111,"Charlotte","CUSA","4-4",0.66269371431863,103.846562735963,108,97.9239189103641,115,68.4106994114212,77,"20.4-11.6","12.6-5.4",-0.809065286405744,118,2014-12-12
111,"Charlotte","CUSA","4-4",0.661819325158889,103.795067502823,105,97.9086373500892,114,68.4366507357658,73,"20.3-11.7","12.4-5.6",-0.821437118007472,121,2014-12-13
113,"Charlotte","CUSA","4-4",0.661276386828483,103.82288433395,106,97.9555293571092,119,68.5343791205648,73,"20.1-11.9","12.3-5.7",-0.83204680504935,121,2014-12-14
111,"Charlotte","CUSA","4-4",0.662838042102769,103.897903440802,105,97.9668303917141,118,68.4973775928943,75,"20.1-11.9","12.3-5.7",-0.804419642470503,118,2014-12-15
111,"Charlotte","CUSA","5-4",0.639649584077528,105.557898456796,78,100.41987666377,164,68.3330261987746,83,"19.9-12.1","11.9-6.1",-0.732040653965698,111,2014-12-16
114,"Charlotte","CUSA","5-4",0.638936403283346,105.551029362602,78,100.440350219347,162,68.2844836723781,82,"20-12","12-6",-0.780289002041032,110,2014-12-17
123,"Charlotte","CUSA","6-4",0.61108647832463,105.760313705791,76,101.685152672306,190,67.744856932797,108,"19.6-12.4","11.6-6.4",-0.747901151920614,107,2014-12-18
124,"Charlotte","CUSA","6-4",0.599837141713282,105.565310999149,80,101.914170168704,202,67.9980412331676,90,"19.4-12.6","11.5-6.5",-0.70351231676211,106,2014-12-19
124,"Charlotte","CUSA","6-5",0.617098258392602,107.176418221451,66,102.81962687126,222,67.755531238191,101,"19.6-12.4","11.7-6.3",-0.989102828576128,113,2014-12-20
122,"Charlotte","CUSA","6-5",0.622612262546971,107.325525053335,61,102.753370211491,222,67.8492780026726,100,"19.5-12.5","11.6-6.4",-1.02073039132004,111,2014-12-21
121,"Charlotte","CUSA","6-5",0.618429636785524,107.512421729825,58,103.091414912659,228,67.8252581448466,97,"19.5-12.5","11.6-6.4",-1.00430618946096,106,2014-12-22
120,"Charlotte","CUSA","6-5",0.621695716828048,107.663908875931,56,103.112291292442,227,67.8606018864858,92,"19.6-12.4","11.7-6.3",-1.01471449979996,100,2014-12-23
120,"Charlotte","CUSA","6-5",0.621695716828798,107.663908875946,56,103.112291292428,227,67.8604436108691,92,"19.6-12.4","11.7-6.3",-1.01471449979526,100,2014-12-24
121,"Charlotte","CUSA","6-5",0.624013471182367,107.76106369218,54,103.116829052266,227,67.8725047303885,93,"19.6-12.4","11.7-6.3",-1.00724623715819,99,2014-12-25
121,"Charlotte","CUSA","6-5",0.623866942742802,107.755651668542,55,103.117249702433,227,67.8727849036841,93,"19.6-12.4","11.7-6.3",-1.00668795536091,99,2014-12-26
121,"Charlotte","CUSA","6-5",0.623932743761545,107.748386888457,56,103.10778336179,227,67.9196175263802,92,"19.7-12.3","11.8-6.2",-1.09310028581672,103,2014-12-27
125,"Charlotte","CUSA","6-5",0.622038968948188,107.749336704013,54,103.18100968518,227,67.81203811328,92,"19.6-12.4","11.7-6.3",-1.10175792965718,99,2014-12-28
125,"Charlotte","CUSA","6-5",0.620656952060514,107.750373603481,54,103.234720215492,227,67.8055821567904,88,"19.6-12.4","11.6-6.4",-1.15893665134765,99,2014-12-29
117,"Charlotte","CUSA","6-6",0.636818451184215,108.642755694052,45,103.464838658842,230,67.3826605926714,110,"19.5-12.5","11.8-6.2",-1.66611210796528,121,2014-12-30
115,"Charlotte","CUSA","6-6",0.637935652315442,108.509475737697,45,103.29448476338,228,67.3873585690184,108,"19.5-12.5","11.8-6.2",-1.68416466087215,119,2014-12-31
116,"Charlotte","CUSA","6-6",0.636338528188942,108.479922304793,46,103.328403588566,230,67.3944532333978,108,"19.5-12.5","11.8-6.2",-1.70934659070692,121,2015-01-01
116,"Charlotte","CUSA","6-6",0.635205191707344,108.477103274046,47,103.36970168161,229,67.3857727488297,108,"19.5-12.5","11.8-6.2",-1.68776047155526,119,2015-01-02
113,"Charlotte","CUSA","6-6",0.648040871718626,108.742239139837,47,103.120548334934,219,67.3628926957344,95,"19.6-12.4","11.9-6.1",-1.7134534427741,114,2015-01-03
122,"Charlotte","CUSA","6-7",0.623988074446016,108.214399261423,50,103.551601664169,232,67.2681813562282,108,"18.9-13.1","11.2-6.8",-2.51850193630754,149,2015-01-04
125,"Charlotte","CUSA","6-7",0.617267743496119,108.091074094034,48,103.690633213077,230,67.3301210650818,104,"18.8-13.2","11.1-6.9",-2.46469746259289,148,2015-01-05
128,"Charlotte","CUSA","6-7",0.610181517260477,107.705339909989,54,103.589512750042,227,67.3369566921912,102,"18.6-13.4","11-7",-2.4680123792806,146,2015-01-06
126,"Charlotte","CUSA","6-7",0.613620131974745,107.814943450122,51,103.564446638922,224,67.4263896003401,98,"18.7-13.3","11-7",-2.54434610851034,143,2015-01-07
127,"Charlotte","CUSA","6-8",0.603245910364542,107.345158663899,60,103.504379311992,222,67.0837553019609,102,"18.1-13.9","10.4-7.6",-3.3556091802843,167,2015-01-08
127,"Charlotte","CUSA","6-8",0.601939315052117,107.36727858278,60,103.574836461976,222,67.2553977662174,101,"18-14","10.4-7.6",-3.34442077284381,167,2015-01-09
131,"Charlotte","CUSA","7-8",0.593864673755169,107.731450980293,58,104.230117829685,230,67.0926069311802,94,"18.2-13.8","10.6-7.4",-3.21989496175569,158,2015-01-10
131,"Charlotte","CUSA","7-8",0.592931697661321,107.77798136708,58,104.310203959206,233,67.1056392784447,94,"18.1-13.9","10.6-7.4",-3.18381988348532,155,2015-01-11
131,"Charlotte","CUSA","7-8",0.59181955790319,107.768585954323,58,104.342891988759,234,67.2723238738061,94,"18-14","10.5-7.5",-3.19904114431769,153,2015-01-12
130,"Charlotte","CUSA","7-8",0.599894263122548,107.840291439541,58,104.10831244052,232,67.0823200484816,94,"18.1-13.9","10.6-7.4",-3.25617129443099,152,2015-01-13
131,"Charlotte","CUSA","7-8",0.598583982670105,107.951538345982,59,104.265165303023,233,67.1784863835076,96,"18.1-13.9","10.6-7.4",-3.23537208687986,147,2015-01-14
127,"Charlotte","CUSA","8-8",0.597455184777618,107.427601380049,66,103.801495291866,226,67.4518625710468,81,"18.3-13.7","10.7-7.3",-3.10639796552723,142,2015-01-15
128,"Charlotte","CUSA","8-8",0.596343598406608,107.425726486335,66,103.84139119344,228,67.409811109385,81,"18.3-13.7","10.7-7.3",-3.10838433809498,142,2015-01-16
142,"Charlotte","CUSA","8-9",0.560329328736264,106.553105711848,78,104.329760861457,236,67.1461178331788,95,"17-15","9.4-8.6",-4.17618877816442,167,2015-01-17
143,"Charlotte","CUSA","8-9",0.559915445964157,106.579297392767,79,104.370650462794,237,67.1426524840732,93,"17-15","9.4-8.6",-4.1672545991508,167,2015-01-18
142,"Charlotte","CUSA","8-9",0.56311898137011,106.550138291251,78,104.224109331695,231,67.0697386815516,93,"17-15","9.5-8.5",-4.07350069675161,168,2015-01-19
143,"Charlotte","CUSA","8-9",0.561830633629939,106.492838996999,79,104.215491960459,230,67.1708953437641,91,"17-15","9.5-8.5",-4.04037630752997,168,2015-01-20
141,"Charlotte","CUSA","8-9",0.560133486064623,106.575389234993,79,104.358792679616,235,67.2009369691858,87,"17-15","9.4-8.6",-4.02532963009979,168,2015-01-21
142,"Charlotte","CUSA","8-10",0.548446368693352,107.409328744407,67,105.608947201161,263,66.8133049593902,110,"16.3-15.7","8.8-9.2",-4.75101014808119,180,2015-01-22
142,"Charlotte","CUSA","8-10",0.547257494722919,107.393995501671,67,105.637949152348,263,66.6173728636955,110,"16.3-15.7","8.8-9.2",-4.75057061530598,180,2015-01-23
140,"Charlotte","CUSA","8-11",0.555666245224006,108.323585401535,58,106.237817100654,273,66.5646293061313,115,"16.1-15.9","8.6-9.4",-5.53685046498477,193,2015-01-24
141,"Charlotte","CUSA","8-11",0.552779668117946,108.241696466344,58,106.265413453387,274,66.6020720197742,115,"16-16","8.5-9.5",-5.49587457499713,189,2015-01-25
