"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
278,"Chattanooga","SC","0-0",0.280214107312933,97.6898909005598,245,106.041746292833,296,69.532695,72,"13-17","8.8-9.2",0,89,2014-11-13
279,"Chattanooga","SC","0-0",0.279410096991865,97.672966943695,242,106.06016535159,297,69.532695,70,"13.4-16.6","9-9",0,146,2014-11-14
279,"Chattanooga","SC","0-0",0.279155431755138,97.6676004787146,244,106.06600656988,297,69.532695,70,"13.4-16.6","9-9",0,151,2014-11-15
289,"Chattanooga","SC","0-1",0.260944371662423,96.9267749562548,254,106.110740393303,300,69.7877739797979,60,"12.9-17.1","8.6-9.4",-0.0516735705354763,198,2014-11-16
290,"Chattanooga","SC","0-1",0.26057180635397,96.9119663355911,254,106.112361030116,302,69.7834705772143,61,"12.9-17.1","8.6-9.4",-0.0510908352361746,173,2014-11-17
290,"Chattanooga","SC","0-2",0.258108557310706,95.939985818888,269,105.165312307255,282,69.630896076772,67,"12.8-17.2","8.5-9.5",-0.232614805992103,171,2014-11-18
288,"Chattanooga","SC","0-2",0.258216076718842,95.9268426148513,267,105.145772070736,283,69.5671413831137,65,"12.6-17.4","8.4-9.6",-0.239117837726853,155,2014-11-19
287,"Chattanooga","SC","0-2",0.258051162581391,95.9197539583691,264,105.145875630544,283,69.5427035467028,65,"12.6-17.4","8.4-9.6",-0.245894050330027,144,2014-11-20
289,"Chattanooga","SC","0-2",0.257281059845741,95.9170302492968,264,105.179707110798,287,69.5084484678348,62,"12.6-17.4","8.3-9.7",-0.242402531447294,135,2014-11-21
275,"Chattanooga","SC","0-3",0.270577036828946,95.9549384476808,264,104.596825671097,269,69.4178794861382,66,"12.6-17.4","8.6-9.4",-1.08755536576478,253,2014-11-22
276,"Chattanooga","SC","0-3",0.269948387319343,95.9203476696838,259,104.588105049616,273,69.4042572193342,65,"12.5-17.5","8.5-9.5",-1.08533111504977,240,2014-11-23
278,"Chattanooga","SC","0-3",0.271371166588309,95.9500715924682,259,104.554965757464,275,69.404313054618,65,"12.4-17.6","8.4-9.6",-1.08519344194877,233,2014-11-24
277,"Chattanooga","SC","0-3",0.270933550331175,95.927545518378,258,104.550548887181,276,69.3467462354928,60,"12.4-17.6","8.3-9.7",-1.08645567803966,212,2014-11-25
257,"Chattanooga","SC","1-3",0.30766056712334,95.140008950927,271,102.092392624633,216,68.9908639290989,84,"13.8-16.2","9-9",-1.01653316245647,197,2014-11-26
246,"Chattanooga","SC","2-3",0.345508698654899,96.4053194677854,249,101.912308908506,212,68.764246539871,98,"15.4-14.6","9.7-8.3",-0.802238829128419,167,2014-11-27
243,"Chattanooga","SC","2-3",0.347746993821852,96.5737749975169,248,102.002688135492,210,68.7465575220748,95,"15.4-14.6","9.6-8.4",-0.820727922610365,156,2014-11-28
253,"Chattanooga","SC","2-4",0.321991066663042,95.8197653501624,257,102.229470440604,211,68.7732142077853,85,"14.3-15.7","9.3-8.7",-1.78430672093313,240,2014-11-29
251,"Chattanooga","SC","2-4",0.322319379763365,95.8188941805553,261,102.215176925503,205,68.7779422268057,78,"14.3-15.7","9.3-8.7",-1.79179345528837,229,2014-11-30
251,"Chattanooga","SC","2-4",0.322539798019474,95.8211300483287,259,102.208594639144,206,68.754620779841,81,"14.4-15.6","9.3-8.7",-1.79160022958618,224,2014-12-01
268,"Chattanooga","SC","2-5",0.282244248947503,95.929788895054,258,104.040265594309,255,67.8299949169655,130,"13.2-16.8","8.6-9.4",-2.40721901868097,266,2014-12-02
268,"Chattanooga","SC","2-5",0.284661327077822,95.9763275598892,259,103.983078337398,248,67.8321238690895,123,"13.3-16.7","8.6-9.4",-2.3993808084127,256,2014-12-03
267,"Chattanooga","SC","2-5",0.283954756168252,95.9435342798086,259,103.978941566502,249,67.8310071609691,122,"13.2-16.8","8.5-9.5",-2.38995085709269,256,2014-12-04
267,"Chattanooga","SC","2-5",0.284666677217436,96.0476439638089,258,104.060106513156,250,67.8765466123775,118,"13.2-16.8","8.5-9.5",-2.37946150454073,256,2014-12-05
270,"Chattanooga","SC","2-5",0.283943283160441,96.2083864230668,256,104.266487062733,257,68.067542145896,97,"13.2-16.8","8.5-9.5",-2.39695243525633,239,2014-12-06
269,"Chattanooga","SC","2-5",0.284236988101882,96.2680032114258,253,104.317996731916,257,68.0362646293387,98,"13.2-16.8","8.5-9.5",-2.38206046838221,236,2014-12-07
268,"Chattanooga","SC","2-5",0.284351168956111,96.2583004777853,255,104.302392882399,255,68.0799077592202,96,"13.2-16.8","8.5-9.5",-2.39239471993201,236,2014-12-08
266,"Chattanooga","SC","2-5",0.284302048630585,96.2549034324045,252,104.300901300096,255,68.0478188634582,97,"13.2-16.8","8.5-9.5",-2.38302033123859,236,2014-12-09
264,"Chattanooga","SC","2-5",0.284793153842174,96.2544349990183,251,104.278517025323,252,68.0271523369511,96,"13.2-16.8","8.6-9.4",-2.39561838291919,233,2014-12-10
246,"Chattanooga","SC","3-5",0.335969157626326,97.2969331334143,233,103.235393062464,230,66.7495787785827,169,"14.9-15.1","9.9-8.1",-2.35145129882315,223,2014-12-11
246,"Chattanooga","SC","3-5",0.33576086027298,97.2973873342477,233,103.244258247858,230,66.7554891187795,170,"14.9-15.1","9.9-8.1",-2.35040092269504,223,2014-12-12
242,"Chattanooga","SC","3-5",0.342530912317353,97.4755677947777,231,103.161995909026,226,66.8153928399353,160,"14.9-15.1","10-8",-2.35684030136181,210,2014-12-13
243,"Chattanooga","SC","3-5",0.345066732124887,97.5666651381796,227,103.157530205079,229,67.0005280269767,146,"14.9-15.1","10-8",-2.36241131623166,208,2014-12-14
243,"Chattanooga","SC","3-5",0.346682415755142,97.570461379096,229,103.097502347916,226,66.9512161697378,149,"14.9-15.1","10-8",-2.34798373784297,206,2014-12-15
222,"Chattanooga","SC","4-5",0.375201062845552,100.213676960674,177,104.757662467182,269,66.7277802549899,161,"15.8-14.2","10.4-7.6",-2.2752902890141,201,2014-12-16
221,"Chattanooga","SC","4-5",0.376650726466529,100.183715380703,176,104.670086104589,266,66.7620886197257,156,"15.8-14.2","10.5-7.5",-2.30165204396924,197,2014-12-17
219,"Chattanooga","SC","4-5",0.378478773342765,100.119983476083,178,104.532770160946,257,66.8471440640955,151,"15.8-14.2","10.5-7.5",-2.30150792283369,191,2014-12-18
220,"Chattanooga","SC","4-6",0.371390680320451,100.530449955143,173,105.237742496801,273,66.4902343125082,169,"15.3-14.7","10.3-7.7",-2.98058432394454,228,2014-12-19
220,"Chattanooga","SC","4-6",0.370000332756506,100.607440011149,166,105.372934015246,271,66.5201895209181,165,"15.4-14.6","10.3-7.7",-3.01915322127163,221,2014-12-20
222,"Chattanooga","SC","4-6",0.375765150908769,100.883315204274,159,105.435607054266,271,66.4477091614726,164,"15.3-14.7","10.3-7.7",-3.0374657164419,216,2014-12-21
180,"Chattanooga","SC","5-6",0.446217212516675,102.459286607651,132,104.401623541724,252,66.8618078444611,138,"16.9-13.1","11.4-6.6",-2.9000814369371,204,2014-12-22
