"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
331,"Chicago St.","WAC","0-0",0.142664453094803,90.879937937547,331,106.216701170662,303,70.25621197,34,"5.7-23.3","3.9-10.1",0,117,2014-11-13
334,"Chicago St.","WAC","0-1",0.133182409057058,90.5263058466003,335,106.53989476156,307,69.8704464372082,58,"5.3-23.7","3.6-10.4",-0.399479535660145,288,2014-11-14
334,"Chicago St.","WAC","0-1",0.133000165021886,90.5363926179887,335,106.566401846537,308,69.8686792818421,57,"5.3-23.7","3.6-10.4",-0.399168236633184,272,2014-11-15
332,"Chicago St.","WAC","0-2",0.135163252398429,90.4258089586839,334,106.263942477861,302,70.3150466880342,45,"5.3-23.7","3.6-10.4",-0.824679157788461,309,2014-11-16
332,"Chicago St.","WAC","0-2",0.135737003778982,90.4981093139494,334,106.303606354739,307,70.3947444922203,43,"5.3-23.7","3.6-10.4",-0.818898348509846,288,2014-11-17
332,"Chicago St.","WAC","0-2",0.135481340649824,90.4915610996195,335,106.316076276566,310,70.3561204719293,43,"5.3-23.7","3.6-10.4",-0.836978761701952,285,2014-11-18
333,"Chicago St.","WAC","0-2",0.135260173442366,90.5095799710354,334,106.354720036598,310,70.3276120564834,43,"5.3-23.7","3.6-10.4",-0.852840944743875,268,2014-11-19
335,"Chicago St.","WAC","0-2",0.13638551508625,90.5859275225118,334,106.355727023941,309,70.3623668503628,39,"5.3-23.7","3.6-10.4",-0.869073244447909,256,2014-11-20
332,"Chicago St.","WAC","0-2",0.13588871304974,90.5814099626888,334,106.389496631122,308,70.33045937955,37,"5.3-23.7","3.6-10.4",-0.860746644375034,245,2014-11-21
332,"Chicago St.","WAC","0-2",0.135648690129631,90.5960469516771,331,106.425617264778,306,70.2981228600243,36,"5.2-23.8","3.6-10.4",-0.854530840106725,220,2014-11-22
332,"Chicago St.","WAC","0-2",0.135676840637411,90.632456618869,330,106.466166085161,306,70.3249184510074,33,"5.3-23.7","3.6-10.4",-0.851252508348311,211,2014-11-23
334,"Chicago St.","WAC","0-3",0.123674364517817,89.3138811257293,336,105.892586364492,298,70.0741913688868,35,"4.8-24.2","3.4-10.6",-1.40588237598932,259,2014-11-24
334,"Chicago St.","WAC","0-4",0.119871234847754,88.3866405365528,344,105.117808937468,285,69.602396301672,50,"4.6-24.4","3.3-10.7",-2.11263580341405,301,2014-11-25
337,"Chicago St.","WAC","0-5",0.113717851877899,87.6022350131872,345,104.726861095999,279,69.4845322915739,56,"4.3-24.7","3.2-10.8",-3.01884172148186,334,2014-11-26
337,"Chicago St.","WAC","0-5",0.113718155174246,87.5893632439176,345,104.711445731781,279,69.467422074724,55,"4.3-24.7","3.2-10.8",-3.00281289227912,332,2014-11-27
