"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
82,"Clemson","ACC","0-0",0.722011114464988,101.808839587264,151,93.7002131134513,35,63.75657494,348,"16.5-14.5","7.3-10.7",0,189,2014-11-13
75,"Clemson","ACC","1-0",0.740169520439533,101.969932285683,146,93.0975221271421,33,64.1895962706269,344,"16.7-14.3","7.3-10.7",0.00283857565154355,112,2014-11-14
72,"Clemson","ACC","1-0",0.74050070624846,101.956874133128,148,93.0716563274004,33,64.2120817726744,344,"16.7-14.3","7.3-10.7",0.00284225150608552,129,2014-11-15
75,"Clemson","ACC","1-0",0.740203656295761,101.928847778826,140,93.0585760038397,35,64.2082031925536,343,"16.8-14.2","7.3-10.7",0.00289133296255084,142,2014-11-16
83,"Clemson","ACC","1-1",0.715777547018726,101.607869197965,141,93.7664277996125,41,65.2250393559719,332,"15.1-15.9","6.8-11.2",-0.892410965060357,308,2014-11-17
82,"Clemson","ACC","1-1",0.715337442163394,101.601245903174,139,93.7779467414872,43,65.1802130728466,331,"15.2-15.8","6.9-11.1",-0.895962994418016,298,2014-11-18
82,"Clemson","ACC","1-1",0.713298292460395,101.558517244983,141,93.8199945315717,44,65.1962739167445,329,"15.1-15.9","6.9-11.1",-0.898975761710209,281,2014-11-19
83,"Clemson","ACC","1-1",0.711963632517889,101.577175449379,142,93.8904255533411,45,65.1381733326883,331,"15-16","6.8-11.2",-0.901963540353827,266,2014-11-20
90,"Clemson","ACC","1-2",0.694715607980532,102.162610664126,132,95.1129375411096,68,65.0304828282181,332,"13.8-17.2","6.5-11.5",-1.78161603908469,327,2014-11-21
81,"Clemson","ACC","2-2",0.718980133994048,102.316149970189,134,94.2904437306122,51,64.586527760707,333,"15-16","7-11",-1.70423951711394,304,2014-11-22
82,"Clemson","ACC","2-2",0.717475386084757,102.249851251781,134,94.2902897719653,54,64.4748508449532,333,"15-16","7.1-10.9",-1.70244788200973,292,2014-11-23
81,"Clemson","ACC","3-2",0.720660427042228,102.393413923351,130,94.2933085519717,55,64.5174380711398,331,"15.6-15.4","7.1-10.9",-1.14519372909426,241,2014-11-24
81,"Clemson","ACC","3-2",0.720291642020838,102.378504797558,124,94.2945925999178,56,64.4522980471207,327,"15.7-15.3","7.2-10.8",-1.14701822257998,222,2014-11-25
82,"Clemson","ACC","3-2",0.718120248512133,102.391662002022,125,94.3949267857196,61,64.475721278253,323,"15.6-15.4","7-11",-1.16173285895223,211,2014-11-26
82,"Clemson","ACC","3-2",0.718073221614911,102.380526460237,122,94.3865675750471,61,64.4533043859199,321,"15.6-15.4","7-11",-1.15397525053158,203,2014-11-27
85,"Clemson","ACC","4-2",0.714638492589183,101.766736890644,140,93.9587142990908,51,64.6375499542089,314,"15.5-15.5","6.9-11.1",-1.07260556396361,184,2014-11-28
88,"Clemson","ACC","4-2",0.70943796317141,101.713462042518,144,94.1168794134769,53,64.7334595034646,307,"15.4-15.6","6.7-11.3",-1.06977559537271,172,2014-11-29
90,"Clemson","ACC","4-2",0.70718829817267,101.700721451331,140,94.1942356175675,53,64.6791395245222,302,"15.3-15.7","6.7-11.3",-1.07706505263067,168,2014-11-30
101,"Clemson","ACC","4-3",0.678194659175898,102.427809811728,130,95.9985660024126,88,64.313196492497,314,"13.9-17.1","6.3-11.7",-1.99161505838096,239,2014-12-01
98,"Clemson","ACC","4-3",0.682951405000105,102.561446773247,130,95.9410932415846,87,64.2544149991813,316,"14.1-16.9","6.4-11.6",-1.99239344386652,231,2014-12-02
99,"Clemson","ACC","4-3",0.681620874676783,102.63832720809,130,96.0642701022121,87,64.2352207197839,309,"13.9-17.1","6.3-11.7",-1.98617706440413,224,2014-12-03
100,"Clemson","ACC","4-3",0.682449205075518,102.686520718937,129,96.0774604043103,88,64.2009774621397,310,"14-17","6.3-11.7",-1.97857271672245,224,2014-12-04
99,"Clemson","ACC","4-3",0.681731625306165,102.669861039819,129,96.0895194861903,87,64.1818702134745,309,"14-17","6.3-11.7",-1.97008128007109,226,2014-12-05
101,"Clemson","ACC","4-3",0.678844808891704,102.646549315157,128,96.1786448868781,88,64.2033467556633,306,"13.9-17.1","6.3-11.7",-1.98416946659988,214,2014-12-06
98,"Clemson","ACC","5-3",0.69011113525244,103.201081582018,118,96.2605481157386,87,63.024156363463,325,"14.7-16.3","6.4-11.6",-1.53724654038939,180,2014-12-07
97,"Clemson","ACC","5-3",0.689924167772057,103.206493331159,118,96.2729133429731,88,63.0071908961777,326,"14.7-16.3","6.5-11.5",-1.5486038078462,179,2014-12-08
99,"Clemson","ACC","5-3",0.68817208162942,103.276728609418,118,96.4069583643627,93,62.9894662202619,325,"14.6-16.4","6.4-11.6",-1.53828557849105,178,2014-12-09
102,"Clemson","ACC","5-3",0.684990354428705,103.211237699303,115,96.4697785089604,95,62.9530167478156,325,"14.6-16.4","6.4-11.6",-1.55212027130767,174,2014-12-10
102,"Clemson","ACC","5-3",0.685239599726066,103.216406234961,115,96.464917640708,94,62.9403929235458,325,"14.6-16.4","6.4-11.6",-1.56435693212797,172,2014-12-11
102,"Clemson","ACC","5-3",0.685461571543582,103.231004807814,115,96.4699261206537,95,62.9443897025945,324,"14.6-16.4","6.3-11.7",-1.56327781623621,172,2014-12-12
102,"Clemson","ACC","5-3",0.682201744491979,103.181896553419,117,96.5505375521756,97,63.0362067681498,320,"14.5-16.5","6.3-11.7",-1.56998173204703,164,2014-12-13
101,"Clemson","ACC","6-3",0.693248361319566,103.039123604695,119,95.9866160933398,87,63.7497438905328,304,"15-16","6.5-11.5",-1.43249880545017,157,2014-12-14
99,"Clemson","ACC","6-3",0.693815267471212,103.042389479482,118,95.9673978941827,86,63.7520630542583,302,"15.1-15.9","6.6-11.4",-1.41552311213026,156,2014-12-15
98,"Clemson","ACC","6-3",0.693986135635771,103.10211418624,118,96.0163050219386,85,63.7501540744229,301,"15.1-15.9","6.5-11.5",-1.3943616514013,153,2014-12-16
101,"Clemson","ACC","6-3",0.691875067284516,103.100385157547,120,96.0975661937825,86,63.6637995729684,304,"15-16","6.5-11.5",-1.4236262749463,148,2014-12-17
101,"Clemson","ACC","6-3",0.689762428163948,103.011849099349,127,96.0976622577068,85,63.6712137433243,299,"14.9-16.1","6.4-11.6",-1.4236921660167,146,2014-12-18
110,"Clemson","ACC","6-4",0.657965200303007,101.718449142134,149,96.0931753951168,84,63.4718719822663,301,"14.3-16.7","6-12",-1.76170873080112,167,2014-12-19
