"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
221,"Colgate","Pat","0-0",0.40685342206059,101.935015540946,146,105.331984824812,281,66.61572764,280,"14.2-17.8","8-10",0,331,2014-11-13
214,"Colgate","Pat","0-0",0.40589095118691,101.917356151728,148,105.350280600629,282,66.61572764,281,"13.9-18.1","7.7-10.3",0,228,2014-11-14
210,"Colgate","Pat","0-1",0.422648185147959,101.146584930557,162,103.927501644312,253,66.2661708934986,300,"14.2-17.8","8-10",-0.520532972188014,289,2014-11-15
209,"Colgate","Pat","0-1",0.422285041213612,101.100447410669,159,103.893540967294,253,66.2621523212993,301,"14.2-17.8","8-10",-0.516246222951389,265,2014-11-16
209,"Colgate","Pat","0-1",0.421696677443001,101.075061722999,156,103.88924285724,253,66.2579957870743,302,"14.3-17.7","8.1-9.9",-0.513259931438912,239,2014-11-17
210,"Colgate","Pat","0-2",0.417684461767799,99.3633951308899,206,102.276327048251,217,66.243027234033,296,"13.8-18.2","8.1-9.9",-1.31283947453372,334,2014-11-18
208,"Colgate","Pat","0-2",0.416992459416596,99.3182293424441,203,102.255138110112,220,66.1984840141345,291,"13.6-18.4","8-10",-1.32629673078235,319,2014-11-19
211,"Colgate","Pat","0-2",0.415112381206178,99.3612235666528,201,102.368265124021,226,66.1979059197405,287,"13.6-18.4","8-10",-1.33988046323191,310,2014-11-20
211,"Colgate","Pat","0-2",0.417462163491755,99.4010789915822,198,102.323248095429,222,66.1927304771187,281,"13.6-18.4","8-10",-1.33293585055548,297,2014-11-21
212,"Colgate","Pat","1-2",0.416550758401987,98.0403370507023,228,100.955408702001,187,65.5330485032946,307,"14.2-17.8","8.2-9.8",-1.22636914264151,267,2014-11-22
213,"Colgate","Pat","1-2",0.417232477431513,98.0924963549534,225,100.984490102759,188,65.4745695614837,307,"14.3-17.7","8.2-9.8",-1.22299408785101,255,2014-11-23
223,"Colgate","Pat","1-3",0.396591841950991,98.661990973478,209,102.32911412288,223,65.1041061840627,316,"13.5-18.5","8-10",-2.01367819096825,304,2014-11-24
222,"Colgate","Pat","1-3",0.397331461767969,98.7260064727991,207,102.368002197443,226,64.9952716568109,316,"13.6-18.4","8.1-9.9",-2.01622458746205,294,2014-11-25
221,"Colgate","Pat","1-4",0.391761066640611,99.8670881414334,175,103.761367435113,258,64.5193563110379,322,"13-19","8.1-9.9",-2.90063117176124,328,2014-11-26
219,"Colgate","Pat","1-4",0.391581507120966,99.8539933252328,175,103.754560967651,257,64.5086011318492,320,"13-19","8.1-9.9",-2.88870450914478,325,2014-11-27
218,"Colgate","Pat","1-4",0.390242370853144,99.945289677268,176,103.90022533615,256,64.4713590399359,319,"13-19","8.1-9.9",-2.91390476007419,315,2014-11-28
