"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
38,"Colorado","P12","0-0",0.819707909738116,105.723144160296,75,92.6787765294573,27,67.82892427,183,"22.8-11.2","10.4-7.6",0,190,2014-11-13
37,"Colorado","P12","1-0",0.830459013683681,104.886103811209,88,91.3511818989996,19,68.0572876825273,175,"23.3-10.7","10.6-7.4",0.059530108919313,58,2014-11-14
37,"Colorado","P12","1-0",0.830300962567266,104.904533498979,87,91.376149087419,19,68.0554351935103,179,"23.3-10.7","10.7-7.3",0.059602810185676,74,2014-11-15
37,"Colorado","P12","1-0",0.830085165319002,104.85668630881,85,91.3466306453602,18,68.0510039376645,181,"23.3-10.7","10.7-7.3",0.0605725214512582,88,2014-11-16
37,"Colorado","P12","1-0",0.829761409409763,104.926092468533,83,91.4253273980756,19,68.0663486921064,179,"23.3-10.7","10.7-7.3",0.0612564222338476,101,2014-11-17
27,"Colorado","P12","2-0",0.848062413275311,105.67506072604,70,90.9990018300386,16,68.3331871792908,150,"24.2-9.8","11.2-6.8",0.214941616102583,42,2014-11-18
28,"Colorado","P12","2-0",0.847373913230086,105.630816179354,69,91.0030970868254,16,68.276387659632,147,"24.2-9.8","11.2-6.8",0.208923257149155,48,2014-11-19
29,"Colorado","P12","2-0",0.846336114957524,105.621318150724,68,91.0582535896284,16,68.294898353816,140,"24.1-9.9","11.1-6.9",0.202943738930788,58,2014-11-20
32,"Colorado","P12","2-0",0.847286849965959,105.538030299086,68,90.9284814780784,17,68.2236958513246,140,"24-10","11-7",0.205988865847514,56,2014-11-21
50,"Colorado","P12","2-1",0.806145749329058,103.115322623735,117,91.0966671846369,18,67.0390037618734,225,"21.8-12.2","10-8",-0.388901020709641,158,2014-11-22
50,"Colorado","P12","2-1",0.80487634440109,103.120258356422,117,91.1652392236782,18,66.9817504520789,228,"21.8-12.2","10-8",-0.386060273169972,151,2014-11-23
49,"Colorado","P12","2-1",0.803050013127876,103.236063193265,110,91.3596308094754,21,67.1032431147298,212,"21.7-12.3","9.9-8.1",-0.385884072633586,148,2014-11-24
42,"Colorado","P12","3-1",0.821068601643606,103.192545253843,110,90.3877992629808,19,66.7832159719664,227,"22.5-11.5","10.3-7.7",-0.323583292138254,130,2014-11-25
45,"Colorado","P12","3-1",0.820707103545282,103.182849275987,108,90.3986312132273,19,66.8458555036627,219,"22.5-11.5","10.3-7.7",-0.33727056980031,120,2014-11-26
43,"Colorado","P12","3-1",0.820455969997343,103.167257934518,108,90.3983790783405,22,66.8258479277259,217,"22.5-11.5","10.4-7.6",-0.329950401091822,117,2014-11-27
