"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
113,"Columbia","Ivy","0-0",0.632706669855844,104.002841068062,106,99.1989321270201,137,64.45446613,343,"16.5-10.5","8.2-5.8",0,8,2014-11-13
110,"Columbia","Ivy","0-1",0.638798986110348,103.697678381805,109,98.6818475431623,124,63.9846674510535,345,"16.1-10.9","8.2-5.8",-0.645157832279068,320,2014-11-14
110,"Columbia","Ivy","0-1",0.638504599300196,103.717379892912,108,98.7115450943845,125,63.9830746867608,345,"16.1-10.9","8.3-5.7",-0.64486066903613,307,2014-11-15
109,"Columbia","Ivy","0-1",0.638206961349453,103.667428062501,108,98.6750660359716,127,63.9792647314693,344,"16.2-10.8","8.4-5.6",-0.640918691412699,286,2014-11-16
111,"Columbia","Ivy","0-1",0.637664101029222,103.640369818959,109,98.6694743555805,130,63.975323983479,344,"16.4-10.6","8.5-5.5",-0.638162593686754,259,2014-11-17
105,"Columbia","Ivy","1-1",0.65275034862097,104.477430977536,88,98.8979392239755,137,63.3366067647396,348,"16.8-10.2","8.7-5.3",-0.621689666826819,246,2014-11-18
107,"Columbia","Ivy","1-1",0.652113279545547,104.441965313583,92,98.8885225293761,140,63.2942279878919,348,"17-10","8.8-5.2",-0.629872274648436,231,2014-11-19
107,"Columbia","Ivy","1-1",0.651933484545346,104.428583099809,91,98.8826654049779,139,63.2663697163906,347,"17-10","8.9-5.1",-0.638105101309888,217,2014-11-20
109,"Columbia","Ivy","1-1",0.650952897533862,104.430338126705,89,98.9214676976564,143,63.2854462746945,344,"16.9-10.1","8.8-5.2",-0.633899479107237,212,2014-11-21
109,"Columbia","Ivy","1-1",0.650664825455866,104.475598025732,87,98.9752491737822,146,63.2629960065606,345,"17.1-9.9","8.9-5.1",-0.630735937351021,193,2014-11-22
97,"Columbia","Ivy","2-1",0.676917177657171,103.28404881325,114,96.8502922145452,98,62.7986380009349,346,"17.9-9.1","9.1-4.9",-0.364812295615381,147,2014-11-23
97,"Columbia","Ivy","2-1",0.676496991034233,103.305894192985,108,96.8869567320029,99,62.7764835246899,346,"18-9","9.1-4.9",-0.364627509114447,144,2014-11-24
101,"Columbia","Ivy","3-1",0.666474639190253,102.449153696065,122,96.4638258581735,93,61.938546533837,348,"17.8-9.2","9-5",-0.347788869847195,136,2014-11-25
