"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
186,"DePaul","BE","0-0",0.468731633239954,102.337804769505,139,103.45837085636,239,69.61940035,65,"10.9-21.1","4-14",0,115,2014-11-13
187,"DePaul","BE","1-0",0.471997588210337,102.598151886021,131,103.60339417147,247,69.5088770979102,72,"11-21","3.9-14.1",0.0383780624297355,77,2014-11-14
187,"DePaul","BE","1-0",0.471667961818787,102.619223240345,127,103.636591334662,246,69.5070595081442,72,"11-21","3.9-14.1",0.038425987166783,94,2014-11-15
187,"DePaul","BE","1-0",0.471361738601043,102.566977183411,127,103.594896791374,247,69.5027117461297,73,"11-21","3.9-14.1",0.0390654735133723,104,2014-11-16
185,"DePaul","BE","1-0",0.471312188678262,102.540907284023,125,103.570356500838,249,69.4859220907881,79,"11-21","3.9-14.1",0.0395167610636143,116,2014-11-17
167,"DePaul","BE","2-0",0.511610976985202,103.529660727028,113,103.112314053238,237,69.1002947364914,95,"12.1-19.9","4.3-13.7",0.0934296395094534,80,2014-11-18
165,"DePaul","BE","2-0",0.511062705088773,103.49713170251,113,103.09958582552,238,69.0537071559793,92,"12.2-19.8","4.4-13.6",0.0905777918418407,82,2014-11-19
163,"DePaul","BE","2-0",0.510798807728123,103.485736683696,114,103.097702044796,239,69.0288682025351,96,"12.2-19.8","4.3-13.7",0.0877586294084637,87,2014-11-20
163,"DePaul","BE","2-0",0.508643791078535,103.481827605279,113,103.171142087057,240,69.0257817626584,88,"11.9-20.1","4.2-13.8",0.0891925409191717,87,2014-11-21
163,"DePaul","BE","2-0",0.505450551421444,103.290204314384,115,103.094559967296,238,69.0607947796473,84,"11.8-20.2","4.1-13.9",0.0902797049325915,88,2014-11-22
166,"DePaul","BE","2-0",0.502661509657013,103.269466838205,115,103.173909240051,240,69.0037114586491,88,"11.6-20.4","4-14",0.0908589738744074,89,2014-11-23
167,"DePaul","BE","2-0",0.502081268132055,103.274668679746,109,103.199932771699,239,69.0063348857215,88,"11.6-20.4","3.9-14.1",0.0908949641605413,84,2014-11-24
162,"DePaul","BE","2-0",0.502975420476167,103.275768710611,109,103.168939665628,242,69.0124415251815,83,"11.5-20.5","3.9-14.1",0.0905655850338769,84,2014-11-25
