"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
294,"Delaware St.","MEAC","0-0",0.234227981342704,96.0763014634167,276,106.500584372171,307,65.96239053,309,"13.6-20.4","9.2-6.8",0,126,2014-11-13
293,"Delaware St.","MEAC","0-0",0.233513111525162,96.0596570474317,273,106.519083129403,306,65.96239053,311,"13.8-20.2","9.3-6.7",0,154,2014-11-14
294,"Delaware St.","MEAC","1-0",0.248014902351083,97.3218266261385,248,107.176592067967,313,65.2589370676013,332,"15-19","9.6-6.4",0.125274031011938,38,2014-11-15
294,"Delaware St.","MEAC","1-0",0.247727132974772,97.2674403392206,246,107.131077197299,313,65.2551683630275,332,"15.2-18.8","9.7-6.3",0.127167701043252,45,2014-11-16
292,"Delaware St.","MEAC","1-0",0.24726704173921,97.2391232892035,246,107.12289789986,317,65.2512702937105,330,"15.3-18.7","9.8-6.2",0.128500652568004,57,2014-11-17
292,"Delaware St.","MEAC","1-0",0.24385350004253,97.1511685009168,246,107.197622858324,321,65.2790172220214,330,"15.2-18.8","9.7-6.3",0.124379828925,67,2014-11-18
291,"Delaware St.","MEAC","1-1",0.243785657133965,96.1223390406058,259,106.065795351773,303,65.3049874363572,327,"15-19","9.7-6.3",-0.672852029786305,236,2014-11-19
291,"Delaware St.","MEAC","1-1",0.243569801365716,96.1127951207067,259,106.066065986036,302,65.2881941513552,324,"15-19","9.7-6.3",-0.681704448728967,225,2014-11-20
292,"Delaware St.","MEAC","1-2",0.247390923130053,96.3068539577839,254,106.089729742803,301,65.9764813593889,296,"15.1-18.9","9.8-6.2",-0.939355989683399,264,2014-11-21
289,"Delaware St.","MEAC","1-2",0.246314859348986,96.2892836168773,259,106.123772735231,302,65.9428663369705,290,"15-19","9.7-6.3",-0.93349780474046,230,2014-11-22
287,"Delaware St.","MEAC","1-2",0.245007831921882,96.2464612713946,256,106.141655179962,302,66.0044480549012,283,"15.1-18.9","9.7-6.3",-0.930398277875578,220,2014-11-23
286,"Delaware St.","MEAC","1-2",0.24446993848165,96.2510789664093,256,106.173610969322,304,65.9985364480732,286,"15.2-18.8","9.8-6.2",-0.930206198442472,216,2014-11-24
284,"Delaware St.","MEAC","1-2",0.245787295075652,96.2258082781165,251,106.080043881173,306,65.9670893831504,279,"15.1-18.9","9.7-6.3",-0.931966247834505,196,2014-11-25
297,"Delaware St.","MEAC","1-3",0.227463068424201,96.0498415643511,257,106.824604245166,313,67.5573933043192,169,"14.6-19.4","9.5-6.5",-1.52549891254504,246,2014-11-26
296,"Delaware St.","MEAC","1-3",0.227115860674836,96.0285312367407,256,106.819264832006,313,67.5439267442643,167,"14.6-19.4","9.4-6.6",-1.51472347686752,241,2014-11-27
275,"Delaware St.","MEAC","2-3",0.269703952720687,96.8408400884978,242,105.603169163604,296,68.0245901978524,138,"16.6-17.4","10.1-5.9",-1.06915616556889,183,2014-11-28
274,"Delaware St.","MEAC","2-3",0.268874886071236,96.8181628936561,242,105.617128604541,294,68.0672308597493,129,"16.4-17.6","10-6",-1.06469031737797,171,2014-11-29
275,"Delaware St.","MEAC","2-3",0.2688185584062,96.8995306157538,242,105.708525132732,294,67.9108541127636,134,"16.5-17.5","10-6",-1.07665494349988,167,2014-11-30
274,"Delaware St.","MEAC","2-3",0.269009441778631,96.9017683859569,242,105.702041707769,293,67.9012767374115,133,"16.5-17.5","10-6",-1.07633945443646,166,2014-12-01
278,"Delaware St.","MEAC","2-3",0.266936508829648,96.8903414656738,242,105.786740429527,294,67.8311383109461,129,"16.4-17.6","9.9-6.1",-1.07733701418922,160,2014-12-02
282,"Delaware St.","MEAC","2-4",0.260800407673652,96.4370406549339,253,105.581457590286,289,67.9166867495457,116,"16.1-17.9","9.8-6.2",-1.61571432039306,195,2014-12-03
282,"Delaware St.","MEAC","2-4",0.258381698244691,96.3348325428168,254,105.585033816887,290,67.9589115239082,114,"16.1-17.9","9.8-6.2",-1.60225302147712,193,2014-12-04
283,"Delaware St.","MEAC","2-4",0.258148057439166,96.3252902553122,254,105.585772714069,290,67.9547086045498,111,"16-18","9.7-6.3",-1.58730143470015,189,2014-12-05
282,"Delaware St.","MEAC","2-4",0.25947499721654,96.4052315667088,252,105.609855046862,287,67.8710654761531,108,"16-18","9.7-6.3",-1.612287981119,189,2014-12-06
262,"Delaware St.","MEAC","3-4",0.299108447523228,96.4906092227608,247,103.906686566794,246,67.7185171791363,116,"17.6-16.4","10.4-5.6",-1.44769097380719,174,2014-12-07
263,"Delaware St.","MEAC","3-4",0.298768674684851,96.4981665794245,249,103.929475554011,244,67.7184787420443,115,"17.6-16.4","10.3-5.7",-1.46394470432459,173,2014-12-08
256,"Delaware St.","MEAC","3-4",0.30302834647001,96.7157045031526,246,103.980510179703,245,67.7084146763505,114,"17.7-16.3","10.4-5.6",-1.44921838072716,171,2014-12-09
283,"Delaware St.","MEAC","3-5",0.250437472866191,95.583093737359,264,105.143354109219,279,67.4393395192139,125,"15.8-18.2","9.7-6.3",-2.43993973911014,236,2014-12-10
283,"Delaware St.","MEAC","3-5",0.250095579259984,95.5761904436948,264,105.15242009187,279,67.4335818747509,124,"15.8-18.2","9.7-6.3",-2.45797570455486,235,2014-12-11
283,"Delaware St.","MEAC","3-5",0.250463120980764,95.5890236622892,263,105.1486279194,278,67.4354146063771,125,"15.8-18.2","9.7-6.3",-2.45638366408995,234,2014-12-12
291,"Delaware St.","MEAC","3-6",0.229913580139115,94.3614673339385,286,104.82012463322,265,68.3164135104966,80,"15.2-18.8","9.3-6.7",-2.86285076807036,241,2014-12-13
292,"Delaware St.","MEAC","3-6",0.227868335396508,94.379382151744,283,104.945719279961,271,68.3885719593589,81,"15.3-18.7","9.4-6.6",-2.8727607227085,239,2014-12-14
292,"Delaware St.","MEAC","3-6",0.228025370300589,94.3825963191552,284,104.941150371348,272,68.4144705784762,81,"15.3-18.7","9.4-6.6",-2.84718248583591,235,2014-12-15
292,"Delaware St.","MEAC","3-6",0.227872998481002,94.4217967545179,284,104.992640484458,274,68.4048240423084,80,"15.3-18.7","9.4-6.6",-2.81504405984565,233,2014-12-16
275,"Delaware St.","MEAC","4-6",0.268430748715545,96.1399227674215,253,104.897866242097,273,67.7940134903732,111,"17.1-16.9","10.1-5.9",-2.61829145270811,212,2014-12-17
275,"Delaware St.","MEAC","4-6",0.265146707235986,95.9926014645122,254,104.890140322221,272,67.8131112104202,106,"17-17","10-6",-2.6177345911249,208,2014-12-18
277,"Delaware St.","MEAC","4-6",0.265495332144615,95.9781803520827,256,104.858073531873,267,67.7995035645714,103,"17-17","10-6",-2.57380591846559,205,2014-12-19
276,"Delaware St.","MEAC","4-7",0.26323662853354,96.5162882663168,251,105.552515160694,274,67.7288290582215,102,"16.6-17.4","9.8-6.2",-2.95847387055658,216,2014-12-20
272,"Delaware St.","MEAC","4-7",0.267341577552101,96.5921065361469,245,105.442149258662,272,67.6694494177827,105,"16.7-17.3","9.8-6.2",-2.99000657737098,212,2014-12-21
274,"Delaware St.","MEAC","4-7",0.267514833962,96.6035369496471,238,105.446517665557,275,67.7016512211903,102,"16.5-17.5","9.6-6.4",-2.9740211365017,209,2014-12-22
269,"Delaware St.","MEAC","4-7",0.280548021453092,96.8070008782772,233,105.068253591497,270,67.7740518624447,96,"16.7-17.3","9.8-6.2",-2.98451196622515,203,2014-12-23
269,"Delaware St.","MEAC","4-7",0.280548021453819,96.8070008782949,233,105.068253591483,270,67.773891709753,96,"16.7-17.3","9.8-6.2",-2.98451196622027,203,2014-12-24
269,"Delaware St.","MEAC","4-7",0.283057054042613,96.8372548825716,232,104.987850651022,268,67.7887635217273,96,"16.7-17.3","9.9-6.1",-2.97675721143894,203,2014-12-25
269,"Delaware St.","MEAC","4-7",0.282873386595063,96.8243905886086,232,104.98216700966,268,67.7890462119412,96,"16.7-17.3","9.9-6.1",-2.97617755776436,203,2014-12-26
267,"Delaware St.","MEAC","4-7",0.282542324611312,96.8365940977672,234,105.010305306913,266,67.7951596144187,95,"16.7-17.3","9.8-6.2",-3.06514163542023,202,2014-12-27
264,"Delaware St.","MEAC","4-8",0.288389171173387,96.4223598370694,253,104.300798765531,252,67.8110121233815,93,"16.7-17.3","9.9-6.1",-3.46952628760851,220,2014-12-28
266,"Delaware St.","MEAC","4-8",0.286499532298771,96.6277752501752,244,104.606885372569,255,67.7853615724121,89,"16.9-17.1","10-6",-3.53502185766436,219,2014-12-29
