"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
149,"Detroit","Horz","0-0",0.541019925929471,102.840174279762,131,101.380030801177,185,69.49360516,74,"15.8-15.2","8.7-7.3",0,325,2014-11-13
153,"Detroit","Horz","0-0",0.540029032070016,102.822358079362,126,101.39764013721,189,69.49360516,74,"15.6-15.4","8.6-7.4",0,224,2014-11-14
154,"Detroit","Horz","0-0",0.539714742396129,102.816708690374,122,101.403224568917,189,69.49360516,74,"15.6-15.4","8.7-7.3",0,207,2014-11-15
155,"Detroit","Horz","0-0",0.539453538713272,102.812014077445,123,101.407865436394,191,69.49360516,77,"15.7-15.3","8.7-7.3",0,190,2014-11-16
157,"Detroit","Horz","0-1",0.53828647976631,102.331657450805,130,100.975299336408,185,69.774153097708,62,"15.5-15.5","8.7-7.3",-0.296055850924345,205,2014-11-17
155,"Detroit","Horz","0-1",0.537752185213519,102.323998143645,129,100.986616442744,185,69.7527672276474,61,"15.4-15.6","8.7-7.3",-0.303890476234346,188,2014-11-18
155,"Detroit","Horz","0-1",0.537042993608631,102.303027799037,129,100.990969210663,191,69.7277044723012,59,"15.5-15.5","8.8-7.2",-0.310819200501985,171,2014-11-19
136,"Detroit","Horz","0-2",0.563555953177434,102.352659068683,126,100.102798671231,175,69.5439977519192,64,"16-15","9.2-6.8",-0.659875708230883,221,2014-11-20
137,"Detroit","Horz","0-2",0.563547122190365,102.399839986618,125,100.149255157985,174,69.5391822236246,60,"16-15","9.2-6.8",-0.652392705414043,214,2014-11-21
130,"Detroit","Horz","1-2",0.586327148981097,101.126101289138,160,98.1049296736846,120,69.9332778718967,46,"16.7-14.3","9.5-6.5",-0.609318353024725,188,2014-11-22
132,"Detroit","Horz","1-2",0.585439346320973,101.079838936276,159,98.0912559935034,126,69.9160283209328,44,"16.6-14.4","9.5-6.5",-0.606144198276725,185,2014-11-23
137,"Detroit","Horz","2-2",0.561833636052281,100.592531811439,164,98.4412583143239,133,69.5882319989624,54,"16-15","9.1-6.9",-0.503634724042076,160,2014-11-24
129,"Detroit","Horz","3-2",0.587416235394715,101.850019381218,138,98.7686335529564,140,69.3004396889068,67,"17.3-13.7","9.5-6.5",-0.164540530328895,109,2014-11-25
128,"Detroit","Horz","3-2",0.585829746725347,101.849412473888,136,98.8242499040559,146,69.3101147381215,63,"17.3-13.7","9.4-6.6",-0.187151640664617,107,2014-11-26
128,"Detroit","Horz","3-2",0.5856754945182,101.835724975834,136,98.8164312707886,148,69.2955689675247,64,"17.3-13.7","9.4-6.6",-0.175110932213324,106,2014-11-27
131,"Detroit","Horz","3-2",0.585034575045406,101.903181647271,136,98.9045958197156,146,69.189253810387,65,"17.2-13.8","9.3-6.7",-0.200725108927903,104,2014-11-28
131,"Detroit","Horz","3-2",0.587100520948681,101.947867477017,136,98.8747195788103,143,69.1694421602834,65,"17-14","9.1-6.9",-0.196992460457514,101,2014-11-29
136,"Detroit","Horz","3-3",0.573144358859774,101.894516359142,137,99.3166028581896,150,68.5347842711228,101,"15.9-15.1","8.8-7.2",-1.05541074202002,164,2014-11-30
136,"Detroit","Horz","3-3",0.573512090829661,101.898003529233,138,99.3070197119694,149,68.5109109715154,98,"15.9-15.1","8.8-7.2",-1.05511746366083,163,2014-12-01
134,"Detroit","Horz","3-3",0.578422530119702,102.081305591309,133,99.3118767713353,144,68.5057599315884,92,"16-15","8.9-7.1",-1.05613626167873,157,2014-12-02
132,"Detroit","Horz","3-3",0.581398810942668,102.368724262027,134,99.4857512895638,145,68.4988623869635,85,"16.1-14.9","8.9-7.1",-1.04757701452217,153,2014-12-03
