"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
139,"Duquesne","A10","0-0",0.564548710276303,104.770690291594,91,102.431711214062,211,69.54400655,71,"14.5-15.5","6.7-11.3",0,305,2014-11-13
139,"Duquesne","A10","0-0",0.563567636147468,104.752539645434,90,102.449503223089,219,69.54400655,69,"14.6-15.4","6.7-11.3",0,216,2014-11-14
138,"Duquesne","A10","0-0",0.56325642258777,104.746784206102,91,102.455145585705,217,69.54400655,69,"14.6-15.4","6.7-11.3",0,201,2014-11-15
138,"Duquesne","A10","0-0",0.562997761333253,104.742001465887,88,102.459834595893,217,69.54400655,71,"14.5-15.5","6.6-11.4",0,185,2014-11-16
136,"Duquesne","A10","0-0",0.562474725034787,104.732332600944,86,102.469314629419,218,69.54400655,73,"14.5-15.5","6.7-11.3",0,164,2014-11-17
137,"Duquesne","A10","0-0",0.561985574368305,104.723292873307,82,102.478178605109,224,69.54400655,73,"14.5-15.5","6.6-11.4",0,144,2014-11-18
136,"Duquesne","A10","0-0",0.561414324138334,104.712739218156,85,102.488528043411,224,69.54400655,67,"14.6-15.4","6.7-11.3",0,132,2014-11-19
137,"Duquesne","A10","0-0",0.561206142442874,104.708894012693,83,102.492299102347,228,69.54400655,63,"14.6-15.4","6.8-11.2",0,118,2014-11-20
139,"Duquesne","A10","0-0",0.560450711186337,104.694944795096,84,102.505980502881,227,69.54400655,57,"14.7-15.3","6.8-11.2",0,112,2014-11-21
140,"Duquesne","A10","1-0",0.558509060790665,105.355847499096,75,103.223754465278,242,70.4527184021351,33,"14.8-15.2","6.8-11.2",0.0383767669535904,99,2014-11-22
141,"Duquesne","A10","1-0",0.557816377950641,105.33078049427,72,103.224403000445,242,70.4452030675278,31,"15-15","6.8-11.2",0.0386251630200081,98,2014-11-23
142,"Duquesne","A10","1-0",0.557482145332083,105.321909329021,74,103.227870944609,240,70.4378572802155,30,"15-15","6.9-11.1",0.0386405969064592,91,2014-11-24
141,"Duquesne","A10","1-0",0.557129745679636,105.314801821452,72,103.233726134696,243,70.4188251246614,31,"15.2-14.8","7-11",0.0384993516405449,89,2014-11-25
142,"Duquesne","A10","1-0",0.556087804601971,105.302453543303,74,103.259523569796,243,70.4206047375303,31,"15.2-14.8","6.9-11.1",0.0374571800348453,85,2014-11-26
143,"Duquesne","A10","1-0",0.555803802750133,105.297529830146,72,103.265025049448,245,70.4108075578728,31,"15.2-14.8","7-11",0.0380129517858159,82,2014-11-27
140,"Duquesne","A10","1-0",0.555565588201564,105.317880149325,76,103.293648306435,243,70.3960566613497,29,"15.4-14.6","7.1-10.9",0.0368431594295617,81,2014-11-28
