"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
217,"East Tennessee St.","SC","0-0",0.41543981999645,100.606888131011,188,103.639474821245,245,70.21649236,37,"15.1-12.9","11.3-6.7",0,304,2014-11-13
216,"East Tennessee St.","SC","0-1",0.404447549705337,100.770694527137,180,104.219257357407,259,70.9216239085196,25,"14.8-13.2","11.3-6.7",-0.400162447226531,289,2014-11-14
214,"East Tennessee St.","SC","0-1",0.404088410826211,100.791133570083,176,104.253913741003,260,70.9195932774807,26,"14.8-13.2","11.3-6.7",-0.399850970371122,273,2014-11-15
217,"East Tennessee St.","SC","0-1",0.40153606591756,100.818862609589,172,104.378854427929,265,70.9916247315927,26,"14.8-13.2","11.3-6.7",-0.395737777599445,245,2014-11-16
217,"East Tennessee St.","SC","0-1",0.401022571824354,100.792642101782,167,104.371103802099,265,70.9868303592919,28,"14.7-13.3","11.2-6.8",-0.392882433034454,220,2014-11-17
218,"East Tennessee St.","SC","0-1",0.400497271141077,100.785121116542,164,104.383168252365,268,70.9636238908305,28,"14.7-13.3","11.2-6.8",-0.401816800872646,205,2014-11-18
217,"East Tennessee St.","SC","0-1",0.39993296917394,100.766065902089,167,104.384768985222,269,70.9310374996481,27,"14.5-13.5","11.1-6.9",-0.409664280072737,188,2014-11-19
221,"East Tennessee St.","SC","0-1",0.39971598606901,100.758758187757,170,104.385406190363,270,70.9167163479423,25,"14.5-13.5","11.1-6.9",-0.417703807856018,180,2014-11-20
221,"East Tennessee St.","SC","0-1",0.402109176454039,100.855179507182,166,104.394806581451,270,71.0111362237599,25,"14.6-13.4","11.1-6.9",-0.413578682529396,174,2014-11-21
210,"East Tennessee St.","SC","1-1",0.421209982043031,102.38882366304,131,105.257851086479,284,70.9784990157256,22,"15.3-12.7","11.3-6.7",-0.359506099280315,152,2014-11-22
207,"East Tennessee St.","SC","1-1",0.422765342762818,102.397374961155,129,105.208288462472,286,70.8672670055172,23,"15.3-12.7","11.3-6.7",-0.357557607838323,144,2014-11-23
198,"East Tennessee St.","SC","2-1",0.439224937383394,102.233856658623,135,104.428966371673,273,70.6513948482564,26,"16.1-11.9","11.4-6.6",-0.0734068082309464,100,2014-11-24
201,"East Tennessee St.","SC","2-1",0.438777715999071,102.212051443377,130,104.423180652968,273,70.598946941172,26,"16.1-11.9","11.4-6.6",-0.0752868138277114,98,2014-11-25
196,"East Tennessee St.","SC","2-1",0.438268880892638,102.230353236837,131,104.460648549753,273,70.5175935445424,28,"16-12","11.3-6.7",-0.0893256465307164,96,2014-11-26
194,"East Tennessee St.","SC","2-1",0.438117290940178,102.221268339555,129,104.456958464691,273,70.5085729155365,28,"15.9-12.1","11.2-6.8",-0.0818020222384195,94,2014-11-27
193,"East Tennessee St.","SC","2-1",0.441905762877534,102.358352290374,126,104.457289748798,268,70.6291775005616,24,"15.8-12.2","11.2-6.8",-0.0977381147347077,92,2014-11-28
187,"East Tennessee St.","SC","2-1",0.447446813181607,102.440302382954,125,104.337135640993,264,70.5799919672829,25,"16.1-11.9","11.5-6.5",-0.0954377325159798,91,2014-11-29
179,"East Tennessee St.","SC","2-1",0.455051692758115,102.610274188453,128,104.231520193066,260,70.7804132426575,20,"16.2-11.8","11.5-6.5",-0.101599733814025,88,2014-11-30
