"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
263,"Elon","CAA","0-0",0.314266374662377,97.7619764561768,244,104.625090177739,263,68.06227957,167,"11.7-19.3","7-11",0,140,2014-11-13
260,"Elon","CAA","1-0",0.319007442400456,96.9622397708462,254,103.571683275072,246,68.1973647653823,155,"12.4-18.6","7.1-10.9",0.034279083376216,82,2014-11-14
261,"Elon","CAA","1-0",0.318729302352359,96.9792032929152,255,103.601339360999,244,68.1955286974028,158,"12.4-18.6","7.1-10.9",0.0343220721919576,100,2014-11-15
270,"Elon","CAA","1-1",0.299089730269816,95.6615251906633,281,103.014680555116,232,68.6515642249791,128,"11.5-19.5","6.7-11.3",-0.85550075455634,318,2014-11-16
271,"Elon","CAA","1-1",0.298602115572967,95.6229255717373,278,102.993953361403,232,68.642175093737,124,"11.6-19.4","6.8-11.2",-0.853923654408948,298,2014-11-17
271,"Elon","CAA","1-1",0.298121283674647,95.6169595434657,277,103.008099002008,235,68.595208968977,126,"11.5-19.5","6.7-11.3",-0.858794772010883,289,2014-11-18
269,"Elon","CAA","1-1",0.297580741762958,95.5862153725935,275,102.998124740795,236,68.539357673034,126,"11.5-19.5","6.7-11.3",-0.862923526539732,270,2014-11-19
267,"Elon","CAA","1-1",0.298410550437169,95.5822568654582,270,102.958339767668,237,68.4799442137543,130,"11.5-19.5","6.7-11.3",-0.867015484258073,255,2014-11-20
268,"Elon","CAA","1-1",0.298051529092716,95.652925210092,269,103.049832172545,238,68.4336726389666,129,"11.5-19.5","6.7-11.3",-0.864932879063445,246,2014-11-21
257,"Elon","CAA","1-2",0.32451555114096,95.4087879580799,275,101.688907703384,206,68.8261634595589,98,"11.9-19.1","7-11",-1.43983385797437,284,2014-11-22
254,"Elon","CAA","1-2",0.322472260222668,95.3934350259634,272,101.755124334403,208,68.7564591267294,104,"11.9-19.1","7-11",-1.43735503056211,272,2014-11-23
253,"Elon","CAA","1-2",0.321925219023136,95.4074579756685,271,101.792252347651,207,68.754382131795,105,"11.9-19.1","6.9-11.1",-1.43720130793889,262,2014-11-24
259,"Elon","CAA","2-2",0.309300390946731,95.7117014101889,262,102.637231031253,228,68.9768208865286,84,"11.8-19.2","6.6-11.4",-1.41266998908059,247,2014-11-25
260,"Elon","CAA","2-3",0.29717303684538,95.2908109121207,269,102.697237843837,228,69.0922429058006,76,"11.1-19.9","6.5-11.5",-2.2405453618133,297,2014-11-26
262,"Elon","CAA","2-3",0.29676228963193,95.2718271592699,269,102.694345757197,230,69.0770223197173,75,"11.1-19.9","6.5-11.5",-2.23227331742954,295,2014-11-27
260,"Elon","CAA","2-3",0.296194406475578,95.371649581535,265,102.826286516898,227,69.0424770297599,73,"11-20","6.4-11.6",-2.2497932325396,288,2014-11-28
262,"Elon","CAA","2-3",0.29537565329312,95.4041737259212,263,102.896517051973,228,68.9618593240899,72,"10.9-20.1","6.3-11.7",-2.24725934387978,280,2014-11-29
258,"Elon","CAA","3-3",0.307591756736316,95.8310203396846,260,102.836788784755,225,69.1565732751175,63,"11.8-19.2","6.5-11.5",-2.08095763965243,255,2014-11-30
258,"Elon","CAA","3-3",0.308838159752417,95.819127122305,260,102.771771999549,225,69.1739875091637,62,"11.8-19.2","6.5-11.5",-2.08073912274064,249,2014-12-01
257,"Elon","CAA","3-3",0.30868709565479,95.8765350101138,260,102.839674754809,224,69.1457147520343,65,"12-19","6.6-11.4",-2.08148075751481,242,2014-12-02
255,"Elon","CAA","3-3",0.307411807618341,95.818690258376,261,102.83111334622,218,69.1536866762001,63,"11.9-19.1","6.5-11.5",-2.07514162435785,232,2014-12-03
256,"Elon","CAA","3-3",0.307104098047253,95.7970338819639,262,102.820796814019,217,69.1585225482246,62,"11.9-19.1","6.5-11.5",-2.06747649482063,232,2014-12-04
257,"Elon","CAA","3-3",0.306908632692445,95.7923149574255,262,102.823946233752,216,69.1553810879381,62,"11.9-19.1","6.5-11.5",-2.05891923938166,231,2014-12-05
259,"Elon","CAA","3-3",0.305461900933767,95.6124269143639,268,102.691648747154,205,69.1092804169258,62,"11.9-19.1","6.5-11.5",-2.07316280566645,222,2014-12-06
259,"Elon","CAA","3-3",0.303946806078595,95.5380130579464,267,102.675555474639,212,69.1111218818096,60,"12-19","6.5-11.5",-2.06104715790895,218,2014-12-07
255,"Elon","CAA","3-3",0.304860937423563,95.5878403582777,266,102.690547215303,210,69.1363881140767,61,"12.1-18.9","6.5-11.5",-2.06946747043081,216,2014-12-08
255,"Elon","CAA","3-3",0.304621889115436,95.5685076842067,264,102.679851366655,210,69.1326067514156,59,"12.1-18.9","6.5-11.5",-2.06182764909131,213,2014-12-09
252,"Elon","CAA","3-3",0.305139324641953,95.6043508404928,263,102.69655588479,213,69.0860970959919,61,"12.1-18.9","6.5-11.5",-2.07208411735636,208,2014-12-10
259,"Elon","CAA","3-4",0.296103509205579,95.8824901527599,255,103.380976545227,235,69.3901399702318,55,"11.8-19.2","6.4-11.6",-2.84166156064425,255,2014-12-11
258,"Elon","CAA","3-4",0.295979972637421,95.8840168875769,255,103.387951811506,235,69.3943477697678,56,"11.8-19.2","6.4-11.6",-2.84064644904439,253,2014-12-12
264,"Elon","CAA","3-4",0.296175700390162,96.0885693188155,256,103.60005201501,239,69.4837821358787,49,"11.8-19.2","6.4-11.6",-2.8468704695676,240,2014-12-13
262,"Elon","CAA","3-4",0.296514818581697,96.1390856781698,256,103.639860089929,240,69.3783662577036,52,"11.8-19.2","6.4-11.6",-2.85224322351879,238,2014-12-14
259,"Elon","CAA","3-5",0.310934047100786,95.7879667699411,261,102.650832925153,214,69.7110179060787,41,"12.1-18.9","6.6-11.4",-2.89424165678906,238,2014-12-15
257,"Elon","CAA","3-5",0.313501319324152,95.5877154375536,263,102.32979664423,207,69.8788275642496,37,"12.1-18.9","6.6-11.4",-2.875664331878,237,2014-12-16
259,"Elon","CAA","3-5",0.308741481873358,95.4223318395307,266,102.350216432696,210,69.8367467665365,37,"11.9-19.1","6.5-11.5",-2.90129898823538,229,2014-12-17
257,"Elon","CAA","3-5",0.305521815342757,95.4488353086291,266,102.51342734204,216,69.8633125438375,37,"11.9-19.1","6.5-11.5",-2.90117342946363,225,2014-12-18
259,"Elon","CAA","3-5",0.306199580379339,95.4318749321981,266,102.466763475678,215,69.7726603114224,42,"11.9-19.1","6.5-11.5",-2.87828632767601,222,2014-12-19
248,"Elon","CAA","4-5",0.327833051662201,94.828183489978,276,100.937512569807,176,70.6231246720894,24,"13.1-17.9","6.9-11.1",-2.7610346862123,205,2014-12-20
248,"Elon","CAA","4-5",0.327722105881821,94.770950151739,278,100.881008890753,175,70.6113511793156,23,"13.1-17.9","6.9-11.1",-2.77760734185965,199,2014-12-21
250,"Elon","CAA","5-5",0.314211189212431,94.3286808877491,280,100.953017492976,175,70.1564225017354,31,"13.4-17.6","6.8-11.2",-2.73647161000177,197,2014-12-22
