"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
213,"Fairfield","MAAC","0-0",0.422363412467805,95.2401132108558,289,97.8685699358647,105,67.50226584,206,"14.1-16.9","9.1-10.9",0,311,2014-11-13
199,"Fairfield","MAAC","1-0",0.442054028199979,95.8725690115649,276,97.8333961302999,109,67.0417267242983,251,"15.2-15.8","9.5-10.5",0.0233611521218809,93,2014-11-14
208,"Fairfield","MAAC","1-1",0.425287724612448,96.0876085991653,276,98.6366883704341,124,67.6811354436292,205,"14.7-16.3","9.2-10.8",-0.027937460402421,216,2014-11-15
206,"Fairfield","MAAC","1-1",0.424971860217433,96.0029530935791,275,98.5608632846833,126,67.6728716280674,203,"14.7-16.3","9.2-10.8",-0.0267076142337128,195,2014-11-16
207,"Fairfield","MAAC","1-1",0.422483070397643,95.9230148532023,273,98.5661148257627,129,67.6732023519466,210,"14.7-16.3","9.2-10.8",-0.0258565564321785,171,2014-11-17
206,"Fairfield","MAAC","1-1",0.423073188681033,95.8938335620176,272,98.5154120340957,130,67.6533735447949,209,"14.5-16.5","9.1-10.9",-0.0284726413786684,148,2014-11-18
205,"Fairfield","MAAC","1-1",0.42242760773364,95.8634571775516,268,98.5068632216601,133,67.6073381227763,204,"14.4-16.6","9-11",-0.0308700896151009,134,2014-11-19
207,"Fairfield","MAAC","1-1",0.422222110239862,95.8506958362269,265,98.5009644355532,130,67.5767180546097,197,"14.5-16.5","9-11",-0.0332792457757136,121,2014-11-20
229,"Fairfield","MAAC","1-2",0.374652920620838,93.5926280249979,300,97.8562959620966,118,67.149530215774,224,"12.7-18.3","8.1-11.9",-0.851264338873222,244,2014-11-21
243,"Fairfield","MAAC","1-3",0.346962133374995,93.9710751491554,293,99.2835622364222,151,66.7699893283479,248,"11.6-19.4","7.6-12.4",-1.63345963330448,298,2014-11-22
238,"Fairfield","MAAC","2-3",0.354790484135761,94.8257957754485,280,99.8876070470942,166,66.1667777472834,274,"12.2-18.8","7.8-12.2",-1.56929936565161,282,2014-11-23
238,"Fairfield","MAAC","2-3",0.354376120635904,94.8484737965635,281,99.9272272946505,167,66.1612554893674,274,"12.3-18.7","7.9-12.1",-1.56911199813098,274,2014-11-24
240,"Fairfield","MAAC","2-3",0.354312548088872,94.8337612727104,282,99.9141411398652,166,66.0844038719486,271,"12.3-18.7","7.9-12.1",-1.57081595459278,261,2014-11-25
240,"Fairfield","MAAC","2-3",0.353643663259667,94.8450528254546,277,99.9514569134241,167,66.1080854872113,267,"12.1-18.9","7.8-12.2",-1.58353656152643,250,2014-11-26
241,"Fairfield","MAAC","2-3",0.353721382179187,94.8328646434743,276,99.9356579428134,166,66.0939323094907,266,"12.2-18.8","7.8-12.2",-1.57673919361424,248,2014-11-27
237,"Fairfield","MAAC","2-3",0.35344931479717,94.9134398926596,275,100.030922255325,166,66.0258384257669,261,"12.2-18.8","7.8-12.2",-1.59110554240013,240,2014-11-28
252,"Fairfield","MAAC","2-4",0.322159265847981,93.1610108773444,307,99.3862052177673,155,65.8437244113299,255,"11.5-19.5","7.4-12.6",-2.14639324095414,270,2014-11-29
254,"Fairfield","MAAC","2-4",0.317269550999315,93.0936021355447,307,99.5086377822187,153,65.8638680006568,247,"11.4-19.6","7.3-12.7",-2.15501554094488,261,2014-11-30
260,"Fairfield","MAAC","2-5",0.303320609945712,92.6678062646903,315,99.616569393464,155,65.4444582369619,267,"10.5-20.5","7.1-12.9",-3.08696776887756,312,2014-12-01
259,"Fairfield","MAAC","2-5",0.304246394746128,92.7318938307603,313,99.6475264721904,153,65.4576203565147,264,"10.5-20.5","7.1-12.9",-3.08775665751464,308,2014-12-02
258,"Fairfield","MAAC","2-5",0.30396111240478,92.8935118672647,312,99.8328994094017,155,65.5165279364414,249,"10.6-20.4","7.2-12.8",-3.08071956231215,296,2014-12-03
259,"Fairfield","MAAC","2-5",0.303223454703367,92.8487002920023,312,99.8150186919167,153,65.5118625799283,253,"10.5-20.5","7.1-12.9",-3.07228365077807,294,2014-12-04
240,"Fairfield","MAAC","3-5",0.33621436905829,93.3861240324597,304,99.0764218616364,141,65.0796006644423,269,"11.9-19.1","8.4-11.6",-2.94987463368305,284,2014-12-05
241,"Fairfield","MAAC","3-5",0.33996331710352,93.5263976561575,302,99.0808018555513,146,65.1954896780641,253,"11.8-19.2","8.2-11.8",-2.967631812963,271,2014-12-06
231,"Fairfield","MAAC","4-5",0.364638297796267,92.656140888445,311,97.2399068817623,102,64.4083042978007,291,"13.2-17.8","9.5-10.5",-2.65500508922851,253,2014-12-07
232,"Fairfield","MAAC","4-5",0.362435167198434,92.6691445946222,310,97.3341115889791,102,64.3935353738811,294,"13.2-17.8","9.5-10.5",-2.66805563014452,253,2014-12-08
