"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
326,"Fairleigh Dickinson","NEC","0-0",0.156967663663849,93.3946152364952,313,108.094365854077,327,68.72290718,104,"6.4-21.6","5.2-12.8",0,108,2014-11-13
315,"Fairleigh Dickinson","NEC","1-0",0.181190082200497,93.8539429361403,307,107.007268134224,311,67.9272539016747,189,"8.2-19.8","5.9-12.1",0.330655560245204,6,2014-11-14
314,"Fairleigh Dickinson","NEC","1-0",0.181063176053575,93.8738350898892,307,107.037911668592,311,67.9256283722771,190,"8.2-19.8","6-12",0.330942858519133,8,2014-11-15
312,"Fairleigh Dickinson","NEC","1-0",0.180763380229892,93.8249383146901,306,107.00098050999,312,67.9217400521256,187,"8.3-19.7","6-12",0.334755681417285,13,2014-11-16
312,"Fairleigh Dickinson","NEC","1-0",0.180690035224843,93.898251504973,304,107.089201961221,316,67.9452198729406,188,"8.4-19.6","6-12",0.337423366387325,17,2014-11-17
311,"Fairleigh Dickinson","NEC","1-0",0.180382805791335,93.8914455204706,304,107.100778417046,319,67.9265303012535,182,"8.4-19.6","6-12",0.329132984596648,30,2014-11-18
321,"Fairleigh Dickinson","NEC","1-1",0.161740863598507,91.992798495243,321,106.142510565783,305,67.3947746494837,216,"7.8-20.2","5.7-12.3",-0.415188675559368,190,2014-11-19
321,"Fairleigh Dickinson","NEC","1-1",0.161540145099057,91.9795845070242,320,106.14093395079,304,67.3691906317204,214,"7.8-20.2","5.7-12.3",-0.428753317943668,183,2014-11-20
319,"Fairleigh Dickinson","NEC","1-1",0.161057557392089,91.9863104170786,320,106.181627704766,303,67.3354485955329,208,"7.9-20.1","5.7-12.3",-0.421826427260976,176,2014-11-21
320,"Fairleigh Dickinson","NEC","1-1",0.161394660615643,92.0866688586436,320,106.274434600048,303,67.2848233724298,206,"8-20","5.8-12.2",-0.416612574148757,163,2014-11-22
322,"Fairleigh Dickinson","NEC","1-1",0.160829185453237,92.0303617446311,320,106.248100222635,303,67.2733993962851,206,"8.2-19.8","5.9-12.1",-0.413847755865621,156,2014-11-23
321,"Fairleigh Dickinson","NEC","1-1",0.160519364924203,92.0312978069558,320,106.270408675645,305,67.2738798221137,197,"8.2-19.8","5.9-12.1",-0.413676278836306,152,2014-11-24
319,"Fairleigh Dickinson","NEC","1-2",0.166561181651247,91.5752596603486,320,105.338431756014,292,66.5683376787976,246,"8.4-19.6","6.1-11.9",-1.09981812345046,214,2014-11-25
319,"Fairleigh Dickinson","NEC","1-2",0.166253581703891,91.5831695603667,317,105.367845999987,291,66.576652984322,242,"8.7-19.3","6.4-11.6",-1.1176296682763,206,2014-11-26
319,"Fairleigh Dickinson","NEC","1-2",0.165390529835347,91.5596845746403,316,105.397994218135,292,66.6165128998561,235,"8.7-19.3","6.4-11.6",-1.10809814784165,197,2014-11-27
