"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
229,"Florida Atlantic","CUSA","0-0",0.385662618184668,98.3099295270189,235,102.371706071145,206,67.44283286,213,"11.6-15.4","7.8-10.2",0,20,2014-11-13
230,"Florida Atlantic","CUSA","0-1",0.380483535078553,97.3196205584744,247,101.533785791726,195,67.5766886213936,210,"11-16","7.6-10.4",-0.861945547309911,336,2014-11-14
230,"Florida Atlantic","CUSA","0-1",0.38015137917983,97.3361112190893,247,101.563436811522,193,67.57486926379,211,"11.1-15.9","7.7-10.3",-0.861791040946959,328,2014-11-15
231,"Florida Atlantic","CUSA","0-1",0.378398598725369,97.3279411285795,245,101.620680454259,197,67.524428832369,212,"11-16","7.6-10.4",-0.859733197472576,321,2014-11-16
231,"Florida Atlantic","CUSA","0-1",0.377872046755385,97.3048635654114,245,101.616369380271,199,67.5204361492213,215,"11-16","7.6-10.4",-0.858285235992784,301,2014-11-17
231,"Florida Atlantic","CUSA","0-1",0.377366515173189,97.2974508816761,242,101.627635151549,199,67.5004548857325,217,"11.2-15.8","7.8-10.2",-0.86276308650684,291,2014-11-18
230,"Florida Atlantic","CUSA","0-1",0.37678744487698,97.2776140275013,240,101.628699531416,204,67.4766736598048,211,"11.2-15.8","7.8-10.2",-0.866571492185183,272,2014-11-19
241,"Florida Atlantic","CUSA","0-2",0.356880562266203,96.1667344114019,256,101.219835889827,194,67.5101542726247,202,"10.8-16.2","7.5-10.5",-1.37157003746087,314,2014-11-20
241,"Florida Atlantic","CUSA","0-2",0.356078500760674,96.1720467457342,258,101.256207364102,195,67.4825691900262,198,"10.7-16.3","7.5-10.5",-1.3653955752195,300,2014-11-21
238,"Florida Atlantic","CUSA","0-2",0.35759345613939,96.2936191871485,258,101.326028898984,197,67.413185196043,196,"10.6-16.4","7.4-10.6",-1.36076125873772,278,2014-11-22
237,"Florida Atlantic","CUSA","0-3",0.356070623436416,95.5228423637391,269,100.572983080087,181,67.8631325105684,164,"10.6-16.4","7.4-10.6",-1.65198756454518,286,2014-11-23
237,"Florida Atlantic","CUSA","0-3",0.355523983003804,95.530190965227,268,100.601581355526,180,67.8634786116037,158,"10.7-16.3","7.5-10.5",-1.65174933917393,278,2014-11-24
239,"Florida Atlantic","CUSA","0-3",0.356407591211857,95.4939039370258,266,100.529669362144,179,67.8223964688887,155,"10.7-16.3","7.5-10.5",-1.65393293468739,266,2014-11-25
