"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
7,"Florida","SEC","0-0",0.933004892650351,113.364467579572,10,90.1597154445309,6,65.40810766,332,"25.6-7.4","13.8-4.2",0,211,2014-11-13
7,"Florida","SEC","1-0",0.939619812668515,112.355632448996,13,88.4988559700721,3,65.5478144996158,328,"26.1-6.9","14.1-3.9",0.161721881990436,24,2014-11-14
7,"Florida","SEC","1-0",0.939559011851737,112.372454316898,13,88.5203508659885,3,65.5460476327394,325,"26.1-6.9","14.1-3.9",0.161897901047823,28,2014-11-15
7,"Florida","SEC","1-0",0.939460316532383,112.327791485029,13,88.4985314717992,4,65.5418211928573,325,"26.1-6.9","14.1-3.9",0.164241237251461,31,2014-11-16
9,"Florida","SEC","1-1",0.934996802426796,112.3445001488,12,89.0978036661832,6,65.7329775403276,318,"24.9-8.1","13.9-4.1",-0.42590902595423,227,2014-11-17
8,"Florida","SEC","1-1",0.935207699180997,112.39855548073,11,89.1137401166783,8,65.7526183783662,315,"24.9-8.1","13.8-4.2",-0.439989215107854,212,2014-11-18
8,"Florida","SEC","1-1",0.935033583511096,112.36369651547,12,89.1083372832764,9,65.7044920225792,312,"24.9-8.1","13.8-4.2",-0.45211279439686,199,2014-11-19
7,"Florida","SEC","1-1",0.935524189801724,112.402299602628,11,89.0761501641557,9,65.7031851884284,310,"24.8-8.2","13.7-4.3",-0.464304582227943,191,2014-11-20
12,"Florida","SEC","2-1",0.920690449499182,110.216535711853,25,89.0546256576179,9,65.2276552483462,323,"23.8-9.2","13.1-4.9",-0.354651915367878,158,2014-11-21
12,"Florida","SEC","2-1",0.92085408054377,110.267047145871,26,89.0780626688659,9,65.2275908921815,316,"23.9-9.1","13.1-4.9",-0.348782600765644,149,2014-11-22
12,"Florida","SEC","2-1",0.921500197694199,110.249735425751,26,88.9951877858416,9,65.2212563823028,313,"23.9-9.1","13.1-4.9",-0.345668558598784,141,2014-11-23
12,"Florida","SEC","2-1",0.921315549875362,110.259980139464,26,89.0231939882355,9,65.2227986292022,309,"23.9-9.1","13.2-4.8",-0.345475384355595,139,2014-11-24
12,"Florida","SEC","2-1",0.923650683104442,110.275764196449,28,88.7834513897352,8,65.1402682015478,310,"24-9","13.2-4.8",-0.347244614069909,135,2014-11-25
13,"Florida","SEC","2-2",0.916155460704227,109.073641534462,40,88.5963749756326,8,64.9004255337465,315,"22.9-10.1","12.9-5.1",-0.710487757031269,158,2014-11-26
17,"Florida","SEC","3-2",0.901704655981952,107.358508175356,53,88.5397086289161,9,64.1254922982284,331,"22.1-10.9","12.4-5.6",-0.470955059769416,133,2014-11-27
23,"Florida","SEC","3-3",0.882411152475637,106.240629220538,65,89.1614594319176,10,63.9195141505261,328,"20.8-12.2","11.8-6.2",-0.693178289837131,144,2014-11-28
20,"Florida","SEC","3-3",0.883380644634404,106.302403624199,67,89.1405887599462,10,63.8613393188815,323,"20.7-12.3","11.7-6.3",-0.688365701133748,140,2014-11-29
20,"Florida","SEC","3-3",0.883318588999306,106.329350416028,66,89.1678545767635,11,63.7852175287488,322,"20.7-12.3","11.7-6.3",-0.700878071761818,140,2014-11-30
21,"Florida","SEC","3-3",0.883500969759499,106.333862666034,66,89.1579091937473,11,63.7752183557498,322,"20.7-12.3","11.7-6.3",-0.700562442845858,141,2014-12-01
22,"Florida","SEC","3-3",0.883941619625992,106.430275915658,69,89.2054789169384,11,63.7801552972003,322,"20.6-12.4","11.6-6.4",-0.701726221110844,134,2014-12-02
23,"Florida","SEC","3-3",0.883763753002049,106.531680583617,68,89.303925953792,10,63.8857748494263,318,"20.6-12.4","11.6-6.4",-0.692328021359081,131,2014-12-03
24,"Florida","SEC","3-3",0.884360497188483,106.60974522862,67,89.3241327156763,10,63.9314605842019,315,"20.7-12.3","11.7-6.3",-0.68089619841614,128,2014-12-04
23,"Florida","SEC","3-4",0.88737728138856,106.71061292147,65,89.1769535308712,9,63.9767004901741,314,"20.6-12.4","11.8-6.2",-0.818639530280394,136,2014-12-05
21,"Florida","SEC","3-4",0.886616730403036,106.741349966082,64,89.2615165051509,12,63.9023592106131,315,"20.6-12.4","11.7-6.3",-0.842456299627678,130,2014-12-06
21,"Florida","SEC","3-4",0.888456971201932,106.645665442071,63,89.0386395681822,10,63.8960063733866,312,"20.5-12.5","11.6-6.4",-0.822221437569694,127,2014-12-07
14,"Florida","SEC","4-4",0.919261131657985,109.334876522174,40,88.4915199068168,9,63.5058822182645,314,"22.1-10.9","12.7-5.3",-0.634475966439359,111,2014-12-08
14,"Florida","SEC","4-4",0.92052263928617,109.381121194424,37,88.3972597196604,8,63.5227194429653,316,"22.2-10.8","12.8-5.2",-0.619875256768912,108,2014-12-09
15,"Florida","SEC","4-4",0.920117317805027,109.442295919936,38,88.4892192757167,10,63.3763542504584,318,"22.3-10.7","12.8-5.2",-0.63946582401318,104,2014-12-10
