"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
92,"Fresno St.","MWC","0-0",0.686001302743163,105.707273416304,76,98.7625012044084,125,67.74384305,191,"17.1-12.9","9.7-8.3",0,43,2014-11-13
109,"Fresno St.","MWC","0-1",0.639796629821883,105.463009280323,78,100.324040209482,164,68.1135663771956,168,"15.3-14.7","8.9-9.1",-0.59369540032232,312,2014-11-14
109,"Fresno St.","MWC","0-1",0.639347337886416,105.483232569171,78,100.360285856301,165,68.1116819725992,171,"15.2-14.8","8.8-9.2",-0.593382302314596,299,2014-11-15
108,"Fresno St.","MWC","0-1",0.639310641467149,105.432097082434,75,100.313022014878,171,68.1071743673911,174,"15.2-14.8","8.8-9.2",-0.589232898433266,277,2014-11-16
109,"Fresno St.","MWC","0-1",0.638861227822603,105.404448517171,74,100.303708703581,174,68.102511968137,174,"15.2-14.8","8.8-9.2",-0.586336136637513,254,2014-11-17
110,"Fresno St.","MWC","0-1",0.638350705650267,105.396716563664,74,100.315645248574,172,68.0791880029301,174,"15.3-14.7","8.8-9.2",-0.595355732131642,241,2014-11-18
111,"Fresno St.","MWC","0-1",0.640396611471819,105.574295269233,70,100.407161805326,177,68.0307827931427,176,"15.3-14.7","8.9-9.1",-0.603171689939887,227,2014-11-19
143,"Fresno St.","MWC","0-2",0.551894280897987,104.219502301226,97,102.348520285416,223,67.1685531741935,227,"12.5-17.5","7.7-10.3",-1.35400566298776,312,2014-11-20
143,"Fresno St.","MWC","0-2",0.551054299105884,104.23413127351,94,102.393118584753,225,67.1431223939385,226,"12.6-17.4","7.7-10.3",-1.34670458681864,299,2014-11-21
145,"Fresno St.","MWC","0-2",0.550373723601268,104.274235704015,92,102.457017682661,226,67.118574403016,217,"12.5-17.5","7.7-10.3",-1.34121606959676,277,2014-11-22
144,"Fresno St.","MWC","0-2",0.551449769694533,104.261288445711,89,102.405559134995,224,67.0574649140614,218,"12.5-17.5","7.7-10.3",-1.33830802457737,265,2014-11-23
151,"Fresno St.","MWC","0-3",0.533195579631486,103.145244571028,111,101.959414626307,213,66.2383827806941,266,"11.8-18.2","7.4-10.6",-2.06768956172331,310,2014-11-24
169,"Fresno St.","MWC","0-4",0.489765362831227,101.430317736776,149,101.792090950823,210,65.4719282231077,300,"10.3-19.7","6.8-11.2",-2.94273127949803,338,2014-11-25
205,"Fresno St.","MWC","0-5",0.423932955140108,100.900768930327,158,103.627491364139,252,64.8044032197539,318,"8.3-21.7","6-12",-3.91422841540175,351,2014-11-26
203,"Fresno St.","MWC","0-5",0.423842099965231,100.894187048172,156,103.624083950907,252,64.7875766061803,315,"8.3-21.7","6-12",-3.90229252728412,351,2014-11-27
202,"Fresno St.","MWC","0-5",0.422574808548766,100.966300377157,156,103.744973122703,252,64.8124611006205,308,"8.4-21.6","6-12",-3.92760072536757,349,2014-11-28
