"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
9,"Gonzaga","WCC","0-0",0.919386575527258,113.665998782694,9,91.9834372624992,20,68.10097691,162,"30.1-6.9","15.4-2.6",0,283,2014-11-13
9,"Gonzaga","WCC","1-0",0.927507151324837,113.932984948441,8,91.2823231280579,18,69.2534215593185,84,"30.6-6.4","15.6-2.4",0.0677833071979069,55,2014-11-14
9,"Gonzaga","WCC","1-0",0.927436696674432,113.946436708409,8,91.3014155933398,17,69.2513402814729,84,"30.6-6.4","15.6-2.4",0.0678653603705276,71,2014-11-15
9,"Gonzaga","WCC","1-0",0.927318714195234,113.905786631569,7,91.2827483540204,16,69.246361711682,88,"30.6-6.4","15.6-2.4",0.0689596420079049,82,2014-11-16
8,"Gonzaga","WCC","2-0",0.936499363682245,114.255655941968,5,90.4167856504953,12,69.036428918394,104,"31.4-5.6","15.8-2.2",0.515059902016816,7,2014-11-17
6,"Gonzaga","WCC","2-0",0.936361470164178,114.247936750909,5,90.4288901671298,13,68.9930318245266,101,"31.3-5.7","15.8-2.2",0.503481616760679,18,2014-11-18
5,"Gonzaga","WCC","3-0",0.955085045311642,115.748855339862,4,88.7296533836874,6,68.9906477337914,96,"32.6-4.4","16.3-1.7",0.609287260548091,13,2014-11-19
5,"Gonzaga","WCC","3-0",0.954874254610786,115.699136847396,4,88.729361059738,7,68.9752982273922,98,"32.6-4.4","16.3-1.7",0.595845421437521,13,2014-11-20
5,"Gonzaga","WCC","3-0",0.954670934084545,115.72117627866,4,88.7826060974164,8,68.9272126812744,96,"32.6-4.4","16.3-1.7",0.602709893618654,17,2014-11-21
5,"Gonzaga","WCC","3-0",0.955107995491887,115.838834923008,4,88.7944971041395,8,68.91217349115,96,"32.6-4.4","16.3-1.7",0.607876349078648,18,2014-11-22
5,"Gonzaga","WCC","3-0",0.954858196259011,115.777877921297,4,88.7926243071075,8,68.8975746224283,91,"32.5-4.5","16.3-1.7",0.610615937575478,18,2014-11-23
5,"Gonzaga","WCC","3-0",0.954764675254381,115.795436313289,4,88.8228299786985,8,68.8996127197668,95,"32.5-4.5","16.3-1.7",0.610785848258727,23,2014-11-24
5,"Gonzaga","WCC","3-0",0.953243769077359,115.606952415664,4,88.9459487145496,10,68.9420223605768,87,"32.5-4.5","16.3-1.7",0.609229530636757,25,2014-11-25
5,"Gonzaga","WCC","4-0",0.955957417382666,116.986321871612,3,89.5183309518693,12,69.0019658399596,82,"32.8-4.2","16.4-1.6",1.1478794772833,11,2014-11-26
5,"Gonzaga","WCC","4-0",0.955077430856629,116.888979746729,3,89.6050220111158,15,69.0438811872857,76,"32.8-4.2","16.4-1.6",1.15783351346187,13,2014-11-27
5,"Gonzaga","WCC","5-0",0.955295239334187,117.206611882479,2,89.808767128458,16,68.8197579241496,89,"33-4","16.4-1.6",1.69963016386651,3,2014-11-28
5,"Gonzaga","WCC","5-0",0.955267134041766,117.253498858673,2,89.8498340788027,15,68.7425325105269,92,"32.9-4.1","16.3-1.7",1.70388042635522,3,2014-11-29
5,"Gonzaga","WCC","5-0",0.955366508142506,117.295285102575,2,89.8636610082448,16,68.7888174357599,77,"32.9-4.1","16.3-1.7",1.69282945371843,4,2014-11-30
5,"Gonzaga","WCC","5-0",0.955918882577746,117.367322902175,2,89.8170192671225,16,68.7766665933115,78,"33-4","16.3-1.7",1.69310824542023,4,2014-12-01
6,"Gonzaga","WCC","6-0",0.949476523242816,118.125785465343,2,91.5298779078657,24,67.430294033218,152,"32.6-4.4","16.2-1.8",1.71767711393406,6,2014-12-02
6,"Gonzaga","WCC","6-0",0.950521868686453,118.349072498352,2,91.5275668817564,23,67.4946642131309,143,"32.6-4.4","16.2-1.8",1.72621395408963,8,2014-12-03
6,"Gonzaga","WCC","6-0",0.948958335346801,118.206369616146,2,91.677977943806,24,67.5088488021648,139,"32.5-4.5","16.1-1.9",1.73659316419713,9,2014-12-04
6,"Gonzaga","WCC","6-0",0.948996908981728,118.209388801136,2,91.6739686225683,25,67.5300244072116,136,"32.5-4.5","16.2-1.8",1.74813569664489,9,2014-12-05
