"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
351,"Grambling St.","SWAC","0-0",0.0427122656579565,88.0879430121097,347,115.438419409457,351,68.23030055,148,"4-23","3.6-14.4",0,149,2014-11-13
351,"Grambling St.","SWAC","0-1",0.0389606667966843,87.4939848503751,347,115.619651471692,351,68.2263841016879,151,"3.8-23.2","3.4-14.6",-0.39342739089455,285,2014-11-14
351,"Grambling St.","SWAC","0-1",0.0388990692809099,87.4964695774292,347,115.639488918003,351,68.2245773496342,153,"3.8-23.2","3.4-14.6",-0.393117720710567,269,2014-11-15
351,"Grambling St.","SWAC","0-1",0.0393755797058099,87.5742864062679,347,115.614873471279,351,68.2136463042565,161,"3.9-23.1","3.5-14.5",-0.389028893486502,242,2014-11-16
351,"Grambling St.","SWAC","0-1",0.0392940302837353,87.5609888507293,346,115.619013294208,351,68.209639100121,160,"3.8-23.2","3.4-14.6",-0.386191018168351,217,2014-11-17
351,"Grambling St.","SWAC","0-1",0.0392130101636989,87.5532277692758,346,115.630364525186,351,68.1895855550799,162,"3.8-23.2","3.4-14.6",-0.395072239455902,202,2014-11-18
351,"Grambling St.","SWAC","0-1",0.039153551287399,87.5422886856126,346,115.63179649445,351,68.1613098747675,160,"3.8-23.2","3.4-14.6",-0.402876711744658,185,2014-11-19
351,"Grambling St.","SWAC","0-2",0.0359113962121243,86.6119550285311,347,115.299833887954,351,67.9924780851473,172,"3.6-23.4","3.3-14.7",-0.68344135832263,226,2014-11-20
351,"Grambling St.","SWAC","0-2",0.0357360557578344,86.618650479278,347,115.359658543727,351,68.0276189292031,161,"3.7-23.3","3.3-14.7",-0.675982104731126,217,2014-11-21
351,"Grambling St.","SWAC","0-2",0.0356900993149695,86.6289441298116,347,115.38675666818,351,67.9981542727455,161,"3.8-23.2","3.4-14.6",-0.670427910170922,195,2014-11-22
351,"Grambling St.","SWAC","0-2",0.0356528828648324,86.6271682675014,347,115.395246994346,351,67.9822732052373,156,"3.8-23.2","3.5-14.5",-0.667503367031763,190,2014-11-23
351,"Grambling St.","SWAC","0-3",0.0284092927173411,85.7042557626182,349,116.51871494968,351,67.5812081232204,175,"3.3-23.7","3-15",-1.51517453955482,270,2014-11-24
351,"Grambling St.","SWAC","0-3",0.0288576739488617,85.850979515574,349,116.554685842354,351,67.5175313741643,173,"3.3-23.7","3-15",-1.51732438061401,256,2014-11-25
351,"Grambling St.","SWAC","0-4",0.029515801729548,86.1177262259573,348,116.680921099207,351,66.5148902228046,246,"3.4-23.6","3.1-14.9",-1.66600732966432,257,2014-11-26
351,"Grambling St.","SWAC","0-4",0.0294999259030485,86.112671935556,348,116.679697665033,351,66.4981390182638,241,"3.3-23.7","3.1-14.9",-1.65560169016266,256,2014-11-27
351,"Grambling St.","SWAC","0-4",0.0294965846933693,86.1522092975528,348,116.734454130269,351,66.4571371771605,231,"3.4-23.6","3.1-14.9",-1.67771365025895,250,2014-11-28
351,"Grambling St.","SWAC","0-4",0.029503659405307,86.1714195943684,348,116.757974786366,351,66.4960027527864,214,"3.5-23.5","3.2-14.8",-1.67450502178322,229,2014-11-29
351,"Grambling St.","SWAC","0-4",0.0294494089420722,86.1756797517412,348,116.78300313255,351,66.4665180412438,209,"3.5-23.5","3.2-14.8",-1.68311279369397,217,2014-11-30
351,"Grambling St.","SWAC","0-4",0.0294918459505885,86.1819572276783,348,116.77644301469,351,66.4431496288022,206,"3.5-23.5","3.2-14.8",-1.68288535142254,212,2014-12-01
351,"Grambling St.","SWAC","0-4",0.0295185354962418,86.2150966568855,348,116.811878941064,351,66.5412320828836,197,"3.6-23.4","3.3-14.7",-1.68360459888099,206,2014-12-02
351,"Grambling St.","SWAC","0-5",0.026441911421959,85.0473933291229,348,116.369969973216,351,64.9185689610157,279,"3.3-23.7","3.1-14.9",-2.48577424417061,265,2014-12-03
351,"Grambling St.","SWAC","0-5",0.0263726762165131,85.0252846689407,348,116.366965060678,351,64.9018171321856,279,"3.3-23.7","3.1-14.9",-2.47636908662727,264,2014-12-04
351,"Grambling St.","SWAC","0-5",0.0263198053750118,85.0147789896424,348,116.373441824218,351,64.8970177796803,277,"3.3-23.7","3.1-14.9",-2.465944124269,264,2014-12-05
351,"Grambling St.","SWAC","0-5",0.0263434609383622,84.9662205436781,349,116.297640900874,351,64.9870686467662,264,"3.3-23.7","3.1-14.9",-2.48337857157006,247,2014-12-06
351,"Grambling St.","SWAC","0-5",0.0263759887116858,84.9658513186546,349,116.284319236343,351,64.9882424543662,263,"3.3-23.7","3.1-14.9",-2.4685051391093,243,2014-12-07
351,"Grambling St.","SWAC","0-5",0.0268337468828329,85.0841500284455,349,116.267372453887,351,65.1943535406165,255,"3.3-23.7","3.1-14.9",-2.47879586954313,243,2014-12-08
351,"Grambling St.","SWAC","0-5",0.0267519533740295,85.049125304869,349,116.251216775754,351,65.1783539884987,254,"3.3-23.7","3.1-14.9",-2.46947096884559,242,2014-12-09
351,"Grambling St.","SWAC","0-5",0.0270665686997341,85.1519335786112,349,116.270200276005,351,65.1768192966589,254,"3.4-23.6","3.1-14.9",-2.48202740100917,240,2014-12-10
351,"Grambling St.","SWAC","0-5",0.0272364815459713,85.1972427179395,349,116.267014223361,351,65.1510514247504,256,"3.4-23.6","3.2-14.8",-2.49325108280234,238,2014-12-11
