"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
277,"Grand Canyon","WAC","0-0",0.284155276122973,99.6710759663925,213,108.00940916481,326,68.47647843,126,"14.4-15.6","6.6-7.4",0,184,2014-11-13
287,"Grand Canyon","WAC","0-1",0.270977018542344,98.8763726724837,226,107.76238643677,323,68.5260287766972,129,"13.9-16.1","6.4-7.6",-0.0348013281963263,239,2014-11-14
287,"Grand Canyon","WAC","0-1",0.270689037732603,98.8818179031998,227,107.781987481968,323,68.5242025018459,130,"13.9-16.1","6.3-7.7",-0.0347577607123041,217,2014-11-15
285,"Grand Canyon","WAC","0-1",0.269875948549574,98.8721339298499,225,107.810072965864,324,68.5382783341337,135,"13.9-16.1","6.3-7.7",-0.0341862812532473,196,2014-11-16
273,"Grand Canyon","WAC","1-1",0.297342344276521,97.8099676747921,238,105.404765808,287,68.101115501135,175,"15-15","6.8-7.2",-0.00601336928426556,170,2014-11-17
269,"Grand Canyon","WAC","1-1",0.299720136353036,97.9023108349691,234,105.400158994185,287,68.1430450133548,166,"15-15","6.8-7.2",-0.00824323001688856,147,2014-11-18
268,"Grand Canyon","WAC","1-1",0.298864099228227,97.9001911518422,232,105.435294205833,289,68.1114573852254,166,"15-15","6.8-7.2",-0.0101959842527134,133,2014-11-19
270,"Grand Canyon","WAC","1-2",0.295076311446713,96.8493863280551,247,104.468294443212,272,67.9953406394495,171,"14.2-15.8","6.7-7.3",-0.932257106564546,277,2014-11-20
260,"Grand Canyon","WAC","2-2",0.3093910680745,96.2307906215775,256,103.190072234371,241,67.2898074091605,212,"14.7-15.3","6.9-7.1",-0.927288637808411,261,2014-11-21
261,"Grand Canyon","WAC","2-2",0.311522731568116,96.3007666881017,257,103.175732044611,240,67.2489323524979,208,"14.7-15.3","6.9-7.1",-0.925536607569334,228,2014-11-22
259,"Grand Canyon","WAC","2-2",0.310619265097913,96.3196248658074,254,103.233774036196,243,67.1596938142533,211,"14.7-15.3","7-7",-0.924607547414498,218,2014-11-23
261,"Grand Canyon","WAC","2-2",0.309705252048043,96.3276188824928,254,103.280700018445,241,67.2302828278614,199,"14.8-15.2","7-7",-0.924549925131995,214,2014-11-24
266,"Grand Canyon","WAC","2-3",0.28367917418516,95.7776412338653,261,103.811392730873,258,67.0666489803257,202,"13.8-16.2","6.6-7.4",-1.63656126381129,265,2014-11-25
268,"Grand Canyon","WAC","2-3",0.280821637681971,95.7969156574742,261,103.959718670878,262,67.0844785604198,204,"13.8-16.2","6.6-7.4",-1.64630807928116,255,2014-11-26
269,"Grand Canyon","WAC","2-3",0.28079822790713,95.7852872177088,263,103.948147128441,262,67.0570764135058,200,"13.8-16.2","6.6-7.4",-1.64109285765627,255,2014-11-27
270,"Grand Canyon","WAC","2-3",0.279513500971311,95.6027284611632,261,103.807519530979,255,66.9994504691713,193,"13.8-16.2","6.6-7.4",-1.65211724060786,246,2014-11-28
261,"Grand Canyon","WAC","2-4",0.299161371687378,96.8417560898117,241,104.282532754651,261,66.6802479588127,205,"14.1-15.9","6.9-7.1",-2.16037354972828,271,2014-11-29
262,"Grand Canyon","WAC","2-4",0.294186647567689,96.7562481439853,244,104.406687319321,263,66.8184653355003,190,"14.1-15.9","6.8-7.2",-2.16776654423842,262,2014-11-30
262,"Grand Canyon","WAC","2-4",0.294221694986717,96.7586855017999,246,104.407785017485,264,66.8037122346731,189,"14.1-15.9","6.9-7.1",-2.16757172567804,256,2014-12-01
258,"Grand Canyon","WAC","3-4",0.308090380567913,96.5900855947574,248,103.630255978552,245,66.5311698229399,199,"15-15","7.1-6.9",-2.05178436420741,237,2014-12-02
257,"Grand Canyon","WAC","3-4",0.305323773923071,96.6641263369766,246,103.827095547275,243,66.4440452639149,200,"14.9-15.1","7.1-6.9",-2.04529105546866,231,2014-12-03
257,"Grand Canyon","WAC","3-4",0.304541800696569,96.6235478691743,246,103.816811458999,243,66.4422945420959,198,"15.1-14.9","7.3-6.7",-2.03751947704034,231,2014-12-04
258,"Grand Canyon","WAC","3-4",0.305222318421925,96.6681665983128,245,103.835754495321,244,66.4178659423544,197,"15.1-14.9","7.3-6.7",-2.02886772802489,230,2014-12-05
