"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
73,"Green Bay","Horz","0-0",0.74143163605362,105.377348192398,80,96.1534847621684,76,68.07166366,166,"21.1-9.9","11.9-4.1",0,323,2014-11-13
73,"Green Bay","Horz","0-0",0.740666014762267,105.359092447829,81,96.1701862665045,77,68.07166366,173,"21-10","11.8-4.2",0,222,2014-11-14
73,"Green Bay","Horz","0-0",0.740422920505538,105.353303682547,82,96.1754827984224,78,68.07166366,177,"21.1-9.9","11.8-4.2",0,205,2014-11-15
74,"Green Bay","Horz","0-0",0.740220792818368,105.348493248642,78,96.1798844106214,80,68.07166366,177,"21.1-9.9","11.9-4.1",0,188,2014-11-16
73,"Green Bay","Horz","0-0",0.739811842244676,105.338768397685,76,96.1887833955971,85,68.07166366,178,"21.2-9.8","11.9-4.1",0,166,2014-11-17
75,"Green Bay","Horz","0-0",0.739429107046599,105.329676326953,76,96.1971040820462,84,68.07166366,175,"21.2-9.8","11.9-4.1",0,145,2014-11-18
79,"Green Bay","Horz","0-1",0.731559662590462,105.533767734975,71,96.7231433948502,94,68.126411008043,165,"20.9-10.1","11.9-4.1",-0.0545858032678697,136,2014-11-19
80,"Green Bay","Horz","0-1",0.731378462537789,105.526009755701,69,96.723791749441,94,68.1149941552776,157,"20.8-10.2","11.8-4.2",-0.056321852735868,123,2014-11-20
79,"Green Bay","Horz","0-1",0.730706124943085,105.52586381115,69,96.7524227227095,97,68.1016520059456,156,"20.7-10.3","11.8-4.2",-0.0554259271957668,114,2014-11-21
77,"Green Bay","Horz","0-1",0.732023312539973,105.526688803747,71,96.6967904279483,93,68.1869427592517,140,"20.8-10.2","11.8-4.2",-0.0547645342399949,106,2014-11-22
78,"Green Bay","Horz","0-1",0.731465663798807,105.50230199327,70,96.6983288964745,92,68.1830266473507,137,"20.6-10.4","11.8-4.2",-0.054418221926033,104,2014-11-23
67,"Green Bay","Horz","1-1",0.764224888233033,105.755151621473,64,95.475252947892,82,67.2116777234569,201,"21.7-9.3","12.3-3.7",0.0732904376481588,88,2014-11-24
67,"Green Bay","Horz","2-1",0.766886229940811,105.840841402785,67,95.4294865259184,82,66.7008192880581,235,"22.1-8.9","12.3-3.7",0.342455098513398,46,2014-11-25
52,"Green Bay","Horz","3-1",0.803034581381018,105.707587165535,68,93.5476206012087,46,66.1186179891712,266,"23.4-7.6","12.8-3.2",0.471964216280388,41,2014-11-26
51,"Green Bay","Horz","3-1",0.802616796229968,105.639235665867,67,93.508589656764,47,66.1618504654291,263,"23.4-7.6","12.8-3.2",0.479233344922426,45,2014-11-27
52,"Green Bay","Horz","3-1",0.803472810640428,105.805584147216,69,93.6117696283227,46,66.1015169719085,259,"23.3-7.7","12.8-3.2",0.463766496126556,44,2014-11-28
56,"Green Bay","Horz","3-1",0.802973133989167,105.837693396975,70,93.6659239598663,45,66.0540471966988,245,"23.2-7.8","12.6-3.4",0.466028189725207,44,2014-11-29
53,"Green Bay","Horz","3-1",0.804833469459784,105.9120623008,71,93.635604176704,43,66.1389631503734,234,"23-8","12.5-3.5",0.460260560530064,41,2014-11-30
54,"Green Bay","Horz","3-1",0.805004209645125,105.918514408701,70,93.6324548590314,45,66.1273762695623,230,"23-8","12.5-3.5",0.460401733787669,41,2014-12-01
55,"Green Bay","Horz","3-1",0.804412541106603,105.787868245892,76,93.5475841114692,44,66.1185572235142,227,"22.9-8.1","12.5-3.5",0.459831846378285,43,2014-12-02
59,"Green Bay","Horz","3-1",0.801050168680878,105.583680684835,82,93.5395753624713,43,66.1987471149881,212,"22.9-8.1","12.4-3.6",0.464175474276964,45,2014-12-03
76,"Green Bay","Horz","3-2",0.752762196976568,103.172876558534,121,93.6522742756813,45,66.113140136287,215,"21.2-9.8","11.7-4.3",0.0649405247788459,71,2014-12-04
78,"Green Bay","Horz","3-2",0.752660764868677,103.172630350106,121,93.6564886377692,46,66.1060842252685,214,"21.2-9.8","11.7-4.3",0.0739217231411187,72,2014-12-05
57,"Green Bay","Horz","4-2",0.797344483657997,103.446908039255,117,91.8307562833928,29,66.4310538715875,189,"23.2-7.8","12.4-3.6",0.749968567134004,33,2014-12-06
