"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
225,"Hampton","MEAC","0-0",0.397220477154655,94.2682133848985,302,97.7497011018079,103,71.94762318,7,"20.6-14.4","11.5-4.5",0,262,2014-11-13
240,"Hampton","MEAC","0-1",0.367086381606256,93.6151434244648,310,98.1562476425387,114,71.8270996032528,10,"20-15","11.3-4.7",-0.16111279355241,251,2014-11-14
238,"Hampton","MEAC","0-1",0.366705150894893,93.6272862925755,309,98.1829908068815,114,71.8252227666461,10,"20-15","11.2-4.8",-0.160937464170742,230,2014-11-15
236,"Hampton","MEAC","0-2",0.36862635306043,93.1620095985095,313,97.6248980725967,109,71.2667354016919,20,"20.1-14.9","11.3-4.7",-0.427943542871921,252,2014-11-16
236,"Hampton","MEAC","0-2",0.370364982959203,93.2164587395603,310,97.6185852549532,112,71.1860225195764,23,"20.2-14.8","11.4-4.6",-0.424008196553906,225,2014-11-17
237,"Hampton","MEAC","0-2",0.369850205197119,93.2106957212675,310,97.6312946275399,112,71.1451665097063,23,"20.3-14.7","11.4-4.6",-0.436375712212537,211,2014-11-18
236,"Hampton","MEAC","0-2",0.369229084221298,93.1831000998218,307,97.6250195224935,113,71.0979787048736,24,"20.4-14.6","11.4-4.6",-0.447370649731475,197,2014-11-19
234,"Hampton","MEAC","0-2",0.36555456459963,93.1847573048127,309,97.7610658044161,119,71.0687257710041,21,"20.1-14.9","11.4-4.6",-0.458765198590622,190,2014-11-20
228,"Hampton","MEAC","1-2",0.380160874107849,94.5143560012442,291,98.618786685326,135,70.8680677790926,27,"20.7-14.3","11.6-4.4",-0.441317801514566,179,2014-11-21
232,"Hampton","MEAC","1-3",0.36672103738917,95.5385993795961,274,100.18670836479,172,69.7902608037023,51,"19.9-15.1","11.4-4.6",-1.25140436164104,270,2014-11-22
232,"Hampton","MEAC","1-3",0.365928560755287,95.4887715716327,270,100.164186956465,173,69.769625811101,49,"20-15","11.4-4.6",-1.24802287945268,259,2014-11-23
254,"Hampton","MEAC","1-4",0.321867519092464,95.6078009983019,266,102.00834733983,215,69.7612269829993,45,"18.3-16.7","10.8-5.2",-2.13228518429758,313,2014-11-24
255,"Hampton","MEAC","1-4",0.322561865248927,95.6615949343989,263,102.037528808132,217,69.6772323537815,45,"18.2-16.8","10.8-5.2",-2.13454065802805,303,2014-11-25
252,"Hampton","MEAC","1-5",0.321866524736784,97.1462894622837,239,103.649872295437,255,69.0212561698129,80,"17.9-17.1","10.8-5.2",-3.08377521952287,335,2014-11-26
254,"Hampton","MEAC","1-5",0.321687968722846,97.1300871283496,236,103.639958555809,254,69.0038985339196,79,"17.8-17.2","10.8-5.2",-3.07354570193258,333,2014-11-27
254,"Hampton","MEAC","1-5",0.323302968726016,97.3185146326655,234,103.774292907327,253,68.9132676469822,84,"17.6-17.4","10.6-5.4",-3.09527142038437,324,2014-11-28
251,"Hampton","MEAC","1-5",0.322864709386972,97.4880227974457,227,103.973161847901,250,68.9474290795177,74,"17.4-17.6","10.6-5.4",-3.09211683551351,315,2014-11-29
250,"Hampton","MEAC","1-5",0.325169000551925,97.5006767733071,226,103.891571635642,249,69.0234281410568,67,"17.6-17.4","10.7-5.3",-3.1004630792931,313,2014-11-30
249,"Hampton","MEAC","1-5",0.325217432892722,97.4862752324254,227,103.874232557116,251,69.010042495259,69,"17.7-17.3","10.7-5.3",-3.10024692053901,313,2014-12-01
253,"Hampton","MEAC","2-5",0.316327516647722,96.5798627638664,249,103.274214276409,233,68.585440169608,86,"17.7-17.3","10.5-5.5",-3.05803346852113,305,2014-12-02
254,"Hampton","MEAC","2-5",0.316109791860469,96.5414180637998,250,103.242144291706,232,68.7783380276891,72,"17.8-17.2","10.6-5.4",-3.05139463044271,292,2014-12-03
250,"Hampton","MEAC","2-5",0.317185407757206,96.5595066942907,248,103.216862894785,232,68.8280541614428,69,"17.8-17.2","10.6-5.4",-3.04340728557063,289,2014-12-04
252,"Hampton","MEAC","2-5",0.316878195211737,96.5421397432654,248,103.211031756316,232,68.8204633262262,70,"17.8-17.2","10.6-5.4",-3.03453127929488,288,2014-12-05
247,"Hampton","MEAC","3-5",0.32431455437462,95.267598192759,272,101.546521995661,191,68.828631452481,71,"18.1-16.9","10.8-5.2",-3.03463120438753,273,2014-12-06
250,"Hampton","MEAC","3-5",0.317738349015631,95.1934451719957,272,101.73403982645,192,68.8949505231302,68,"17.8-17.2","10.7-5.3",-3.02177061712816,270,2014-12-07
258,"Hampton","MEAC","4-5",0.302495760771465,94.7705736144206,278,101.911626224091,197,68.2692832650448,92,"17.5-17.5","10.6-5.4",-3.01739634440863,269,2014-12-08
259,"Hampton","MEAC","4-5",0.301701031164256,94.7989851453012,280,101.97559841905,198,68.3724994642526,83,"17.5-17.5","10.6-5.4",-3.00915123619633,267,2014-12-09
258,"Hampton","MEAC","4-5",0.298856855927999,94.7612244626306,280,102.055036817469,200,68.2047899705261,91,"17.6-17.4","10.7-5.3",-3.02023103573983,267,2014-12-10
257,"Hampton","MEAC","4-5",0.298657237825599,94.7752549865939,280,102.078604585167,200,68.2116049125816,88,"17.6-17.4","10.7-5.3",-3.03008534317035,266,2014-12-11
259,"Hampton","MEAC","4-5",0.295893307432444,94.7335839226909,281,102.151179980492,202,68.2015494990869,90,"17.5-17.5","10.6-5.4",-3.02921518980759,265,2014-12-12
261,"Hampton","MEAC","4-5",0.301857106874009,94.9149225185932,277,102.093736552416,206,68.2664547244061,84,"17.7-17.3","10.8-5.2",-3.03455993841599,255,2014-12-13
260,"Hampton","MEAC","4-5",0.300472602704071,94.8719131581026,278,102.105865017818,205,68.0341559076665,92,"17.8-17.2","10.8-5.2",-3.0391833702344,249,2014-12-14
262,"Hampton","MEAC","4-5",0.301162169821465,94.8951217535497,275,102.101730707082,203,68.0668587005733,91,"17.9-17.1","10.9-5.1",-3.02720968844065,249,2014-12-15
259,"Hampton","MEAC","4-5",0.308676971200198,95.090877528019,273,101.997378823349,201,68.3918022944107,82,"18-17","11-5",-3.01226385953586,246,2014-12-16
262,"Hampton","MEAC","4-6",0.301558568744897,94.6730470343289,282,101.846115629289,195,67.7010095764433,114,"17.7-17.3","10.8-5.2",-3.39923101781727,259,2014-12-17
260,"Hampton","MEAC","4-6",0.30157741443218,94.6987215489094,281,101.872942797758,199,67.6893617713628,111,"17.8-17.2","10.8-5.2",-3.399074012977,257,2014-12-18
264,"Hampton","MEAC","5-6",0.293058096051594,93.8572226708279,292,101.326369344425,184,67.8751166529554,99,"17.6-17.4","10.6-5.4",-3.36238318317396,251,2014-12-19
267,"Hampton","MEAC","5-6",0.289749774789289,93.9517313282316,289,101.569809393106,189,67.8668283444726,97,"17.3-17.7","10.4-5.6",-3.3953282571492,244,2014-12-20
258,"Hampton","MEAC","6-6",0.303458069688539,94.2632877039961,285,101.325958307603,186,68.6144277386273,66,"18-17","10.6-5.4",-3.32779277104067,232,2014-12-21
259,"Hampton","MEAC","6-6",0.30569553759807,94.5603881434199,277,101.551993035844,192,68.5008326797016,71,"17.8-17.2","10.5-5.5",-3.31912071242576,224,2014-12-22
260,"Hampton","MEAC","6-6",0.30330141306066,94.4552505885338,281,101.538848649728,192,68.5335959695892,71,"17.6-17.4","10.3-5.7",-3.32475375795048,222,2014-12-23
260,"Hampton","MEAC","6-6",0.30330141306135,94.4552505885472,281,101.538848649713,192,68.5334246303143,71,"17.6-17.4","10.3-5.7",-3.32475375794788,222,2014-12-24
260,"Hampton","MEAC","6-6",0.303361572109322,94.4485218486186,281,101.529101929372,192,68.5348575225896,71,"17.6-17.4","10.3-5.7",-3.32062549259715,222,2014-12-25
260,"Hampton","MEAC","6-6",0.303716256702254,94.4493511690475,281,101.515182026882,192,68.5351606348962,71,"17.6-17.4","10.3-5.7",-3.32031690592839,222,2014-12-26
259,"Hampton","MEAC","6-6",0.304805253616697,94.5164329514227,278,101.541848464897,191,68.7155068909411,66,"17.6-17.4","10.4-5.6",-3.36779570120093,221,2014-12-27
256,"Hampton","MEAC","6-6",0.305439803898075,94.4194126905836,280,101.411221273288,185,68.7015031840276,67,"17.6-17.4","10.4-5.6",-3.37328352799604,216,2014-12-28
285,"Hampton","MEAC","6-7",0.243292089986372,93.3631438718993,298,103.045176200748,220,69.2354600957921,53,"15.9-19.1","9.5-6.5",-4.20042145858762,250,2014-12-29
284,"Hampton","MEAC","6-7",0.249117682089956,93.4650192963925,293,102.876415477849,220,69.3230477214614,46,"15.9-19.1","9.5-6.5",-4.21494665006278,242,2014-12-30
