"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
32,"Harvard","Ivy","0-0",0.835953216809279,107.898734671771,48,93.6525183137474,34,66.8581357,265,"21.3-6.7","11.3-2.7",0,210,2014-11-13
33,"Harvard","Ivy","0-0",0.835405342212521,107.880042118075,46,93.6687854094696,37,66.8581357,265,"21.2-6.8","11.2-2.8",0,182,2014-11-14
33,"Harvard","Ivy","0-0",0.835231298673466,107.874114843761,46,93.6739441778042,37,66.8581357,266,"21.2-6.8","11.3-2.7",0,175,2014-11-15
41,"Harvard","Ivy","0-1",0.81981308517525,106.121110349347,63,93.0218826384037,34,67.1366811601618,247,"20-8","11.1-2.9",-0.894043654035233,324,2014-11-16
41,"Harvard","Ivy","0-1",0.819506917389773,106.096263804642,64,93.0168547505015,34,67.1321276022726,243,"20-8","11.2-2.8",-0.892899155909485,309,2014-11-17
41,"Harvard","Ivy","0-1",0.819188256525262,106.08827084332,62,93.0272607532415,35,67.1093481934105,244,"20-8","11.2-2.8",-0.896231234247042,300,2014-11-18
42,"Harvard","Ivy","0-1",0.820348453857523,106.105675719264,62,92.9790122262073,37,67.0507471825076,242,"20.1-7.9","11.3-2.7",-0.899423034393025,282,2014-11-19
39,"Harvard","Ivy","1-1",0.832076566815423,105.634231379414,66,91.910551793573,24,67.0996517606468,231,"20.5-7.5","11.5-2.5",-0.870398290120594,259,2014-11-20
38,"Harvard","Ivy","1-1",0.83157796693739,105.643392944856,66,91.9470159863984,25,67.0700367251321,234,"20.4-7.6","11.4-2.6",-0.868388386255173,247,2014-11-21
36,"Harvard","Ivy","1-1",0.831415546875244,105.675987800268,68,91.9846568610126,25,67.0494576140318,223,"20.4-7.6","11.5-2.5",-0.866848325179013,221,2014-11-22
37,"Harvard","Ivy","1-1",0.831030856469753,105.693393498388,65,92.0217467447496,24,66.9900639903529,226,"20.3-7.7","11.4-2.6",-0.866026636854854,212,2014-11-23
38,"Harvard","Ivy","1-1",0.830680242535562,105.701890523702,65,92.0491120246646,23,66.9880491518801,220,"20.3-7.7","11.4-2.6",-0.865973346563362,206,2014-11-24
33,"Harvard","Ivy","2-1",0.844429817295861,106.7753757765,58,92.1700054170435,26,66.6245128918408,240,"20.8-7.2","11.6-2.4",-0.775098641559117,176,2014-11-25
34,"Harvard","Ivy","2-1",0.843759850115302,106.767301995309,58,92.2038451528494,29,66.6254984246687,238,"20.7-7.3","11.5-2.5",-0.780916739744712,171,2014-11-26
34,"Harvard","Ivy","2-1",0.843557581000155,106.749057334893,59,92.200383184969,29,66.6151567070124,236,"20.7-7.3","11.6-2.4",-0.77783741329872,165,2014-11-27
33,"Harvard","Ivy","2-1",0.842089827612084,106.814836580343,56,92.3461265167983,31,66.5362899236822,226,"20.6-7.4","11.6-2.4",-0.784345650462195,152,2014-11-28
39,"Harvard","Ivy","3-1",0.834808122101898,107.361434292716,54,93.2536570458067,38,66.0156419593305,249,"20.6-7.4","11.5-2.5",-0.635432624226245,134,2014-11-29
40,"Harvard","Ivy","3-1",0.834437231609979,107.380216468445,51,93.2917670412423,38,65.9917755816252,241,"20.6-7.4","11.5-2.5",-0.639463160014724,132,2014-11-30
40,"Harvard","Ivy","3-1",0.834362543462459,107.381184415541,51,93.2969930611746,40,65.9750352067627,242,"20.6-7.4","11.5-2.5",-0.639359504838049,133,2014-12-01
42,"Harvard","Ivy","3-1",0.83187162785262,107.390621021303,52,93.4506689044872,41,65.9506676745711,239,"20.7-7.3","11.5-2.5",-0.639712860958689,127,2014-12-02
31,"Harvard","Ivy","4-1",0.853069846311524,107.366349145408,54,92.1391898593697,31,65.3050639565947,264,"21.4-6.6","11.8-2.2",-0.457593084538988,115,2014-12-03
31,"Harvard","Ivy","4-1",0.853669298956533,107.411841415723,53,92.1398387959854,31,65.3277445826106,263,"21.4-6.6","11.9-2.1",-0.452279319158327,112,2014-12-04
32,"Harvard","Ivy","4-1",0.853367389000971,107.403261951156,53,92.1518274375683,32,65.3104892211376,260,"21.2-6.8","11.8-2.2",-0.446332559976737,110,2014-12-05
31,"Harvard","Ivy","5-1",0.851692819414501,105.790829794521,75,90.8735551184629,21,64.2328283923771,304,"21.4-6.6","11.7-2.3",-0.0865130418326353,80,2014-12-06
34,"Harvard","Ivy","5-1",0.849641149295476,105.575117724481,79,90.8157148156984,22,64.2400238930307,303,"21.3-6.7","11.6-2.4",-0.0739449972322594,80,2014-12-07
39,"Harvard","Ivy","6-1",0.841299833249548,105.384207296301,80,91.1562687379417,23,63.4016544418667,317,"21.4-6.6","11.6-2.4",-0.0232091632201585,75,2014-12-08
39,"Harvard","Ivy","6-1",0.839361742595912,105.199899162594,82,91.1112130971129,23,63.4340259985035,318,"21.3-6.7","11.6-2.4",-0.014675569804932,73,2014-12-09
40,"Harvard","Ivy","6-1",0.839076809037193,105.18524428883,83,91.1152505277417,23,63.4231249743808,317,"21.2-6.8","11.5-2.5",-0.026142221445416,70,2014-12-10
40,"Harvard","Ivy","6-1",0.83861524427578,105.184414315391,84,91.1415875944598,23,63.423265290048,317,"21.2-6.8","11.5-2.5",-0.0362873442779655,71,2014-12-11
41,"Harvard","Ivy","6-1",0.838050029765916,105.172116347488,85,91.163985308562,23,63.401840213349,317,"21.2-6.8","11.5-2.5",-0.0353939624446612,71,2014-12-12
