"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
184,"Hawaii","BW","0-0",0.469160367677763,102.942358548072,126,104.053966000336,252,70.08184221,43,"15.9-17.1","7.6-8.4",0,170,2014-11-13
176,"Hawaii","BW","1-0",0.488806862294046,103.040919446502,118,103.442934313851,243,70.3234825346052,38,"16.5-16.5","7.9-8.1",0.0140032438347498,102,2014-11-14
184,"Hawaii","BW","2-0",0.47767704213997,102.486960362846,130,103.286351928088,234,70.447897488846,36,"16.4-16.6","7.8-8.2",0.0664064659224373,72,2014-11-15
183,"Hawaii","BW","2-0",0.477319753382884,102.398223655136,131,103.209774637654,234,70.4395310355769,38,"16.4-16.6","7.7-8.3",0.0675047639604212,84,2014-11-16
181,"Hawaii","BW","2-0",0.476928781814293,102.316394932879,131,103.141352054896,234,70.7540010430843,30,"16.4-16.6","7.8-8.2",0.0682797084817083,96,2014-11-17
185,"Hawaii","BW","2-1",0.464366821181187,100.96911674616,156,102.23048198571,215,70.094746688753,48,"15.6-17.4","7.6-8.4",-0.829089108816541,283,2014-11-18
187,"Hawaii","BW","2-1",0.463628936641305,100.927383132678,157,102.214594273606,219,70.0241007909389,50,"15.5-17.5","7.6-8.4",-0.834129318876849,265,2014-11-19
189,"Hawaii","BW","2-1",0.461474589993322,100.999674281454,160,102.364917103505,225,69.9895473141838,50,"15.4-17.6","7.6-8.4",-0.83912204210044,253,2014-11-20
168,"Hawaii","BW","3-1",0.49778876480562,103.386217331144,114,103.465765390914,248,69.0910292619021,86,"16.9-16.1","7.9-8.1",-0.550481074997422,191,2014-11-21
170,"Hawaii","BW","3-1",0.492901427080929,103.342561869311,114,103.598054219623,250,69.095862767859,83,"16.8-16.2","7.9-8.1",-0.54595458985081,174,2014-11-22
172,"Hawaii","BW","3-1",0.491075677665986,103.322139216498,112,103.643395187514,254,69.218986120078,74,"16.8-16.2","7.9-8.1",-0.543549871623536,169,2014-11-23
174,"Hawaii","BW","3-2",0.480250673930352,102.74858658996,122,103.45720035091,247,69.9504988359447,38,"16.4-16.6","7.7-8.3",-1.26955305488309,250,2014-11-24
164,"Hawaii","BW","4-2",0.499985754456332,101.891415803186,136,101.89192067352,215,69.6581911131204,46,"17.1-15.9","8-8",-1.2206111669522,230,2014-11-25
155,"Hawaii","BW","5-2",0.517187414595122,102.655585405042,118,102.043476901028,214,69.3570154485563,62,"18-15","8.4-7.6",-1.11368788357337,205,2014-11-26
153,"Hawaii","BW","5-2",0.517066469290419,102.640937296293,117,102.033213413176,215,69.3334925775129,63,"17.8-15.2","8.2-7.8",-1.10289944253683,195,2014-11-27
151,"Hawaii","BW","5-2",0.517164059396524,102.817374400819,115,102.20513243693,216,69.2630598140643,63,"17.9-15.1","8.2-7.8",-1.12575456416132,191,2014-11-28
150,"Hawaii","BW","5-2",0.516624540018573,102.885153521045,115,102.291724046956,213,69.1546591299164,66,"17.7-15.3","8.1-7.9",-1.12244399364189,180,2014-11-29
149,"Hawaii","BW","5-2",0.521361615302768,103.016101149223,120,102.253052231983,207,69.1698931830927,62,"17.7-15.3","8.2-7.8",-1.13106068934365,176,2014-11-30
150,"Hawaii","BW","5-2",0.520785294911249,102.96104636524,120,102.218930380297,207,69.2131486994636,61,"17.7-15.3","8.1-7.9",-1.13084296983421,174,2014-12-01
155,"Hawaii","BW","5-2",0.516106390986929,102.831492218118,127,102.256819670378,205,69.2798178396539,60,"17.7-15.3","8.1-7.9",-1.13163395160703,168,2014-12-02
148,"Hawaii","BW","6-2",0.5335576274181,102.594763367437,132,101.402434597775,189,69.0940881141062,64,"18.2-14.8","8.4-7.6",-1.09134513708922,156,2014-12-03
