"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
172,"High Point","BSth","0-0",0.501070118094907,105.207887552983,84,105.168734827506,276,66.58756249,285,"17.4-12.6","11.4-6.6",0,302,2014-11-13
179,"High Point","BSth","1-0",0.485547689735322,104.891155875684,87,105.419907393829,285,66.3902214203689,296,"17.3-12.7","11.2-6.8",0.0951234763592468,40,2014-11-14
177,"High Point","BSth","2-0",0.485937362273348,105.391326497291,81,105.90823207724,295,66.0423364552792,308,"17.5-12.5","11.2-6.8",0.12159814949708,39,2014-11-15
175,"High Point","BSth","2-0",0.485685019578418,105.297064921583,79,105.822803473599,296,66.03490659623,308,"17.4-12.6","11.1-6.9",0.123555318213307,46,2014-11-16
175,"High Point","BSth","2-0",0.48554635971108,105.210082075514,78,105.7404902443,296,66.3141820216499,295,"17.2-12.8","11-7",0.124926739926735,58,2014-11-17
171,"High Point","BSth","3-0",0.498472424174893,104.375422498875,93,104.430895275931,270,65.6004763956367,319,"18.3-11.7","11.2-6.8",0.592904549785741,14,2014-11-18
169,"High Point","BSth","3-0",0.497721880528179,104.330859709736,96,104.413563709988,271,65.5369498069174,319,"18.2-11.8","11.2-6.8",0.580985599839911,16,2014-11-19
169,"High Point","BSth","3-0",0.495444594099737,104.40809068643,93,104.573659876421,275,65.5058911972402,315,"18.2-11.8","11.2-6.8",0.569254321332246,18,2014-11-20
171,"High Point","BSth","3-0",0.493760861308383,104.345258743658,92,104.571959726051,274,65.6278898187691,309,"18.2-11.8","11.2-6.8",0.575236136417815,21,2014-11-21
203,"High Point","BSth","3-1",0.434900515290902,104.300180782877,91,106.702614328274,309,64.8498700240228,327,"16.9-13.1","10.5-7.5",0.210346432252368,60,2014-11-22
204,"High Point","BSth","3-1",0.432125465429754,104.269361334607,88,106.775952799523,312,64.9561010055819,325,"17-13","10.5-7.5",0.214302634330546,65,2014-11-23
204,"High Point","BSth","3-1",0.430851013655759,104.284322385542,88,106.839529503084,311,64.8956227846436,325,"16.9-13.1","10.5-7.5",0.214550404473814,70,2014-11-24
203,"High Point","BSth","3-1",0.433902305051654,104.446896913914,85,106.890465988308,311,64.8339047966837,322,"17-13","10.6-7.4",0.212338869644947,68,2014-11-25
200,"High Point","BSth","3-1",0.434033794529519,104.321311477961,86,106.756973076174,311,64.8904229424314,316,"17-13","10.6-7.4",0.195508328486372,70,2014-11-26
197,"High Point","BSth","3-1",0.43388503389188,104.310279757017,85,106.751305329543,311,64.8794752635232,312,"17-13","10.6-7.4",0.204503494737346,69,2014-11-27
197,"High Point","BSth","3-2",0.434571386384237,103.715697840824,97,106.117026582184,305,64.763550665512,310,"17-13","10.7-7.3",-0.20202421576354,105,2014-11-28
200,"High Point","BSth","3-2",0.434478519252929,103.768843727907,97,106.174892355259,305,64.6682090482815,309,"16.8-13.2","10.7-7.3",-0.198140205994163,102,2014-11-29
197,"High Point","BSth","3-2",0.432819897937451,103.903137692328,97,106.374750770343,307,64.6484684636572,303,"16.8-13.2","10.6-7.4",-0.208481413573775,100,2014-11-30
195,"High Point","BSth","4-2",0.434435649519229,103.734324354422,101,106.14118294736,301,64.5167044051278,308,"17.1-12.9","10.5-7.5",-0.0586464224282897,87,2014-12-01
196,"High Point","BSth","4-2",0.434466335110541,103.78961708473,98,106.196605297262,301,64.5406075463876,308,"17.1-12.9","10.5-7.5",-0.0596654200148291,86,2014-12-02
190,"High Point","BSth","4-2",0.435211643137904,103.86326833972,102,106.243942620672,298,64.5272787007981,297,"17.1-12.9","10.5-7.5",-0.0507275998414758,83,2014-12-03
190,"High Point","BSth","4-2",0.434954312218205,103.834422960086,102,106.224106386232,299,64.5239948815968,295,"17.1-12.9","10.5-7.5",-0.0400181160533623,83,2014-12-04
189,"High Point","BSth","4-2",0.434668002036428,103.838870232912,101,106.239418391945,298,64.51675727926,295,"17.1-12.9","10.5-7.5",-0.0281257848041631,85,2014-12-05
185,"High Point","BSth","5-2",0.443437120209097,103.802973993286,106,105.874374263663,290,64.2575660623163,300,"17.7-12.3","10.7-7.3",0.102978435148887,62,2014-12-06
186,"High Point","BSth","5-2",0.438901632245914,103.805985630387,107,106.046955750778,293,64.4150958836592,290,"17.6-12.4","10.6-7.4",0.122190535087697,64,2014-12-07
184,"High Point","BSth","5-2",0.439185025061685,103.823766477254,107,106.054508257916,293,64.4153320978874,291,"17.6-12.4","10.6-7.4",0.108875484998669,62,2014-12-08
187,"High Point","BSth","5-2",0.438953028990187,103.798692969304,110,106.037581279921,293,64.411081231193,290,"17.6-12.4","10.6-7.4",0.120946849934623,63,2014-12-09
212,"High Point","BSth","5-3",0.390866050354296,102.62973076881,123,106.6665858089,300,64.5337305247454,284,"16.6-13.4","9.7-8.3",-0.0880664619608903,74,2014-12-10
213,"High Point","BSth","5-3",0.390843240110027,102.640137673397,123,106.678290790991,301,64.5350616666954,281,"16.5-13.5","9.7-8.3",-0.104616708626938,74,2014-12-11
213,"High Point","BSth","5-3",0.391220434585735,102.646896535839,123,106.670621718314,301,64.5311979901418,282,"16.7-13.3","9.8-8.2",-0.103154531473004,74,2014-12-12
213,"High Point","BSth","5-3",0.384432699502695,102.420976611807,131,106.700788169198,305,64.6993639312802,265,"16.6-13.4","9.8-8.2",-0.112079920118248,70,2014-12-13
214,"High Point","BSth","5-3",0.384917993744531,102.429833217013,132,106.690992030138,302,64.5828329780002,265,"16.6-13.4","9.8-8.2",-0.119829937443887,68,2014-12-14
216,"High Point","BSth","5-3",0.385061866158736,102.41863690481,132,106.673693346908,300,64.5940027632812,264,"16.6-13.4","9.8-8.2",-0.0998081705527922,69,2014-12-15
216,"High Point","BSth","5-3",0.383786945495745,102.45088465637,132,106.75728304931,299,64.6693285635876,262,"16.7-13.3","9.8-8.2",-0.0747534195984932,68,2014-12-16
211,"High Point","BSth","5-3",0.388921333790729,102.663212934624,130,106.777265763589,298,64.550726739459,264,"16.8-13.2","10-8",-0.109339177275443,67,2014-12-17
213,"High Point","BSth","5-3",0.386563496715156,102.707576025873,130,106.915704880923,300,64.6097928760182,258,"16.7-13.3","9.9-8.1",-0.10904673829231,67,2014-12-18
212,"High Point","BSth","5-3",0.383595543395662,102.811514422387,127,107.140612076483,306,64.6199297820133,260,"16.6-13.4","9.9-8.1",-0.0782497115161996,66,2014-12-19
201,"High Point","BSth","6-3",0.400879168051381,104.525428468766,98,108.242035493764,315,64.1148460493689,276,"17.6-12.4","10.2-7.8",0.077969378657459,55,2014-12-20
202,"High Point","BSth","6-3",0.402060956322263,104.509224451597,96,108.17898112448,316,64.1003368483278,278,"17.6-12.4","10.2-7.8",0.0556909068917116,55,2014-12-21
199,"High Point","BSth","6-3",0.404759857572218,104.532355381763,92,108.097462542878,316,64.1362837819697,273,"17.5-12.5","10.2-7.8",0.0670246030283573,52,2014-12-22
198,"High Point","BSth","6-3",0.402412417677124,104.419446642237,93,108.072313239963,315,64.1643859329976,274,"17.5-12.5","10.1-7.9",0.0596244944641519,54,2014-12-23
198,"High Point","BSth","6-3",0.402412417677019,104.419446642234,93,108.072313239964,315,64.164251703619,274,"17.5-12.5","10.1-7.9",0.0596244944675833,54,2014-12-24
198,"High Point","BSth","6-3",0.405535319180827,104.460476310543,91,107.992911901062,313,64.1757552351118,274,"17.5-12.5","10.2-7.8",0.0650712811260531,55,2014-12-25
198,"High Point","BSth","6-3",0.405707258718045,104.451680136329,91,107.977121909987,313,64.1759925050285,274,"17.5-12.5","10.2-7.8",0.0654784282425188,55,2014-12-26
196,"High Point","BSth","6-3",0.409827892689006,104.496376994336,89,107.86316531863,312,64.1489334113772,277,"17.6-12.4","10.3-7.7",0.00292427559843944,54,2014-12-27
197,"High Point","BSth","6-3",0.409970706387129,104.632872113917,91,107.998513249842,311,64.1235269791557,279,"17.6-12.4","10.3-7.7",-0.00449305260484578,54,2014-12-28
197,"High Point","BSth","6-3",0.404781613435566,104.621150573529,92,108.188436612798,314,64.0630615713438,279,"17.5-12.5","10.2-7.8",-0.0455822208251986,55,2014-12-29
201,"High Point","BSth","6-3",0.398366161994259,104.435929802016,97,108.247901690215,315,64.1705592813438,275,"17.5-12.5","10.2-7.8",-0.0620779026402565,54,2014-12-30
226,"High Point","BSth","6-4",0.35514543738564,104.291858424045,99,109.844160712895,329,64.4569057353124,252,"16.2-13.8","9.1-8.9",-0.968811022496435,88,2014-12-31
226,"High Point","BSth","6-4",0.35518429994528,104.271967527946,100,109.821590374978,330,64.4584458998125,252,"16.3-13.7","9.1-8.9",-0.986029357841878,88,2015-01-01
223,"High Point","BSth","6-4",0.356522812382725,104.282887679384,100,109.777335676864,332,64.4646972933334,251,"16.3-13.7","9.1-8.9",-0.971302608370095,87,2015-01-02
226,"High Point","BSth","7-4",0.357702402535315,103.677602433894,111,109.091408488993,319,64.8228505490711,229,"17-13","9.8-8.2",-0.742977555941076,82,2015-01-03
223,"High Point","BSth","7-4",0.359286526857525,103.748819187663,110,109.100975626457,320,64.8757477347254,230,"17.1-12.9","9.8-8.2",-0.770954432816619,82,2015-01-04
221,"High Point","BSth","7-4",0.362825703040953,103.769460236164,111,108.977204302272,318,64.8418560491665,233,"17.1-12.9","9.9-8.1",-0.732984567566912,81,2015-01-05
220,"High Point","BSth","7-4",0.363213292187383,103.712417243432,112,108.901424692787,317,64.9250099647229,227,"17.1-12.9","9.9-8.1",-0.734955731547983,80,2015-01-06
219,"High Point","BSth","7-4",0.36479771001525,103.78711527716,113,108.915022290808,316,64.9433489947306,224,"17.1-12.9","9.9-8.1",-0.789860870711911,76,2015-01-07
212,"High Point","BSth","8-4",0.381837714887409,104.671838245554,98,109.149868039631,315,64.1225662569308,248,"17.7-12.3","10.4-7.6",-0.768728571477941,70,2015-01-08
213,"High Point","BSth","8-4",0.382275605153941,104.685811300287,99,109.146833835801,315,64.2875178923889,247,"17.7-12.3","10.4-7.6",-0.76105201506525,70,2015-01-09
210,"High Point","BSth","9-4",0.383226746761435,104.923440687367,96,109.356298973136,316,64.0523927289975,249,"18.1-11.9","10.8-7.2",-0.738394620804268,67,2015-01-10
209,"High Point","BSth","9-4",0.386098601843702,105.082651411223,94,109.406745644025,316,64.0744946521021,248,"18.1-11.9","10.8-7.2",-0.714058593238058,68,2015-01-11
206,"High Point","BSth","9-4",0.388496512884714,105.055914981745,95,109.282839705212,313,64.2304415583116,248,"18.1-11.9","10.8-7.2",-0.724033740982158,68,2015-01-12
203,"High Point","BSth","9-4",0.39167032282567,105.154631898413,94,109.258715141933,313,64.0974501974213,246,"18.2-11.8","10.9-7.1",-0.761641428278869,67,2015-01-13
183,"High Point","BSth","10-4",0.429358229560264,106.625404105456,74,109.295838532995,312,63.9443603490887,255,"19.5-10.5","12.1-5.9",-0.578392899343059,61,2015-01-14
187,"High Point","BSth","10-4",0.429156231975163,106.811458897322,72,109.494403014977,311,63.9989757539584,254,"19.5-10.5","12-6",-0.525588955349683,59,2015-01-15
186,"High Point","BSth","10-4",0.429275422860386,106.820373393451,71,109.498908918107,311,63.9601053978916,254,"19.5-10.5","12-6",-0.526948113726449,59,2015-01-16
185,"High Point","BSth","10-4",0.43583580776261,106.598944985692,77,109.018253523725,306,64.0043311134617,256,"19.5-10.5","12.1-5.9",-0.615373888224005,60,2015-01-17
185,"High Point","BSth","10-4",0.436016033892869,106.621023309655,78,109.033883539126,306,64.0039551479698,256,"19.5-10.5","12.1-5.9",-0.609107019993415,60,2015-01-18
188,"High Point","BSth","11-4",0.431235058132567,105.869909114281,81,108.449198166019,300,64.1232342050506,244,"19.6-10.4","12.2-5.8",-0.523640775757842,59,2015-01-19
188,"High Point","BSth","11-4",0.430461652591218,105.861539110868,83,108.470368882126,301,64.182514572539,244,"19.6-10.4","12.2-5.8",-0.500635231195606,60,2015-01-20
190,"High Point","BSth","11-4",0.425421472963926,105.738762653148,85,108.538710463853,300,64.1957534918281,245,"19.5-10.5","12.2-5.8",-0.490297009173992,60,2015-01-21
194,"High Point","BSth","11-5",0.411759787983036,105.315907746289,95,108.633676544104,305,64.2268471248451,242,"19.1-10.9","11.7-6.3",-1.29511614495154,78,2015-01-22
194,"High Point","BSth","11-5",0.412001233467409,105.323025211011,94,108.631602382209,304,64.0388473217107,242,"19.1-10.9","11.7-6.3",-1.29480651675333,78,2015-01-23
175,"High Point","BSth","12-5",0.458161817407523,105.116195495646,99,106.660712029649,280,63.946424664534,250,"19.9-10.1","12.4-5.6",-1.28412194690649,76,2015-01-24
176,"High Point","BSth","12-5",0.459535046125722,105.120391530099,99,106.613686586537,280,64.0119889407459,247,"19.9-10.1","12.4-5.6",-1.25646942683167,76,2015-01-25
177,"High Point","BSth","13-5",0.457118366497871,105.103476197534,99,106.686799502433,282,63.4817282479124,273,"20.2-9.8","12.6-5.4",-1.22055051831746,74,2015-01-26
177,"High Point","BSth","13-5",0.458074105395634,105.100686312832,100,106.648251585,282,63.4255838340131,275,"20.2-9.8","12.6-5.4",-1.20497332949419,71,2015-01-27
176,"High Point","BSth","13-5",0.46231564374652,105.063112836419,100,106.451954331584,276,63.4005332980766,277,"20.2-9.8","12.6-5.4",-1.12161866747027,71,2015-01-28
166,"High Point","BSth","14-5",0.482061075572856,105.527675074656,93,106.188471331272,266,63.3879697171226,278,"20.5-9.5","12.9-5.1",-1.09927092229631,71,2015-01-29
165,"High Point","BSth","14-5",0.482654735441429,105.525594261778,93,106.16442595709,266,63.3290546416588,277,"20.5-9.5","12.9-5.1",-1.09425753602105,72,2015-01-30
167,"High Point","BSth","14-5",0.48421982523257,105.651553215124,89,106.233236938752,262,63.3499786744609,278,"20.5-9.5","12.9-5.1",-1.06226344662973,72,2015-01-31
165,"High Point","BSth","14-5",0.485265652928836,105.669038075797,90,106.212138619492,263,63.3103071627264,278,"20.5-9.5","12.9-5.1",-1.04947636368078,71,2015-02-01
166,"High Point","BSth","14-5",0.483859905362305,105.708330071012,91,106.303647231863,264,63.344341920278,277,"20.6-9.4","12.9-5.1",-1.05114720110783,71,2015-02-02
176,"High Point","BSth","14-6",0.466711152991087,105.287091906545,99,106.51509482994,268,63.2359377222867,279,"19.7-10.3","12.1-5.9",-1.93193052889473,90,2015-02-03
177,"High Point","BSth","14-6",0.463069922823928,105.179952282748,99,106.542225889618,265,63.2754991352849,279,"19.7-10.3","12.1-5.9",-1.92525411748033,88,2015-02-04
177,"High Point","BSth","14-6",0.461820737723046,105.136154977542,101,106.544407281778,263,63.2591121558606,279,"19.7-10.3","12.1-5.9",-1.92270326049613,89,2015-02-05
176,"High Point","BSth","14-7",0.466336378225899,104.870741361254,108,106.107781437665,252,63.3264353136648,276,"19.4-10.6","11.8-6.2",-2.62271937012125,101,2015-02-06
