"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
249,"Hofstra","CAA","0-0",0.356867073725287,98.1052960201772,239,103.260787334177,230,67.434852,216,"15.6-18.4","7.9-10.1",0,199,2014-11-13
213,"Hofstra","CAA","1-0",0.408442496227844,99.2882167568084,218,102.538288104104,221,67.8270704542443,196,"17.4-16.6","8.8-9.2",0.0144804998784804,100,2014-11-14
213,"Hofstra","CAA","1-0",0.408264039632467,99.3111879225506,214,102.568598945617,219,67.8251888097277,195,"17.5-16.5","8.7-9.3",0.0144990324030817,117,2014-11-15
215,"Hofstra","CAA","1-0",0.407722033291437,99.256009187124,213,102.531615524345,220,67.8206878058485,191,"17.6-16.4","8.8-9.2",0.0147464322814589,130,2014-11-16
216,"Hofstra","CAA","1-1",0.403721951433791,98.4040746641445,231,101.7983174446,203,68.4524028966104,141,"17.5-16.5","8.8-9.2",-0.232853623744503,189,2014-11-17
217,"Hofstra","CAA","1-1",0.401501925344859,98.3641619118261,225,101.838734488511,205,68.4812582195676,138,"17.3-16.7","8.7-9.3",-0.240411638115015,172,2014-11-18
216,"Hofstra","CAA","1-1",0.400799467636304,98.3314715259977,222,101.830778713857,209,68.4286588175222,135,"17.3-16.7","8.6-9.4",-0.247094872377157,156,2014-11-19
220,"Hofstra","CAA","1-1",0.400546867411132,98.4219462553163,220,101.933796681272,214,68.3708033307152,136,"17.3-16.7","8.7-9.3",-0.253986998549837,145,2014-11-20
218,"Hofstra","CAA","2-1",0.407989779456092,98.6903532947163,207,101.937464519396,213,67.9769836230591,165,"18.1-15.9","8.8-9.2",-0.124961796621729,120,2014-11-21
218,"Hofstra","CAA","2-1",0.40774706736845,98.7563970403245,208,102.014595770344,215,67.9381036130974,166,"17.8-16.2","8.6-9.4",-0.120926077053669,110,2014-11-22
192,"Hofstra","CAA","3-1",0.450122017580849,100.015460283614,184,101.771645514642,210,68.7031302133799,107,"19.2-14.8","9.3-8.7",-0.0944564132170596,108,2014-11-23
193,"Hofstra","CAA","3-1",0.447919731940856,100.011533815349,178,101.846454908294,211,68.6444693567103,114,"19-15","9.2-8.8",-0.0943145180922186,103,2014-11-24
179,"Hofstra","CAA","3-2",0.46575546645677,100.666168074107,161,101.874289220044,214,68.627507776901,109,"18.9-15.1","9.5-8.5",-0.951908447531901,198,2014-11-25
176,"Hofstra","CAA","3-2",0.465401465655886,100.610220279442,162,101.83026734314,210,68.6431654967233,107,"18.9-15.1","9.5-8.5",-0.965110408555742,188,2014-11-26
173,"Hofstra","CAA","3-2",0.467936063561113,100.696427790359,159,101.827308519464,210,68.6400222728555,107,"19-15","9.6-8.4",-0.958038206326915,179,2014-11-27
149,"Hofstra","CAA","4-2",0.521280208750254,101.997539697144,134,101.244907313889,188,68.7704268597703,92,"20.6-13.4","10.4-7.6",-0.901541498638686,162,2014-11-28
149,"Hofstra","CAA","4-2",0.519297218628149,101.954028090609,135,101.271658584037,191,68.7477826105199,90,"20.5-13.5","10.3-7.7",-0.899069360985163,154,2014-11-29
152,"Hofstra","CAA","4-2",0.518657061691069,101.976758815689,135,101.316826740513,190,68.7151842661669,87,"20.5-13.5","10.2-7.8",-0.905688091680293,150,2014-11-30
151,"Hofstra","CAA","4-2",0.519779671401523,101.965622144888,136,101.26615418105,191,68.7680737751623,79,"20.5-13.5","10.2-7.8",-0.905513747848212,151,2014-12-01
149,"Hofstra","CAA","5-2",0.523873372033648,103.613270903628,103,102.755801979735,221,68.9521414448695,73,"20.8-13.2","10.4-7.6",-0.846278055544322,144,2014-12-02
154,"Hofstra","CAA","5-2",0.522383634397217,103.717240048521,105,102.912337270586,220,68.8687109716995,69,"20.8-13.2","10.3-7.7",-0.840804187982996,141,2014-12-03
156,"Hofstra","CAA","5-2",0.518301685169766,103.624667085923,109,102.966815011442,221,68.9182399730008,68,"20.7-13.3","10.3-7.7",-0.834249647760629,137,2014-12-04
155,"Hofstra","CAA","5-2",0.517884046469628,103.615196037252,109,102.97238096104,223,68.9103076681578,69,"20.7-13.3","10.3-7.7",-0.82694856864219,137,2014-12-05
151,"Hofstra","CAA","5-2",0.518891358892623,103.624247738398,110,102.945252430439,214,68.876832885026,68,"20.6-13.4","10.2-7.8",-0.839137513414685,129,2014-12-06
141,"Hofstra","CAA","6-2",0.54725472139527,103.577187310581,113,101.883650433331,196,68.4349232628159,81,"21.7-12.3","10.8-7.2",-0.716059811904603,118,2014-12-07
141,"Hofstra","CAA","6-2",0.549539296160977,103.595050732374,112,101.819514329476,194,68.3489600754662,83,"21.7-12.3","10.8-7.2",-0.724481110286578,119,2014-12-08
141,"Hofstra","CAA","6-2",0.549992918169431,103.613549072376,113,101.821468029202,194,68.3285465345862,85,"21.7-12.3","10.8-7.2",-0.716852277216599,116,2014-12-09
120,"Hofstra","CAA","7-2",0.612281547285246,105.090190189002,84,100.99665417891,177,68.7030892275654,70,"23.2-10.8","11.8-6.2",-0.675711492209801,109,2014-12-10
121,"Hofstra","CAA","7-2",0.612341552651239,105.115727752903,85,101.018976519547,177,68.7007262082175,68,"23.2-10.8","11.8-6.2",-0.685473378774465,109,2014-12-11
120,"Hofstra","CAA","7-2",0.616832354950017,105.212660534295,83,100.945573493869,176,68.7131430339589,68,"23.3-10.7","11.9-6.1",-0.684613041950506,109,2014-12-12
122,"Hofstra","CAA","7-2",0.614973098097585,105.232651411249,83,101.033778706007,176,68.788278586086,65,"23.3-10.7","11.9-6.1",-0.689836622021069,108,2014-12-13
123,"Hofstra","CAA","7-2",0.612043017230619,105.256365262622,81,101.165194033332,181,68.8206773508991,64,"23.2-10.8","11.8-6.2",-0.694369674170491,109,2014-12-14
125,"Hofstra","CAA","7-2",0.607906196858951,105.174892264177,82,101.239852233686,184,68.8117736540158,66,"23.1-10.9","11.7-6.3",-0.682651252118506,109,2014-12-15
122,"Hofstra","CAA","7-2",0.608151650038477,105.233222556638,82,101.286928927619,182,68.8049975338403,66,"23.1-10.9","11.7-6.3",-0.667841444196427,109,2014-12-16
121,"Hofstra","CAA","7-2",0.611487945668041,105.263487560296,80,101.192602034852,177,68.8344545636478,65,"23-11","11.7-6.3",-0.688236897515457,106,2014-12-17
121,"Hofstra","CAA","7-2",0.619500646907107,105.492802643878,79,101.114908235895,175,68.8497203222074,62,"23.2-10.8","11.9-6.1",-0.688008176605851,105,2014-12-18
118,"Hofstra","CAA","7-2",0.627099996594662,105.706331643247,78,101.03481552775,173,68.8089864230859,63,"23.4-10.6","12-6",-0.669901420175448,104,2014-12-19
115,"Hofstra","CAA","7-3",0.644820886252541,106.895447054227,70,101.493491383014,188,70.1642539430551,33,"23.5-10.5","12.3-5.7",-1.39306029632111,138,2014-12-20
115,"Hofstra","CAA","7-3",0.649425783973629,106.90908019686,70,101.328595498245,187,70.278610488075,29,"23.6-10.4","12.3-5.7",-1.4078620330901,136,2014-12-21
115,"Hofstra","CAA","7-3",0.652433739008402,106.827470908898,70,101.134758672793,182,70.3085510406525,29,"23.8-10.2","12.5-5.5",-1.40036768327229,130,2014-12-22
115,"Hofstra","CAA","7-4",0.640484785172497,107.754914580431,55,102.47764269377,213,70.2094141279572,29,"22.9-11.1","12.3-5.7",-2.22142763765627,167,2014-12-23
115,"Hofstra","CAA","7-4",0.640484785173924,107.754914580457,55,102.47764269374,213,70.2092408430668,29,"22.9-11.1","12.3-5.7",-2.22142763765361,167,2014-12-24
115,"Hofstra","CAA","7-4",0.640069383611043,107.744325702627,56,102.483643842661,214,70.2095237869714,29,"22.9-11.1","12.3-5.7",-2.21720260022542,167,2014-12-25
115,"Hofstra","CAA","7-4",0.63988212715719,107.736803451013,56,102.483731282337,214,70.2098298871262,29,"22.9-11.1","12.3-5.7",-2.21688655845539,167,2014-12-26
115,"Hofstra","CAA","7-4",0.643066014332508,107.796297536416,54,102.416958496314,214,70.1802574790875,28,"22.9-11.1","12.3-5.7",-2.26502489169817,163,2014-12-27
95,"Hofstra","CAA","8-4",0.697520348061676,109.232159759706,39,101.577475444403,193,69.9904149501096,30,"24.2-9.8","13.2-4.8",-2.20858008190209,161,2014-12-28
99,"Hofstra","CAA","8-4",0.694254805933373,109.09809813962,39,101.589029099538,194,70.0167738555218,30,"24.2-9.8","13.2-4.8",-2.24146710970407,159,2014-12-29
102,"Hofstra","CAA","8-4",0.686860429027894,108.827513701798,41,101.642463316033,195,69.9436380748529,30,"24.2-9.8","13.2-4.8",-2.25456319691333,156,2014-12-30
84,"Hofstra","CAA","9-4",0.732567137881089,109.869457437928,35,100.651897324269,173,69.8627086798117,31,"25.1-8.9","13.8-4.2",-2.22842138062931,147,2014-12-31
85,"Hofstra","CAA","9-4",0.731907028074995,109.865716936198,35,100.677941107798,172,69.8739806246099,31,"25.1-8.9","13.8-4.2",-2.24154099415012,145,2015-01-01
85,"Hofstra","CAA","9-4",0.732645596243288,109.919569478673,36,100.694298216756,173,69.8794807283696,30,"25.1-8.9","13.8-4.2",-2.23032377209039,144,2015-01-02
78,"Hofstra","CAA","10-4",0.74402281188652,109.118318505357,39,99.4496635616639,151,69.534125249316,34,"25.5-8.5","14.2-3.8",-1.96577912129472,124,2015-01-03
78,"Hofstra","CAA","10-4",0.743666261006796,109.167537084843,41,99.5107119803245,151,69.6036564571877,34,"25.5-8.5","14.2-3.8",-1.98799090302898,123,2015-01-04
83,"Hofstra","CAA","11-4",0.730839072561798,107.577976245872,57,98.6281265743184,130,69.7214182371959,32,"25.3-8.7","14.2-3.8",-1.91997418149355,122,2015-01-05
82,"Hofstra","CAA","11-4",0.731703417679556,107.629647442089,55,98.6377658648637,131,69.7071717780781,30,"25.3-8.7","14.2-3.8",-1.92157647442117,120,2015-01-06
82,"Hofstra","CAA","11-4",0.731313929945947,107.614680495248,54,98.6410578469425,135,69.7004118858221,31,"25.3-8.7","14.2-3.8",-1.96637239308806,117,2015-01-07
90,"Hofstra","CAA","12-4",0.713273213743979,108.83637039,46,100.544364337082,169,68.8693182143447,46,"25.3-8.7","14.2-3.8",-1.89297034836111,115,2015-01-08
90,"Hofstra","CAA","12-4",0.713643659303075,108.861355523558,46,100.551600861889,169,69.0506617724237,46,"25.3-8.7","14.2-3.8",-1.88655394003189,114,2015-01-09
85,"Hofstra","CAA","13-4",0.724603603790323,108.364852014206,53,99.6217885881343,148,68.9723243387802,41,"25.7-8.3","14.6-3.4",-1.77948405258924,110,2015-01-10
88,"Hofstra","CAA","13-4",0.725910376540869,108.477262367217,51,99.6682749512899,150,69.0105134877832,42,"25.7-8.3","14.6-3.4",-1.75797900607353,108,2015-01-11
88,"Hofstra","CAA","13-4",0.726235726814014,108.373252848185,53,99.5585488577837,148,69.2120823753563,42,"25.7-8.3","14.6-3.4",-1.76679119836253,108,2015-01-12
87,"Hofstra","CAA","13-4",0.726258613542162,108.404274974204,50,99.586050870436,147,69.0426161391023,42,"25.7-8.3","14.6-3.4",-1.7998918547918,106,2015-01-13
89,"Hofstra","CAA","13-5",0.718804608960302,108.980139189895,48,100.439293484614,165,69.6515914655157,25,"25.2-8.8","14.1-3.9",-2.39472754140673,121,2015-01-14
93,"Hofstra","CAA","13-5",0.714456015829101,108.859783897108,49,100.515368546143,164,69.6672800068553,27,"25.2-8.8","14.1-3.9",-2.34487953642394,121,2015-01-15
92,"Hofstra","CAA","13-5",0.714989512447535,108.895468649557,49,100.525443302323,164,69.6121455797364,27,"25.2-8.8","14.1-3.9",-2.34616493696431,121,2015-01-16
99,"Hofstra","CAA","13-6",0.697804821184249,109.045918436804,49,101.392393884471,178,69.5052706452297,29,"24.1-9.9","13.1-4.9",-3.33964126056406,146,2015-01-17
98,"Hofstra","CAA","13-6",0.697988845342651,109.106504134649,48,101.44102783275,177,69.5132871641672,29,"24.1-9.9","13.1-4.9",-3.33347545074144,147,2015-01-18
101,"Hofstra","CAA","13-6",0.691262606823319,108.839711626385,52,101.472396838595,179,69.4449538336546,29,"24.1-9.9","13.1-4.9",-3.26959903503437,146,2015-01-19
102,"Hofstra","CAA","13-6",0.690764550095381,108.810609233354,52,101.4658436883,180,69.517786316785,29,"24.1-9.9","13.1-4.9",-3.24702565458821,144,2015-01-20
96,"Hofstra","CAA","14-6",0.708152970660193,109.555462678161,46,101.428085545013,176,69.775842564398,24,"24.5-9.5","13.4-4.6",-3.18977752369431,137,2015-01-21
96,"Hofstra","CAA","14-6",0.710519637132467,109.780085878884,43,101.534647133766,178,69.8510771894713,25,"24.7-9.3","13.5-4.5",-3.21767465935423,132,2015-01-22
96,"Hofstra","CAA","14-6",0.710532386926771,109.778034056905,43,101.532202127325,178,69.6525033640334,25,"24.7-9.3","13.5-4.5",-3.21738995537274,132,2015-01-23
98,"Hofstra","CAA","14-7",0.696793866183404,109.087320928656,52,101.473143957589,174,69.4894666002641,27,"23.5-10.5","12.5-5.5",-4.1908390877135,161,2015-01-24
99,"Hofstra","CAA","14-7",0.695987245721744,109.05132805982,52,101.47332096223,174,69.5615688785944,26,"23.5-10.5","12.4-5.6",-4.16524605689468,161,2015-01-25
98,"Hofstra","CAA","14-7",0.696921640443436,109.02398130743,52,101.408891503789,172,69.5750635023075,25,"23.5-10.5","12.4-5.6",-4.17875638533964,159,2015-01-26
98,"Hofstra","CAA","14-7",0.695005901435339,109.01213006504,54,101.477727695663,175,69.5237705497604,26,"23.5-10.5","12.4-5.6",-4.16466114276547,157,2015-01-27
108,"Hofstra","CAA","14-8",0.669162362155959,108.241738024803,60,101.810674361655,183,69.996702661954,19,"22.9-11.1","11.9-6.1",-4.73041287059241,173,2015-01-28
110,"Hofstra","CAA","14-8",0.666524519231532,108.258879185796,62,101.932144044328,181,70.0086645412368,19,"22.8-11.2","11.9-6.1",-4.74368908240588,171,2015-01-29
109,"Hofstra","CAA","14-8",0.6663902029715,108.206996618964,62,101.888646833914,179,69.9446646070181,19,"22.8-11.2","11.9-6.1",-4.73864014178621,170,2015-01-30
120,"Hofstra","CAA","14-9",0.625920574991071,107.472380677432,66,102.767849524853,194,70.1612529197047,17,"21.4-12.6","10.6-7.4",-5.66862389547584,184,2015-01-31
122,"Hofstra","CAA","14-9",0.62407820186633,107.4320312011,69,102.799510681384,193,70.1164010010681,17,"21.4-12.6","10.6-7.4",-5.65557795090205,183,2015-02-01
120,"Hofstra","CAA","14-9",0.626845318237218,107.507881471493,67,102.76647936325,190,70.1661117620258,17,"21.4-12.6","10.6-7.4",-5.65727421680045,183,2015-02-02
120,"Hofstra","CAA","14-9",0.624808507256383,107.451990398103,69,102.790770384443,191,70.118704340709,16,"21.4-12.6","10.6-7.4",-5.61548754371377,184,2015-02-03
119,"Hofstra","CAA","15-9",0.625852706458421,107.213490077075,72,102.52287565372,187,70.1050035702837,16,"21.7-12.3","10.9-7.1",-5.48007967966529,181,2015-02-04
119,"Hofstra","CAA","15-9",0.626299740038203,107.149276600322,73,102.444459483597,186,70.0745279812097,16,"21.8-12.2","10.9-7.1",-5.4774236138256,179,2015-02-05
119,"Hofstra","CAA","15-9",0.623433792105733,107.049992708109,73,102.458406959415,186,70.1066423888996,16,"21.8-12.2","10.9-7.1",-5.48175706315034,178,2015-02-06
122,"Hofstra","CAA","16-9",0.618802402195746,106.931060893519,75,102.519874010633,182,70.0356433207103,17,"21.8-12.2","11-7",-5.48812969073746,170,2015-02-07
122,"Hofstra","CAA","16-9",0.616427620081734,106.877386365328,74,102.558050884228,182,70.0460709796105,16,"21.8-12.2","10.9-7.1",-5.47562966562067,170,2015-02-08
122,"Hofstra","CAA","16-9",0.614342225621354,106.775376946991,78,102.538694766048,180,70.1768587502637,16,"21.8-12.2","10.9-7.1",-5.47119913276148,169,2015-02-09
123,"Hofstra","CAA","16-9",0.612972531474112,106.78975348632,77,102.604033563829,183,70.0868296048872,16,"21.8-12.2","10.9-7.1",-5.42132388309938,168,2015-02-10
122,"Hofstra","CAA","16-9",0.612071015629541,106.862707037962,75,102.708046366035,185,70.1492554721972,16,"21.7-12.3","10.9-7.1",-5.41873430606411,166,2015-02-11
127,"Hofstra","CAA","16-10",0.592601726290366,106.776576879482,75,103.35330414071,200,69.9878064416814,18,"20.9-13.1","10.2-7.8",-6.25986437959902,181,2015-02-12
128,"Hofstra","CAA","16-10",0.591234188690478,106.704505996582,75,103.334403209412,198,70.0366949851677,18,"20.9-13.1","10.2-7.8",-6.26251561836836,181,2015-02-13
131,"Hofstra","CAA","16-10",0.589295308403229,106.674745287387,78,103.37762329177,199,70.0738768176003,17,"21-13","10.2-7.8",-6.30806473813516,175,2015-02-14
121,"Hofstra","CAA","17-10",0.619111450409571,107.697058780722,68,103.242507873694,193,69.7384953554445,19,"21.6-12.4","10.7-7.3",-6.10466746625915,173,2015-02-15
122,"Hofstra","CAA","17-10",0.61916889527147,107.706139183045,67,103.249025487301,195,69.9154624856923,19,"21.6-12.4","10.7-7.3",-6.09668260887915,173,2015-02-16
123,"Hofstra","CAA","17-10",0.618787153261216,107.710522533658,66,103.267761309213,196,69.9190144982292,18,"21.6-12.4","10.7-7.3",-6.0759202701405,173,2015-02-17
126,"Hofstra","CAA","18-10",0.608578241145032,108.424833370976,63,104.342606240396,213,69.6571806670372,19,"21.9-12.1","11-7",-5.95019863199709,169,2015-02-18
124,"Hofstra","CAA","18-10",0.609386046206165,108.51875570386,63,104.402190195805,214,69.6368125147169,18,"21.9-12.1","11-7",-5.94036979654325,169,2015-02-19
124,"Hofstra","CAA","18-10",0.610259769917317,108.536947243812,63,104.386354849176,215,69.8208426262849,18,"21.9-12.1","11-7",-5.94404176143726,169,2015-02-20
126,"Hofstra","CAA","18-10",0.612777592577245,108.506056371307,62,104.260513146395,211,69.6068671510977,17,"21.9-12.1","11-7",-6.00117246510254,166,2015-02-21
126,"Hofstra","CAA","18-11",0.604056980625562,108.294203033284,63,104.388690964142,211,69.8664680675629,17,"21.3-12.7","10.4-7.6",-6.85016504388599,177,2015-02-22
127,"Hofstra","CAA","18-11",0.603196220567521,108.286840650505,62,104.414253135357,209,69.6216679493215,17,"21.3-12.7","10.4-7.6",-6.85492926107754,177,2015-02-23
127,"Hofstra","CAA","18-11",0.603100410860624,108.321163402094,62,104.450983927368,211,69.8561301319351,17,"21.3-12.7","10.4-7.6",-6.83658673027203,177,2015-02-24
