"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
323,"Howard","MEAC","0-0",0.173554974036569,87.9372639995725,348,100.718690688087,172,68.47989938,125,"10.4-18.6","7.6-8.4",0,25,2014-11-13
325,"Howard","MEAC","0-1",0.159663144948853,87.4192076895385,348,101.000644947565,182,69.235048168723,85,"10-19","7.4-8.6",-0.291883233298918,270,2014-11-14
323,"Howard","MEAC","0-1",0.159447633532808,87.4249152336581,348,101.021355966509,182,69.2330515940747,85,"9.9-19.1","7.3-8.7",-0.291615064153198,253,2014-11-15
323,"Howard","MEAC","0-1",0.159366422506382,87.4021639370517,348,101.000389101219,184,69.2282756562808,89,"10.1-18.9","7.5-8.5",-0.288080823548074,227,2014-11-16
323,"Howard","MEAC","0-1",0.160145259332532,87.4059638763177,347,100.953833140642,184,69.1932497786661,94,"10.2-18.8","7.6-8.4",-0.285635070015717,201,2014-11-17
327,"Howard","MEAC","0-2",0.153097403924844,86.3855726476878,349,100.239346924713,170,68.5393264016233,132,"9.8-19.2","7.4-8.6",-0.883382978576446,294,2014-11-18
327,"Howard","MEAC","0-2",0.152781637742188,86.3632847444292,349,100.234727195368,174,68.490064508704,130,"9.7-19.3","7.3-8.7",-0.898023528421696,279,2014-11-19
325,"Howard","MEAC","0-3",0.15533635840948,85.7126817941847,350,99.3101958698416,149,68.1312276025244,156,"9.7-19.3","7.4-8.6",-1.65547533601123,333,2014-11-20
322,"Howard","MEAC","0-3",0.156128584299137,85.7488876249033,349,99.3001031497433,150,68.1161268086968,154,"9.8-19.2","7.4-8.6",-1.64454967396328,316,2014-11-21
324,"Howard","MEAC","0-3",0.156371048435782,85.7988459718281,349,99.3420680497069,153,68.1063733152604,151,"9.8-19.2","7.4-8.6",-1.6363659395742,299,2014-11-22
323,"Howard","MEAC","0-3",0.157085164077342,85.8002630432341,349,99.2970433837651,152,68.1040924517667,149,"9.8-19.2","7.5-8.5",-1.63204000026902,285,2014-11-23
322,"Howard","MEAC","0-3",0.156852901604183,85.8144181291861,348,99.3285839320292,155,68.1036153507566,143,"9.9-19.1","7.5-8.5",-1.63177201263925,277,2014-11-24
313,"Howard","MEAC","1-3",0.18304228473243,86.5430222159934,347,98.5651077220862,135,67.7495546221644,161,"11.4-17.6","8.1-7.9",-1.60170314912188,263,2014-11-25
313,"Howard","MEAC","1-3",0.18055292930157,86.5236138896194,347,98.6865150983771,142,67.8049742787186,154,"11.4-17.6","8.2-7.8",-1.62095657645269,252,2014-11-26
