"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
241,"Incarnate Word","Slnd","0-0",0.364672171029205,100.901160573579,184,105.891467361122,292,69.94598556,49,"13.2-11.8","11.4-6.6",0,56,2014-11-13
241,"Incarnate Word","Slnd","0-0",0.363748292149461,100.883680291091,175,105.909860316984,296,69.94598556,52,"13.1-11.9","11.4-6.6",0,135,2014-11-14
240,"Incarnate Word","Slnd","0-0",0.363455529511499,100.878137419258,171,105.915693257289,296,69.94598556,52,"13.1-11.9","11.4-6.6",0,144,2014-11-15
241,"Incarnate Word","Slnd","0-0",0.363212316110429,100.873531321531,170,105.920540644523,297,69.94598556,55,"13.1-11.9","11.4-6.6",0,151,2014-11-16
240,"Incarnate Word","Slnd","0-0",0.362720828803667,100.864219559898,163,105.930340877758,299,69.94598556,56,"13.1-11.9","11.4-6.6",0,150,2014-11-17
240,"Incarnate Word","Slnd","0-0",0.362261560669463,100.855513699439,161,105.939504245053,300,69.94598556,55,"13-12","11.4-6.6",0,137,2014-11-18
239,"Incarnate Word","Slnd","0-0",0.361725669736656,100.845349825839,163,105.950203248273,300,69.94598556,53,"13.1-11.9","11.4-6.6",0,128,2014-11-19
237,"Incarnate Word","Slnd","0-0",0.361530497517933,100.841646636591,164,105.954101679331,300,69.94598556,52,"13.1-11.9","11.4-6.6",0,116,2014-11-20
237,"Incarnate Word","Slnd","0-0",0.360822826926441,100.828212609949,167,105.968245185878,299,69.94598556,49,"13.2-11.8","11.4-6.6",0,111,2014-11-21
221,"Incarnate Word","Slnd","1-0",0.403804988189913,101.260417735304,155,104.75004223109,272,70.5844166788026,30,"14.7-10.3","12-6",0.321606349203095,43,2014-11-22
223,"Incarnate Word","Slnd","1-0",0.403037831659939,101.237184933958,154,104.755040611824,276,70.5742705833622,28,"14.7-10.3","11.9-6.1",0.323072067898559,41,2014-11-23
221,"Incarnate Word","Slnd","1-0",0.40245402919549,101.237536135583,151,104.777514596959,278,70.5663979394462,28,"14.8-10.2","12-6",0.323162955099577,46,2014-11-24
216,"Incarnate Word","Slnd","1-0",0.402110519370958,101.229490765061,153,104.78220382333,280,70.5520621024488,28,"14.8-10.2","12.1-5.9",0.322330386407135,47,2014-11-25
216,"Incarnate Word","Slnd","1-0",0.400811814073011,101.208436090093,148,104.809656842586,280,70.5558345536027,25,"14.8-10.2","12.1-5.9",0.316131126453473,52,2014-11-26
216,"Incarnate Word","Slnd","1-0",0.398816683828773,101.143720469078,149,104.818393387181,280,70.6485870029251,25,"14.8-10.2","12-6",0.319449458246373,56,2014-11-27
216,"Incarnate Word","Slnd","1-0",0.396130710427977,101.040088991121,155,104.813167191154,278,70.6819479075929,23,"14.8-10.2","12-6",0.312431703766459,56,2014-11-28
217,"Incarnate Word","Slnd","1-0",0.395575006152827,101.036262645252,158,104.830377314741,277,70.6649901784076,23,"14.9-10.1","12.1-5.9",0.313442151386385,56,2014-11-29
213,"Incarnate Word","Slnd","1-0",0.396826060091488,101.04512027151,156,104.791902829048,275,70.7171252242135,22,"14.9-10.1","12.2-5.8",0.310737450436093,54,2014-11-30
