"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
87,"Iona","MAAC","0-0",0.714045943973649,111.203671790364,17,102.697531777819,217,71.01641409,18,"23.2-11.8","14.6-5.4",0,219,2014-11-13
82,"Iona","MAAC","1-0",0.719178605482705,111.137208170018,18,102.410825836354,217,71.2184844437131,19,"23.7-11.3","14.6-5.4",0.17834448700499,19,2014-11-14
81,"Iona","MAAC","1-0",0.718919550048649,111.15905685346,18,102.442381487777,216,71.2165538670347,19,"23.7-11.3","14.6-5.4",0.178534744977343,22,2014-11-15
82,"Iona","MAAC","1-0",0.718659608138177,111.104209171031,18,102.403285530322,214,71.2119358226227,21,"23.7-11.3","14.6-5.4",0.181066861215066,25,2014-11-16
82,"Iona","MAAC","1-0",0.718183507186216,111.074699038227,18,102.397040360088,216,71.2071592021461,21,"23.7-11.3","14.7-5.3",0.182846423236178,36,2014-11-17
92,"Iona","MAAC","1-1",0.69263098687286,111.582180082572,17,103.971173006141,257,71.0074745564443,25,"22.3-12.7","14.1-5.9",-0.36612236834662,199,2014-11-18
91,"Iona","MAAC","1-1",0.693224518420894,111.623815063785,16,103.984742567034,257,71.0360868617912,26,"22.2-12.8","14.1-5.9",-0.378884171615062,182,2014-11-19
91,"Iona","MAAC","1-1",0.693017063257301,111.611754986932,14,103.982326259342,258,71.0094820676731,23,"22.3-12.7","14.1-5.9",-0.391751398611767,173,2014-11-20
84,"Iona","MAAC","2-1",0.708882045871389,112.219127016419,11,103.862257177721,257,71.6023036968218,16,"23.3-11.7","14.4-5.6",0.0906129820231417,86,2014-11-21
84,"Iona","MAAC","2-1",0.707283841566032,112.069983057791,11,103.793981680732,254,71.565577168127,13,"23.3-11.7","14.4-5.6",0.0987248243528479,87,2014-11-22
80,"Iona","MAAC","3-1",0.723003652738262,112.609472102483,11,103.596016804013,252,70.68267782576,26,"24.2-10.8","14.8-5.2",0.309820320678165,45,2014-11-23
80,"Iona","MAAC","3-1",0.724828148692768,112.754702910307,11,103.647314112839,253,70.690848103989,25,"24.3-10.7","14.9-5.1",0.310154540868257,51,2014-11-24
80,"Iona","MAAC","3-1",0.724952262687022,112.745154224379,11,103.63292809453,254,70.6450417363886,25,"24.3-10.7","14.9-5.1",0.307092541551217,50,2014-11-25
74,"Iona","MAAC","4-1",0.750300522789582,114.040506769569,5,103.635794372022,253,72.5603998341001,9,"25-10","15.2-4.8",0.318631571134733,51,2014-11-26
73,"Iona","MAAC","4-1",0.750119342695233,114.025152489592,6,103.630553098182,253,72.5432721851157,8,"25.1-9.9","15.3-4.7",0.33136828993068,54,2014-11-27
71,"Iona","MAAC","4-1",0.755779599594661,114.257585344439,7,103.567387684284,249,72.5405520042219,9,"25.2-9.8","15.4-4.6",0.304420188829037,58,2014-11-28
72,"Iona","MAAC","4-1",0.753095104952861,114.205954094327,7,103.651108940804,245,72.4999683052319,9,"25.3-9.7","15.5-4.5",0.30830311390934,57,2014-11-29
73,"Iona","MAAC","4-2",0.752807373339472,113.505383706951,11,103.029141905394,227,73.0471771972742,6,"24.9-10.1","15.4-4.6",0.0284121622459007,76,2014-11-30
73,"Iona","MAAC","4-2",0.752538802667243,113.486414627865,11,103.0248476453,229,73.0376248697326,6,"25-10","15.5-4.5",0.0287514436149227,78,2014-12-01
75,"Iona","MAAC","4-2",0.750808950199773,113.487456398607,11,103.108851425518,228,72.9519944186677,6,"25.1-9.9","15.5-4.5",0.0276786626384139,77,2014-12-02
75,"Iona","MAAC","4-2",0.74858174226989,113.625401725997,11,103.340781893584,234,73.0431196570413,5,"25-10","15.5-4.5",0.0372915173928847,73,2014-12-03
79,"Iona","MAAC","4-2",0.74554281620999,113.469602448858,12,103.343507247883,235,73.0929366307189,4,"24.9-10.1","15.4-4.6",0.0487780276003413,73,2014-12-04
81,"Iona","MAAC","4-2",0.745257183608252,113.468213183684,12,103.355767933494,235,73.0848546150725,4,"25-10","15.5-4.5",0.0615414295501632,74,2014-12-05
82,"Iona","MAAC","4-2",0.745544970468212,113.498166141606,12,103.369419827723,237,73.0370771333496,5,"24.8-10.2","15.3-4.7",0.0402147902164106,69,2014-12-06
83,"Iona","MAAC","4-3",0.737445434184954,114.467730823427,8,104.636252337872,266,73.9969362755292,4,"24-11","14.6-5.4",-0.700715342924734,117,2014-12-07
82,"Iona","MAAC","4-3",0.736973587822174,114.470181921514,8,104.660656486448,265,73.9902997283717,4,"24-11","14.6-5.4",-0.715547052555254,118,2014-12-08
