"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
271,"Jacksonville St.","OVC","0-0",0.295011989847021,97.3484034307201,252,105.009391810116,272,65.34691429,335,"11.6-17.4","6.7-9.3",0,298,2014-11-13
292,"Jacksonville St.","OVC","0-1",0.254645433139836,96.0586074579442,274,105.461794826457,286,65.5748894807248,324,"10.2-18.8","6-10",-0.83882893210179,331,2014-11-14
292,"Jacksonville St.","OVC","0-1",0.254277449656415,96.07398907756,277,105.496474769149,289,65.5731028495706,322,"10.2-18.8","6-10",-0.838653397163875,323,2014-11-15
292,"Jacksonville St.","OVC","0-1",0.256481157878695,96.1453521203449,271,105.468501049866,289,65.5354224736281,326,"10.3-18.7","6.1-9.9",-0.836316482106559,314,2014-11-16
294,"Jacksonville St.","OVC","0-2",0.237338527329507,95.3312164767055,283,105.516146721295,291,65.5651788168505,323,"9.7-19.3","5.7-10.3",-0.977085673096594,324,2014-11-17
294,"Jacksonville St.","OVC","0-2",0.237049455313531,95.324658201476,285,105.523546957622,291,65.5381069504948,323,"9.7-19.3","5.7-10.3",-0.986788252925372,316,2014-11-18
297,"Jacksonville St.","OVC","0-3",0.222178260126818,94.3393601365323,294,105.199287214206,285,64.7529197284349,335,"9.3-19.7","5.5-10.5",-1.56453848914224,333,2014-11-19
297,"Jacksonville St.","OVC","0-3",0.222111142525721,94.326924712789,293,105.188973046601,287,64.7206098158701,339,"9.3-19.7","5.5-10.5",-1.58126170104315,328,2014-11-20
297,"Jacksonville St.","OVC","0-3",0.222364919217696,94.3677823917494,293,105.221101183358,288,64.5772630969864,338,"9.4-19.6","5.6-10.4",-1.57269782695331,313,2014-11-21
297,"Jacksonville St.","OVC","0-3",0.219995344125495,94.2481205126571,289,105.213454799613,283,64.5332724950431,334,"9.3-19.7","5.6-10.4",-1.56628497116696,294,2014-11-22
296,"Jacksonville St.","OVC","0-3",0.219626863391368,94.2204748474702,288,105.202246739734,285,64.5091124387094,332,"9.4-19.6","5.6-10.4",-1.56289567276743,281,2014-11-23
298,"Jacksonville St.","OVC","0-3",0.219822684927121,94.2484727041814,288,105.223056607418,287,64.4855215932101,332,"9.4-19.6","5.6-10.4",-1.56268572070534,273,2014-11-24
298,"Jacksonville St.","OVC","1-3",0.221698664618243,93.8115688943604,293,104.636006338444,279,64.9227830008793,319,"9.9-19.1","5.6-10.4",-1.5255056626261,259,2014-11-25
298,"Jacksonville St.","OVC","1-3",0.21923643561062,93.9958250849634,290,104.972217978094,282,65.1121057072013,307,"9.8-19.2","5.5-10.5",-1.54095790504473,248,2014-11-26
298,"Jacksonville St.","OVC","1-3",0.219120362137053,93.9890042293072,291,104.970791335983,284,65.0986177540811,306,"9.8-19.2","5.5-10.5",-1.53267392951085,244,2014-11-27
297,"Jacksonville St.","OVC","2-3",0.220111010852267,94.9514727280029,272,105.992427172948,301,65.3764176854933,291,"10.1-18.9","5.6-10.4",-1.53887888810336,234,2014-11-28
299,"Jacksonville St.","OVC","2-3",0.217522678169225,94.9644976263113,272,106.146639791501,303,65.2667341095203,288,"10-19","5.5-10.5",-1.53628996316001,215,2014-11-29
299,"Jacksonville St.","OVC","2-3",0.217224175468527,94.9801459167963,274,106.18033013416,302,65.2489948947726,279,"10-19","5.5-10.5",-1.5432260350154,203,2014-11-30
300,"Jacksonville St.","OVC","2-3",0.212707347115449,94.9534193089042,274,106.397805362845,309,65.191718150448,282,"9.9-19.1","5.4-10.6",-1.54304314142056,200,2014-12-01
301,"Jacksonville St.","OVC","2-3",0.213241071435235,95.014573514145,276,106.43685514374,308,65.2060903150832,280,"9.9-19.1","5.4-10.6",-1.54362144147389,194,2014-12-02
295,"Jacksonville St.","OVC","3-3",0.218814625982067,96.1651718526835,256,107.417922158877,315,64.6800608929793,290,"10.6-18.4","5.5-10.5",-1.44406502906497,181,2014-12-03
295,"Jacksonville St.","OVC","3-3",0.218257376011523,96.133296815649,256,107.412790242707,316,64.6763203213941,287,"10.7-18.3","5.5-10.5",-1.43691085961495,179,2014-12-04
295,"Jacksonville St.","OVC","3-3",0.21774212471507,96.1221307360127,256,107.428544694436,316,64.6330436770084,288,"10.7-18.3","5.5-10.5",-1.4289548358374,177,2014-12-05
307,"Jacksonville St.","OVC","3-4",0.180537193149325,94.6745090115155,279,107.984206354066,321,64.7178755448755,279,"9.6-19.4","4.9-11.1",-2.33565448209134,234,2014-12-06
305,"Jacksonville St.","OVC","3-4",0.182045810994629,94.7166430732132,279,107.936822051838,319,64.7053562642216,278,"9.6-19.4","5-11",-2.32261809380021,230,2014-12-07
306,"Jacksonville St.","OVC","3-4",0.181132197374378,94.7067546208658,280,107.983262580867,319,64.7428223915772,277,"9.6-19.4","5-11",-2.33164641376466,229,2014-12-08
309,"Jacksonville St.","OVC","3-4",0.181350840706013,94.7077144644687,282,107.970522656014,316,64.6986779619348,277,"9.6-19.4","5-11",-2.32346709190153,227,2014-12-09
308,"Jacksonville St.","OVC","3-4",0.181322102974443,94.6967011908441,282,107.95978437283,314,64.6852578932539,273,"9.6-19.4","5-11",-2.33447353244682,224,2014-12-10
309,"Jacksonville St.","OVC","3-4",0.181279774941416,94.7060680372994,282,107.973140544721,313,64.6888769898467,273,"9.6-19.4","5-11",-2.34426314632375,222,2014-12-11
309,"Jacksonville St.","OVC","3-4",0.181209352396632,94.7069164981654,282,107.978563639043,313,64.6920226013326,272,"9.6-19.4","5-11",-2.3433995540512,222,2014-12-12
310,"Jacksonville St.","OVC","3-4",0.177821750125772,94.6590073121035,280,108.14000603774,321,64.5507097579174,270,"9.4-19.6","4.8-11.2",-2.34864531593978,208,2014-12-13
300,"Jacksonville St.","OVC","4-4",0.204497373073437,95.9083140256356,260,107.933583022152,316,65.030054927968,243,"10.7-18.3","5.3-10.7",-2.28283141606706,205,2014-12-14
300,"Jacksonville St.","OVC","4-4",0.204545058453386,95.9050174873893,259,107.927122369625,315,65.0370631094353,243,"10.6-18.4","5.3-10.7",-2.26999528212232,204,2014-12-15
294,"Jacksonville St.","OVC","5-4",0.225960808904257,95.2269230332193,270,105.988317418273,292,64.8376034331636,252,"11.7-17.3","5.7-10.3",-2.20407105955783,198,2014-12-16
294,"Jacksonville St.","OVC","5-4",0.223785915488072,95.1973398606574,273,106.070415741573,291,64.8213461410031,248,"11.7-17.3","5.7-10.3",-2.22768130611611,192,2014-12-17
294,"Jacksonville St.","OVC","5-4",0.223551124646718,95.1356514396109,273,106.014145853222,293,64.8403342154826,247,"11.7-17.3","5.7-10.3",-2.22741624710225,186,2014-12-18
295,"Jacksonville St.","OVC","5-4",0.220255795879575,95.0034468803664,274,106.042669073536,291,64.9342055492316,243,"11.6-17.4","5.7-10.3",-2.20645338298591,184,2014-12-19
292,"Jacksonville St.","OVC","5-5",0.223626523357169,95.0106861590572,275,105.870892534547,282,64.3287962875306,265,"11.5-17.5","5.7-10.3",-3.08761892938177,227,2014-12-20
292,"Jacksonville St.","OVC","5-5",0.225564699423616,95.0717365160447,274,105.836447321729,281,64.4419445497284,256,"11.6-17.4","5.8-10.2",-3.10290414763513,221,2014-12-21
290,"Jacksonville St.","OVC","5-6",0.227014177883573,94.9071382161829,275,105.577179612758,277,64.1195964661777,277,"11.4-17.6","5.7-10.3",-3.90822912463492,253,2014-12-22
291,"Jacksonville St.","OVC","5-6",0.223396454087215,94.7978374812765,278,105.645891536446,279,64.0522050039379,278,"11.3-17.7","5.6-10.4",-3.91411479160522,251,2014-12-23
291,"Jacksonville St.","OVC","5-6",0.223396454086898,94.7978374812699,278,105.645891536456,279,64.0520678735118,278,"11.3-17.7","5.6-10.4",-3.91411479160248,251,2014-12-24
291,"Jacksonville St.","OVC","5-6",0.223468710604547,94.8010174846606,278,105.645609721987,279,64.0481255400553,278,"11.3-17.7","5.6-10.4",-3.90976511771245,249,2014-12-25
291,"Jacksonville St.","OVC","5-6",0.223814290839762,94.8118480573491,278,105.639394030835,279,64.0483676032589,278,"11.3-17.7","5.6-10.4",-3.90943976592321,249,2014-12-26
311,"Jacksonville St.","OVC","5-7",0.184556621500524,94.0929989812166,284,107.069861140715,301,64.3558244947338,261,"10-19","4.9-11.1",-4.91557864428933,288,2014-12-27
310,"Jacksonville St.","OVC","5-7",0.184612257829128,94.1459462886794,283,107.126667261953,300,64.3609254680874,262,"10-19","4.9-11.1",-4.92178278459098,284,2014-12-28
310,"Jacksonville St.","OVC","5-7",0.185280057610689,94.1365406558571,285,107.074708731296,298,64.3543091700236,263,"9.9-19.1","4.9-11.1",-4.95508979497856,281,2014-12-29
312,"Jacksonville St.","OVC","5-7",0.180977731197703,94.1714937680877,283,107.382693086974,303,64.4424999528463,256,"9.9-19.1","4.8-11.2",-4.96832825862104,276,2014-12-30
309,"Jacksonville St.","OVC","5-7",0.184749936800374,94.3872640166981,276,107.392718468627,301,64.4667083561751,250,"9.9-19.1","4.9-11.1",-4.97775976690496,275,2014-12-31
318,"Jacksonville St.","OVC","5-8",0.151995092403692,92.7621619106122,303,107.718398470465,305,64.9578646761064,230,"9-20","3.9-12.1",-5.86522941301904,301,2015-01-01
318,"Jacksonville St.","OVC","5-8",0.153796328360589,92.7707636821651,301,107.598186685009,304,64.965028130716,228,"9-20","4-12",-5.85308663168909,298,2015-01-02
316,"Jacksonville St.","OVC","5-9",0.155715521182791,91.4749467231536,317,105.95998686661,273,64.855789962953,226,"9-20","4-12",-6.73365948287096,311,2015-01-03
317,"Jacksonville St.","OVC","5-9",0.153889969207121,91.4890138520578,316,106.104939308231,280,64.8643270717335,232,"9-20","4-12",-6.75595801565881,310,2015-01-04
315,"Jacksonville St.","OVC","5-9",0.155594646146333,91.4992222605667,314,105.996583194715,274,64.9121432061876,230,"9-20","4-12",-6.72562850138356,304,2015-01-05
314,"Jacksonville St.","OVC","5-9",0.156648343094816,91.5484629707885,314,105.979894546618,274,64.8863709408276,229,"9-20","4-12",-6.72716185394412,304,2015-01-06
314,"Jacksonville St.","OVC","5-9",0.15733939833461,91.492351739468,313,105.866858519671,277,64.8596738416414,228,"9-20","4-12",-6.77106825669596,304,2015-01-07
304,"Jacksonville St.","OVC","6-9",0.181840923661662,92.4697030484255,307,105.388877314245,263,64.6499172108186,229,"9.8-19.2","4.8-11.2",-6.78349363864263,300,2015-01-08
303,"Jacksonville St.","OVC","6-9",0.18213151380143,92.4942370560945,308,105.398947102613,264,64.8133019790919,229,"9.8-19.2","4.8-11.2",-6.77754451653825,300,2015-01-09
307,"Jacksonville St.","OVC","6-9",0.177566344571902,92.2996787292021,311,105.460698447926,265,64.6468175415299,227,"9.7-19.3","4.7-11.3",-6.77854003077847,290,2015-01-10
310,"Jacksonville St.","OVC","6-10",0.162776328282826,92.2120634261614,311,106.325048196876,277,64.4440116011438,231,"9.4-19.6","4.4-11.6",-7.50884862178105,303,2015-01-11
310,"Jacksonville St.","OVC","6-10",0.161727368677135,92.1810585985048,311,106.360648163014,277,64.6709389176782,229,"9.4-19.6","4.3-11.7",-7.51757095303842,302,2015-01-12
310,"Jacksonville St.","OVC","6-10",0.162822220304002,92.1974530160748,311,106.305089115086,274,64.5296789056132,229,"9.4-19.6","4.4-11.6",-7.55036560142209,297,2015-01-13
319,"Jacksonville St.","OVC","6-11",0.143168185475619,91.8326859379904,315,107.291859090293,288,64.2576676021101,240,"8.7-20.3","3.7-12.3",-8.48164924908245,316,2015-01-14
318,"Jacksonville St.","OVC","6-11",0.14366731104183,91.8166359349241,314,107.235214608854,286,64.2651840268474,241,"8.7-20.3","3.6-12.4",-8.43749420685914,312,2015-01-15
317,"Jacksonville St.","OVC","6-11",0.143983929323191,91.8164120521043,314,107.210979840289,286,64.2267470278124,241,"8.7-20.3","3.7-12.3",-8.43863120305068,310,2015-01-16
320,"Jacksonville St.","OVC","6-12",0.140529046566759,90.8394870814185,323,106.331745530948,274,64.1031418167954,251,"8.6-20.4","3.5-12.5",-9.27410341260467,318,2015-01-17
