"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
3,"Kansas","B12","0-0",0.9512444136138,115.640640908594,4,89.3127158233864,5,69.2684618,83,"28.9-7.1","14.1-3.9",0,183,2014-11-13
6,"Kansas","B12","1-0",0.948440175110877,114.161192167947,7,88.6226458938295,4,69.6737480622167,64,"28.6-7.4","13.9-4.1",0.206161867071487,13,2014-11-14
6,"Kansas","B12","1-0",0.948365942746189,114.179626020865,7,88.6486488792259,4,69.6718146745209,64,"28.5-7.5","13.9-4.1",0.206374347049154,16,2014-11-15
5,"Kansas","B12","1-0",0.948324356791999,114.130451884017,6,88.6170116824963,6,69.6671898978333,66,"28.5-7.5","13.8-4.2",0.209200752128935,22,2014-11-16
5,"Kansas","B12","1-0",0.948084937527246,114.044488213343,6,88.5878097788987,5,69.711970078784,63,"28.4-7.6","13.8-4.2",0.211185514822038,29,2014-11-17
10,"Kansas","B12","1-1",0.929076571746634,111.404049835381,18,89.073348703456,7,68.9769198394351,102,"26.2-9.8","12.7-5.3",0.140505768155595,61,2014-11-18
10,"Kansas","B12","1-1",0.929008234095007,111.378878420411,17,89.0612506530452,8,68.9303201411705,100,"26.2-9.8","12.7-5.3",0.133118876884957,66,2014-11-19
10,"Kansas","B12","1-1",0.928956183982142,111.366128863425,15,89.0571652644819,8,68.9053099465451,102,"26.1-9.9","12.6-5.4",0.125800442061364,73,2014-11-20
10,"Kansas","B12","1-1",0.928494755489894,111.373867865092,14,89.1173568640491,10,68.811555432014,103,"26-10","12.6-5.4",0.1295360883786,77,2014-11-21
10,"Kansas","B12","1-1",0.92835262394929,111.410659585614,13,89.1633777561073,10,68.7874038605784,102,"26-10","12.6-5.4",0.132351082085911,81,2014-11-22
10,"Kansas","B12","1-1",0.928443671383973,111.440179947646,14,89.1763817490786,11,68.7571518953065,103,"25.9-10.1","12.5-5.5",0.133841730121391,80,2014-11-23
8,"Kansas","B12","2-1",0.934210949998656,112.63414448655,12,89.4274439815809,12,68.1668720326511,137,"26.3-9.7","12.7-5.3",0.238542571822367,63,2014-11-24
8,"Kansas","B12","2-1",0.93482892578379,112.708742283604,12,89.4081218547633,13,68.1341107149888,133,"26.4-9.6","12.7-5.3",0.237359782649182,62,2014-11-25
9,"Kansas","B12","2-1",0.934550606479629,112.704789586639,9,89.4404386757818,11,68.127909616556,137,"26.3-9.7","12.7-5.3",0.228387341187004,62,2014-11-26
7,"Kansas","B12","3-1",0.939861339321156,113.704801955208,8,89.5283421153998,14,67.535765690412,169,"26.7-9.3","12.8-5.2",0.688611243524157,31,2014-11-27
7,"Kansas","B12","4-1",0.939320387795257,114.970464394812,5,90.5999466469365,21,67.2966456342862,174,"26.8-9.2","12.8-5.2",0.977175458500611,19,2014-11-28
8,"Kansas","B12","4-1",0.939317800907551,115.067276327887,5,90.6765950186975,20,67.2465435922937,171,"26.6-9.4","12.7-5.3",0.980845162818109,23,2014-11-29
8,"Kansas","B12","5-1",0.939403820181196,114.199084597525,6,89.9806163926076,18,66.9863484757272,179,"27.1-8.9","12.6-5.4",1.71876473996494,3,2014-11-30
8,"Kansas","B12","5-1",0.939473250024749,114.196770000127,6,89.9692449132839,18,66.9778252911159,176,"27-9","12.6-5.4",1.71905658016199,3,2014-12-01
7,"Kansas","B12","5-1",0.939323626809431,114.236916990556,8,90.0214458904535,16,66.9440163186568,178,"27.1-8.9","12.7-5.3",1.71792241273251,5,2014-12-02
7,"Kansas","B12","5-1",0.939216026180638,114.256297210736,10,90.0514878680734,14,67.0129388581482,169,"27.1-8.9","12.7-5.3",1.72677141489202,7,2014-12-03
7,"Kansas","B12","5-1",0.94055974222442,114.31088214204,10,89.9083699422221,14,67.0877547944391,166,"27-9","12.6-5.4",1.73760143686964,8,2014-12-04
9,"Kansas","B12","6-1",0.93516997981606,114.261086686854,10,90.5953263104725,16,67.0589934152238,168,"26.7-9.3","12.2-5.8",2.19639754799971,4,2014-12-05
8,"Kansas","B12","6-1",0.937240120073464,114.570403046467,7,90.5671724313787,20,66.9791737272219,167,"26.9-9.1","12.4-5.6",2.17126446643455,5,2014-12-06
9,"Kansas","B12","6-1",0.938612605620692,114.86117548871,7,90.6110843377032,21,66.9152943319437,167,"26.9-9.1","12.5-5.5",2.19259739632595,5,2014-12-07
9,"Kansas","B12","6-1",0.940134571344519,114.874941852093,7,90.4115872167179,19,66.9779761293974,165,"27.1-8.9","12.6-5.4",2.17772834642816,5,2014-12-08
9,"Kansas","B12","6-1",0.940268986003168,114.880940639792,7,90.3975135704774,19,66.9533926746749,164,"27-9","12.6-5.4",2.1912505124806,7,2014-12-09
9,"Kansas","B12","7-1",0.939634746584215,114.396645132046,8,90.1044322147409,17,67.5906064221878,118,"27.4-8.6","12.6-5.4",2.95056894422818,1,2014-12-10
9,"Kansas","B12","7-1",0.938989165769653,114.324188621782,8,90.1360833195994,17,67.58262705427,117,"27.4-8.6","12.5-5.5",2.93217731241388,1,2014-12-11
9,"Kansas","B12","7-1",0.939046959004434,114.340350369907,9,90.1409144019667,17,67.6293794317803,113,"27.2-8.8","12.5-5.5",2.93380266372188,1,2014-12-12
8,"Kansas","B12","8-1",0.942867268940571,114.371401918403,10,89.6276845892131,15,67.0660159592246,147,"27.6-8.4","12.4-5.6",3.60874851187642,1,2014-12-13
8,"Kansas","B12","8-1",0.943487963753576,114.392827385765,10,89.5542394972206,10,67.2333748481033,136,"27.8-8.2","12.6-5.4",3.59868015575533,1,2014-12-14
8,"Kansas","B12","8-1",0.943383308450128,114.37441960011,10,89.5550994644086,11,67.2277069723886,135,"27.8-8.2","12.6-5.4",3.62482379991667,1,2014-12-15
8,"Kansas","B12","8-1",0.943437879720879,114.397188599354,10,89.5649662060327,13,67.2036376887404,136,"27.6-8.4","12.4-5.6",3.65710411618491,1,2014-12-16
