"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
318,"Kennesaw St.","ASun","0-0",0.186128409823125,93.6580465785507,310,106.478493362726,306,68.09575707,163,"9.7-20.3","5-9",0,248,2014-11-13
320,"Kennesaw St.","ASun","0-1",0.174443092244113,92.9925033859951,316,106.451478847277,303,68.8120838213843,106,"9.6-20.4","5-9",-0.272960880663162,267,2014-11-14
320,"Kennesaw St.","ASun","0-1",0.174224310247591,92.9961876887218,315,106.469767402799,304,68.8101067319921,108,"9.6-20.4","5.1-8.9",-0.272703401368888,249,2014-11-15
321,"Kennesaw St.","ASun","0-2",0.163970558291542,92.6317725617137,318,106.727874690783,309,69.4967887456277,76,"9.2-20.8","4.8-9.2",-0.805176842736693,305,2014-11-16
320,"Kennesaw St.","ASun","0-2",0.163695650931332,92.6096669793823,318,106.721026356596,312,69.4871486097186,78,"9.2-20.8","4.9-9.1",-0.799855920551531,283,2014-11-17
320,"Kennesaw St.","ASun","0-2",0.163399351439688,92.6028379027288,317,106.733257201092,315,69.442180254886,79,"9.3-20.7","4.9-9.1",-0.816495706366743,277,2014-11-18
324,"Kennesaw St.","ASun","0-3",0.156028319138935,92.5262664049823,316,107.155628935018,322,69.524711018893,70,"8.8-21.2","4.6-9.4",-1.51179871633162,331,2014-11-19
324,"Kennesaw St.","ASun","0-3",0.156242987290249,92.5350997734766,314,107.150677237036,322,69.3962351076486,70,"8.9-21.1","4.7-9.3",-1.53389129859341,325,2014-11-20
327,"Kennesaw St.","ASun","0-4",0.147691891541854,92.2836945192253,314,107.478043653572,323,68.71815106708,107,"8.4-21.6","4.5-9.5",-2.33906631644878,347,2014-11-21
323,"Kennesaw St.","ASun","1-4",0.156518431915413,92.6242653860905,310,107.234455570011,318,70.0772240524342,41,"9.1-20.9","4.7-9.3",-2.3169586898663,339,2014-11-22
324,"Kennesaw St.","ASun","1-4",0.15559152405777,92.5583706375038,310,107.223767197574,318,70.0941238802151,39,"9-21","4.7-9.3",-2.31138964378746,331,2014-11-23
323,"Kennesaw St.","ASun","1-4",0.154912844625808,92.5739948110165,310,107.29013554298,319,70.1005719151656,33,"9-21","4.7-9.3",-2.31104051688804,322,2014-11-24
323,"Kennesaw St.","ASun","1-4",0.15546544898423,92.6138198833116,309,107.296957918451,320,70.0022703261631,35,"9-21","4.6-9.4",-2.31415053200604,313,2014-11-25
318,"Kennesaw St.","ASun","2-4",0.171621095662713,93.1349124078461,304,106.797494348016,312,70.9698796895791,18,"9.9-20.1","5-9",-2.30175502974586,299,2014-11-26
317,"Kennesaw St.","ASun","2-4",0.171363569025267,93.0705408177009,304,106.740501680305,310,70.9988285926441,17,"9.8-20.2","5-9",-2.28857521400826,297,2014-11-27
317,"Kennesaw St.","ASun","2-4",0.173763775213826,93.3764849766261,305,106.934955837334,312,70.8902600919114,20,"9.9-20.1","5-9",-2.31653157923644,291,2014-11-28
309,"Kennesaw St.","ASun","3-4",0.192889329650628,93.8316372349862,297,106.268275276247,307,71.4066468266676,15,"10.9-19.1","5.3-8.7",-2.21948490714071,275,2014-11-29
308,"Kennesaw St.","ASun","3-4",0.194634252490337,93.9007121214529,294,106.243262256761,304,71.4598714285716,14,"10.9-19.1","5.3-8.7",-2.23128229282907,266,2014-11-30
308,"Kennesaw St.","ASun","3-4",0.1945944295439,93.8733462301158,292,106.214645908303,304,71.5525404019105,13,"10.9-19.1","5.3-8.7",-2.23097540762109,260,2014-12-01
