"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
2,"Kentucky","SEC","0-0",0.952558761117096,117.723897266972,2,90.6949824556829,9,67.36359938,224,"32.3-6.7","14.9-3.1",0,171,2014-11-13
2,"Kentucky","SEC","1-0",0.95525869351299,117.434265837409,2,89.9898989759601,8,67.4123444349529,225,"32.4-6.6","15-3",0.046353707095382,74,2014-11-14
3,"Kentucky","SEC","1-0",0.955209583139165,117.442281928296,2,90.0050297220894,8,67.4105478407024,227,"32.4-6.6","15-3",0.0464111107615827,91,2014-11-15
4,"Kentucky","SEC","2-0",0.95196093180502,115.959325922739,2,89.4377651417937,8,67.2263131655254,241,"32.1-6.9","14.9-3.1",0.34775312457795,11,2014-11-16
4,"Kentucky","SEC","2-0",0.952406296214201,115.998406919154,2,89.391839088745,8,67.2656329218105,237,"32.2-6.8","14.9-3.1",0.350812870041227,15,2014-11-17
1,"Kentucky","SEC","3-0",0.965431404446189,116.69092982474,2,87.3563579135402,2,66.4410633698374,280,"34-5","15.6-2.4",1.09956707936689,1,2014-11-18
1,"Kentucky","SEC","3-0",0.965317219652845,116.645582664657,2,87.3483526403166,2,66.3713682463783,278,"33.9-5.1","15.6-2.4",1.08499518297108,1,2014-11-19
1,"Kentucky","SEC","3-0",0.965257470781934,116.671960067185,2,87.3816529419745,3,66.3463291226696,277,"33.8-5.2","15.6-2.4",1.07066970907925,1,2014-11-20
1,"Kentucky","SEC","4-0",0.963975065573462,116.353610219291,2,87.4284301578611,4,67.0105807487874,238,"33.8-5.2","15.6-2.4",1.13859817401942,3,2014-11-21
2,"Kentucky","SEC","4-0",0.964049873966047,116.456688234357,3,87.4894768238752,4,66.9497089868039,234,"33.8-5.2","15.6-2.4",1.14483816027406,3,2014-11-22
1,"Kentucky","SEC","5-0",0.966715371635964,116.108713857192,3,86.6248804219437,2,67.1268420815836,212,"34.1-4.9","15.7-2.3",1.17417958677947,4,2014-11-23
1,"Kentucky","SEC","5-0",0.966772665674176,116.102452221505,3,86.6067868599367,2,67.1747913826718,203,"34.1-4.9","15.8-2.2",1.1743995213821,5,2014-11-24
