"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
55,"LSU","SEC","0-0",0.770152942223911,105.475137443805,79,94.94802237204,51,70.47859797,31,"19.8-13.2","8.8-9.2",0,40,2014-11-13
61,"LSU","SEC","0-0",0.769445919704123,105.456864758065,79,94.9645144920215,53,70.47859797,32,"19.8-13.2","8.8-9.2",0,128,2014-11-14
64,"LSU","SEC","1-0",0.760346987062886,106.221901973674,66,96.075257539658,75,71.1951929132198,20,"19.6-13.4","8.6-9.4",0.0697386750476772,69,2014-11-15
64,"LSU","SEC","1-0",0.760180187492237,106.16555968148,62,96.0319390665815,76,71.1903111449696,22,"19.6-13.4","8.6-9.4",0.0708608663268832,80,2014-11-16
64,"LSU","SEC","1-0",0.76301264456479,106.204510085783,62,95.9369412326116,78,71.0970722318326,25,"19.8-13.2","8.7-9.3",0.071652068918047,93,2014-11-17
68,"LSU","SEC","2-0",0.753437617702436,104.586093389317,85,94.9051000393077,59,71.4049536685313,19,"19.7-13.3","8.5-9.5",0.216563502567846,41,2014-11-18
69,"LSU","SEC","2-0",0.752970301158534,104.536842052729,88,94.8811469916977,60,71.3503805979598,19,"19.6-13.4","8.5-9.5",0.210453459983212,47,2014-11-19
69,"LSU","SEC","2-0",0.752795362702446,104.527988609751,89,94.8808687429305,64,71.3165678797138,18,"19.5-13.5","8.4-9.6",0.204385280729928,56,2014-11-20
75,"LSU","SEC","2-1",0.74085171054336,103.493537248036,112,94.4593926507326,55,71.5344453636626,17,"18.6-14.4","8.2-9.8",-0.382223700804899,164,2014-11-21
73,"LSU","SEC","3-1",0.748153788341573,103.561353268976,112,94.2062791870825,49,70.9580176501565,23,"19-14","8.4-9.6",-0.285730237927597,138,2014-11-22
74,"LSU","SEC","3-1",0.7434143320871,103.477755128364,110,94.3350779819246,55,70.8826011823108,22,"18.9-14.1","8.2-9.8",-0.282298770359275,131,2014-11-23
77,"LSU","SEC","3-2",0.736902220451049,103.309413090302,107,94.459333834742,59,70.8232488060293,23,"18.3-14.7","8.2-9.8",-0.816134128616361,201,2014-11-24
76,"LSU","SEC","3-2",0.737552367358852,103.349788125873,106,94.468677153032,61,70.784012650807,23,"18.3-14.7","8.2-9.8",-0.818848786445919,183,2014-11-25
78,"LSU","SEC","3-2",0.73618182271543,103.353332560945,103,94.5300025395182,63,70.7760098380276,23,"18.3-14.7","8.2-9.8",-0.840600537867937,176,2014-11-26
78,"LSU","SEC","3-2",0.735942825272867,103.337633213841,104,94.5257547399367,63,70.7593801685944,22,"18.3-14.7","8.3-9.7",-0.829118530116529,170,2014-11-27
77,"LSU","SEC","3-2",0.735382276329535,103.461694469571,103,94.6629618443743,63,70.686556526778,22,"18.4-14.6","8.3-9.7",-0.85354310415657,160,2014-11-28
82,"LSU","SEC","4-2",0.723099860500669,103.872965009441,93,95.5548025828713,78,70.4084947903633,28,"17.9-15.1","8-10",-0.81791458120064,148,2014-11-29
81,"LSU","SEC","4-2",0.723224775444905,103.860317613309,98,95.5379842495116,81,70.3930206953787,26,"18-15","8-10",-0.827465529142526,145,2014-11-30
84,"LSU","SEC","4-2",0.720447983660249,103.683523212821,102,95.4901206031201,79,70.4905086519516,24,"17.9-15.1","7.9-10.1",-0.82722855181842,146,2014-12-01
73,"LSU","SEC","5-2",0.758256602641571,103.920909724552,95,94.0875950480233,51,70.4869796066251,23,"19.3-13.7","8.7-9.3",-0.681842879057284,130,2014-12-02
72,"LSU","SEC","5-2",0.758269685968235,103.961509336066,100,94.123768804514,51,70.602936920604,22,"19.3-13.7","8.7-9.3",-0.673480471903085,130,2014-12-03
70,"LSU","SEC","6-2",0.77177348103686,103.652682377284,107,93.2330270626575,41,71.0306236353456,16,"20.5-12.5","9.1-8.9",0.0775422504911165,70,2014-12-04
72,"LSU","SEC","6-2",0.771281937674693,103.622808156387,108,93.228759471481,41,71.0123000650806,16,"20.6-12.4","9.1-8.9",0.0913406357171765,70,2014-12-05
73,"LSU","SEC","6-2",0.772991461644541,103.772980169458,107,93.2850175054276,44,71.0377624242604,15,"20.6-12.4","9.1-8.9",0.0684063578098597,66,2014-12-06
73,"LSU","SEC","6-2",0.77276814508403,103.818656869923,106,93.3364026445467,45,71.123243765168,16,"20.5-12.5","9-9",0.0878799112946875,68,2014-12-07
72,"LSU","SEC","6-2",0.772349780742392,103.823897118615,106,93.3604412439209,44,71.0932416883568,17,"20.3-12.7","8.8-9.2",0.0743131749616885,66,2014-12-08
71,"LSU","SEC","6-2",0.771548236599666,103.803154899527,109,93.378752805489,44,71.0883588491059,17,"20.4-12.6","8.8-9.2",0.086644465248074,67,2014-12-09
70,"LSU","SEC","6-2",0.772042500089684,103.843600545962,107,93.3923438680801,47,71.0577997997859,16,"20.4-12.6","8.9-9.1",0.0701150031946914,65,2014-12-10
69,"LSU","SEC","6-2",0.771367316169663,103.840907567822,109,93.4210497667513,47,71.0306680776867,16,"20.4-12.6","8.9-9.1",0.0554800823673538,65,2014-12-11
69,"LSU","SEC","6-2",0.771250918842144,103.842236986264,109,93.4276065980209,48,71.0342131890044,16,"20.3-12.7","8.9-9.1",0.0567716353974514,64,2014-12-12
73,"LSU","SEC","7-2",0.765450092230944,104.369813540159,101,94.1687794039077,60,70.7647108016739,18,"20.3-12.7","8.7-9.3",0.254327538039252,49,2014-12-13
70,"LSU","SEC","7-2",0.766397426018121,104.315385614722,99,94.0764354356361,55,70.8364839825613,19,"20.3-12.7","8.7-9.3",0.246396602392814,48,2014-12-14
