"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
91,"La Salle","A10","0-0",0.697804809264939,103.816060819848,112,96.5296008581705,82,67.04108543,247,"18.5-14.5","9.3-8.7",0,181,2014-11-13
90,"La Salle","A10","0-0",0.696962806827989,103.798075555263,106,96.5463676924801,85,67.04108543,252,"18.5-14.5","9.3-8.7",0,170,2014-11-14
92,"La Salle","A10","1-0",0.683284393207289,102.417490132165,132,95.7936144711981,68,66.689296677778,276,"18.3-14.7","9.1-8.9",0.0937647013308814,53,2014-11-15
92,"La Salle","A10","1-0",0.683109233898697,102.373832383804,132,95.7595188518132,69,66.6852524460078,272,"18.2-14.8","9.1-8.9",0.0952339257145437,63,2014-11-16
93,"La Salle","A10","1-0",0.68264177783614,102.349316539594,129,95.7545587129999,75,66.6810693712904,270,"18.2-14.8","9.1-8.9",0.0962690709850496,76,2014-11-17
95,"La Salle","A10","2-0",0.677231020786045,100.742984817755,166,94.4557253784144,53,66.903494937686,256,"18.6-14.4","9-9",0.402603612496043,24,2014-11-18
97,"La Salle","A10","2-0",0.676664031557846,100.71385373325,168,94.4497035565341,52,66.855692442984,253,"18.8-14.2","9.2-8.8",0.392979828970512,27,2014-11-19
98,"La Salle","A10","2-0",0.676366335602619,100.696814754903,171,94.444895473785,56,66.8289574312806,252,"18.9-14.1","9.2-8.8",0.383342843691432,31,2014-11-20
97,"La Salle","A10","2-0",0.675841513835135,100.712751390153,170,94.479530014336,56,66.7953331319515,252,"18.9-14.1","9.3-8.7",0.388260033909641,35,2014-11-21
94,"La Salle","A10","3-0",0.687920414380082,99.9992210155775,184,93.3569823002868,38,67.0124633604645,228,"19.3-13.7","9.4-8.6",0.472643473236971,29,2014-11-22
94,"La Salle","A10","3-0",0.687399334627462,99.9605399850656,186,93.3405598437874,39,66.9898909602841,227,"19.3-13.7","9.5-8.5",0.475110072173044,31,2014-11-23
94,"La Salle","A10","3-0",0.685767990550108,99.8880093683377,179,93.3343406474294,38,67.0258590279213,216,"19.3-13.7","9.5-8.5",0.475263144805497,37,2014-11-24
87,"La Salle","A10","4-0",0.698646409529643,99.3802318467685,187,92.3730174948897,29,67.5597624785289,167,"19.9-13.1","9.8-8.2",0.558781559924035,28,2014-11-25
92,"La Salle","A10","4-0",0.697884826606877,99.2996535744291,194,92.3271365695855,31,67.6084592826427,165,"19.7-13.3","9.7-8.3",0.546191491589656,30,2014-11-26
91,"La Salle","A10","4-0",0.697602077306922,99.2848023590462,194,92.3240908789209,31,67.591495602288,163,"19.7-13.3","9.8-8.2",0.552918847716424,35,2014-11-27
98,"La Salle","A10","4-1",0.685728876575949,99.1221849524633,200,92.6202239185257,34,67.4914029813507,165,"19.2-13.8","9.6-8.4",0.393564209328244,50,2014-11-28
120,"La Salle","A10","4-2",0.632152435230039,99.1452597049348,198,94.5853307598235,59,66.7074703531593,201,"17.4-15.6","8.7-9.3",-0.0858121821333268,88,2014-11-29
117,"La Salle","A10","4-2",0.63503743195356,99.1298831403598,198,94.468520941078,56,66.7581964229863,195,"17.4-15.6","8.8-9.2",-0.0958051077315755,87,2014-11-30
116,"La Salle","A10","4-2",0.635952312679354,99.1637747987255,198,94.4683691128976,55,66.7153253228454,193,"17.4-15.6","8.8-9.2",-0.095551312249354,90,2014-12-01
115,"La Salle","A10","4-2",0.634889017814098,99.1958351553009,201,94.5366352780161,59,66.6584169095984,192,"17.5-15.5","8.9-9.1",-0.0964648145513396,89,2014-12-02
122,"La Salle","A10","4-3",0.612581624055241,100.109356528883,183,96.199260866525,90,66.5062001406414,195,"16.7-16.3","8.5-9.5",-0.324903168112704,106,2014-12-03
122,"La Salle","A10","4-3",0.612929061350572,100.05621044496,182,96.1359495007151,90,66.5057328631068,194,"16.7-16.3","8.5-9.5",-0.313783938034605,104,2014-12-04
122,"La Salle","A10","4-3",0.611160736394659,99.9816049675425,184,96.1264975060336,89,66.5409294740502,191,"16.7-16.3","8.5-9.5",-0.301431797575585,103,2014-12-05
127,"La Salle","A10","4-4",0.594963989272171,99.421422474104,191,96.1520372643701,87,66.2487517816051,200,"15.7-17.3","8.1-9.9",-0.853964432110274,131,2014-12-06
129,"La Salle","A10","4-4",0.592465278785632,99.4465862349182,192,96.2630446253779,88,66.3368976562196,191,"15.8-17.2","8.2-9.8",-0.832080366042786,128,2014-12-07
128,"La Salle","A10","4-4",0.593016612546827,99.4758642330895,191,96.2722637063739,87,66.3634246099589,190,"15.8-17.2","8.2-9.8",-0.847315946008571,128,2014-12-08
128,"La Salle","A10","4-4",0.59584824107207,99.4555914494885,192,96.1543864629221,89,66.4753837588093,185,"15.9-17.1","8.3-9.7",-0.833467669900496,126,2014-12-09
129,"La Salle","A10","4-4",0.598700708053609,99.5782367505284,190,96.1737357350463,90,66.5596510475007,182,"15.9-17.1","8.3-9.7",-0.852039526132291,122,2014-12-10
127,"La Salle","A10","4-4",0.600190038576,99.7132791118301,190,96.2522320750145,90,66.5860642000374,181,"15.9-17.1","8.3-9.7",-0.868530042048943,122,2014-12-11
