"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
300,"Liberty","BSth","0-0",0.212916606645598,95.8598947570476,278,107.401868251942,318,66.93432825,261,"10-18","6.8-11.2",0,129,2014-11-13
299,"Liberty","BSth","0-0",0.212248751784524,95.8432878317162,278,107.420523558847,319,66.93432825,259,"10.1-17.9","6.8-11.2",0,157,2014-11-14
300,"Liberty","BSth","0-0",0.212037287634872,95.8380218951541,279,107.426439698284,318,66.93432825,260,"10.1-17.9","6.8-11.2",0,159,2014-11-15
300,"Liberty","BSth","0-0",0.211861674800626,95.8336459292009,276,107.431356227047,319,66.93432825,259,"10-18","6.7-11.3",0,161,2014-11-16
297,"Liberty","BSth","1-0",0.225753239122445,95.3101470202887,284,106.091897815881,301,66.3283751499564,294,"10.9-17.1","6.9-11.1",0.0482426043992563,112,2014-11-17
297,"Liberty","BSth","1-0",0.225383934549584,95.3031176949131,286,106.103576943505,303,66.3082343669961,291,"10.9-17.1","7-11",0.0465580387339307,105,2014-11-18
296,"Liberty","BSth","1-1",0.229715114901415,95.2337382752863,287,105.799389848462,298,66.5552207780042,269,"11-17","7.1-10.9",-0.637213260558276,232,2014-11-19
296,"Liberty","BSth","1-1",0.229516343532465,95.2244279201763,282,105.799383903531,298,66.5310166357826,269,"11-17","7.1-10.9",-0.645761170368867,219,2014-11-20
296,"Liberty","BSth","1-1",0.226021400038767,95.1388085926336,283,105.887055844434,298,66.5388352190339,260,"10.9-17.1","7.1-10.9",-0.641397607678658,213,2014-11-21
295,"Liberty","BSth","1-2",0.223497466026846,94.2208778503837,290,104.997593160493,281,66.4037041907377,265,"10.8-17.2","7.2-10.8",-1.45783653095199,286,2014-11-22
295,"Liberty","BSth","1-2",0.220242934375388,94.1143220862481,290,105.050913751052,282,66.465861288671,258,"10.8-17.2","7.2-10.8",-1.45509931957118,273,2014-11-23
297,"Liberty","BSth","1-2",0.22020929395355,94.1313342339697,290,105.071692616968,284,66.4556291563143,257,"10.9-17.1","7.2-10.8",-1.45492948817789,263,2014-11-24
309,"Liberty","BSth","1-3",0.187913009184017,92.9102900187454,305,105.520625123962,298,66.5260732194548,249,"9.6-18.4","6.5-11.5",-2.26880129254376,308,2014-11-25
311,"Liberty","BSth","1-4",0.181463339176633,91.5402550595362,319,104.352619698389,270,66.000322138586,271,"8.9-19.1","6.4-11.6",-3.25948984826855,341,2014-11-26
311,"Liberty","BSth","1-4",0.181346988503363,91.5300867565021,318,104.348137422491,270,65.9831569941315,270,"9-19","6.4-11.6",-3.25065141785564,339,2014-11-27
313,"Liberty","BSth","1-4",0.181097670221115,91.6051601826526,321,104.44898415734,267,65.9407902811576,263,"9.1-18.9","6.5-11.5",-3.26935306855873,333,2014-11-28
314,"Liberty","BSth","1-4",0.180683312474568,91.6363491684338,321,104.509957290954,267,65.8700549496943,254,"9-19","6.4-11.6",-3.26665279383622,328,2014-11-29
314,"Liberty","BSth","1-4",0.179157822382322,91.5369700785844,324,104.490515344,267,65.9088913606457,245,"9-19","6.4-11.6",-3.2737578890108,324,2014-11-30
310,"Liberty","BSth","2-4",0.186694340979961,90.2992121886609,332,102.626576855204,221,66.4878482282159,205,"9.4-18.6","6.5-11.5",-3.24463674623244,323,2014-12-01
308,"Liberty","BSth","2-4",0.186497944397358,90.3372523785331,334,102.681363162915,219,66.4579933081975,203,"9.4-18.6","6.4-11.6",-3.24529397928959,320,2014-12-02
306,"Liberty","BSth","2-4",0.186968757785514,90.4844756663889,333,102.820980971815,217,66.5574858154321,190,"9.4-18.6","6.4-11.6",-3.23971046403259,309,2014-12-03
306,"Liberty","BSth","2-4",0.186908553753627,90.4667290469141,332,102.804355672109,215,66.5489010068195,190,"9.4-18.6","6.4-11.6",-3.23294621502388,306,2014-12-04
307,"Liberty","BSth","2-4",0.186934478181746,90.471001475918,332,102.807685839658,214,66.5437452030177,190,"9.4-18.6","6.4-11.6",-3.22538739031528,303,2014-12-05
313,"Liberty","BSth","2-5",0.17543187632782,89.8157969261334,336,102.753772158348,209,65.7314058855161,231,"8.7-19.3","6.2-11.8",-4.15625107080878,317,2014-12-06
313,"Liberty","BSth","2-5",0.170787431023438,89.6550111068672,337,102.859640215624,214,65.8619938125807,221,"8.6-19.4","6.1-11.9",-4.14421721584113,316,2014-12-07
313,"Liberty","BSth","2-5",0.171266436312268,89.686614975343,337,102.865673386837,217,65.9201348185236,217,"8.6-19.4","6.1-11.9",-4.15258318984224,316,2014-12-08
314,"Liberty","BSth","2-5",0.171577683115834,89.5713755253113,336,102.713926081095,213,66.0039063853861,208,"8.6-19.4","6.1-11.9",-4.14499304047772,315,2014-12-09
314,"Liberty","BSth","2-5",0.171734434000258,89.5833081242185,336,102.717762407647,214,65.9637133395339,208,"8.5-19.5","6-12",-4.15518068426585,313,2014-12-10
313,"Liberty","BSth","2-5",0.171374234634465,89.5853023891696,336,102.742689387486,214,65.9590852204531,207,"8.5-19.5","6-12",-4.1641791652937,312,2014-12-11
