"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
209,"Lipscomb","ASun","0-0",0.427637413349976,101.577710261008,159,104.185367263716,253,70.97492104,20,"14-14","8.8-5.2",0,247,2014-11-13
209,"Lipscomb","ASun","0-0",0.426661142040801,101.560112771944,156,104.203463876307,258,70.97492104,24,"14.3-13.7","9-5",0,197,2014-11-14
207,"Lipscomb","ASun","0-0",0.426351674744648,101.554532734748,155,104.209202837556,258,70.97492104,25,"14.3-13.7","9.1-4.9",0,187,2014-11-15
205,"Lipscomb","ASun","0-0",0.426094546437696,101.549895752798,147,104.21397212475,260,70.97492104,27,"14.4-13.6","9.1-4.9",0,179,2014-11-16
232,"Lipscomb","ASun","0-1",0.377630785315305,100.231733085479,184,104.682269032685,274,70.9561298363415,29,"12.9-15.1","8.5-5.5",-0.865907736246202,302,2014-11-17
232,"Lipscomb","ASun","0-1",0.377114131563866,100.224050661899,183,104.694261828732,274,70.9353888678637,29,"12.9-15.1","8.5-5.5",-0.870181163729066,292,2014-11-18
231,"Lipscomb","ASun","0-1",0.37647967947158,100.201579608624,178,104.695383168098,277,70.9132025122881,28,"12.8-15.2","8.3-5.7",-0.873813821502719,274,2014-11-19
240,"Lipscomb","ASun","0-2",0.357463469006048,99.8846894913253,189,105.109944609778,282,70.551276503373,31,"12.3-15.7","8.1-5.9",-1.20391427779644,301,2014-11-20
240,"Lipscomb","ASun","0-2",0.356540112277778,99.8965151537774,191,105.159164770151,285,70.5200492792801,33,"12.3-15.7","8.1-5.9",-1.19835223573404,290,2014-11-21
239,"Lipscomb","ASun","0-2",0.354949946239746,99.9681780514026,186,105.298112361165,286,70.5380957106333,31,"12.4-15.6","8.1-5.9",-1.19419081729265,262,2014-11-22
236,"Lipscomb","ASun","0-2",0.356438695609798,100.002004523265,185,105.274258331532,290,70.5325494865521,30,"12.4-15.6","8.2-5.8",-1.19199267155035,251,2014-11-23
235,"Lipscomb","ASun","0-3",0.359796269643163,100.10931519382,174,105.25345579245,290,70.591677486669,27,"12.3-15.7","8.2-5.8",-1.84736905658302,295,2014-11-24
237,"Lipscomb","ASun","0-3",0.359680051795166,100.111758477955,171,105.260642980761,290,70.5817535899512,27,"12.2-15.8","8-6",-1.84947647952649,284,2014-11-25
