"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
109,"Long Beach St.","BW","0-0",0.639102459154298,104.013997487482,105,98.9715443598135,129,68.40724532,132,"14.6-16.4","10.2-5.8",0,144,2014-11-13
106,"Long Beach St.","BW","0-1",0.650073685701514,105.224359044139,83,99.7071272099553,144,68.8626084150101,104,"14.7-16.3","10.4-5.6",-0.250995870405098,260,2014-11-14
107,"Long Beach St.","BW","0-1",0.649792346539104,105.248584609678,84,99.7408066875237,145,68.8606857773837,106,"14.7-16.3","10.4-5.6",-0.250751964378059,242,2014-11-15
106,"Long Beach St.","BW","0-1",0.649472573264209,105.190320022732,81,99.6977701540362,152,68.8560867133369,109,"14.6-16.4","10.4-5.6",-0.247539907095027,219,2014-11-16
106,"Long Beach St.","BW","0-1",0.648921690207665,105.159911635213,80,99.6899161252149,154,68.8513297097231,112,"14.7-16.3","10.4-5.6",-0.245319736072197,194,2014-11-17
116,"Long Beach St.","BW","0-2",0.624650903380138,106.305021634948,59,101.699501442873,201,68.733897719272,113,"14-17","10.1-5.9",-0.443904991611482,214,2014-11-18
117,"Long Beach St.","BW","0-2",0.623998505169253,106.266286479076,59,101.687037061598,206,68.6841554854934,111,"13.9-17.1","10.1-5.9",-0.45518627580732,200,2014-11-19
116,"Long Beach St.","BW","0-2",0.624891320758247,106.273428370075,56,101.660210798823,203,68.649844937092,115,"13.9-17.1","10.1-5.9",-0.466880434915209,192,2014-11-20
100,"Long Beach St.","BW","1-2",0.667303947705815,106.471879289854,55,100.218995639435,177,68.5688660947004,116,"15.3-15.7","10.5-5.5",-0.226771123435292,132,2014-11-21
100,"Long Beach St.","BW","1-2",0.667096498714713,106.549827786086,57,100.30051453896,175,68.5392376211762,117,"15.4-15.6","10.5-5.5",-0.220019543975753,123,2014-11-22
103,"Long Beach St.","BW","1-3",0.660827576900624,106.089977072735,61,100.111937500067,172,68.104264243375,148,"15.1-15.9","10.5-5.5",-0.519307339182185,163,2014-11-23
102,"Long Beach St.","BW","1-3",0.666249775810652,106.021943251072,63,99.8366646266618,165,68.1450569678289,140,"15.2-15.8","10.6-5.4",-0.518999286578694,161,2014-11-24
100,"Long Beach St.","BW","1-3",0.666738211035375,105.987260119695,66,99.7849364289056,165,68.1207723161521,137,"15.2-15.8","10.6-5.4",-0.521824028409899,152,2014-11-25
108,"Long Beach St.","BW","1-3",0.660783971692646,105.887840281485,66,99.9228812293071,166,68.2258791277864,130,"15.1-15.9","10.5-5.5",-0.543060198233632,143,2014-11-26
100,"Long Beach St.","BW","2-3",0.677885728803642,104.623510190521,81,98.0685127369405,131,68.8348089215781,91,"15.7-15.3","10.6-5.4",-0.341929384166979,120,2014-11-27
100,"Long Beach St.","BW","2-4",0.682134498686936,105.506901701578,73,98.728780471871,143,68.3233347735401,123,"15.4-15.6","10.7-5.3",-1.09831273539455,189,2014-11-28
101,"Long Beach St.","BW","2-4",0.681172276009127,105.480580912711,77,98.7422162751599,138,68.2269680685468,119,"15.3-15.7","10.6-5.4",-1.09311619365947,177,2014-11-29
91,"Long Beach St.","BW","3-4",0.706737369209331,105.384321562786,80,97.6244268352915,118,68.4901047853957,104,"16.5-14.5","11-5",-0.436489206984245,116,2014-11-30
90,"Long Beach St.","BW","3-4",0.707016442683805,105.386615957136,80,97.6151190406251,117,68.4821171745998,102,"16.5-14.5","11-5",-0.436071437469564,116,2014-12-01
