"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
140,"Louisiana Lafayette","SB","0-0",0.562117411590906,102.610709163014,134,100.406209199548,163,70.70654635,26,"20.7-12.3","14-6",0,336,2014-11-13
141,"Louisiana Lafayette","SB","0-0",0.561135117971217,102.592932715526,132,100.423649386374,166,70.70654635,26,"20.7-12.3","13.9-6.1",0,232,2014-11-14
141,"Louisiana Lafayette","SB","0-0",0.560823521550525,102.587295931901,128,100.429180175956,167,70.70654635,27,"20.6-12.4","13.8-6.2",0,211,2014-11-15
141,"Louisiana Lafayette","SB","0-0",0.560564543545492,102.582611793964,126,100.433776464862,174,70.70654635,29,"20.6-12.4","13.8-6.2",0,192,2014-11-16
140,"Louisiana Lafayette","SB","0-1",0.555504520156596,100.781484466743,168,98.8465689129383,134,71.0363404374196,26,"20.3-12.7","13.8-6.2",-0.462963868607555,231,2014-11-17
141,"Louisiana Lafayette","SB","0-1",0.554977590731036,100.773687675236,165,98.8572625456887,135,71.0146876237327,24,"20.4-12.6","13.8-6.2",-0.472252259589993,217,2014-11-18
141,"Louisiana Lafayette","SB","0-1",0.555061334710611,100.814734345315,165,98.8946126395259,141,71.0653645654711,25,"20.5-12.5","13.9-6.1",-0.480370664809586,206,2014-11-19
140,"Louisiana Lafayette","SB","0-1",0.55483919265703,100.808356633491,167,98.8960909021069,140,71.0532854171032,22,"20.4-12.6","13.9-6.1",-0.488649207706593,197,2014-11-20
158,"Louisiana Lafayette","SB","0-2",0.519240378691784,101.03323331102,161,100.359013674964,178,71.6355518980766,14,"19.2-13.8","13.3-6.7",-1.09515837170091,280,2014-11-21
159,"Louisiana Lafayette","SB","0-2",0.518288805522189,101.055886747859,162,100.414792797206,179,71.6025116953237,12,"19.1-13.9","13.2-6.8",-1.08896143131969,254,2014-11-22
162,"Louisiana Lafayette","SB","0-2",0.517563363923725,101.024560706307,161,100.409030855863,179,71.5890507650971,12,"19.1-13.9","13.2-6.8",-1.08568570750941,241,2014-11-23
172,"Louisiana Lafayette","SB","0-3",0.484997359224758,98.9710191015111,201,99.488986307015,158,71.5044716485094,13,"17.4-15.6","12.6-7.4",-2.00552118453942,303,2014-11-24
147,"Louisiana Lafayette","SB","1-3",0.535555686386487,98.4947338813219,214,97.2820974179703,110,71.8693475115445,10,"19.2-13.8","13.5-6.5",-1.87201714424011,287,2014-11-25
149,"Louisiana Lafayette","SB","1-3",0.533600187339106,98.3532588659451,216,97.208778166014,109,72.064559594316,11,"19.2-13.8","13.5-6.5",-1.89133974600266,277,2014-11-26
