"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
302,"Louisiana Monroe","SB","0-0",0.211725321131596,94.1903430069579,305,105.596681941077,288,66.00814176,303,"10.8-23.2","7.1-12.9",0,197,2014-11-13
301,"Louisiana Monroe","SB","0-0",0.211060200957548,94.1740253175078,304,105.615023693804,292,66.00814176,309,"10.7-23.3","6.9-13.1",0,176,2014-11-14
293,"Louisiana Monroe","SB","1-0",0.248150083515523,95.0187919931786,293,104.633759332038,267,66.3761212968255,294,"13-21","7.8-12.2",0.373923243374558,6,2014-11-15
293,"Louisiana Monroe","SB","1-0",0.247741594741534,94.9675991525823,292,104.5973093176,268,66.3717236597535,294,"12.9-21.1","7.8-12.2",0.377951518656101,8,2014-11-16
293,"Louisiana Monroe","SB","1-0",0.247239911455633,94.9406955536227,292,104.592174498435,270,66.3671750044591,292,"12.9-21.1","7.8-12.2",0.38076640635441,12,2014-11-17
291,"Louisiana Monroe","SB","1-0",0.246848679071184,94.9338674543423,293,104.60378162843,272,66.344420042603,287,"12.9-21.1","7.9-12.1",0.372009010617138,26,2014-11-18
290,"Louisiana Monroe","SB","1-0",0.246331644354378,94.9114289590025,291,104.604368730259,274,66.317356408195,282,"13-21","8-12",0.364437552008004,30,2014-11-19
290,"Louisiana Monroe","SB","1-0",0.24555466251108,94.9176677690867,290,104.649362849543,277,66.304121319968,282,"12.9-21.1","7.9-12.1",0.356795050337726,35,2014-11-20
270,"Louisiana Monroe","SB","1-1",0.297121022705052,95.2021272538974,281,102.603883310126,230,65.8087917802888,304,"14.8-19.2","9.1-10.9",0.107093144052931,81,2014-11-21
266,"Louisiana Monroe","SB","1-1",0.297151807652938,95.2489240130522,278,102.653002619803,229,65.7798886308153,297,"14.8-19.2","9-11",0.112425283591135,84,2014-11-22
265,"Louisiana Monroe","SB","1-1",0.296589675664968,95.3147390705644,274,102.747991797441,227,65.7933077644217,292,"14.7-19.3","9-11",0.115239520844486,84,2014-11-23
