"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
58,"Louisiana Tech","CUSA","0-0",0.764688575847086,105.217677516044,83,94.9687555191892,53,71.36471428,15,"25.6-9.4","13.5-4.5",0,338,2014-11-13
70,"Louisiana Tech","CUSA","1-0",0.746008958051754,105.898920264708,69,96.4278193893813,82,71.4505727151324,14,"25.1-9.9","13.2-4.8",0.100430870027572,38,2014-11-14
70,"Louisiana Tech","CUSA","1-0",0.745695524916614,105.921818134005,70,96.4625380725905,84,71.4486610981677,14,"25.2-9.8","13.2-4.8",0.10054818112709,51,2014-11-15
73,"Louisiana Tech","CUSA","1-0",0.745565327995948,105.865835573559,68,96.4173101421661,83,71.4440884108913,15,"25.2-9.8","13.2-4.8",0.102111721019245,61,2014-11-16
75,"Louisiana Tech","CUSA","1-1",0.736590259526083,105.185450226331,79,96.1881112614612,84,72.4241161044608,8,"24.5-10.5","13.1-4.9",-0.244764604942774,193,2014-11-17
76,"Louisiana Tech","CUSA","1-1",0.736130167925646,105.179046742378,78,96.2020792304253,85,72.3756963257374,8,"24.6-10.4","13.2-4.8",-0.256680186912449,176,2014-11-18
75,"Louisiana Tech","CUSA","1-1",0.73562869571796,105.142705351231,75,96.1904181584375,84,72.3180843540223,7,"24.6-10.4","13.2-4.8",-0.267067571789392,160,2014-11-19
78,"Louisiana Tech","CUSA","1-1",0.733099662797636,105.190575367278,73,96.3427637057339,86,72.301904309678,8,"24.6-10.4","13.2-4.8",-0.277637951414073,150,2014-11-20
76,"Louisiana Tech","CUSA","2-1",0.738215780659706,105.390142214066,73,96.3049695460705,89,71.8379967803904,12,"24.9-10.1","13.2-4.8",-0.151644529515421,126,2014-11-21
66,"Louisiana Tech","CUSA","3-1",0.767246542690196,107.00865480578,52,96.4655072898765,90,70.4856266516021,32,"25.7-9.3","13.6-4.4",-0.0765272084816079,107,2014-11-22
64,"Louisiana Tech","CUSA","4-1",0.7730656207068,107.177290396117,51,96.341725347458,88,69.6945201634547,52,"26-9","13.8-4.2",-0.055021197843092,105,2014-11-23
65,"Louisiana Tech","CUSA","4-1",0.772598490457974,107.198849304588,51,96.3834023642257,91,69.6957009109,48,"26-9","13.8-4.2",-0.0548093467166435,98,2014-11-24
65,"Louisiana Tech","CUSA","4-1",0.770468878087917,107.172963768043,53,96.4614154456912,92,69.6086723276336,48,"25.9-9.1","13.8-4.2",-0.0567501212355954,97,2014-11-25
68,"Louisiana Tech","CUSA","4-1",0.771008668268545,107.153068913997,53,96.4178933942011,90,69.6711617517283,48,"26-9","13.8-4.2",-0.0712106093051019,95,2014-11-26
68,"Louisiana Tech","CUSA","4-1",0.770892402416443,107.141105411562,54,96.4126482194939,90,69.6551498535964,48,"25.9-9.1","13.8-4.2",-0.0634679875140593,93,2014-11-27
72,"Louisiana Tech","CUSA","5-1",0.755103124029068,106.621054603123,58,96.6761246138506,97,69.7698242928144,42,"25.6-9.4","13.6-4.4",-0.0443725899532329,87,2014-11-28
73,"Louisiana Tech","CUSA","5-1",0.74938530497228,106.643034176276,62,96.9543711556846,105,69.784984823964,36,"25.5-9.5","13.5-4.5",-0.0418510634095969,84,2014-11-29
74,"Louisiana Tech","CUSA","5-1",0.747599922234148,106.732814664366,62,97.1160536783449,109,69.7740422277376,38,"25.7-9.3","13.7-4.3",-0.0486010056661308,82,2014-11-30
74,"Louisiana Tech","CUSA","5-1",0.746663653603135,106.718218312348,62,97.1446264572236,109,69.9564076661175,36,"25.6-9.4","13.6-4.4",-0.048423247622863,84,2014-12-01
76,"Louisiana Tech","CUSA","6-1",0.744620128677385,108.122533609047,45,98.5152207637026,128,69.5046561506572,49,"25.9-9.1","13.6-4.4",0.12276650426374,70,2014-12-02
77,"Louisiana Tech","CUSA","6-1",0.743437316072792,108.228470473318,48,98.6650146454751,133,69.590760694016,42,"25.9-9.1","13.5-4.5",0.129149881054648,65,2014-12-03
81,"Louisiana Tech","CUSA","6-1",0.738910580216511,108.223933936022,48,98.8635344599219,138,69.6381032901702,41,"25.7-9.3","13.5-4.5",0.136797112694471,64,2014-12-04
83,"Louisiana Tech","CUSA","6-1",0.738691358182148,108.211860265552,48,98.8622705988673,139,69.633926945296,44,"25.7-9.3","13.5-4.5",0.145319794633175,65,2014-12-05
88,"Louisiana Tech","CUSA","7-1",0.722297730574198,107.353391820377,57,98.7908942008174,137,69.1866171046701,59,"25.6-9.4","13.4-4.6",0.151955579135924,58,2014-12-06
88,"Louisiana Tech","CUSA","7-1",0.721973687545445,107.348784677804,57,98.8005278975074,137,69.1722359795018,59,"25.6-9.4","13.4-4.6",0.164449060152473,61,2014-12-07
88,"Louisiana Tech","CUSA","7-1",0.722044016623484,107.355224249061,57,98.8034441559166,137,69.160242045068,59,"25.5-9.5","13.3-4.7",0.155793749684276,59,2014-12-08
89,"Louisiana Tech","CUSA","7-1",0.719521166541005,107.219798544403,56,98.7864304283747,139,69.1820458126756,57,"25.5-9.5","13.3-4.7",0.16363456838678,60,2014-12-09
98,"Louisiana Tech","CUSA","7-2",0.693489514708002,107.617361373011,54,100.241609159549,163,69.5683323418592,44,"24.4-10.6","12.9-5.1",-0.469189616945704,95,2014-12-10
98,"Louisiana Tech","CUSA","7-2",0.693311984579744,107.630593081775,54,100.261214086997,162,69.5707473934954,44,"24.4-10.6","13-5",-0.48169873391027,94,2014-12-11
98,"Louisiana Tech","CUSA","7-2",0.693410879092776,107.63753471091,54,100.263624968788,163,69.57411900158,44,"24.4-10.6","13-5",-0.480595776433155,94,2014-12-12
98,"Louisiana Tech","CUSA","7-2",0.693742810261387,107.590413129047,56,100.206121548664,160,69.6936796037764,44,"24.3-10.7","12.9-5.1",-0.487293907307159,88,2014-12-13
97,"Louisiana Tech","CUSA","7-3",0.701547570735216,108.00356038716,50,100.267774626903,162,69.4703585191565,47,"24.2-10.8","12.9-5.1",-0.787537369894723,116,2014-12-14
97,"Louisiana Tech","CUSA","7-3",0.700488314279157,107.956540938444,50,100.268178147713,162,69.4500036835895,50,"24.2-10.8","12.9-5.1",-0.769162504502346,114,2014-12-15
96,"Louisiana Tech","CUSA","7-3",0.702884295015749,107.942356184766,54,100.155265514855,160,69.4700891877722,47,"24.3-10.7","12.9-5.1",-0.746033321796707,114,2014-12-16
95,"Louisiana Tech","CUSA","7-3",0.701927426846172,107.978424575452,54,100.228620357813,157,69.468563361525,47,"24.2-10.8","12.9-5.1",-0.777912872580842,109,2014-12-17
94,"Louisiana Tech","CUSA","8-3",0.710448695452417,107.964770744239,56,99.858672665617,151,69.1945698614007,55,"24.5-10.5","13.2-4.8",-0.760832064151923,108,2014-12-18
95,"Louisiana Tech","CUSA","8-3",0.702856589706874,107.831682835337,57,100.053730456552,158,69.1715607527519,55,"24.4-10.6","13.1-4.9",-0.732108948129799,109,2014-12-19
97,"Louisiana Tech","CUSA","8-3",0.694908110869399,107.696172572639,56,100.256744427131,159,69.2392439351692,52,"24.3-10.7","13-5",-0.770987596783184,102,2014-12-20
97,"Louisiana Tech","CUSA","8-3",0.697368595686095,107.738241094113,54,100.194511886268,158,69.2691374322403,52,"24.2-10.8","12.9-5.1",-0.78927749557143,100,2014-12-21
91,"Louisiana Tech","CUSA","8-3",0.713104400810248,108.036707591038,49,99.8127888238191,151,69.2666829168057,50,"24.4-10.6","13.2-4.8",-0.780010042973141,98,2014-12-22
87,"Louisiana Tech","CUSA","8-4",0.723147529223769,108.305771016182,47,99.6305661358535,148,68.9612473115215,58,"24.5-10.5","13.3-4.7",-1.06272254844386,107,2014-12-23
87,"Louisiana Tech","CUSA","8-4",0.723147529224083,108.305771016194,47,99.6305661358505,148,68.9610950502534,58,"24.5-10.5","13.3-4.7",-1.06272254844054,107,2014-12-24
88,"Louisiana Tech","CUSA","8-4",0.723353025682766,108.29135954046,47,99.6084160518913,147,68.9582479940234,58,"24.5-10.5","13.3-4.7",-1.05744309236206,107,2014-12-25
87,"Louisiana Tech","CUSA","8-4",0.723667274085458,108.281432436092,47,99.5856805590631,147,68.9585165995829,58,"24.5-10.5","13.3-4.7",-1.05704844531015,107,2014-12-26
87,"Louisiana Tech","CUSA","8-4",0.723497001027182,108.265797858287,48,99.5786728522878,148,68.9416241711599,58,"24.5-10.5","13.4-4.6",-1.11759305191984,105,2014-12-27
83,"Louisiana Tech","CUSA","8-4",0.729148814185438,108.28305196776,47,99.3486007176708,147,69.039052360518,56,"24.6-10.4","13.4-4.6",-1.12494737293053,101,2014-12-28
84,"Louisiana Tech","CUSA","8-4",0.730771335797436,108.362013631262,47,99.3499112351745,147,68.9557492780872,56,"24.6-10.4","13.5-4.5",-1.16465006119935,101,2014-12-29
86,"Louisiana Tech","CUSA","8-4",0.726330793727427,108.111521867714,50,99.3139762279322,147,68.9707582352685,54,"24.5-10.5","13.4-4.6",-1.18053500236008,99,2014-12-30
88,"Louisiana Tech","CUSA","8-4",0.726893735726826,108.305614465107,48,99.4677602631307,152,69.0242622577223,48,"24.5-10.5","13.4-4.6",-1.1918885213307,99,2014-12-31
88,"Louisiana Tech","CUSA","8-4",0.727318339937625,108.297941445717,48,99.4422076493705,153,69.0368904185664,48,"24.5-10.5","13.4-4.6",-1.20747928496762,99,2015-01-01
87,"Louisiana Tech","CUSA","8-4",0.728764227470434,108.334356362775,50,99.4124971752495,151,69.0489478855727,47,"24.5-10.5","13.4-4.6",-1.19414894081932,99,2015-01-02
84,"Louisiana Tech","CUSA","9-4",0.734133461862898,110.109028248333,32,100.801134977086,176,68.547816422056,60,"24.7-10.3","13.6-4.4",-1.14567910456385,95,2015-01-03
83,"Louisiana Tech","CUSA","9-4",0.733116679851541,109.998599069259,33,100.745611990337,176,68.5747846408572,58,"24.7-10.3","13.6-4.4",-1.16914615763891,95,2015-01-04
80,"Louisiana Tech","CUSA","9-4",0.734224241594675,109.950858191019,33,100.652264286884,172,68.6611106456723,55,"24.7-10.3","13.6-4.4",-1.13725908803724,92,2015-01-05
79,"Louisiana Tech","CUSA","9-4",0.735053365710479,109.968335282087,34,100.631039338581,171,68.6345625257471,56,"24.8-10.2","13.6-4.4",-1.13886542449547,94,2015-01-06
80,"Louisiana Tech","CUSA","9-4",0.734157853552865,110.085484014673,33,100.778485831217,178,68.6997264537316,53,"24.8-10.2","13.6-4.4",-1.18512268389986,89,2015-01-07
72,"Louisiana Tech","CUSA","10-4",0.760067170422089,109.886875718722,36,99.4034088781458,143,67.7526854204267,74,"25.8-9.2","14.5-3.5",-0.794901245210307,73,2015-01-08
71,"Louisiana Tech","CUSA","10-4",0.7605700817859,109.878108669854,36,99.371628778085,143,67.9206220027601,73,"25.8-9.2","14.5-3.5",-0.787527917852741,73,2015-01-09
77,"Louisiana Tech","CUSA","11-4",0.751450375615421,110.427061884421,31,100.298403899504,163,67.4320526033814,80,"25.7-9.3","14.5-3.5",-0.616613932686136,62,2015-01-10
78,"Louisiana Tech","CUSA","11-4",0.754303156056266,110.431948311082,31,100.169194723536,162,67.4556191700813,82,"25.7-9.3","14.5-3.5",-0.591483216930567,63,2015-01-11
74,"Louisiana Tech","CUSA","11-4",0.760215885979137,110.579652984156,31,100.022999018901,160,67.7277753315405,76,"25.8-9.2","14.6-3.4",-0.601734437624804,63,2015-01-12
78,"Louisiana Tech","CUSA","11-4",0.752777805340386,110.128120696821,36,99.9649723149159,158,67.6680604076287,72,"25.7-9.3","14.5-3.5",-0.640437184246046,62,2015-01-13
79,"Louisiana Tech","CUSA","11-4",0.754235245814894,110.134523395824,35,99.902593235327,153,67.6922854367422,71,"25.7-9.3","14.5-3.5",-0.626552816029557,62,2015-01-14
84,"Louisiana Tech","CUSA","12-4",0.732625910428948,110.292612578455,36,101.036915715897,175,67.3577460144557,85,"25.4-9.6","14.4-3.6",-0.463385885424077,58,2015-01-15
84,"Louisiana Tech","CUSA","12-4",0.733512515071301,110.314799719193,36,101.017432891964,174,67.3187344671562,85,"25.4-9.6","14.4-3.6",-0.46474374522049,58,2015-01-16
91,"Louisiana Tech","CUSA","13-4",0.714719655877262,109.490454828796,44,101.086333494364,170,67.9679405114663,64,"25.2-9.8","14.3-3.7",-0.468789938091601,56,2015-01-17
91,"Louisiana Tech","CUSA","13-4",0.715127583406556,109.510349618985,44,101.087105877097,170,67.9719563352541,63,"25.2-9.8","14.3-3.7",-0.462204774066564,56,2015-01-18
91,"Louisiana Tech","CUSA","13-4",0.713519637895182,109.483767197892,46,101.131837935993,171,67.9152482500216,61,"25.2-9.8","14.3-3.7",-0.394403249971236,55,2015-01-19
93,"Louisiana Tech","CUSA","13-4",0.71025127520498,109.342869227409,47,101.141740601333,170,68.0539334036168,60,"25.2-9.8","14.3-3.7",-0.370590933237001,56,2015-01-20
95,"Louisiana Tech","CUSA","13-4",0.708891811036818,109.354106211595,49,101.210175756414,171,68.0586219328808,59,"25.1-9.9","14.2-3.8",-0.359911364616582,55,2015-01-21
109,"Louisiana Tech","CUSA","13-5",0.675275498318305,108.766432571061,51,102.057675571556,185,67.9727385508805,61,"23.9-11.1","13.2-4.8",-1.2164354354939,74,2015-01-22
108,"Louisiana Tech","CUSA","13-5",0.67579542300343,108.776667146059,50,102.046228053618,186,67.7762804670952,61,"23.9-11.1","13.2-4.8",-1.216120340365,74,2015-01-23
101,"Louisiana Tech","CUSA","14-5",0.690756683865195,107.898625238178,63,100.615741216741,157,67.4164749410122,71,"24.4-10.6","13.7-4.3",-1.05969140234938,69,2015-01-24
100,"Louisiana Tech","CUSA","14-5",0.690766426526534,107.855777482028,64,100.575386687898,158,67.4570442773278,72,"24.4-10.6","13.7-4.3",-1.03004158041658,68,2015-01-25
100,"Louisiana Tech","CUSA","14-5",0.69045745235569,107.923888811546,63,100.651555940999,160,67.5559441188475,70,"24.4-10.6","13.7-4.3",-1.04567745059854,68,2015-01-26
99,"Louisiana Tech","CUSA","14-5",0.690815730814437,107.891399763712,64,100.606585040152,158,67.4990886688025,71,"24.4-10.6","13.7-4.3",-1.02937338034909,67,2015-01-27
103,"Louisiana Tech","CUSA","14-5",0.685330699503558,107.665907798767,68,100.61967693347,158,67.5563316549814,67,"24.3-10.7","13.7-4.3",-0.942151513255637,65,2015-01-28
97,"Louisiana Tech","CUSA","15-5",0.699827744815641,106.936176441251,71,99.3476599701712,130,67.6130824518799,65,"24.7-10.3","14-4",-0.870805988709028,64,2015-01-29
97,"Louisiana Tech","CUSA","15-5",0.700060916395252,106.921640531302,72,99.3245662022111,130,67.5489087865162,64,"24.7-10.3","14-4",-0.865393239855256,64,2015-01-30
97,"Louisiana Tech","CUSA","16-5",0.708082025301115,106.883456611244,77,98.9572559886931,128,67.5707841582453,65,"24.8-10.2","14.2-3.8",-0.790342042547181,68,2015-01-31
96,"Louisiana Tech","CUSA","16-5",0.708454653842253,106.883568997025,75,98.941842925315,126,67.5244519573603,65,"24.8-10.2","14.2-3.8",-0.776523283894979,66,2015-02-01
95,"Louisiana Tech","CUSA","16-5",0.71023950212749,106.928370658231,74,98.9088305794802,126,67.5783466267762,65,"24.8-10.2","14.2-3.8",-0.778305542885074,66,2015-02-02
96,"Louisiana Tech","CUSA","16-5",0.706111674723509,106.787485849367,76,98.9502262494146,126,67.4902718231176,66,"24.8-10.2","14.2-3.8",-0.734091605271144,64,2015-02-03
95,"Louisiana Tech","CUSA","16-5",0.707847792654218,106.824653082596,76,98.9125570787398,124,67.5078328537953,65,"24.9-10.1","14.2-3.8",-0.727058228816284,64,2015-02-04
105,"Louisiana Tech","CUSA","16-6",0.679692425409215,106.309166726739,82,99.5767817645869,136,67.513485972905,65,"24-11","13.5-4.5",-1.39325630514445,77,2015-02-05
105,"Louisiana Tech","CUSA","16-6",0.679750114103047,106.318546623489,82,99.5832729510885,135,67.5141179482961,65,"24-11","13.5-4.5",-1.39806273972302,77,2015-02-06
103,"Louisiana Tech","CUSA","17-6",0.692445597012387,106.284175972475,83,99.0420433093977,123,67.6335927570593,59,"24.6-10.4","14-4",-1.17293202238409,72,2015-02-07
