"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
1,"Louisville","ACC","0-0",0.953832702017845,113.901888550168,8,87.5328603957106,1,69.5684398,68,"29.7-6.3","14-4",0,62,2014-11-13
1,"Louisville","ACC","1-0",0.956134624444928,113.525377062881,9,86.8381551400514,1,70.5574399934946,31,"29.9-6.1","13.9-4.1",0.512224602738309,3,2014-11-14
2,"Louisville","ACC","1-0",0.956084522313117,113.546825984766,9,86.8635796175239,1,70.5553586727633,33,"29.9-6.1","13.9-4.1",0.512548441447985,3,2014-11-15
2,"Louisville","ACC","1-0",0.9560246281546,113.492354215882,9,86.8326719189979,1,70.5503800078431,35,"29.9-6.1","13.9-4.1",0.516887978857373,4,2014-11-16
1,"Louisville","ACC","2-0",0.95993493568367,113.509139646246,9,86.1145231724569,1,70.669344226804,33,"30.3-5.7","14.1-3.9",0.545809786258259,6,2014-11-17
3,"Louisville","ACC","2-0",0.960291471844309,113.689073444974,7,86.18123284515,1,70.489836830207,36,"30.3-5.7","14.2-3.8",0.53606026731842,17,2014-11-18
3,"Louisville","ACC","2-0",0.959903023688542,113.666963639508,6,86.240477303923,1,70.5184413507596,35,"30.2-5.8","14.2-3.8",0.526581841167244,19,2014-11-19
3,"Louisville","ACC","2-0",0.959864661977421,113.657549972988,6,86.2408056546358,1,70.492114130013,35,"30.2-5.8","14.1-3.9",0.517603693840483,21,2014-11-20
4,"Louisville","ACC","3-0",0.956916598507907,113.224239951395,8,86.4663015748974,1,71.0598791131279,24,"29.8-6.2","13.9-4.1",0.569900560836364,23,2014-11-21
4,"Louisville","ACC","3-0",0.956666925408725,113.305395948079,8,86.5737312895156,1,71.0389463580753,21,"29.8-6.2","13.9-4.1",0.573949512559683,20,2014-11-22
4,"Louisville","ACC","3-0",0.956535861801732,113.265636595165,8,86.5671135439424,1,71.0195207115365,20,"29.8-6.2","13.9-4.1",0.576096767031706,22,2014-11-23
