"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
232,"Loyola Marymount","WCC","0-0",0.378966664649922,96.9207718851732,256,101.174309042522,180,68.70627554,108,"8.6-21.4","4.9-13.1",0,222,2014-11-13
224,"Loyola Marymount","WCC","1-0",0.391071783633195,97.8119716267726,239,101.651686538122,197,67.9638238314836,185,"9-21","4.9-13.1",0.074270863003876,50,2014-11-14
218,"Loyola Marymount","WCC","1-1",0.399215537022602,98.5494217016794,232,102.115070534107,203,67.7249221699618,199,"8.9-21.1","5-13",-0.564547045201865,294,2014-11-15
220,"Loyola Marymount","WCC","1-1",0.398824322596855,98.4547908256214,233,102.031489028931,202,67.7175100995608,197,"8.9-21.1","5.1-12.9",-0.559385877707909,271,2014-11-16
219,"Loyola Marymount","WCC","1-1",0.398182707699505,98.4106061346017,230,102.009440304044,205,67.709842916128,205,"8.8-21.2","5-13",-0.555770954836416,244,2014-11-17
221,"Loyola Marymount","WCC","1-1",0.395251205819588,98.4429441832737,224,102.151705201464,211,67.7267214984609,198,"8.7-21.3","5-13",-0.566994721472016,232,2014-11-18
220,"Loyola Marymount","WCC","1-1",0.394991503996913,98.4106501352235,221,102.127843939281,215,67.6715460117461,198,"8.5-21.5","4.8-13.2",-0.57664562713307,220,2014-11-19
233,"Loyola Marymount","WCC","1-2",0.366431214038997,97.0163136673405,244,101.747358599124,210,67.0906143819785,234,"7.9-22.1","4.4-13.6",-1.00335039919845,285,2014-11-20
234,"Loyola Marymount","WCC","1-2",0.365352932638155,97.0335769681261,243,101.806598279163,209,67.048852457693,237,"7.9-22.1","4.4-13.6",-0.994277857069292,271,2014-11-21
233,"Loyola Marymount","WCC","1-2",0.363304901619163,97.0317661998238,246,101.883014038369,213,67.1304405785245,215,"7.8-22.2","4.4-13.6",-0.987475598130748,237,2014-11-22
233,"Loyola Marymount","WCC","1-2",0.362707825643045,96.994549237761,244,101.866806372949,212,67.1067466539639,215,"7.7-22.3","4.3-13.7",-0.983877633893949,225,2014-11-23
233,"Loyola Marymount","WCC","1-2",0.363729340864591,96.9646986921947,244,101.796353877871,208,67.1709043827418,204,"7.8-22.2","4.4-13.6",-0.983654691834657,222,2014-11-24
235,"Loyola Marymount","WCC","1-2",0.364690578748024,96.9435449083382,244,101.737415527246,208,67.2387681830298,190,"7.9-22.1","4.5-13.5",-0.985697653401286,202,2014-11-25
